time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.725608,-0.178630,-1.472707,0.009082,0.002086,0.015126,-0.008244,-0.258650,-0.106977,-3.830159,6.439504,0.480731,129.967983,-143.874106,-0.143228,-0.026076,0.000831,0.000000,0.647645,0.386131,0.000000
0.010000,-2.725518,-0.178621,-1.472561,0.008829,-0.000202,0.014080,-0.040413,-0.201117,-0.102185,-2.639463,5.099325,0.476861,108.555296,-124.454933,-0.623080,-0.020287,0.004077,0.000000,0.513280,0.266422,-0.000000
0.020000,-2.725432,-0.178632,-1.472425,0.008310,-0.001978,0.013082,-0.061709,-0.156045,-0.097455,-1.651562,3.944676,0.468419,89.390072,-106.754756,-1.057961,-0.015749,0.006228,0.000000,0.397318,0.166966,0.000000
0.030000,-2.725353,-0.178659,-1.472299,0.007625,-0.003359,0.012131,-0.074047,-0.121661,-0.092830,-0.844551,2.958766,0.455847,72.357990,-90.693764,-1.449479,-0.012285,0.007477,0.000000,0.298169,0.085617,0.000000
0.040000,-2.725280,-0.178698,-1.472183,0.006854,-0.004442,0.011225,-0.079133,-0.096360,-0.088350,-0.197673,2.125602,0.439569,57.344735,-76.192146,-1.799241,-0.009734,0.007994,0.000000,0.214285,0.020323,-0.000000
0.050000,-2.725216,-0.178747,-1.472075,0.006061,-0.005311,0.010363,-0.078469,-0.078691,-0.084050,0.308692,1.429991,0.419996,44.235986,-63.170091,-2.108857,-0.007953,0.007931,0.000000,0.144177,-0.030860,-0.000000
0.060000,-2.725159,-0.178804,-1.471975,0.005299,-0.006037,0.009543,-0.073366,-0.067350,-0.079960,0.693014,0.857535,0.397520,32.917427,-51.547788,-2.379933,-0.006810,0.007418,0.000000,0.086424,-0.069769,0.000000
0.070000,-2.725109,-0.178868,-1.471884,0.004605,-0.006675,0.008763,-0.064958,-0.061175,-0.076108,0.972626,0.394635,0.372520,23.274740,-41.245425,-2.614080,-0.006188,0.006571,0.000000,0.039679,-0.098129,0.000000
0.080000,-2.725067,-0.178937,-1.471800,0.004008,-0.007274,0.008020,-0.054209,-0.059135,-0.072517,1.163714,0.028493,0.345356,15.193605,-32.183192,-2.812904,-0.005984,0.005485,0.000000,0.002670,-0.117558,-0.000000
0.090000,-2.725029,-0.179013,-1.471723,0.003526,-0.007869,0.007312,-0.041928,-0.060323,-0.069207,1.281323,-0.252896,0.316374,8.559705,-24.281277,-2.978014,-0.006106,0.004244,0.000000,-0.025797,-0.129558,-0.000000
0.100000,-2.724996,-0.179095,-1.471653,0.003172,-0.008488,0.006635,-0.028781,-0.063948,-0.066194,1.339352,-0.460735,0.285903,3.258722,-17.459870,-3.111018,-0.006475,0.002914,0.000000,-0.046839,-0.135526,0.000000
0.110000,-2.724965,-0.179183,-1.471590,0.002951,-0.009154,0.005987,-0.015297,-0.069327,-0.063493,1.350559,-0.605429,0.254256,-0.823662,-11.639158,-3.213525,-0.007021,0.001549,0.000000,-0.061498,-0.136743,0.000000
0.120000,-2.724936,-0.179278,-1.471534,0.002866,-0.009879,0.005364,-0.001887,-0.075878,-0.061112,1.326559,-0.696588,0.221729,-3.801766,-6.739331,-3.287142,-0.007687,0.000191,0.000000,-0.070737,-0.134380,-0.000000
