time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.326978,-0.179737,-1.455833,0.008566,-0.002133,0.012445,0.062173,-0.017297,-0.069604,2.904663,0.524706,-1.175244,51.882110,11.743332,-10.744101,-0.001751,-0.006293,0.000000,0.053320,-0.293245,-0.000000
0.050000,-3.326550,-0.179844,-1.455211,0.011674,-0.002998,0.008964,0.207406,0.008939,-0.128366,5.498768,1.111872,-1.712449,65.696063,13.144931,-10.259993,0.000899,-0.020866,0.000000,0.111687,-0.549452,0.000000
0.100000,-3.325811,-0.180037,-1.454937,0.029306,-0.001239,-0.000392,0.612049,0.093890,-0.240849,9.474269,1.839199,-2.201243,52.509755,5.170101,-2.369634,0.009324,-0.060820,0.000000,0.180068,-0.925823,-0.000000
0.150000,-3.323619,-0.179968,-1.455250,0.072879,0.006391,-0.015120,1.154833,0.192858,-0.348490,10.749744,1.628883,-1.949412,1.530486,-9.262022,10.168424,0.018861,-0.113196,0.000000,0.153452,-1.022983,0.000000
0.200000,-3.318523,-0.179398,-1.456449,0.144790,0.018047,-0.035241,1.687024,0.256779,-0.435790,9.627318,0.912997,-1.184401,-36.740161,-15.007614,21.022223,0.024724,-0.163191,0.000000,0.081368,-0.896029,-0.000000
0.250000,-3.309140,-0.178163,-1.458774,0.241582,0.032069,-0.058699,2.117564,0.284158,-0.466930,7.075728,0.128121,0.152810,-59.096547,-16.391906,29.071473,0.027075,-0.203206,0.000000,0.008905,-0.663161,0.000000
0.300000,-3.294365,-0.176191,-1.462319,0.356546,0.046463,-0.081934,2.394597,0.269591,-0.420509,3.717663,-0.726194,1.722747,-71.021616,-16.886558,29.657131,0.025653,-0.229925,0.000000,-0.067044,-0.381757,0.000000
0.350000,-3.273486,-0.173517,-1.466968,0.481041,0.059028,-0.100750,2.489331,0.211539,-0.294656,-0.026434,-1.560535,3.118523,-74.992375,-15.485012,22.315277,0.020324,-0.241545,0.000000,-0.143968,-0.069200,-0.000000
0.400000,-3.246261,-0.170288,-1.472394,0.605479,0.067617,-0.111400,2.391953,0.113537,-0.108657,-3.781574,-2.274695,3.954274,-71.467672,-12.141093,8.514056,0.011127,-0.236639,0.000000,-0.217757,0.269430,-0.000000
0.450000,-3.212938,-0.166755,-1.478108,0.720237,0.070382,-0.111616,2.111173,-0.015931,0.100772,-7.173201,-2.774644,3.969929,-60.494390,-7.057933,-8.417335,-0.001603,-0.214107,0.000000,-0.280120,0.620554,0.000000
0.500000,-3.174237,-0.163250,-1.483555,0.816597,0.066023,-0.101322,1.674633,-0.163927,0.288336,-9.831014,-2.980488,3.112541,-42.569060,-0.622341,-24.075436,-0.016954,-0.174096,0.000000,-0.316562,0.945607,-0.000000
0.550000,-3.131278,-0.160153,-1.488240,0.887700,0.053989,-0.082782,1.128072,-0.313980,0.412026,-11.430107,-2.836878,1.562385,-19.212956,6.561951,-34.235975,-0.033159,-0.119462,0.000000,-0.309579,1.178636,0.000000
