time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-0.179737,-3.326978,1.455833,-0.002133,0.008566,-0.012445,-0.017297,0.062173,0.069604,0.524706,2.904663,1.175244,11.743332,51.882110,10.744101
0.050000,-0.179844,-3.326550,1.455211,-0.002998,0.011674,-0.008964,0.008939,0.207406,0.128366,1.111872,5.498768,1.712449,13.144931,65.696063,10.259993
0.100000,-0.180037,-3.325811,1.454937,-0.001239,0.029306,0.000392,0.093890,0.612049,0.240849,1.839199,9.474269,2.201243,5.170101,52.509755,2.369634
0.150000,-0.179968,-3.323619,1.455250,0.006391,0.072879,0.015120,0.192858,1.154833,0.348490,1.628883,10.749744,1.949412,-9.262022,1.530486,-10.168424
0.200000,-0.179398,-3.318523,1.456449,0.018047,0.144790,0.035241,0.256779,1.687024,0.435790,0.912997,9.627318,1.184401,-15.007614,-36.740161,-21.022223
0.250000,-0.178163,-3.309140,1.458774,0.032069,0.241582,0.058699,0.284158,2.117564,0.466930,0.128121,7.075728,-0.152810,-16.391906,-59.096547,-29.071473
0.300000,-0.176191,-3.294365,1.462319,0.046463,0.356546,0.081934,0.269591,2.394597,0.420509,-0.726194,3.717663,-1.722747,-16.886558,-71.021616,-29.657131
0.350000,-0.173517,-3.273486,1.466968,0.059028,0.481041,0.100750,0.211539,2.489331,0.294656,-1.560535,-0.026434,-3.118523,-15.485012,-74.992375,-22.315277
0.400000,-0.170288,-3.246261,1.472394,0.067617,0.605479,0.111400,0.113537,2.391953,0.108657,-2.274695,-3.781574,-3.954274,-12.141093,-71.467672,-8.514056
0.450000,-0.166755,-3.212938,1.478108,0.070382,0.720237,0.111616,-0.015931,2.111173,-0.100772,-2.774644,-7.173201,-3.969929,-7.057933,-60.494390,8.417335
0.500000,-0.163250,-3.174237,1.483555,0.066023,0.816597,0.101322,-0.163927,1.674633,-0.288336,-2.980488,-9.831014,-3.112541,-0.622341,-42.569060,24.075436
0.550000,-0.160153,-3.131278,1.488240,0.053989,0.887700,0.082782,-0.313980,1.128072,-0.412026,-2.836878,-11.430107,-1.562385,6.561951,-19.212956,34.235975
0.600000,-0.157851,-3.085467,1.491834,0.034625,0.929404,0.060120,-0.447615,0.531622,-0.444575,-2.324293,-11.752309,0.311057,13.716556,6.888653,36.173450
0.650000,-0.156690,-3.038338,1.494252,0.009228,0.940862,0.038325,-0.546409,-0.047159,-0.380920,-1.465222,-10.741242,2.054960,20.027856,32.245337,29.583133
0.700000,-0.156928,-2.991381,1.495666,-0.020015,0.924688,0.022028,-0.594137,-0.542502,-0.239079,-0.321508,-8.527775,3.269370,24.805032,53.250743,16.728606
0.750000,-0.158692,-2.945869,1.496455,-0.050186,0.886612,0.014417,-0.578560,-0.899936,-0.053983,1.015281,-5.416167,3.727820,27.578012,66.937638,1.683994
0.800000,-0.161946,-2.902719,1.497108,-0.077871,0.834694,0.016629,-0.492609,-1.084119,0.133703,2.436294,-1.834012,3.437769,28.118430,71.594084,-11.117396
0.850000,-0.166479,-2.862400,1.498118,-0.099447,0.778200,0.027787,-0.334930,-1.083338,0.289794,3.827124,1.743241,2.616081,26.399333,67.070586,-18.484325
0.900000,-0.171891,-2.824899,1.499887,-0.111364,0.726360,0.045609,-0.109897,-0.909794,0.395311,5.076227,4.873047,1.589337,22.530290,54.665579,-19.532608
0.950000,-0.177615,-2.789764,1.502679,-0.110436,0.687221,0.067318,0.172692,-0.596033,0.448727,6.080153,7.209799,0.662820,16.712574,36.675220,-15.743953
1.000000,-0.182935,-2.756177,1.506618,-0.094095,0.666757,0.090482,0.498119,-0.188815,0.461593,6.747484,8.540569,0.014941,9.216792,15.811034,-10.054949
