time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz
0.000000,-0.179737,-3.326978,1.455833,0.002093,0.009091,-0.015097,-0.258625,-0.007468,0.104524,6.287633,-4.223426,-0.442309,-84.647749,310.427359,46.346968
0.010000,-0.179728,-3.326888,1.455687,-0.000193,0.008856,-0.014067,-0.199773,-0.034836,0.102364,5.503005,-1.314600,0.004820,-72.505981,271.841766,43.052548
0.020000,-0.179739,-3.326802,1.455552,-0.001927,0.008485,-0.013036,-0.148182,-0.034996,0.104508,4.833067,1.223277,0.418249,-61.697955,236.216247,39.610364
0.030000,-0.179765,-3.326718,1.455427,-0.003177,0.008235,-0.011963,-0.102772,-0.011511,0.110612,4.264835,3.419161,0.796601,-52.153039,203.421778,36.040366
0.040000,-0.179801,-3.326636,1.455313,-0.004000,0.008323,-0.010812,-0.062588,0.032339,0.120319,3.786032,5.300719,1.138697,-43.800600,173.329333,32.362507
0.050000,-0.179844,-3.326550,1.455211,-0.004443,0.008939,-0.009546,-0.026792,0.093544,0.133262,3.385084,6.894325,1.443558,-36.570006,145.809889,28.596735
0.060000,-0.179889,-3.326455,1.455122,-0.004548,0.010242,-0.008137,0.005337,0.169350,0.149064,3.051127,8.225063,1.710405,-30.390625,120.734421,24.763002
0.070000,-0.179934,-3.326342,1.455049,-0.004347,0.012366,-0.006557,0.034420,0.257248,0.167341,2.774003,9.316730,1.938658,-25.191824,97.973905,20.881257
0.080000,-0.179975,-3.326204,1.454992,-0.003868,0.015420,-0.004783,0.060975,0.354963,0.187707,2.544258,10.191828,2.127937,-20.902972,77.399316,16.971452
0.090000,-0.180010,-3.326031,1.454954,-0.003134,0.019491,-0.002797,0.085433,0.460434,0.209769,2.353146,10.871572,2.278060,-17.453436,58.881631,13.053536
0.100000,-0.180037,-3.325811,1.454937,-0.002165,0.024648,-0.000583,0.108140,0.571809,0.233137,2.192627,11.375887,2.389047,-14.772583,42.291825,9.147461
0.110000,-0.180053,-3.325534,1.454943,-0.000976,0.030942,0.001869,0.129363,0.687429,0.257421,2.055367,11.723405,2.461115,-12.789782,27.500873,5.273176
0.120000,-0.180056,-3.325188,1.454975,0.000418,0.038406,0.004567,0.149303,0.805813,0.282231,1.934740,11.931470,2.494683,-11.434400,14.379751,1.450632
0.130000,-0.180044,-3.324762,1.455035,0.002006,0.047063,0.007514,0.168094,0.925647,0.307188,1.824823,12.016136,2.490367,-10.635804,2.799436,-2.300220
0.140000,-0.180015,-3.324243,1.455126,0.003776,0.056920,0.010710,0.185817,1.045774,0.331915,1.720403,11.992165,2.448984,-10.323363,-7.369098,-5.959429
0.150000,-0.179968,-3.323619,1.455250,0.005719,0.067976,0.014150,0.202505,1.165174,0.356047,1.616971,11.873030,2.371550,-10.426444,-16.254875,-9.507047
0.160000,-0.179900,-3.322879,1.455410,0.007823,0.080218,0.017828,0.218147,1.282958,0.379230,1.510725,11.670913,2.259282,-10.874415,-23.986919,-12.923121
0.170000,-0.179811,-3.322011,1.455608,0.010078,0.093627,0.021731,0.232700,1.398352,0.401122,1.398568,11.396707,2.113593,-11.596644,-30.694255,-16.187702
0.180000,-0.179698,-3.321003,1.455845,0.012473,0.108175,0.025845,0.246091,1.510684,0.421396,1.278113,11.060014,1.936099,-12.522498,-36.505906,-19.280839
0.190000,-0.179561,-3.319844,1.456125,0.014996,0.123829,0.030152,0.258229,1.619372,0.439744,1.147675,10.669145,1.728614,-13.581344,-41.550897,-22.182582
0.200000,-0.179398,-3.318523,1.456449,0.017633,0.140549,0.034632,0.269008,1.723910,0.455875,1.006278,10.231121,1.493152,-14.702552,-45.958253,-24.872979
0.210000,-0.179208,-3.317030,1.456818,0.020376,0.158283,0.039261,0.278118,1.824189,0.469519,0.835321,9.782352,1.231753,-15.352485,-50.631838,-27.327728
0.220000,-0.178990,-3.315354,1.457235,0.023197,0.177005,0.044014,0.285693,1.919409,0.480432,0.678633,9.254657,0.947239,-15.980208,-54.830958,-29.531763
0.230000,-0.178743,-3.313486,1.457699,0.026085,0.196652,0.048860,0.291670,2.009149,0.488395,0.515837,8.687201,0.642018,-16.571784,-58.589758,-31.465669
0.240000,-0.178468,-3.311418,1.458212,0.029025,0.217168,0.053771,0.295991,2.093035,0.493213,0.347364,8.084216,0.318890,-17.113273,-61.942385,-33.110027
0.250000,-0.178163,-3.309140,1.458774,0.031999,0.238493,0.058713,0.298600,2.170728,0.494723,0.173785,7.449593,-0.019152,-17.590739,-64.922984,-34.445421
0.260000,-0.177828,-3.306646,1.459386,0.034992,0.260559,0.063655,0.299407,2.242020,0.492746,-0.008352,6.794956,-0.373024,-17.885148,-67.769617,-35.348860
0.270000,-0.177463,-3.303927,1.460047,0.037983,0.283308,0.068558,0.298425,2.306538,0.487238,-0.188346,6.104400,-0.729636,-18.100526,-70.287544,-35.917182
0.280000,-0.177068,-3.300978,1.460757,0.040955,0.306666,0.073388,0.295634,2.364030,0.478140,-0.370095,5.390270,-1.090228,-18.235803,-72.485943,-36.143653
0.290000,-0.176644,-3.297792,1.461515,0.043889,0.330564,0.078109,0.291020,2.414275,0.465431,-0.552792,4.655716,-1.451347,-18.289909,-74.373990,-36.021537
0.300000,-0.176191,-3.294365,1.462319,0.046769,0.354927,0.082685,0.284578,2.457086,0.449123,-0.735619,3.903794,-1.809475,-18.261775,-75.960861,-35.544100
0.310000,-0.175709,-3.290692,1.463168,0.049575,0.379680,0.087081,0.276304,2.492336,0.429198,-0.918299,3.140476,-2.167119,-18.136455,-77.331622,-34.550636
0.320000,-0.175199,-3.286770,1.464060,0.052289,0.404747,0.091259,0.266217,2.519855,0.405820,-1.098692,2.361523,-2.506195,-17.928455,-78.410269,-33.207235
0.330000,-0.174663,-3.282596,1.464992,0.054893,0.430051,0.095186,0.254338,2.539535,0.379124,-1.276595,1.573245,-2.830137,-17.638406,-79.196685,-31.526015
0.340000,-0.174102,-3.278169,1.465962,0.057370,0.455511,0.098831,0.240696,2.551298,0.349279,-1.451189,0.778564,-3.135629,-17.266936,-79.690754,-29.519097
0.350000,-0.173517,-3.273486,1.466968,0.059701,0.481050,0.102162,0.225328,2.555095,0.316484,-1.621664,-0.019595,-3.419474,-16.814675,-79.892361,-27.198598
0.360000,-0.172909,-3.268548,1.468005,0.061871,0.506586,0.105153,0.208277,2.550915,0.280908,-1.787478,-0.817328,-3.684433,-16.275609,-79.826143,-24.429209
0.370000,-0.172280,-3.263354,1.469070,0.063862,0.532041,0.107774,0.189598,2.538756,0.242892,-1.947210,-1.614027,-3.913735,-15.657825,-79.464200,-21.388530
0.380000,-0.171632,-3.257907,1.470159,0.065658,0.557335,0.110004,0.169354,2.518652,0.202739,-2.100377,-2.405616,-4.111400,-14.962767,-78.803385,-18.106732
0.390000,-0.170967,-3.252208,1.471268,0.067244,0.582388,0.111823,0.147615,2.490670,0.160777,-2.246213,-3.189088,-4.275167,-14.191877,-77.840550,-14.613988
0.400000,-0.170288,-3.246261,1.472394,0.068605,0.607122,0.113215,0.124457,2.454907,0.117355,-2.383967,-3.961409,-4.403077,-13.346599,-76.572549,-10.940467
0.410000,-0.169596,-3.240067,1.473531,0.069729,0.631461,0.114167,0.099960,2.411474,0.072803,-2.513326,-4.720905,-4.496937,-12.417666,-74.961034,-7.028887
0.420000,-0.168894,-3.233633,1.474676,0.070600,0.655327,0.114670,0.074223,2.360548,0.027549,-2.632564,-5.461178,-4.547194,-11.418542,-73.042369,-3.007582
0.430000,-0.168185,-3.226963,1.475823,0.071209,0.678648,0.114717,0.047343,2.302320,-0.018005,-2.741472,-6.180733,-4.556859,-10.351982,-70.817718,1.082567
0.440000,-0.167471,-3.220062,1.476969,0.071544,0.701350,0.114310,0.019430,2.237013,-0.063451,-2.839388,-6.876516,-4.525449,-9.220741,-68.288244,5.200679
0.450000,-0.166755,-3.212938,1.478108,0.071595,0.723365,0.113450,-0.009406,2.164879,-0.108377,-2.925680,-7.545485,-4.452888,-8.027574,-65.455110,9.305875
0.460000,-0.166040,-3.205597,1.479236,0.071353,0.744627,0.112145,-0.039051,2.086166,-0.152369,-3.000428,-8.187957,-4.339177,-6.757926,-62.234933,13.348838
0.470000,-0.165329,-3.198048,1.480349,0.070812,0.765069,0.110407,-0.069371,2.001232,-0.195027,-3.061431,-8.792988,-4.185847,-5.433980,-58.723776,17.298157
0.480000,-0.164625,-3.190299,1.481443,0.069964,0.784632,0.108251,-0.100234,1.910428,-0.235957,-3.108943,-9.361501,-3.993659,-4.060610,-54.933155,21.113984
0.490000,-0.163931,-3.182358,1.482513,0.068806,0.803259,0.105695,-0.131503,1.814133,-0.274776,-3.142494,-9.890758,-3.764145,-2.642690,-50.874587,24.756474
0.500000,-0.163250,-3.174237,1.483555,0.067333,0.820898,0.102763,-0.163036,1.712752,-0.311122,-3.161664,-10.378138,-3.499240,-1.185095,-46.559587,28.185778
0.510000,-0.162585,-3.165944,1.484567,0.065545,0.837500,0.099481,-0.194695,1.606677,-0.344603,-3.166795,-10.824916,-3.196850,0.325355,-41.904138,31.250341
0.520000,-0.161940,-3.157490,1.485544,0.063440,0.853019,0.095880,-0.226321,1.496413,-0.374961,-3.155871,-11.219747,-2.870177,1.863523,-37.026989,34.035703
0.530000,-0.161317,-3.148887,1.486484,0.061019,0.867416,0.091993,-0.257761,1.382448,-0.401918,-3.129456,-11.564794,-2.517154,3.422322,-31.951352,36.515695
0.540000,-0.160720,-3.140146,1.487383,0.058286,0.880657,0.087854,-0.288858,1.265289,-0.425227,-3.087379,-11.858190,-2.140968,4.994668,-26.700444,38.664150
0.550000,-0.160153,-3.131278,1.488240,0.055243,0.892713,0.083501,-0.319456,1.145462,-0.444672,-3.029541,-12.098296,-1.745064,6.573477,-21.297477,40.454898
0.560000,-0.159617,-3.122296,1.489052,0.051899,0.903560,0.078972,-0.349397,1.023478,-0.459994,-2.955959,-12.286312,-1.325742,8.152872,-15.699938,41.674666
0.570000,-0.159116,-3.113211,1.489819,0.048258,0.913178,0.074313,-0.378522,0.899924,-0.471153,-2.866563,-12.414904,-0.904508,9.724411,-10.004818,42.507301
0.580000,-0.158652,-3.104036,1.490538,0.044331,0.921555,0.069563,-0.406676,0.775371,-0.478063,-2.761522,-12.486187,-0.476897,11.280863,-4.243379,42.949546
0.590000,-0.158230,-3.094784,1.491210,0.040129,0.928684,0.064766,-0.433701,0.650393,-0.480682,-2.641021,-12.499655,-0.046829,12.814995,1.553116,42.998143
0.600000,-0.157851,-3.085467,1.491834,0.035662,0.934563,0.059964,-0.459446,0.525571,-0.479005,-2.505320,-12.455112,0.381743,14.319574,7.353405,42.649836
0.610000,-0.157517,-3.076097,1.492409,0.030944,0.939198,0.055197,-0.483754,0.401481,-0.472979,-2.354335,-12.352965,0.812821,15.776839,13.133476,41.699621
0.620000,-0.157233,-3.066687,1.492938,0.025992,0.942597,0.050515,-0.506484,0.278703,-0.462786,-2.189456,-12.192965,1.223479,17.191375,18.853929,40.370689
0.630000,-0.156998,-3.057249,1.493420,0.020820,0.944778,0.045955,-0.527496,0.157811,-0.448560,-2.010670,-11.976193,1.619044,18.557239,24.482611,38.684487
0.640000,-0.156817,-3.047795,1.493858,0.015448,0.945762,0.041557,-0.546653,0.039365,-0.430467,-1.818493,-11.703726,1.996050,19.868487,29.987373,36.662458
0.650000,-0.156690,-3.038338,1.494252,0.009894,0.945575,0.037358,-0.563824,-0.076083,-0.408712,-1.613502,-11.376965,2.351245,21.119176,35.336064,34.326050
0.660000,-0.156620,-3.028888,1.494605,0.004178,0.944251,0.033392,-0.578875,-0.187978,-0.383463,-1.395625,-10.995716,2.687360,22.285536,40.448136,31.551075
0.670000,-0.156607,-3.019456,1.494921,-0.001676,0.941829,0.029697,-0.591698,-0.295830,-0.355061,-1.167229,-10.566557,2.987923,23.381632,45.345762,28.522445
0.680000,-0.156653,-3.010055,1.495200,-0.007648,0.938350,0.026301,-0.602184,-0.399150,-0.323809,-0.928239,-10.089603,3.257094,24.403705,50.002718,25.279437
0.690000,-0.156760,-3.000693,1.495448,-0.013712,0.933862,0.023230,-0.610230,-0.497471,-0.290030,-0.679415,-9.567392,3.492928,25.347994,54.392780,21.861330
0.700000,-0.156928,-2.991381,1.495666,-0.019844,0.928419,0.020507,-0.615742,-0.590356,-0.254067,-0.421551,-9.002725,3.693868,26.210739,58.489723,18.307402
0.710000,-0.157157,-2.982127,1.495859,-0.026018,0.922074,0.018154,-0.618627,-0.677357,-0.216260,-0.154820,-8.395210,3.860006,26.971414,62.180138,14.625316
0.720000,-0.157448,-2.972942,1.496031,-0.032208,0.914891,0.016187,-0.618815,-0.758143,-0.176991,0.118335,-7.756346,3.987608,27.645076,65.535661,10.889836
0.730000,-0.157801,-2.963832,1.496184,-0.038385,0.906933,0.014618,-0.616239,-0.832378,-0.136632,0.397785,-7.085665,4.077768,28.230018,68.540744,7.144114
0.740000,-0.158216,-2.954806,1.496324,-0.044523,0.898266,0.013456,-0.610841,-0.899762,-0.095560,0.682634,-6.386751,4.130600,28.724533,71.179838,3.431298
0.750000,-0.158692,-2.945869,1.496455,-0.050593,0.888961,0.012708,-0.602571,-0.960031,-0.054143,0.971969,-5.663340,4.146648,29.126913,73.437395,-0.205462
0.760000,-0.159227,-2.937028,1.496580,-0.056565,0.879089,0.012375,-0.591383,-1.012907,-0.012790,1.265486,-4.914429,4.122861,29.419628,75.174156,-3.621293
0.770000,-0.159822,-2.928289,1.496704,-0.062411,0.868726,0.012452,-0.577254,-1.058269,0.028203,1.560756,-4.155660,4.070181,29.618730,76.513432,-6.887225
0.780000,-0.160475,-2.919655,1.496830,-0.068100,0.857949,0.012936,-0.560163,-1.095982,0.068508,1.857549,-3.385487,3.985718,29.724450,77.454820,-9.972562
0.790000,-0.161184,-2.911131,1.496964,-0.073604,0.846833,0.013819,-0.540101,-1.125954,0.107818,2.154934,-2.607891,3.871434,29.737018,77.997920,-12.846612
0.800000,-0.161946,-2.902719,1.497108,-0.078892,0.835456,0.015088,-0.517065,-1.148129,0.145845,2.451980,-1.826857,3.729593,29.656663,78.142332,-15.478680
