time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.201116,0.249730,0.947200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.185879
0.010000,-0.201115,0.249730,0.947200,-0.000108,0.000270,-0.000000,-0.006507,0.016207,-0.000009,1.185989
0.020000,-0.201115,0.249730,0.947200,-0.000217,0.000540,-0.000000,-0.013013,0.032414,-0.000017,1.186098
0.030000,-0.201113,0.249731,0.947200,-0.000325,0.000810,-0.000000,-0.019520,0.048620,-0.000026,1.186208
0.040000,-0.201109,0.249733,0.947200,-0.000434,0.001080,-0.000001,-0.026026,0.064827,-0.000035,1.186318
0.050000,-0.201100,0.249737,0.947201,-0.000542,0.001351,-0.000001,-0.032533,0.081034,-0.000044,1.186427
0.060000,-0.201082,0.249744,0.947203,-0.001240,0.003081,-0.000002,-0.048393,0.120032,-0.000067,1.186573
0.070000,-0.201054,0.249755,0.947206,-0.001938,0.004811,-0.000003,-0.064252,0.159030,-0.000090,1.186720
0.080000,-0.201012,0.249772,0.947211,-0.002637,0.006542,-0.000004,-0.080112,0.198028,-0.000113,1.186866
0.090000,-0.200952,0.249796,0.947217,-0.003335,0.008272,-0.000005,-0.095972,0.237026,-0.000136,1.187012
0.100000,-0.200869,0.249829,0.947226,-0.004033,0.010003,-0.000006,-0.111832,0.276024,-0.000158,1.187159
0.110000,-0.200761,0.249873,0.947237,-0.005622,0.013898,-0.000008,-0.130756,0.321330,-0.000190,1.187142
0.120000,-0.200622,0.249929,0.947252,-0.007212,0.017793,-0.000010,-0.149681,0.366637,-0.000221,1.187126
0.130000,-0.200448,0.250000,0.947270,-0.008802,0.021688,-0.000013,-0.168605,0.411944,-0.000253,1.187109
0.140000,-0.200235,0.250086,0.947292,-0.010391,0.025583,-0.000015,-0.187530,0.457251,-0.000284,1.187092
0.150000,-0.199979,0.250190,0.947319,-0.011981,0.029479,-0.000017,-0.206454,0.502558,-0.000316,1.187076
0.160000,-0.199675,0.250314,0.947351,-0.014498,0.035550,-0.000021,-0.224052,0.542786,-0.000352,1.186927
0.170000,-0.199319,0.250459,0.947387,-0.017015,0.041621,-0.000025,-0.241650,0.583014,-0.000388,1.186779
