time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-2.978961,0.000000,0.000000,-3.227609,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.908148,0.000000,0.000000,-3.162531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910389,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000206,-0.024225,-0.000235,0.000088,-0.018855,-0.000002,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000088,-0.012123,-0.000088,0.000001,-0.012825,0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000308,-0.000124,0.000321,-0.034103,0.000000,0.000002,-0.031616
0.010000,-2.978960,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908147,0.000000,0.000000,-3.162531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910389,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000205,-0.024225,-0.000233,0.000088,-0.018855,-0.000002,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000087,-0.012122,-0.000088,0.000001,-0.012825,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000307,-0.000123,0.000319,-0.034102,0.000000,0.000002,-0.031616
0.020000,-2.978960,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908146,0.000000,0.000000,-3.162531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910389,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000203,-0.024224,-0.000231,0.000088,-0.018855,-0.000003,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000086,-0.012122,-0.000087,0.000002,-0.012825,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000306,-0.000122,0.000317,-0.034101,0.000000,0.000002,-0.031616
0.030000,-2.978959,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908146,0.000000,0.000000,-3.162531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910388,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000202,-0.024224,-0.000229,0.000087,-0.018855,-0.000004,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000085,-0.012121,-0.000086,0.000002,-0.012825,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000305,-0.000121,0.000315,-0.034100,0.000000,0.000002,-0.031616
0.040000,-2.978958,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908145,0.000000,0.000000,-3.162531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910388,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,-0.024224,-0.000227,0.000087,-0.018855,-0.000004,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000084,-0.012120,-0.000086,0.000002,-0.012825,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000305,-0.000120,0.000313,-0.034099,0.000000,0.000002,-0.031616
0.050000,-2.978957,0.000000,0.000000,-3.227609,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-2.908144,0.000000,0.000000,-3.162531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910388,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000199,-0.024224,-0.000225,0.000086,-0.018855,-0.000005,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000083,-0.012119,-0.000085,0.000003,-0.012825,0.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000304,-0.000119,0.000311,-0.034099,0.000001,0.000002,-0.031615
0.060000,-2.978956,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908143,0.000000,0.000000,-3.162530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910387,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000197,-0.024224,-0.000223,0.000086,-0.018855,-0.000005,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,0.000083,-0.012119,-0.000085,0.000003,-0.012825,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000302,-0.000119,0.000309,-0.034097,0.000001,0.000002,-0.031615
0.070000,-2.978955,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908142,0.000000,0.000000,-3.162530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910387,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000196,-0.024223,-0.000222,0.000085,-0.018855,-0.000005,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000044,0.000082,-0.012118,-0.000084,0.000003,-0.012825,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000300,-0.000118,0.000307,-0.034096,0.000001,0.000002,-0.031615
0.080000,-2.978954,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908141,0.000000,0.000000,-3.162530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910387,0.000000,0.000000,-1.132995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000195,-0.024223,-0.000221,0.000085,-0.018855,-0.000005,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000044,0.000082,-0.012117,-0.000084,0.000003,-0.012824,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000299,-0.000118,0.000304,-0.034095,0.000001,0.000002,-0.031615
0.090000,-2.978953,0.000000,0.000000,-3.227609,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.908140,0.000000,0.000000,-3.162530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.910387,0.000000,0.000000,-1.132994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000193,-0.024223,-0.000220,0.000084,-0.018855,-0.000005,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000044,0.000081,-0.012117,-0.000083,0.000003,-0.012824,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000297,-0.000117,0.000302,-0.034094,0.000001,0.000002,-0.031615
