time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,-2.001182,-1.956766,0.506532,0.009275,0.017723,0.007836,-0.082099,-0.838492,-0.066384,-0.973500,18.425491,0.301300,85.396303,-322.953775,-1.236660,0.999917,0.008693,0.003694,0.008758,-0.013360,0.000686,-0.000256
0.010000,-2.001093,-1.956628,0.506608,0.008419,0.010207,0.007187,-0.087793,-0.669664,-0.063432,-0.187408,15.410541,0.289173,72.072829,-280.692044,-1.188931,0.999918,0.008631,0.003687,0.008734,-0.012950,-0.000159,-0.002126
0.020000,-2.001013,-1.956557,0.506676,0.007543,0.004236,0.006567,-0.086267,-0.528937,-0.060599,0.472839,12.798834,0.277515,60.213968,-242.275058,-1.142872,0.999919,0.008569,0.003679,0.008709,-0.012541,-0.001004,-0.003995
0.030000,-2.000942,-1.956539,0.506739,0.006713,-0.000452,0.005974,-0.078708,-0.412468,-0.057880,1.021484,10.552831,0.266310,49.738954,-207.520894,-1.098443,0.999919,0.008507,0.003672,0.008685,-0.012132,-0.001849,-0.005865
0.040000,-2.000879,-1.956563,0.506796,0.005985,-0.004082,0.005409,-0.066164,-0.316781,-0.055271,1.471961,8.636813,0.255541,40.567022,-176.247627,-1.055604,0.999920,0.008446,0.003664,0.008660,-0.011722,-0.002695,-0.007734
0.050000,-2.000822,-1.956618,0.506847,0.005404,-0.006847,0.004868,-0.049554,-0.238745,-0.052768,1.836899,7.016882,0.245193,32.617407,-148.273335,-1.014314,0.999921,0.008384,0.003657,0.008636,-0.011313,-0.003540,-0.009604
0.060000,-2.000770,-1.956697,0.506893,0.005005,-0.008907,0.004353,-0.029672,-0.175563,-0.050366,2.128115,5.660956,0.235250,25.809343,-123.416092,-0.974534,0.999922,0.008328,0.003639,0.008589,-0.011238,-0.003523,-0.009553
0.070000,-2.000721,-1.956794,0.506934,0.004819,-0.010399,0.003861,-0.007200,-0.124747,-0.048061,2.356621,4.538776,0.225697,20.062063,-101.493976,-0.936224,0.999923,0.008273,0.003622,0.008541,-0.011163,-0.003506,-0.009503
0.080000,-2.000673,-1.956904,0.506971,0.004868,-0.011436,0.003391,0.017285,-0.084103,-0.045851,2.532623,3.621899,0.216521,15.294804,-82.325063,-0.899343,0.999924,0.008217,0.003604,0.008494,-0.011087,-0.003488,-0.009453
0.090000,-2.000623,-1.957022,0.507002,0.005170,-0.012109,0.002944,0.043308,-0.051714,-0.043730,2.665515,2.883704,0.207706,11.426799,-65.727428,-0.863851,0.999925,0.008162,0.003587,0.008447,-0.011012,-0.003471,-0.009402
0.100000,-2.000569,-1.957145,0.507030,0.005738,-0.012492,0.002516,0.070481,-0.025917,-0.041695,2.763887,2.299386,0.199239,8.377282,-51.519149,-0.829709,0.999926,0.008106,0.003569,0.008399,-0.010937,-0.003454,-0.009352
0.110000,-2.000507,-1.957271,0.507053,0.006582,-0.012644,0.002109,0.098497,-0.005290,-0.039744,2.835520,1.845963,0.191107,6.065489,-39.518301,-0.796875,0.999926,0.008052,0.003552,0.008353,-0.010864,-0.003437,-0.009300
0.120000,-2.000436,-1.957397,0.507072,0.007710,-0.012611,0.001721,0.127125,0.011368,-0.037872,2.887387,1.502269,0.183298,4.410653,-29.542960,-0.765311,0.999927,0.007998,0.003535,0.008307,-0.010791,-0.003420,-0.009249
0.130000,-2.000352,-1.957522,0.507087,0.009126,-0.012427,0.001352,0.156200,0.025057,-0.036077,2.925653,1.248958,0.175797,3.332009,-21.411203,-0.734975,0.999928,0.007944,0.003518,0.008261,-0.010719,-0.003404,-0.009197
0.140000,-2.000252,-1.957645,0.507099,0.010835,-0.012117,0.001000,0.185611,0.036590,-0.034355,2.955678,1.068506,0.168594,2.748791,-14.941106,-0.705827,0.999929,0.007891,0.003500,0.008215,-0.010646,-0.003387,-0.009146
0.150000,-2.000134,-1.957764,0.507107,0.012839,-0.011700,0.000664,0.215301,0.046617,-0.032704,2.982011,0.945204,0.161677,2.580234,-9.950746,-0.677829,0.999930,0.007837,0.003483,0.008169,-0.010573,-0.003370,-0.009094
0.160000,-1.999995,-1.957879,0.507112,0.015142,-0.011188,0.000345,0.245252,0.055638,-0.031121,3.008396,0.865165,0.155034,2.745573,-6.258198,-0.650939,0.999931,0.007785,0.003467,0.008124,-0.010503,-0.003354,-0.009044
0.170000,-1.999830,-1.957988,0.507114,0.017745,-0.010589,0.000042,0.275479,0.064024,-0.029602,3.037767,0.816320,0.148654,3.164041,-3.681538,-0.625117,0.999932,0.007733,0.003450,0.008079,-0.010433,-0.003337,-0.008994
0.180000,-1.999639,-1.958090,0.507113,0.020652,-0.009909,-0.000247,0.306024,0.072034,-0.028147,3.072251,0.788421,0.142528,3.754873,-2.038844,-0.600323,0.999932,0.007681,0.003433,0.008035,-0.010362,-0.003321,-0.008944
0.190000,-1.999416,-1.958186,0.507109,0.023867,-0.009149,-0.000521,0.336945,0.079834,-0.026751,3.113169,0.773037,0.136645,4.437303,-1.148191,-0.576517,0.999933,0.007629,0.003416,0.007990,-0.010292,-0.003304,-0.008894
0.200000,-1.999160,-1.958273,0.507103,0.027393,-0.008312,-0.000782,0.368311,0.087514,-0.025413,3.161033,0.763557,0.130995,5.130567,-0.827655,-0.553660,0.999934,0.007577,0.003400,0.007945,-0.010222,-0.003288,-0.008844
0.210000,-1.998868,-1.958352,0.507094,0.031227,-0.007387,-0.001030,0.400487,0.094666,-0.024130,3.243059,0.714353,0.125566,5.059024,0.136123,-0.531650,0.999935,0.007527,0.003383,0.007902,-0.010154,-0.003272,-0.008795
0.220000,-1.998535,-1.958421,0.507082,0.035395,-0.006405,-0.001265,0.433168,0.101828,-0.022901,3.293016,0.719124,0.120356,4.921869,0.767333,-0.510515,0.999936,0.007476,0.003367,0.007858,-0.010086,-0.003256,-0.008746
0.230000,-1.998159,-1.958479,0.507068,0.039892,-0.005351,-0.001488,0.466342,0.109064,-0.021723,3.341292,0.728777,0.115353,4.723423,1.121600,-0.490223,0.999936,0.007426,0.003351,0.007814,-0.010018,-0.003240,-0.008698
0.240000,-1.997736,-1.958527,0.507052,0.044723,-0.004223,-0.001700,0.499987,0.116411,-0.020593,3.387295,0.740819,0.110549,4.468009,1.254550,-0.470740,0.999937,0.007376,0.003334,0.007771,-0.009950,-0.003224,-0.008649
0.250000,-1.997263,-1.958564,0.507034,0.049893,-0.003022,-0.001900,0.534078,0.123882,-0.019511,3.430477,0.753315,0.105936,4.159946,1.221808,-0.452034,0.999938,0.007325,0.003318,0.007727,-0.009882,-0.003208,-0.008600
0.260000,-1.996737,-1.958588,0.507014,0.055406,-0.001742,-0.002090,0.568596,0.131337,-0.018474,3.471364,0.752212,0.101504,3.777513,1.399172,-0.434023,0.999939,0.007277,0.003302,0.007685,-0.009816,-0.003192,-0.008553
0.270000,-1.996154,-1.958598,0.506993,0.061266,-0.000390,-0.002270,0.603492,0.138931,-0.017480,3.507054,0.766693,0.097251,3.354262,1.482891,-0.416728,0.999939,0.007228,0.003286,0.007643,-0.009751,-0.003177,-0.008505
0.280000,-1.995510,-1.958595,0.506969,0.067477,0.001038,-0.002440,0.638723,0.146672,-0.016528,3.538338,0.781612,0.093167,2.897705,1.489385,-0.400124,0.999940,0.007180,0.003270,0.007600,-0.009685,-0.003161,-0.008458
0.290000,-1.994803,-1.958577,0.506944,0.074041,0.002544,-0.002600,0.674243,0.154562,-0.015616,3.564922,0.796278,0.089246,2.415351,1.435076,-0.384182,0.999941,0.007131,0.003255,0.007558,-0.009619,-0.003145,-0.008411
0.300000,-1.994028,-1.958544,0.506917,0.080962,0.004129,-0.002752,0.710005,0.162595,-0.014743,3.586584,0.810166,0.085481,1.914711,1.336385,-0.368877,0.999941,0.007082,0.003239,0.007515,-0.009553,-0.003130,-0.008363
0.310000,-1.993183,-1.958494,0.506889,0.088242,0.005797,-0.002895,0.745943,0.170720,-0.013906,3.601824,0.819081,0.081865,1.437552,1.306506,-0.354141,0.999942,0.007035,0.003223,0.007474,-0.009490,-0.003115,-0.008317
