time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.232483,0.043828,0.971613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.840291
0.010000,0.232484,0.043829,0.971612,-0.000001,0.000003,0.000000,-0.000484,0.001248,0.000153,0.840313
0.020000,0.232486,0.043829,0.971612,-0.000015,0.000040,0.000004,-0.002465,0.006552,0.000698,0.840406
0.030000,0.232488,0.043830,0.971611,-0.000056,0.000148,0.000016,-0.005802,0.015497,0.001610,0.840562
0.040000,0.232490,0.043831,0.971611,-0.000136,0.000362,0.000038,-0.010359,0.027689,0.002868,0.840777
0.050000,0.232491,0.043831,0.971610,-0.000267,0.000713,0.000074,-0.016008,0.042750,0.004450,0.841044
0.060000,0.232516,0.043841,0.971604,-0.000459,0.001227,0.000128,-0.022626,0.060324,0.006336,0.841360
0.070000,0.232541,0.043851,0.971597,-0.000723,0.001927,0.000202,-0.030095,0.080068,0.008505,0.841720
0.080000,0.232566,0.043861,0.971591,-0.001064,0.002835,0.000299,-0.038303,0.101662,0.010937,0.842120
0.090000,0.232591,0.043872,0.971585,-0.001491,0.003967,0.000421,-0.047144,0.124798,0.013615,0.842557
0.100000,0.232616,0.043882,0.971578,-0.002009,0.005337,0.000572,-0.056517,0.149189,0.016519,0.843027
0.110000,0.232714,0.043922,0.971553,-0.002623,0.006955,0.000753,-0.066325,0.174561,0.019632,0.843530
0.120000,0.232812,0.043961,0.971528,-0.003337,0.008831,0.000965,-0.076478,0.200658,0.022938,0.844061
0.130000,0.232910,0.044001,0.971502,-0.004154,0.010971,0.001212,-0.086890,0.227237,0.026418,0.844621
0.140000,0.233008,0.044041,0.971477,-0.005076,0.013378,0.001494,-0.097480,0.254072,0.030058,0.845206
0.150000,0.233106,0.044081,0.971452,-0.006104,0.016053,0.001814,-0.108171,0.280950,0.033842,0.845815
0.160000,0.233306,0.044163,0.971400,-0.007240,0.018997,0.002172,-0.118891,0.307672,0.037756,0.846448
0.170000,0.233470,0.044231,0.971357,-0.008482,0.022207,0.002569,-0.129573,0.334054,0.041784,0.847103
0.180000,0.233652,0.044306,0.971310,-0.009831,0.025678,0.003008,-0.140154,0.359924,0.045914,0.847780
0.190000,0.233903,0.044409,0.971245,-0.011285,0.029404,0.003488,-0.150575,0.385123,0.050132,0.848477
