time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.477452,-1.626688,-1.469954,-0.009496,0.001672,-0.003083,0.223787,-0.363418,0.008541,-8.511437,8.958495,-0.056037,240.536148,-108.686328,11.516723,-0.037051,-0.022828,0.000000,0.911982,0.867467,0.000000
0.010000,-2.477537,-1.626688,-1.469984,-0.007646,-0.001531,-0.002998,0.150060,-0.278953,0.008537,-6.296234,7.965266,0.053256,203.171562,-90.299227,10.353375,-0.028449,-0.015309,0.000000,0.811474,0.641883,-0.000000
0.020000,-2.477607,-1.626716,-1.470014,-0.006427,-0.003937,-0.002908,0.096683,-0.203534,0.009569,-4.435007,7.145882,0.151256,169.706762,-73.900435,9.257713,-0.020764,-0.009865,0.000000,0.728377,0.452238,-0.000000
0.030000,-2.477667,-1.626764,-1.470042,-0.005655,-0.005627,-0.002804,0.060307,-0.135520,0.011527,-2.889787,6.480968,0.238629,139.935563,-59.388331,8.227556,-0.013830,-0.006155,0.000000,0.660925,0.294733,-0.000000
0.040000,-2.477721,-1.626826,-1.470070,-0.005175,-0.006667,-0.002675,0.037953,-0.073461,0.014308,-1.624671,5.952166,0.316019,113.651776,-46.661290,7.260727,-0.007499,-0.003874,0.000000,0.607345,0.165723,0.000000
0.050000,-2.477771,-1.626896,-1.470096,-0.004858,-0.007111,-0.002515,0.026993,-0.016081,0.017816,-0.605814,5.542131,0.384047,90.649213,-35.617690,6.355047,-0.001642,-0.002757,0.000000,0.565907,0.061758,-0.000000
0.060000,-2.477818,-1.626967,-1.470120,-0.004604,-0.007001,-0.002317,0.025122,0.037723,0.021960,0.198564,5.234539,0.443316,70.721687,-26.155909,5.508338,0.003854,-0.002567,0.000000,0.534954,-0.020402,0.000000
0.070000,-2.477863,-1.627034,-1.470142,-0.004332,-0.006366,-0.002074,0.030348,0.088900,0.026655,0.818183,5.014079,0.494403,53.663010,-18.174323,4.718420,0.009087,-0.003102,0.000000,0.512924,-0.083783,0.000000
0.080000,-2.477904,-1.627092,-1.470161,-0.003980,-0.005229,-0.001782,0.040963,0.138248,0.031822,1.280700,4.866457,0.537867,39.266994,-11.571310,3.983116,0.014137,-0.004189,0.000000,0.498351,-0.131190,0.000000
0.090000,-2.477942,-1.627137,-1.470177,-0.003500,-0.003605,-0.001436,0.055524,0.186428,0.037389,1.611711,4.778396,0.574241,27.327453,-6.245246,3.300246,0.019074,-0.005682,0.000000,0.489875,-0.165220,-0.000000
