time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.781310,-2.167609,-1.479341,-0.008519,0.000014,-0.003143,0.071613,-0.132675,0.000043,2.297641,-4.855379,0.032535,-107.917650,169.742653,1.612871,-0.013523,-0.007300,0.000000,-0.494862,-0.234205,0.000000
0.010000,-2.781395,-2.167609,-1.479372,-0.007803,-0.001313,-0.003143,0.094589,-0.181228,0.000368,1.218464,-3.157952,0.048664,-200.727105,368.708802,0.278115,-0.018472,-0.009642,0.000000,-0.321868,-0.124226,0.000000
0.020000,-2.781466,-2.167635,-1.479404,-0.006627,-0.003611,-0.003136,0.095982,-0.195834,0.001016,-1.716901,2.518797,0.038097,-205.770525,469.730521,-4.331195,-0.019961,-0.009785,0.000000,0.256558,0.174944,0.000000
0.030000,-2.781527,-2.167681,-1.479435,-0.005883,-0.005230,-0.003122,0.060251,-0.130852,0.001130,-2.896946,6.236658,-0.037960,2.273181,162.567829,-8.379751,-0.013339,-0.006142,0.000000,0.635721,0.295326,-0.000000
0.040000,-2.781583,-2.167740,-1.479466,-0.005422,-0.006228,-0.003113,0.038043,-0.071100,0.000257,-1.671438,5.770154,-0.129498,110.664273,-41.380072,-8.465536,-0.007248,-0.003878,0.000000,0.588262,0.170430,0.000000
0.050000,-2.781636,-2.167805,-1.479497,-0.005122,-0.006652,-0.003117,0.026822,-0.015449,-0.001460,-0.683661,5.409057,-0.207271,88.424148,-31.560361,-7.148533,-0.001575,-0.002734,0.000000,0.551329,0.069737,0.000000
0.060000,-2.781686,-2.167873,-1.479528,-0.004886,-0.006537,-0.003142,0.024370,0.037081,-0.003888,0.097045,5.138947,-0.272468,69.150540,-23.138164,-5.947207,0.003778,-0.002483,0.000000,0.523526,-0.009819,-0.000000
0.070000,-2.781733,-2.167936,-1.479560,-0.004635,-0.005910,-0.003195,0.028763,0.087330,-0.006909,0.699350,4.946293,-0.326215,52.644332,-16.024469,-4.855189,0.008896,-0.002930,0.000000,0.503515,-0.071139,-0.000000
0.080000,-2.781778,-2.167991,-1.479592,-0.004310,-0.004790,-0.003280,0.038357,0.136007,-0.010413,1.149932,4.818457,-0.369572,38.706380,-10.130245,-3.866109,0.013848,-0.003906,0.000000,0.490032,-0.116936,0.000000
0.090000,-2.781820,-2.168032,-1.479626,-0.003868,-0.003190,-0.003403,0.051762,0.183699,-0.014300,1.473478,4.743689,-0.403537,27.137587,-5.366489,-2.973587,0.018696,-0.005269,0.000000,0.481895,-0.149736,-0.000000
0.100000,-2.781856,-2.168055,-1.479660,-0.003275,-0.001116,-0.003566,0.067827,0.230880,-0.018483,1.692684,4.711127,-0.429044,17.738866,-1.644204,-2.171239,0.023486,-0.006901,0.000000,0.478006,-0.171865,-0.000000
0.110000,-2.781885,-2.168054,-1.479697,-0.002511,0.001428,-0.003773,0.085616,0.277921,-0.022881,1.828255,4.710804,-0.446962,10.311079,1.125649,-1.452706,0.028256,-0.008707,0.000000,0.477357,-0.185449,0.000000
0.120000,-2.781906,-2.168026,-1.479736,-0.001563,0.004442,-0.004024,0.104392,0.325096,-0.027423,1.898905,4.733640,-0.458098,4.655031,3.032066,-0.811627,0.033033,-0.010611,0.000000,0.479031,-0.192408,-0.000000
0.130000,-2.781916,-2.167966,-1.479778,-0.000423,0.007929,-0.004321,0.123594,0.372594,-0.032043,1.921356,4.771446,-0.463194,0.571639,4.164050,-0.241617,0.037836,-0.012557,0.000000,0.482199,-0.194458,-0.000000
0.140000,-2.781914,-2.167868,-1.479822,0.000909,0.011894,-0.004665,0.142819,0.420525,-0.036686,1.910338,4.816921,-0.462930,-2.138000,4.610700,0.263729,0.042677,-0.014503,0.000000,0.486127,-0.193110,0.000000
0.150000,-2.781898,-2.167728,-1.479871,0.002433,0.016340,-0.005055,0.161801,0.468933,-0.041302,1.878596,4.863660,-0.457920,-3.673179,4.460969,0.710754,0.047559,-0.016423,0.000000,0.490170,-0.189666,0.000000
0.160000,-2.781866,-2.167541,-1.479923,0.004145,0.021273,-0.005491,0.180391,0.517799,-0.045845,1.836874,4.906141,-0.448715,-4.233265,3.803767,1.105792,0.052480,-0.018301,0.000000,0.493774,-0.185223,0.000000
0.170000,-2.781815,-2.167302,-1.479981,0.006041,0.026696,-0.005972,0.198538,0.567055,-0.050276,1.793930,4.939735,-0.435804,-4.048110,2.738192,1.456396,0.057434,-0.020132,0.000000,0.496480,-0.180673,-0.000000
0.180000,-2.781745,-2.167007,-1.480043,0.008116,0.032614,-0.006497,0.216269,0.616593,-0.054561,1.755912,4.960905,-0.419587,-3.859255,1.527321,1.788735,0.062410,-0.021920,0.000000,0.497936,-0.176640,-0.000000
0.190000,-2.781653,-2.166650,-1.480111,0.010366,0.039028,-0.007063,0.233656,0.666274,-0.058668,1.716745,4.970282,-0.400029,-3.678439,0.199896,2.102303,0.067393,-0.023672,0.000000,0.498220,-0.172510,0.000000
