time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-3.462680,0.000000,0.000000,-3.704427,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-3.459556,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885905,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000048,-0.019268,0.000073,-0.000006,-0.018790,0.000001,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000047,-0.012574,-0.000034,-0.000000,-0.012830,0.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000109,0.000011,0.000074,-0.030443,0.000001,0.000001,-0.031581
0.010000,-3.462679,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459555,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885905,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000048,-0.019267,0.000072,-0.000006,-0.018790,0.000001,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000046,-0.012573,-0.000033,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.000010,0.000075,-0.030441,0.000001,0.000001,-0.031581
0.020000,-3.462678,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459554,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885904,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000047,-0.019267,0.000071,-0.000006,-0.018790,0.000001,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000046,-0.012573,-0.000033,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.000009,0.000075,-0.030440,0.000000,0.000000,-0.031581
0.030000,-3.462677,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459553,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885904,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000047,-0.019266,0.000071,-0.000006,-0.018790,0.000002,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000045,-0.012572,-0.000033,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.000009,0.000074,-0.030438,0.000000,0.000000,-0.031581
0.040000,-3.462676,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459552,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885904,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,-0.019265,0.000070,-0.000006,-0.018790,0.000002,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000045,-0.012571,-0.000033,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000108,0.000009,0.000074,-0.030436,0.000000,0.000000,-0.031581
0.050000,-3.462675,0.000000,0.000000,-3.704427,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-3.459551,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885904,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,-0.019264,0.000070,-0.000006,-0.018790,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000045,-0.012571,-0.000033,-0.000001,-0.012830,0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000108,0.000008,0.000074,-0.030435,-0.000000,0.000000,-0.031581
0.060000,-3.462674,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459550,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885903,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,-0.019264,0.000069,-0.000006,-0.018790,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000044,-0.012570,-0.000033,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000107,0.000008,0.000074,-0.030433,-0.000000,0.000000,-0.031581
0.070000,-3.462673,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459549,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885903,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,-0.019263,0.000069,-0.000006,-0.018790,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000044,-0.012570,-0.000032,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000107,0.000008,0.000073,-0.030431,-0.000000,0.000000,-0.031581
0.080000,-3.462672,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459548,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885903,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,-0.019262,0.000069,-0.000006,-0.018790,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000044,-0.012569,-0.000032,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000106,0.000008,0.000073,-0.030430,-0.000000,0.000000,-0.031581
0.090000,-3.462671,0.000000,0.000000,-3.704427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.459547,0.000000,0.000000,-3.701271,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885902,0.000000,0.000000,-1.108857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000045,-0.019261,0.000068,-0.000006,-0.018790,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000044,-0.012568,-0.000032,-0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000106,0.000008,0.000072,-0.030428,-0.000000,0.000000,-0.031581
