time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,-1.989171,-2.521279,0.498341,0.001668,-0.009498,0.003082,-0.363386,0.223773,-0.008362,9.043034,-8.480030,0.022819,-151.908902,223.613150,0.083055,0.999989,0.002748,-0.000169,-0.003918,-0.007105,-0.010467,0.000357
0.010000,-1.989171,-2.521365,0.498372,-0.001538,-0.007648,0.003000,-0.280166,0.149539,-0.008131,7.638508,-6.426591,0.023494,-129.366722,187.731378,0.052534,0.999989,0.002723,-0.000197,-0.003908,-0.005283,-0.005898,0.001847
0.020000,-1.989199,-2.521435,0.498401,-0.003979,-0.006444,0.002919,-0.209901,0.094110,-0.007894,6.448467,-4.712608,0.023883,-108.994389,155.687981,0.025854,0.999989,0.002696,-0.000226,-0.003899,-0.004108,-0.002966,0.002796
0.030000,-1.989248,-2.521495,0.498430,-0.005773,-0.005714,0.002842,-0.150552,0.054280,-0.007654,5.451738,-3.300720,0.024023,-90.686630,127.277950,0.002792,0.999989,0.002670,-0.000255,-0.003890,-0.003388,-0.001188,0.003365
0.040000,-1.989312,-2.521550,0.498458,-0.007020,-0.005316,0.002766,-0.100289,0.027206,-0.007414,4.628203,-2.155621,0.023950,-74.338169,102.296272,-0.016871,0.999989,0.002646,-0.000279,-0.003879,-0.002978,-0.000193,0.003674
0.050000,-1.989387,-2.521602,0.498485,-0.007803,-0.005136,0.002693,-0.057475,0.010389,-0.007175,3.958795,-1.244050,0.023696,-59.843734,80.537939,-0.033358,0.999989,0.002625,-0.000296,-0.003866,-0.002768,0.000295,0.003817
0.060000,-1.989467,-2.521653,0.498512,-0.008190,-0.005082,0.002623,-0.020659,0.001651,-0.006940,3.425499,-0.534801,0.023293,-47.098049,61.797939,-0.046889,0.999989,0.002607,-0.000303,-0.003850,-0.002680,0.000477,0.003858
0.070000,-1.989550,-2.521704,0.498538,-0.008232,-0.005082,0.002555,0.011433,-0.000884,-0.006710,3.011356,0.001286,0.022768,-35.995842,45.871261,-0.057685,0.999989,0.002593,-0.000303,-0.003831,-0.002658,0.000491,0.003844
0.080000,-1.989631,-2.521755,0.498563,-0.007973,-0.005084,0.002489,0.039912,0.001190,-0.006485,2.700455,0.391319,0.022147,-26.431837,32.552896,-0.065966,0.999989,0.002581,-0.000298,-0.003811,-0.002666,0.000432,0.003806
0.090000,-1.989708,-2.521805,0.498588,-0.007443,-0.005048,0.002425,0.065736,0.006539,-0.006267,2.477943,0.660355,0.021456,-18.300761,21.637834,-0.071955,0.999989,0.002569,-0.000292,-0.003791,-0.002681,0.000354,0.003763
0.100000,-1.989779,-2.521855,0.498612,-0.006664,-0.004946,0.002363,0.089719,0.014071,-0.006056,2.330015,0.831403,0.020715,-11.497340,12.921063,-0.075871,0.999990,0.002556,-0.000288,-0.003772,-0.002692,0.000290,0.003724
0.110000,-1.989841,-2.521904,0.498635,-0.005652,-0.004762,0.002304,0.112542,0.022911,-0.005853,2.243921,0.925420,0.019945,-5.916299,6.197572,-0.077935,0.999990,0.002543,-0.000287,-0.003753,-0.002693,0.000251,0.003693
0.120000,-1.989891,-2.521950,0.498658,-0.004415,-0.004486,0.002246,0.134765,0.032386,-0.005658,2.207965,0.961315,0.019162,-1.452365,1.262353,-0.078370,0.999990,0.002530,-0.000286,-0.003735,-0.002683,0.000237,0.003671
0.130000,-1.989928,-2.521993,0.498680,-0.002957,-0.004114,0.002190,0.156833,0.042000,-0.005470,2.211501,0.955945,0.018382,1.999736,-2.089606,-0.077395,0.999990,0.002516,-0.000284,-0.003716,-0.002666,0.000244,0.003655
0.140000,-1.989950,-2.522032,0.498701,-0.001278,-0.003646,0.002137,0.179094,0.051417,-0.005290,2.244938,0.924117,0.017618,4.545279,-4.063316,-0.075231,0.999990,0.002503,-0.000283,-0.003698,-0.002645,0.000262,0.003644
