time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.233813,-0.058915,0.970495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.844061
0.010000,0.233814,-0.058914,0.970495,-0.000001,0.000003,0.000001,-0.000481,0.001171,0.000305,0.844074
0.020000,0.233816,-0.058914,0.970494,-0.000015,0.000037,0.000009,-0.002455,0.006134,0.001469,0.844121
0.030000,0.233817,-0.058913,0.970494,-0.000055,0.000138,0.000033,-0.005780,0.014505,0.003424,0.844202
0.040000,0.233819,-0.058912,0.970494,-0.000135,0.000339,0.000080,-0.010322,0.025914,0.006107,0.844315
0.050000,0.233821,-0.058911,0.970493,-0.000266,0.000667,0.000158,-0.015950,0.040013,0.009457,0.844457
0.060000,0.233845,-0.058901,0.970488,-0.000458,0.001148,0.000272,-0.022541,0.056466,0.013416,0.844628
0.070000,0.233868,-0.058890,0.970483,-0.000720,0.001804,0.000428,-0.029977,0.074957,0.017926,0.844827
0.080000,0.233892,-0.058879,0.970478,-0.001060,0.002654,0.000632,-0.038148,0.095186,0.022934,0.845053
0.090000,0.233916,-0.058868,0.970473,-0.001485,0.003714,0.000888,-0.046946,0.116868,0.028389,0.845306
0.100000,0.233940,-0.058858,0.970468,-0.002001,0.004996,0.001201,-0.056270,0.139732,0.034243,0.845586
0.110000,0.234033,-0.058815,0.970448,-0.002612,0.006512,0.001574,-0.066025,0.163525,0.040447,0.845892
0.120000,0.234127,-0.058773,0.970428,-0.003323,0.008270,0.002011,-0.076120,0.188006,0.046958,0.846225
0.130000,0.234220,-0.058730,0.970408,-0.004136,0.010275,0.002515,-0.086470,0.212950,0.053733,0.846583
0.140000,0.234314,-0.058687,0.970388,-0.005053,0.012531,0.003087,-0.096994,0.238144,0.060732,0.846967
0.150000,0.234408,-0.058645,0.970368,-0.006077,0.015039,0.003730,-0.107616,0.263389,0.067917,0.847377
0.160000,0.234598,-0.058557,0.970327,-0.007206,0.017799,0.004446,-0.118265,0.288501,0.075251,0.847812
0.170000,0.234755,-0.058485,0.970293,-0.008442,0.020809,0.005236,-0.128873,0.313305,0.082701,0.848272
0.180000,0.234929,-0.058406,0.970256,-0.009784,0.024064,0.006100,-0.139379,0.337641,0.090233,0.848758
0.190000,0.235169,-0.058295,0.970205,-0.011229,0.027560,0.007041,-0.149724,0.361360,0.097817,0.849267
0.200000,0.235524,-0.058131,0.970129,-0.012778,0.031290,0.008057,-0.159854,0.384323,0.105425,0.849801
0.210000,0.235785,-0.058009,0.970072,-0.014426,0.035245,0.009149,-0.169718,0.406406,0.113029,0.850359
0.220000,0.236142,-0.057843,0.969995,-0.016171,0.039415,0.010317,-0.179270,0.427490,0.120604,0.850940
0.230000,0.236575,-0.057641,0.969902,-0.018010,0.043792,0.011561,-0.188468,0.447472,0.128126,0.851543
0.240000,0.237061,-0.057413,0.969797,-0.019939,0.048362,0.012880,-0.197272,0.466255,0.135572,0.852169
0.250000,0.237582,-0.057168,0.969684,-0.021955,0.053113,0.014272,-0.205647,0.483754,0.142922,0.852816
0.260000,0.238133,-0.056907,0.969564,-0.024051,0.058033,0.015738,-0.213561,0.499892,0.150158,0.853483
0.270000,0.238729,-0.056624,0.969434,-0.026224,0.063107,0.017275,-0.220983,0.514602,0.157260,0.854170
0.280000,0.239373,-0.056318,0.969293,-0.028469,0.068320,0.018883,-0.227889,0.527824,0.164212,0.854877
0.290000,0.240070,-0.055985,0.969140,-0.030781,0.073659,0.020559,-0.234256,0.539507,0.171000,0.855601
0.300000,0.240824,-0.055622,0.968974,-0.033153,0.079106,0.022302,-0.240063,0.549609,0.177608,0.856342
0.310000,0.241632,-0.055232,0.968795,-0.035580,0.084646,0.024111,-0.245293,0.558094,0.184026,0.857099
0.320000,0.242494,-0.054815,0.968603,-0.038057,0.090263,0.025982,-0.249932,0.564934,0.190240,0.857872
0.330000,0.243409,-0.054369,0.968399,-0.040577,0.095939,0.027915,-0.253968,0.570109,0.196242,0.858658
0.340000,0.244380,-0.053895,0.968181,-0.043134,0.101660,0.029906,-0.257390,0.573603,0.202020,0.859457
0.350000,0.245408,-0.053388,0.967949,-0.045723,0.107406,0.031954,-0.260191,0.575409,0.207568,0.860268
0.360000,0.246494,-0.052851,0.967702,-0.048336,0.113163,0.034057,-0.262368,0.575524,0.212878,0.861089
0.370000,0.247636,-0.052284,0.967441,-0.050968,0.118912,0.036211,-0.263916,0.573952,0.217943,0.861919
0.380000,0.248834,-0.051686,0.967166,-0.053612,0.124636,0.038415,-0.264834,0.570702,0.222759,0.862757
0.390000,0.250087,-0.051056,0.966876,-0.056263,0.130320,0.040666,-0.265125,0.565788,0.227320,0.863602
0.400000,0.251393,-0.050395,0.966572,-0.058913,0.135947,0.042961,-0.264790,0.559230,0.231624,0.864452
0.410000,0.252755,-0.049701,0.966253,-0.061557,0.141500,0.045297,-0.263835,0.551050,0.235667,0.865306
0.420000,0.254173,-0.048975,0.965918,-0.064188,0.146963,0.047673,-0.262265,0.541276,0.239446,0.866164
0.430000,0.255644,-0.048218,0.965568,-0.066800,0.152320,0.050085,-0.260088,0.529942,0.242961,0.867022
0.440000,0.257165,-0.047430,0.965203,-0.069388,0.157557,0.052531,-0.257314,0.517081,0.246211,0.867881
0.450000,0.258732,-0.046610,0.964824,-0.071945,0.162657,0.055009,-0.253953,0.502733,0.249196,0.868738
0.460000,0.260348,-0.045758,0.964430,-0.074465,0.167607,0.057515,-0.250018,0.486941,0.251916,0.869593
0.470000,0.262017,-0.044873,0.964019,-0.076943,0.172392,0.060046,-0.245520,0.469750,0.254372,0.870444
0.480000,0.263731,-0.043958,0.963594,-0.079374,0.176998,0.062601,-0.240476,0.451209,0.256566,0.871289
0.490000,0.265487,-0.043013,0.963154,-0.081751,0.181412,0.065177,-0.234899,0.431368,0.258500,0.872128
0.500000,0.267278,-0.042039,0.962702,-0.084070,0.185621,0.067770,-0.228806,0.410280,0.260177,0.872959
0.510000,0.269109,-0.041034,0.962235,-0.086325,0.189613,0.070379,-0.222214,0.388001,0.261599,0.873781
0.520000,0.270983,-0.039999,0.961753,-0.088513,0.193377,0.073002,-0.215142,0.364587,0.262770,0.874592
0.530000,0.272893,-0.038934,0.961256,-0.090627,0.196902,0.075634,-0.207607,0.340098,0.263693,0.875391
0.540000,0.274833,-0.037842,0.960747,-0.092663,0.200176,0.078275,-0.199629,0.314594,0.264373,0.876177
0.550000,0.276794,-0.036725,0.960227,-0.094618,0.203190,0.080921,-0.191228,0.288136,0.264815,0.876949
0.560000,0.278783,-0.035580,0.959695,-0.096487,0.205936,0.083570,-0.182424,0.260787,0.265022,0.877705
0.570000,0.280804,-0.034407,0.959148,-0.098265,0.208403,0.086220,-0.173239,0.232610,0.265001,0.878445
0.580000,0.282848,-0.033209,0.958590,-0.099950,0.210586,0.088869,-0.163693,0.203670,0.264755,0.879166
0.590000,0.284907,-0.031986,0.958021,-0.101538,0.212475,0.091515,-0.153809,0.174033,0.264292,0.879868
0.600000,0.286973,-0.030743,0.957445,-0.103025,0.214064,0.094155,-0.143607,0.143762,0.263615,0.880550
0.610000,0.289051,-0.029477,0.956860,-0.104409,0.215348,0.096786,-0.133111,0.112924,0.262732,0.881210
0.620000,0.291147,-0.028187,0.956263,-0.105687,0.216321,0.099409,-0.122342,0.081584,0.261648,0.881849
0.630000,0.293253,-0.026874,0.955657,-0.106855,0.216978,0.102019,-0.111324,0.049807,0.260369,0.882463
0.640000,0.295357,-0.025543,0.955045,-0.107912,0.217316,0.104615,-0.100077,0.017660,0.258902,0.883053
0.650000,0.297452,-0.024197,0.954430,-0.108856,0.217330,0.107196,-0.088625,-0.014793,0.257252,0.883618
0.660000,0.299544,-0.022832,0.953809,-0.109684,0.217019,0.109760,-0.076991,-0.047488,0.255427,0.884156
0.670000,0.301638,-0.021448,0.953181,-0.110395,0.216380,0.112304,-0.065196,-0.080360,0.253432,0.884668
0.680000,0.303726,-0.020047,0.952549,-0.110988,0.215411,0.114828,-0.053262,-0.113347,0.251274,0.885151
0.690000,0.305796,-0.018633,0.951915,-0.111460,0.214113,0.117329,-0.041213,-0.146386,0.248960,0.885605
0.700000,0.307841,-0.017210,0.951282,-0.111812,0.212484,0.119807,-0.029070,-0.179415,0.246495,0.886030
0.710000,0.309866,-0.015774,0.950649,-0.112041,0.210525,0.122259,-0.016853,-0.212374,0.243887,0.886425
0.720000,0.311878,-0.014323,0.950014,-0.112148,0.208237,0.124684,-0.004586,-0.245203,0.241142,0.886789
0.730000,0.313867,-0.012862,0.949380,-0.112133,0.205621,0.127081,0.007712,-0.277846,0.238267,0.887122
0.740000,0.315823,-0.011393,0.948750,-0.111994,0.202680,0.129449,0.020020,-0.310244,0.235267,0.887423
0.750000,0.317738,-0.009921,0.948127,-0.111732,0.199417,0.131786,0.032316,-0.342343,0.232149,0.887691
0.760000,0.319618,-0.008442,0.947509,-0.111348,0.195835,0.134091,0.044583,-0.374088,0.228919,0.887927
0.770000,0.321467,-0.006955,0.946895,-0.110841,0.191937,0.136364,0.056799,-0.405428,0.225584,0.888129
0.780000,0.323279,-0.005463,0.946288,-0.110212,0.187727,0.138603,0.068946,-0.436310,0.222150,0.888298
0.790000,0.325044,-0.003970,0.945691,-0.109462,0.183212,0.140807,0.081006,-0.466687,0.218622,0.888433
0.800000,0.326752,-0.002479,0.945107,-0.108592,0.178395,0.142975,0.092961,-0.496510,0.215007,0.888534
0.810000,0.328410,-0.000988,0.944535,-0.107603,0.173284,0.145106,0.104792,-0.525734,0.211310,0.888601
0.820000,0.330024,0.000505,0.943972,-0.106497,0.167883,0.147201,0.116483,-0.554315,0.207536,0.888633
0.830000,0.331585,0.001997,0.943423,-0.105274,0.162199,0.149257,0.128018,-0.582211,0.203693,0.888632
0.840000,0.333086,0.003484,0.942890,-0.103937,0.156241,0.151274,0.139381,-0.609381,0.199784,0.888595
0.850000,0.334518,0.004963,0.942376,-0.102487,0.150014,0.153252,0.150556,-0.635787,0.195815,0.888525
0.860000,0.335887,0.006436,0.941880,-0.100927,0.143528,0.155191,0.161530,-0.661393,0.191791,0.888420
0.870000,0.337198,0.007905,0.941401,-0.099257,0.136789,0.157088,0.172287,-0.686164,0.187718,0.888281
0.880000,0.338444,0.009367,0.940940,-0.097482,0.129807,0.158945,0.182815,-0.710068,0.183600,0.888108
0.890000,0.339618,0.010819,0.940501,-0.095602,0.122590,0.160760,0.193101,-0.733075,0.179442,0.887902
0.900000,0.340713,0.012256,0.940087,-0.093620,0.115148,0.162533,0.203132,-0.755155,0.175248,0.887662
0.910000,0.341734,0.013682,0.939697,-0.091540,0.107490,0.164265,0.212898,-0.776282,0.171023,0.887389
0.920000,0.342684,0.015098,0.939329,-0.089363,0.099626,0.165954,0.222387,-0.796431,0.166772,0.887084
0.930000,0.343560,0.016501,0.938986,-0.087093,0.091565,0.167600,0.231590,-0.815581,0.162497,0.886746
0.940000,0.344354,0.017888,0.938669,-0.084732,0.083318,0.169204,0.240496,-0.833710,0.158204,0.886377
0.950000,0.345062,0.019256,0.938382,-0.082284,0.074894,0.170764,0.249097,-0.850800,0.153896,0.885976
0.960000,0.345687,0.020606,0.938124,-0.079751,0.066305,0.172282,0.257385,-0.866834,0.149576,0.885545
0.970000,0.346232,0.021941,0.937892,-0.077137,0.057561,0.173756,0.265352,-0.881798,0.145249,0.885084
0.980000,0.346693,0.023259,0.937690,-0.074445,0.048673,0.175186,0.272991,-0.895679,0.140917,0.884593
0.990000,0.347067,0.024555,0.937519,-0.071679,0.039651,0.176574,0.280296,-0.908466,0.136584,0.884074
1.000000,0.347350,0.025827,0.937380,-0.068841,0.030507,0.177918,0.287262,-0.920151,0.132253,0.883526
1.010000,0.347543,0.027078,0.937273,-0.065935,0.021251,0.179219,0.293883,-0.930726,0.127926,0.882951
1.020000,0.347649,0.028308,0.937197,-0.062964,0.011896,0.180477,0.300155,-0.940185,0.123607,0.882350
