time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.524055,-1.639572,-1.462297,0.013508,-0.008098,-0.003815,-0.289867,0.148118,0.022827,-10.853305,5.262906,0.685619,330.695246,-179.161946,-38.707778,0.015126,0.029608,0.000000,0.537939,1.109906,0.000000
0.010000,-2.523920,-1.639653,-1.462335,0.010609,-0.006617,-0.003587,-0.398400,0.200747,0.029684,-7.546353,3.471287,0.298541,736.760694,-368.000881,-68.914470,0.020506,0.040712,0.000000,0.354464,0.771387,0.000000
0.020000,-2.523843,-1.639704,-1.462369,0.005540,-0.004083,-0.003221,-0.440794,0.217543,0.028798,3.881909,-2.097111,-0.692670,921.344263,-407.961487,-68.286151,0.022215,0.045035,0.000000,-0.215252,-0.399156,-0.000000
0.030000,-2.523809,-1.639734,-1.462400,0.001793,-0.002266,-0.003011,-0.320762,0.158805,0.015830,10.880533,-4.687943,-1.067182,247.278404,-21.006828,2.175125,0.016204,0.032739,0.000000,-0.479439,-1.113148,-0.000000
0.040000,-2.523807,-1.639749,-1.462429,-0.000876,-0.000907,-0.002905,-0.223184,0.123785,0.007455,8.827477,-2.517248,-0.649168,-187.191220,198.122114,37.924536,0.012624,0.022764,0.000000,-0.257265,-0.901498,-0.000000
0.050000,-2.523827,-1.639753,-1.462458,-0.002671,0.000210,-0.002862,-0.144213,0.108460,0.002847,7.136708,-0.725501,-0.308691,-153.131052,162.501025,30.648240,0.011058,0.014704,0.000000,-0.074189,-0.727965,0.000000
0.060000,-2.523861,-1.639745,-1.462486,-0.003760,0.001263,-0.002848,-0.080449,0.109275,0.001281,5.764856,0.732773,-0.036203,-123.276649,131.284583,24.296627,0.011140,0.008202,0.000000,0.074707,-0.587682,0.000000
0.070000,-2.523902,-1.639727,-1.462515,-0.004280,0.002396,-0.002836,-0.028915,0.123115,0.002123,4.671175,1.900191,0.177241,-97.365337,104.187310,18.809406,0.012552,0.002948,0.000000,0.193954,-0.476173,0.000000
0.080000,-2.523946,-1.639697,-1.462543,-0.004338,0.003725,-0.002805,0.012974,0.147278,0.004826,3.817549,2.816519,0.339985,-75.134391,80.923713,14.126262,0.015019,-0.001323,0.000000,0.287696,-0.389342,0.000000
0.090000,-2.523989,-1.639653,-1.462571,-0.004020,0.005341,-0.002740,0.047436,0.179445,0.008922,3.168487,3.518665,0.459767,-56.321162,61.208319,10.186918,0.018306,-0.004840,0.000000,0.359713,-0.323445,0.000000
0.100000,-2.524027,-1.639590,-1.462598,-0.003389,0.007314,-0.002627,0.076344,0.217652,0.014021,2.691126,4.040685,0.543723,-40.663025,44.755661,6.931116,0.022214,-0.007793,0.000000,0.413453,-0.275065,0.000000
0.110000,-2.524057,-1.639507,-1.462623,-0.002493,0.009694,-0.002459,0.101258,0.260259,0.019797,2.355227,4.413778,0.598389,-27.897240,31.280247,4.298533,0.026576,-0.010342,0.000000,0.452051,-0.241091,-0.000000
0.120000,-2.524076,-1.639397,-1.462647,-0.001364,0.012519,-0.002231,0.123448,0.305927,0.025989,2.133181,4.666290,0.629694,-17.761137,20.496589,2.228839,0.031255,-0.012617,0.000000,0.478351,-0.218698,-0.000000
0.130000,-2.524084,-1.639256,-1.462668,-0.000024,0.015813,-0.001939,0.143922,0.353585,0.032391,2.000004,4.823710,0.642966,-9.992075,12.119218,0.661772,0.036143,-0.014718,0.000000,0.494910,-0.205339,0.000000
0.140000,-2.524077,-1.639080,-1.462686,0.001514,0.019591,-0.001583,0.163448,0.402402,0.038848,1.933340,4.908674,0.642929,-4.327292,5.862654,-0.462873,0.041154,-0.016726,0.000000,0.504011,-0.198739,-0.000000
0.150000,-2.524054,-1.638864,-1.462699,0.003245,0.023861,-0.001162,0.182588,0.451758,0.045249,1.913458,4.940963,0.633708,-0.504165,1.441417,-1.205467,0.046223,-0.018697,0.000000,0.507657,-0.196890,-0.000000
0.160000,-2.524012,-1.638603,-1.462709,0.005166,0.028626,-0.000678,0.201718,0.501221,0.051522,1.923256,4.937503,0.618820,1.739886,-1.429977,-1.626398,0.051307,-0.020668,0.000000,0.507570,-0.198051,-0.000000
0.170000,-2.523950,-1.638292,-1.462713,0.007279,0.033885,-0.000132,0.221054,0.550509,0.057626,1.948256,4.912364,0.601180,2.700566,-3.079431,-1.794821,0.056374,-0.022663,0.000000,0.505193,-0.200747,-0.000000
0.180000,-2.523866,-1.637925,-1.462711,0.009587,0.039636,0.000474,0.240683,0.599468,0.063546,1.977268,4.875914,0.582924,3.215597,-4.533696,-1.928135,0.061410,-0.024689,0.000000,0.501594,-0.203838,-0.000000
0.190000,-2.523759,-1.637499,-1.462704,0.012093,0.045874,0.001139,0.260599,0.648027,0.069284,2.012568,4.821690,0.562618,3.348735,-5.821924,-2.032378,0.066406,-0.026747,0.000000,0.496104,-0.207552,-0.000000
