time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.217184,-2.173872,-1.475166,0.016439,-0.010242,-0.000740,-0.718883,0.431646,-0.072998,18.324210,-14.291683,1.609034,-341.343689,400.831533,-36.492336,0.043533,0.072611,0.000000,-1.426672,-1.830840,0.000000
0.010000,-2.217053,-2.173955,-1.475176,0.010112,-0.006576,-0.001396,-0.551864,0.307777,-0.058639,15.161946,-10.578921,1.271929,-291.937949,342.709303,-31.022191,0.031129,0.055863,0.000000,-1.062603,-1.523664,0.000000
0.020000,-2.216977,-2.174007,-1.475193,0.005305,-0.003972,-0.001923,-0.414079,0.218228,-0.047386,12.469279,-7.418225,0.986764,-247.383738,290.368878,-26.099735,0.022115,0.041982,0.000000,-0.748142,-1.258234,0.000000
0.030000,-2.216943,-2.174037,-1.475214,0.001748,-0.002114,-0.002352,-0.301071,0.157761,-0.038748,10.198904,-4.753265,0.748203,-207.439628,243.512265,-21.696588,0.016010,0.030560,0.000000,-0.480556,-1.032134,0.000000
0.040000,-2.216939,-2.174051,-1.475240,-0.000786,-0.000736,-0.002706,-0.208843,0.121688,-0.032284,8.305925,-2.530693,0.551196,-171.864211,201.841449,-17.784430,0.012360,0.021216,0.000000,-0.256114,-0.842270,-0.000000
0.050000,-2.216956,-2.174052,-1.475268,-0.002486,0.000387,-0.003004,-0.133836,0.105841,-0.027602,6.747866,-0.700139,0.390978,-140.415638,165.058802,-14.334283,0.010757,0.013604,0.000000,-0.070627,-0.685219,0.000000
0.060000,-2.216986,-2.174043,-1.475300,-0.003510,0.001436,-0.003262,-0.072903,0.106537,-0.024357,5.484661,0.785784,0.263065,-112.852949,132.865940,-11.318389,0.010832,0.007413,0.000000,0.080225,-0.557442,0.000000
0.070000,-2.217024,-2.174023,-1.475334,-0.003982,0.002562,-0.003495,-0.023286,0.120556,-0.022247,4.478660,1.971486,0.163259,-88.934494,104.965041,-8.708091,0.012261,0.002368,0.000000,0.200698,-0.455431,0.000000
0.080000,-2.217064,-2.173991,-1.475370,-0.004005,0.003883,-0.003710,0.017410,0.145105,-0.021011,3.694629,2.898398,0.087646,-68.418787,81.058108,-6.474963,0.014759,-0.001771,0.000000,0.294879,-0.375787,-0.000000
0.090000,-2.217103,-2.173945,-1.475408,-0.003657,0.005491,-0.003917,0.051237,0.177790,-0.020425,3.099747,3.604968,0.032597,-51.064303,60.847098,-4.590553,0.018083,-0.005212,0.000000,0.366621,-0.315279,-0.000000
0.100000,-2.217136,-2.173880,-1.475448,-0.002997,0.007459,-0.004120,0.079934,0.216588,-0.020302,2.663604,4.126671,-0.005235,-36.630118,44.034505,-3.026623,0.022028,-0.008131,0.000000,0.419513,-0.270871,0.000000
0.110000,-2.217162,-2.173794,-1.475490,-0.002070,0.009838,-0.004324,0.104945,0.259816,-0.020483,2.358214,4.495993,-0.028909,-24.874116,30.321809,-1.754548,0.026422,-0.010675,0.000000,0.456862,-0.239746,0.000000
0.120000,-2.217177,-2.173682,-1.475534,-0.000907,0.012665,-0.004531,0.127448,0.306099,-0.020842,2.157999,4.742447,-0.041204,-15.555094,19.411250,-0.745988,0.031124,-0.012963,0.000000,0.481679,-0.219316,-0.000000
0.130000,-2.217179,-2.173539,-1.475581,0.000473,0.015966,-0.004741,0.148378,0.354344,-0.021277,2.039794,4.892565,-0.044613,-8.431594,11.004873,0.027457,0.036023,-0.015091,0.000000,0.496675,-0.207230,0.000000
