time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-3.438903,0.000000,0.000000,-3.680605,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-3.435791,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885937,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000057,-0.019267,-0.000035,-0.000056,-0.018790,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000031,0.000022,-0.012570,-0.000040,-0.000000,-0.012830,0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000051,0.000085,0.000091,-0.030441,0.000001,0.000000,-0.031581
0.010000,-3.438902,0.000000,0.000000,-3.680605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435790,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885936,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000056,-0.019266,-0.000034,-0.000055,-0.018790,-0.000000,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000022,-0.012569,-0.000040,0.000000,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000051,0.000083,0.000091,-0.030440,0.000000,0.000000,-0.031581
0.020000,-3.438901,0.000000,0.000000,-3.680605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435789,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885936,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000056,-0.019266,-0.000034,-0.000055,-0.018790,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000022,-0.012568,-0.000040,0.000000,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000051,0.000082,0.000090,-0.030438,-0.000000,0.000000,-0.031581
0.030000,-3.438900,0.000000,0.000000,-3.680605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435788,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885936,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000056,-0.019265,-0.000033,-0.000054,-0.018790,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000021,-0.012568,-0.000040,0.000000,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000051,0.000081,0.000090,-0.030436,-0.000000,0.000000,-0.031581
0.040000,-3.438899,0.000000,0.000000,-3.680605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435787,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885936,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000056,-0.019264,-0.000033,-0.000054,-0.018790,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000021,-0.012567,-0.000039,0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000051,0.000080,0.000089,-0.030435,-0.000000,0.000000,-0.031581
0.050000,-3.438898,0.000000,0.000000,-3.680605,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-3.435786,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885935,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000055,-0.019263,-0.000033,-0.000054,-0.018790,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000021,-0.012566,-0.000039,0.000001,-0.012830,0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000051,0.000079,0.000089,-0.030433,-0.000000,0.000000,-0.031581
0.060000,-3.438897,0.000000,0.000000,-3.680605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435785,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885935,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000055,-0.019263,-0.000033,-0.000054,-0.018790,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000021,-0.012566,-0.000039,0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000050,0.000079,0.000088,-0.030431,-0.000000,0.000000,-0.031581
0.070000,-3.438896,0.000000,0.000000,-3.680605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435784,0.000000,0.000000,-3.677459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885935,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000055,-0.019262,-0.000032,-0.000053,-0.018790,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000021,-0.012565,-0.000039,0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000050,0.000078,0.000088,-0.030430,-0.000000,0.000000,-0.031581
0.080000,-3.438895,0.000000,0.000000,-3.680604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435783,0.000000,0.000000,-3.677458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885934,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000054,-0.019261,-0.000032,-0.000053,-0.018790,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000021,-0.012565,-0.000039,0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000050,0.000078,0.000087,-0.030428,-0.000000,0.000000,-0.031581
0.090000,-3.438894,0.000000,0.000000,-3.680604,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.435782,0.000000,0.000000,-3.677458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885934,0.000000,0.000000,-1.108911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000054,-0.019260,-0.000032,-0.000053,-0.018790,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000021,-0.012564,-0.000038,0.000001,-0.012830,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000050,0.000078,0.000087,-0.030426,-0.000000,0.000000,-0.031581
