time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.199080,0.049673,0.978724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.836189
0.010000,0.199083,0.049674,0.978723,-0.000003,0.000006,0.000000,-0.001002,0.002192,0.000000,0.836204
0.020000,0.199086,0.049676,0.978722,-0.000034,0.000075,0.000000,-0.005602,0.012511,0.000000,0.836311
0.030000,0.199090,0.049677,0.978721,-0.000127,0.000284,0.000000,-0.013383,0.029979,0.000001,0.836497
0.040000,0.199093,0.049679,0.978721,-0.000312,0.000699,0.000000,-0.023949,0.053673,0.000001,0.836748
0.050000,0.199096,0.049680,0.978720,-0.000615,0.001379,0.000000,-0.036927,0.082726,0.000002,0.837055
0.060000,0.199145,0.049702,0.978709,-0.001059,0.002372,0.000000,-0.051968,0.116322,0.000003,0.837407
0.070000,0.199194,0.049724,0.978698,-0.001662,0.003721,0.000000,-0.068741,0.153699,0.000004,0.837798
0.080000,0.199242,0.049745,0.978687,-0.002440,0.005460,0.000000,-0.086937,0.194142,0.000005,0.838222
0.090000,0.199291,0.049767,0.978676,-0.003406,0.007615,0.000000,-0.106268,0.236984,0.000006,0.838674
0.100000,0.199339,0.049789,0.978665,-0.004570,0.010208,0.000000,-0.126464,0.281605,0.000008,0.839150
0.110000,0.199492,0.049857,0.978630,-0.005938,0.013254,0.000000,-0.147274,0.327427,0.000009,0.839649
0.120000,0.199610,0.049910,0.978604,-0.007518,0.016762,0.000000,-0.168464,0.373916,0.000011,0.840167
0.130000,0.199745,0.049971,0.978573,-0.009309,0.020736,0.000001,-0.189820,0.420579,0.000013,0.840702
0.140000,0.199950,0.050063,0.978526,-0.011315,0.025175,0.000001,-0.211142,0.466963,0.000015,0.841256
0.150000,0.200278,0.050210,0.978452,-0.013533,0.030075,0.000001,-0.232247,0.512650,0.000017,0.841825
0.160000,0.200547,0.050332,0.978390,-0.015960,0.035427,0.000001,-0.252969,0.557261,0.000019,0.842411
0.170000,0.200911,0.050496,0.978307,-0.018591,0.041218,0.000001,-0.273154,0.600450,0.000021,0.843013
0.180000,0.201359,0.050698,0.978205,-0.021421,0.047433,0.000001,-0.292665,0.641904,0.000024,0.843631
0.190000,0.201881,0.050933,0.978085,-0.024443,0.054052,0.000002,-0.311378,0.681344,0.000026,0.844265
0.200000,0.202464,0.051197,0.977950,-0.027647,0.061054,0.000002,-0.329181,0.718520,0.000028,0.844915
0.210000,0.203105,0.051488,0.977802,-0.031024,0.068416,0.000002,-0.345975,0.753208,0.000031,0.845582
0.220000,0.203810,0.051808,0.977639,-0.034563,0.076111,0.000003,-0.361674,0.785217,0.000034,0.846266
0.230000,0.204588,0.052161,0.977458,-0.038254,0.084112,0.000003,-0.376202,0.814378,0.000036,0.846967
0.240000,0.205446,0.052551,0.977257,-0.042084,0.092390,0.000003,-0.389495,0.840549,0.000039,0.847684
0.250000,0.206393,0.052983,0.977034,-0.046040,0.100914,0.000004,-0.401499,0.863610,0.000042,0.848418
0.260000,0.207427,0.053456,0.976789,-0.050110,0.109653,0.000004,-0.412170,0.883465,0.000045,0.849169
0.270000,0.208542,0.053965,0.976524,-0.054280,0.118574,0.000005,-0.421473,0.900038,0.000048,0.849936
0.280000,0.209741,0.054515,0.976236,-0.058536,0.127644,0.000005,-0.429381,0.913273,0.000051,0.850720
0.290000,0.211029,0.055106,0.975925,-0.062863,0.136829,0.000006,-0.435876,0.923134,0.000053,0.851518
0.300000,0.212409,0.055741,0.975590,-0.067249,0.146097,0.000006,-0.440948,0.929601,0.000056,0.852332
0.310000,0.213881,0.056420,0.975229,-0.071678,0.155411,0.000007,-0.444595,0.932671,0.000059,0.853160
0.320000,0.215444,0.057141,0.974843,-0.076137,0.164740,0.000007,-0.446820,0.932359,0.000062,0.854002
0.330000,0.217096,0.057905,0.974431,-0.080610,0.174048,0.000008,-0.447633,0.928690,0.000065,0.854857
0.340000,0.218835,0.058711,0.973994,-0.085085,0.183303,0.000009,-0.447051,0.921706,0.000068,0.855723
0.350000,0.220661,0.059560,0.973530,-0.089547,0.192472,0.000009,-0.445095,0.911459,0.000071,0.856601
0.360000,0.222577,0.060453,0.973039,-0.093983,0.201523,0.000010,-0.441792,0.898016,0.000074,0.857489
0.370000,0.224585,0.061390,0.972519,-0.098379,0.210423,0.000011,-0.437174,0.881451,0.000077,0.858385
0.380000,0.226677,0.062369,0.971971,-0.102722,0.219142,0.000012,-0.431275,0.861849,0.000080,0.859290
0.390000,0.228848,0.063388,0.971396,-0.107000,0.227650,0.000013,-0.424136,0.839304,0.000083,0.860201
0.400000,0.231093,0.064445,0.970795,-0.111201,0.235919,0.000013,-0.415800,0.813919,0.000086,0.861118
0.410000,0.233417,0.065543,0.970165,-0.115313,0.243920,0.000014,-0.406313,0.785803,0.000089,0.862039
0.420000,0.235825,0.066683,0.969505,-0.119324,0.251627,0.000015,-0.395723,0.755072,0.000092,0.862963
0.430000,0.238306,0.067860,0.968816,-0.123224,0.259014,0.000016,-0.384082,0.721846,0.000094,0.863889
0.440000,0.240850,0.069073,0.968101,-0.127002,0.266056,0.000017,-0.371444,0.686254,0.000097,0.864816
0.450000,0.243449,0.070316,0.967361,-0.130650,0.272732,0.000018,-0.357864,0.648425,0.000100,0.865741
0.460000,0.246110,0.071594,0.966594,-0.134157,0.279018,0.000019,-0.343400,0.608495,0.000102,0.866665
0.470000,0.248840,0.072909,0.965797,-0.137515,0.284895,0.000020,-0.328108,0.566600,0.000105,0.867585
0.480000,0.251625,0.074255,0.964972,-0.140716,0.290344,0.000021,-0.312048,0.522883,0.000107,0.868500
0.490000,0.254454,0.075629,0.964123,-0.143754,0.295347,0.000022,-0.295281,0.477483,0.000109,0.869409
0.500000,0.257312,0.077024,0.963254,-0.146620,0.299889,0.000023,-0.277866,0.430546,0.000111,0.870311
0.510000,0.260211,0.078446,0.962360,-0.149309,0.303953,0.000024,-0.259864,0.382214,0.000113,0.871204
0.520000,0.263157,0.079896,0.961439,-0.151815,0.307529,0.000026,-0.241336,0.332634,0.000115,0.872087
0.530000,0.266137,0.081370,0.960495,-0.154134,0.310602,0.000027,-0.222342,0.281950,0.000117,0.872958
0.540000,0.269136,0.082862,0.959531,-0.156261,0.313164,0.000028,-0.202941,0.230305,0.000119,0.873817
0.550000,0.272139,0.084366,0.958552,-0.158192,0.315206,0.000029,-0.183194,0.177844,0.000120,0.874662
0.560000,0.275157,0.085886,0.957555,-0.159924,0.316719,0.000030,-0.163159,0.124707,0.000122,0.875492
0.570000,0.278198,0.087426,0.956537,-0.161454,0.317698,0.000032,-0.142893,0.071035,0.000123,0.876306
0.580000,0.281248,0.088980,0.955501,-0.162781,0.318138,0.000033,-0.122454,0.016967,0.000124,0.877102
0.590000,0.284291,0.090542,0.954453,-0.163903,0.318036,0.000034,-0.101897,-0.037363,0.000125,0.877880
0.600000,0.287312,0.092107,0.953398,-0.164818,0.317390,0.000035,-0.081276,-0.091821,0.000126,0.878638
0.610000,0.290320,0.093677,0.952333,-0.165528,0.316200,0.000037,-0.060643,-0.146276,0.000126,0.879375
0.620000,0.293327,0.095257,0.951255,-0.166031,0.314465,0.000038,-0.040050,-0.200602,0.000127,0.880090
0.630000,0.296317,0.096841,0.950168,-0.166329,0.312188,0.000039,-0.019547,-0.254675,0.000127,0.880782
0.640000,0.299273,0.098423,0.949078,-0.166423,0.309372,0.000040,0.000819,-0.308375,0.000127,0.881449
0.650000,0.302182,0.099998,0.947991,-0.166313,0.306022,0.000042,0.021002,-0.361585,0.000127,0.882092
0.660000,0.305053,0.101568,0.946904,-0.166003,0.302142,0.000043,0.040958,-0.414193,0.000126,0.882709
0.670000,0.307897,0.103139,0.945813,-0.165495,0.297740,0.000044,0.060645,-0.466090,0.000126,0.883299
0.680000,0.310698,0.104704,0.944724,-0.164791,0.292823,0.000045,0.080022,-0.517174,0.000125,0.883862
0.690000,0.313443,0.106258,0.943643,-0.163895,0.287399,0.000047,0.099052,-0.567343,0.000124,0.884396
0.700000,0.316117,0.107795,0.942577,-0.162811,0.281479,0.000048,0.117698,-0.616503,0.000123,0.884901
0.710000,0.318729,0.109320,0.941521,-0.161543,0.275073,0.000049,0.135927,-0.664563,0.000121,0.885376
0.720000,0.321289,0.110835,0.940473,-0.160094,0.268192,0.000050,0.153707,-0.711436,0.000120,0.885820
0.730000,0.323784,0.112335,0.939438,-0.158470,0.260848,0.000051,0.171008,-0.757042,0.000118,0.886234
