time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.763760,-2.166243,-1.477213,0.004278,0.022623,0.000641,-0.308401,-0.883190,-0.027955,3.643486,17.694649,0.149157,18.160143,-191.673440,-14.865068,-0.089490,0.031338,0.000000,1.780988,-0.368033,-0.000000
0.010000,-2.763732,-2.166058,-1.477208,0.001379,0.014645,0.000367,-0.271136,-0.715378,-0.027183,3.802067,15.911278,0.007562,13.636043,-165.454393,-13.457601,-0.072567,0.027555,0.000000,1.607524,-0.385169,-0.000000
0.020000,-2.763731,-2.165945,-1.477206,-0.001141,0.008260,0.000093,-0.232503,-0.564135,-0.027757,3.917768,14.376708,-0.120070,9.580056,-141.891095,-12.072809,-0.057265,0.023629,0.000000,1.456347,-0.397651,0.000000
0.030000,-2.763753,-2.165888,-1.477207,-0.003268,0.003315,-0.000192,-0.192908,-0.427101,-0.029539,3.995146,13.065045,-0.233977,5.967397,-120.851068,-10.712997,-0.043371,0.019603,0.000000,1.325745,-0.405958,0.000000
0.040000,-2.763795,-2.165874,-1.477210,-0.004997,-0.000322,-0.000501,-0.152713,-0.302173,-0.032392,4.038511,11.951718,-0.334421,2.773281,-102.201838,-9.380474,-0.030688,0.015515,0.000000,1.213868,-0.410553,0.000000
0.050000,-2.763852,-2.165891,-1.477217,-0.006322,-0.002763,-0.000843,-0.112237,-0.187484,-0.036183,4.051924,11.013481,-0.421686,-0.027077,-85.810927,-8.077544,-0.019038,0.011399,0.000000,1.118801,-0.411882,-0.000000
0.060000,-2.763920,-2.165926,-1.477227,-0.007241,-0.004100,-0.001227,-0.071762,-0.081393,-0.040782,4.039199,10.228413,-0.496078,-2.458461,-71.545860,-6.806516,-0.008262,0.007285,0.000000,1.038628,-0.410369,-0.000000
0.070000,-2.763996,-2.165969,-1.477241,-0.007758,-0.004414,-0.001661,-0.031529,0.017526,-0.046063,4.003902,9.575919,-0.557930,-4.545655,-59.274161,-5.569695,0.001778,0.003199,0.000000,0.971470,-0.406414,0.000000
0.080000,-2.764074,-2.166011,-1.477260,-0.007874,-0.003770,-0.002151,0.008252,0.110503,-0.051900,3.949351,9.036727,-0.607594,-6.313445,-48.863353,-4.369388,0.011205,-0.000837,0.000000,0.915518,-0.400389,-0.000000
0.090000,-2.764152,-2.166042,-1.477285,-0.007595,-0.002221,-0.002701,0.047404,0.198579,-0.058175,3.878615,8.592890,-0.645447,-7.786615,-40.180960,-3.207902,0.020120,-0.004804,0.000000,0.869052,-0.392640,0.000000
0.100000,-2.764225,-2.166052,-1.477315,-0.006928,0.000188,-0.003315,0.085780,0.282623,-0.064771,3.794518,8.227788,-0.671889,-8.989950,-33.094506,-2.087544,0.028612,-0.008687,0.000000,0.830459,-0.383487,-0.000000
0.110000,-2.764289,-2.166035,-1.477351,-0.005882,0.003421,-0.003997,0.123259,0.363346,-0.071576,3.699633,7.926122,-0.687343,-9.948234,-27.471515,-1.010619,0.036751,-0.012473,0.000000,0.798241,-0.373219,-0.000000
0.120000,-2.764341,-2.165981,-1.477395,-0.004466,0.007446,-0.004747,0.159745,0.441310,-0.078483,3.596287,7.673921,-0.692254,-10.686251,-23.179511,0.020564,0.044593,-0.016153,0.000000,0.771025,-0.362099,-0.000000
0.130000,-2.764377,-2.165884,-1.477446,-0.002691,0.012239,-0.005566,0.195163,0.516947,-0.085388,3.486560,7.458537,-0.687092,-11.228787,-20.086017,1.003700,0.052184,-0.019720,0.000000,0.747565,-0.350358,0.000000
0.140000,-2.764394,-2.165734,-1.477506,-0.000567,0.017778,-0.006454,0.229461,0.590566,-0.092193,3.372281,7.268647,-0.672348,-11.600626,-18.058558,1.936483,0.059553,-0.023169,0.000000,0.726747,-0.338203,-0.000000
0.150000,-2.764387,-2.165526,-1.477576,0.001895,0.024045,-0.007410,0.262599,0.662371,-0.098805,3.255033,7.094254,-0.648537,-11.826553,-16.964657,2.816604,0.066724,-0.026495,0.000000,0.707592,-0.325809,-0.000000
0.160000,-2.764355,-2.165251,-1.477655,0.004681,0.031020,-0.008430,0.294556,0.732473,-0.105135,3.136153,6.926684,-0.616199,-11.931352,-16.671838,3.641758,0.073708,-0.029699,0.000000,0.689252,-0.313323,0.000000
0.170000,-2.764293,-2.164903,-1.477744,0.007782,0.038688,-0.009511,0.325320,0.800903,-0.111102,3.016727,6.758588,-0.575893,-11.939808,-17.047626,4.409638,0.080509,-0.032779,0.000000,0.671017,-0.300866,0.000000
0.180000,-2.764198,-2.164475,-1.477845,0.011184,0.047033,-0.010650,0.354891,0.867623,-0.116628,2.897596,6.583944,-0.528205,-11.876705,-17.959542,5.117938,0.087127,-0.035736,0.000000,0.652308,-0.288530,-0.000000
0.190000,-2.764068,-2.163960,-1.477958,0.014876,0.056035,-0.011842,0.383275,0.932544,-0.121644,2.779349,6.398052,-0.473741,-11.766828,-19.275113,5.764351,0.093553,-0.038572,0.000000,0.632679,-0.276380,-0.000000
0.200000,-2.763900,-2.163352,-1.478082,0.018845,0.065677,-0.013081,0.410483,0.995535,-0.126083,2.662332,6.197538,-0.413132,-11.634963,-20.861861,6.346569,0.099776,-0.041289,0.000000,0.611816,-0.264453,0.000000
0.210000,-2.763690,-2.162644,-1.478219,0.023079,0.075947,-0.014362,0.436623,1.056118,-0.129885,2.555564,5.950726,-0.346794,-11.731270,-21.839005,6.856299,0.105752,-0.043898,0.000000,0.586593,-0.253652,-0.000000
0.220000,-2.763437,-2.161831,-1.478370,0.027571,0.086802,-0.015677,0.461591,1.114516,-0.133003,2.437769,5.727025,-0.275965,-11.827560,-22.914003,7.297955,0.111505,-0.046390,0.000000,0.563923,-0.241850,-0.000000
0.230000,-2.763138,-2.160906,-1.478533,0.032307,0.098230,-0.017019,0.485375,1.170621,-0.135391,2.319022,5.492255,-0.201067,-11.921020,-24.046009,7.669964,0.117028,-0.048765,0.000000,0.540410,-0.230053,0.000000
0.240000,-2.762790,-2.159865,-1.478710,0.037274,0.110207,-0.018382,0.507968,1.224322,-0.137013,2.199367,5.246051,-0.122803,-12.008837,-25.194175,7.970752,0.122311,-0.051023,0.000000,0.516018,-0.218262,0.000000
0.250000,-2.762392,-2.158700,-1.478901,0.042462,0.122708,-0.019757,0.529360,1.275504,-0.137838,2.078874,4.988454,-0.041895,-12.088199,-26.317656,8.198746,0.127345,-0.053163,0.000000,0.490750,-0.206478,-0.000000
0.260000,-2.761940,-2.157409,-1.479105,0.047857,0.135711,-0.021136,0.549544,1.323940,-0.137835,1.957773,4.709349,0.041767,-12.159630,-27.108699,8.331062,0.132112,-0.055187,0.000000,0.463613,-0.194725,-0.000000
0.270000,-2.761434,-2.155985,-1.479323,0.053449,0.149181,-0.022511,0.568513,1.369666,-0.137000,1.835878,4.434611,0.125434,-12.216572,-27.826045,8.390046,0.136616,-0.057092,0.000000,0.437119,-0.182963,0.000000
0.280000,-2.760871,-2.154424,-1.479555,0.059224,0.163095,-0.023873,0.586260,1.412610,-0.135326,1.713500,4.153101,0.209327,-12.255803,-28.461529,8.376736,0.140853,-0.058880,0.000000,0.410162,-0.171219,0.000000
0.290000,-2.760249,-2.152721,-1.479801,0.065170,0.177424,-0.025215,0.602782,1.452708,-0.132815,1.590832,3.865680,0.292731,-12.274103,-29.006985,8.292166,0.144818,-0.060551,0.000000,0.382805,-0.159503,-0.000000
