time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-2.737984,0.000000,0.000000,-2.988536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639113,0.000000,0.000000,-2.897288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902986,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000085,-0.019677,-0.000173,-0.000048,-0.018794,-0.000001,-0.000007,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000029,0.000096,-0.012196,0.000043,0.000001,-0.012826,-0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000313,0.000112,-0.000168,-0.035189,0.000002,-0.000002,-0.031625
0.010000,-2.737983,0.000000,0.000000,-2.988536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639112,0.000000,0.000000,-2.897288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902986,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000083,-0.019676,-0.000170,-0.000047,-0.018794,-0.000003,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000030,0.000095,-0.012196,0.000043,0.000002,-0.012825,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000313,0.000109,-0.000169,-0.035189,0.000001,-0.000002,-0.031625
0.020000,-2.737983,0.000000,0.000000,-2.988536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639112,0.000000,0.000000,-2.897288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902985,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000082,-0.019675,-0.000168,-0.000047,-0.018794,-0.000004,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000031,0.000093,-0.012195,0.000043,0.000002,-0.012825,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000313,0.000106,-0.000169,-0.035188,0.000001,-0.000001,-0.031625
0.030000,-2.737982,0.000000,0.000000,-2.988536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639111,0.000000,0.000000,-2.897288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902985,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000081,-0.019675,-0.000166,-0.000046,-0.018794,-0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000093,-0.012194,0.000043,0.000003,-0.012825,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000312,0.000104,-0.000169,-0.035187,0.000000,-0.000001,-0.031625
0.040000,-2.737981,0.000000,0.000000,-2.988536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639110,0.000000,0.000000,-2.897288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902985,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000081,-0.019674,-0.000165,-0.000046,-0.018794,-0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000092,-0.012194,0.000042,0.000003,-0.012825,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000310,0.000103,-0.000169,-0.035186,-0.000000,-0.000001,-0.031625
0.050000,-2.737980,0.000000,0.000000,-2.988535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-2.639109,0.000000,0.000000,-2.897287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902984,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000080,-0.019673,-0.000164,-0.000046,-0.018794,-0.000005,0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000032,0.000091,-0.012193,0.000042,0.000003,-0.012825,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000309,0.000102,-0.000168,-0.035185,-0.000000,-0.000001,-0.031625
0.060000,-2.737979,0.000000,0.000000,-2.988535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639108,0.000000,0.000000,-2.897287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902984,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000080,-0.019673,-0.000163,-0.000045,-0.018794,-0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000091,-0.012192,0.000042,0.000003,-0.012825,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000307,0.000102,-0.000167,-0.035184,-0.000000,-0.000001,-0.031625
0.070000,-2.737978,0.000000,0.000000,-2.988535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639107,0.000000,0.000000,-2.897287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902984,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000079,-0.019672,-0.000162,-0.000045,-0.018794,-0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,0.000090,-0.012191,0.000042,0.000003,-0.012825,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000305,0.000101,-0.000166,-0.035183,-0.000000,-0.000001,-0.031625
0.080000,-2.737977,0.000000,0.000000,-2.988535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639106,0.000000,0.000000,-2.897287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902983,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000079,-0.019671,-0.000161,-0.000045,-0.018794,-0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000031,0.000090,-0.012191,0.000041,0.000003,-0.012825,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000303,0.000101,-0.000165,-0.035183,-0.000000,-0.000001,-0.031625
0.090000,-2.737977,0.000000,0.000000,-2.988535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.639106,0.000000,0.000000,-2.897287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.902983,0.000000,0.000000,-1.127014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000078,-0.019671,-0.000160,-0.000045,-0.018794,-0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000031,0.000089,-0.012190,0.000041,0.000003,-0.012825,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000302,0.000100,-0.000164,-0.035182,-0.000000,-0.000001,-0.031625
