time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,-1.984471,-2.512086,0.493843,0.022612,0.004273,-0.000647,-0.883114,-0.308422,0.028341,17.888937,3.730568,-0.138927,-276.482480,-19.879468,0.576414,0.999949,-0.004445,-0.002423,0.008737,0.015264,-0.022674,0.000470
0.010000,-1.984286,-2.512058,0.493838,0.014631,0.001372,-0.000370,-0.717439,-0.272117,0.026980,15.305747,3.529747,-0.133275,-240.698086,-20.242561,0.554218,0.999949,-0.004393,-0.002478,0.008715,0.010743,-0.011937,-0.004006
0.020000,-1.984173,-2.512058,0.493835,0.008183,-0.001176,-0.000107,-0.575860,-0.237835,0.025674,13.064369,3.326532,-0.127840,-208.095668,-20.361272,0.532794,0.999950,-0.004339,-0.002538,0.008696,0.007832,-0.005050,-0.006862
0.030000,-1.984118,-2.512081,0.493835,0.003044,-0.003391,0.000144,-0.455116,-0.205586,0.024422,11.133716,3.123273,-0.122616,-178.528467,-20.254497,0.512125,0.999950,-0.004285,-0.002595,0.008676,0.006055,-0.000877,-0.008575
0.040000,-1.984109,-2.512124,0.493838,-0.000979,-0.005294,0.000382,-0.352249,-0.175362,0.023221,9.484171,2.922130,-0.117595,-151.849724,-19.941133,0.492192,0.999950,-0.004236,-0.002643,0.008652,0.005049,0.001453,-0.009511
0.050000,-1.984134,-2.512186,0.493843,-0.004051,-0.006905,0.000608,-0.264590,-0.147130,0.022070,8.087583,2.725076,-0.112770,-127.912682,-19.440077,0.472977,0.999950,-0.004195,-0.002672,0.008620,0.004541,0.002592,-0.009945
0.060000,-1.984187,-2.512262,0.493850,-0.006313,-0.008243,0.000823,-0.189743,-0.120841,0.020965,6.917268,2.533891,-0.108133,-106.570581,-18.770225,0.454460,0.999951,-0.004164,-0.002680,0.008579,0.004336,0.003009,-0.010073
0.070000,-1.984258,-2.512350,0.493859,-0.007882,-0.009328,0.001028,-0.125574,-0.096427,0.019907,5.948011,2.350171,-0.103678,-87.676665,-17.950474,0.436624,0.999951,-0.004140,-0.002669,0.008531,0.004295,0.003034,-0.010036
0.080000,-1.984343,-2.512447,0.493871,-0.008854,-0.010178,0.001222,-0.070192,-0.073808,0.018891,5.156063,2.175319,-0.099399,-71.084174,-16.999720,0.419450,0.999952,-0.004121,-0.002649,0.008479,0.004327,0.002884,-0.009924
0.090000,-1.984434,-2.512552,0.493884,-0.009309,-0.010810,0.001406,-0.021936,-0.052887,0.017918,4.519145,2.010550,-0.095287,-56.646350,-15.936861,0.402920,0.999953,-0.004103,-0.002626,0.008426,0.004377,0.002693,-0.009794
0.100000,-1.984527,-2.512663,0.493899,-0.009312,-0.011241,0.001580,0.020638,-0.033560,0.016985,4.016443,1.856892,-0.091338,-44.216436,-14.780792,0.387014,0.999953,-0.004083,-0.002608,0.008375,0.004415,0.002533,-0.009676
0.110000,-1.984619,-2.512777,0.493915,-0.008911,-0.011486,0.001745,0.058775,-0.015710,0.016091,3.628612,1.715182,-0.087545,-33.647672,-13.550411,0.371715,0.999954,-0.004061,-0.002596,0.008327,0.004428,0.002432,-0.009584
0.120000,-1.984704,-2.512892,0.493934,-0.008147,-0.011559,0.001902,0.093533,0.000786,0.015234,3.337775,1.586069,-0.083902,-24.793300,-12.264615,0.357005,0.999954,-0.004039,-0.002583,0.008279,0.004415,0.002392,-0.009516
0.130000,-1.984780,-2.513007,0.493953,-0.007049,-0.011474,0.002050,0.125799,0.016055,0.014412,3.127521,1.470012,-0.080403,-17.506563,-10.942299,0.342863,0.999955,-0.004017,-0.002571,0.008231,0.004383,0.002399,-0.009469
