time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.189262,-0.277279,0.941964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.048371
0.010000,-0.189258,-0.277279,0.941965,-0.000000,0.000003,0.000003,-0.000087,0.001387,0.000991,1.048362
0.020000,-0.189255,-0.277279,0.941965,-0.000003,0.000062,0.000037,-0.000399,0.010786,0.006037,1.048378
0.030000,-0.189251,-0.277280,0.941966,-0.000009,0.000250,0.000139,-0.000923,0.026898,0.014615,1.048409
0.040000,-0.189248,-0.277280,0.941967,-0.000022,0.000628,0.000342,-0.001644,0.048553,0.026248,1.048448
0.050000,-0.189245,-0.277280,0.941967,-0.000043,0.001245,0.000675,-0.002551,0.074702,0.040499,1.048489
0.060000,-0.189196,-0.277283,0.941976,-0.000073,0.002142,0.001162,-0.003629,0.104404,0.056971,1.048526
0.070000,-0.189147,-0.277286,0.941985,-0.000116,0.003349,0.001823,-0.004868,0.136819,0.075303,1.048556
0.080000,-0.189099,-0.277289,0.941994,-0.000171,0.004890,0.002675,-0.006256,0.171195,0.095167,1.048577
0.090000,-0.189050,-0.277293,0.942003,-0.000241,0.006782,0.003732,-0.007782,0.206867,0.116267,1.048586
0.100000,-0.189002,-0.277296,0.942011,-0.000327,0.009034,0.005006,-0.009436,0.243242,0.138337,1.048584
0.110000,-0.188852,-0.277305,0.942039,-0.000430,0.011651,0.006503,-0.011207,0.279797,0.161135,1.048569
0.120000,-0.188736,-0.277313,0.942060,-0.000552,0.014633,0.008232,-0.013086,0.316072,0.184449,1.048542
0.130000,-0.188603,-0.277321,0.942084,-0.000693,0.017974,0.010195,-0.015066,0.351662,0.208084,1.048505
0.140000,-0.188403,-0.277334,0.942120,-0.000854,0.021666,0.012395,-0.017137,0.386216,0.231872,1.048458
0.150000,-0.188088,-0.277354,0.942177,-0.001036,0.025697,0.014833,-0.019293,0.419426,0.255661,1.048402
0.160000,-0.187831,-0.277371,0.942223,-0.001240,0.030052,0.017509,-0.021525,0.451028,0.279317,1.048339
0.170000,-0.187483,-0.277393,0.942286,-0.001466,0.034714,0.020420,-0.023829,0.480799,0.302723,1.048271
0.180000,-0.187056,-0.277420,0.942363,-0.001717,0.039663,0.023563,-0.026198,0.508545,0.325779,1.048199
0.190000,-0.186563,-0.277452,0.942452,-0.001991,0.044879,0.026935,-0.028627,0.534109,0.348396,1.048124
0.200000,-0.186015,-0.277486,0.942550,-0.002289,0.050339,0.030530,-0.031112,0.557359,0.370499,1.048049
0.210000,-0.185418,-0.277524,0.942656,-0.002613,0.056020,0.034344,-0.033647,0.578190,0.392022,1.047974
0.220000,-0.184762,-0.277565,0.942773,-0.002962,0.061896,0.038369,-0.036230,0.596521,0.412913,1.047902
0.230000,-0.184042,-0.277609,0.942901,-0.003338,0.067943,0.042600,-0.038858,0.612295,0.433127,1.047833
0.240000,-0.183251,-0.277658,0.943040,-0.003740,0.074135,0.047030,-0.041527,0.625470,0.452626,1.047768
0.250000,-0.182384,-0.277711,0.943193,-0.004169,0.080445,0.051651,-0.044236,0.636025,0.471383,1.047709
0.260000,-0.181441,-0.277768,0.943358,-0.004625,0.086847,0.056455,-0.046983,0.643951,0.489376,1.047655
0.270000,-0.180427,-0.277829,0.943535,-0.005108,0.093316,0.061436,-0.049766,0.649257,0.506589,1.047609
0.280000,-0.179339,-0.277894,0.943723,-0.005620,0.099825,0.066585,-0.052585,0.651964,0.523012,1.047571
0.290000,-0.178176,-0.277962,0.943923,-0.006160,0.106347,0.071894,-0.055438,0.652102,0.538640,1.047540
0.300000,-0.176934,-0.278033,0.944136,-0.006729,0.112859,0.077355,-0.058327,0.649714,0.553473,1.047519
0.310000,-0.175614,-0.278108,0.944360,-0.007327,0.119334,0.082961,-0.061250,0.644850,0.567515,1.047506
0.320000,-0.174216,-0.278186,0.944596,-0.007954,0.125748,0.088703,-0.064209,0.637568,0.580772,1.047502
0.330000,-0.172742,-0.278267,0.944843,-0.008611,0.132078,0.094574,-0.067204,0.627934,0.593255,1.047507
0.340000,-0.171194,-0.278350,0.945100,-0.009298,0.138300,0.100566,-0.070237,0.616020,0.604977,1.047522
