time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.917280,-2.779917,-1.434605,0.019468,-0.005593,-0.011015,-0.193613,0.274857,0.002727,1.212425,-4.144851,0.370398,-16.617148,161.656668,-26.474850,0.028013,0.019739,0.000000,-0.421091,-0.122783,-0.000000
0.010000,-2.917095,-2.779960,-1.434715,0.017590,-0.003025,-0.010974,-0.182295,0.241194,0.005166,1.053533,-2.617031,0.123150,-15.173936,144.112174,-23.018958,0.024590,0.018590,0.000000,-0.266347,-0.107147,0.000000
0.020000,-2.916928,-2.779979,-1.434825,0.015817,-0.000721,-0.010920,-0.172495,0.221952,0.005301,0.908694,-1.258586,-0.090847,-13.806321,127.774124,-19.822920,0.022630,0.017591,0.000000,-0.128453,-0.092790,-0.000000
0.030000,-2.916778,-2.779975,-1.434934,0.014135,0.001457,-0.010874,-0.164077,0.215497,0.003452,0.777163,-0.057678,-0.274140,-12.511805,112.597358,-16.876493,0.021968,0.016730,0.000000,-0.006463,-0.079676,0.000000
0.040000,-2.916645,-2.779950,-1.435042,0.012531,0.003627,-0.010856,-0.156910,0.220311,-0.000088,0.658223,0.997082,-0.429175,-11.287833,98.536827,-14.169427,0.022451,0.015993,0.000000,0.100617,-0.067762,-0.000000
0.050000,-2.916527,-2.779902,-1.435151,0.010993,0.005896,-0.010881,-0.150872,0.234988,-0.005046,0.551176,1.916622,-0.558294,-10.132362,85.546603,-11.691599,0.023934,0.015370,0.000000,0.193799,-0.057001,0.000000
0.060000,-2.916425,-2.779831,-1.435260,0.009510,0.008355,-0.010961,-0.145849,0.258228,-0.011175,0.455356,2.711431,-0.663737,-9.042440,73.582294,-9.432620,0.026284,0.014849,0.000000,0.274102,-0.047341,0.000000
0.070000,-2.916337,-2.779734,-1.435370,0.008073,0.011085,-0.011107,-0.141730,0.288835,-0.018248,0.370116,3.391536,-0.747642,-8.015755,62.598412,-7.382298,0.029377,0.014420,0.000000,0.342530,-0.038731,0.000000
0.080000,-2.916263,-2.779608,-1.435482,0.006673,0.014153,-0.011329,-0.138413,0.325709,-0.026062,0.294838,3.966517,-0.812044,-7.049811,52.549767,-5.530359,0.033098,0.014071,0.000000,0.400065,-0.031114,0.000000
0.090000,-2.916203,-2.779450,-1.435597,0.005303,0.017617,-0.011631,-0.135802,0.367845,-0.034431,0.228926,4.445499,-0.858876,-6.142087,43.391190,-3.866493,0.037345,0.013794,0.000000,0.447660,-0.024436,0.000000
0.100000,-2.916157,-2.779254,-1.435715,0.003955,0.021524,-0.012018,-0.133806,0.414327,-0.043187,0.171805,4.837155,-0.889973,-5.290564,35.077303,-2.381025,0.042021,0.013579,0.000000,0.486231,-0.018643,-0.000000
0.110000,-2.916124,-2.779018,-1.435838,0.002625,0.025915,-0.012495,-0.132338,0.464324,-0.052184,0.122935,5.149710,-0.907057,-4.492197,27.563100,-1.063016,0.047042,0.013418,0.000000,0.516654,-0.013682,-0.000000
0.120000,-2.916105,-2.778734,-1.435966,0.001307,0.030820,-0.013062,-0.131321,0.517084,-0.061287,0.081792,5.390932,-0.911758,-3.744710,20.803296,0.097510,0.052330,0.013303,0.000000,0.539762,-0.009500,0.000000
0.130000,-2.916098,-2.778399,-1.436099,-0.000003,0.036263,-0.013721,-0.130679,0.571930,-0.070383,0.047880,5.568139,-0.905598,-3.045574,14.752622,1.110769,0.057816,0.013225,0.000000,0.556341,-0.006047,0.000000
0.140000,-2.916105,-2.778007,-1.436240,-0.001308,0.042263,-0.014470,-0.130341,0.628256,-0.079368,0.020728,5.688197,-0.890000,-2.392202,9.365714,1.986950,0.063438,0.013179,0.000000,0.567131,-0.003275,-0.000000
0.150000,-2.916124,-2.777552,-1.436389,-0.002611,0.048832,-0.015308,-0.130243,0.685525,-0.088156,-0.000108,5.757514,-0.866282,-1.781947,4.597053,2.736198,0.069141,0.013158,0.000000,0.572818,-0.001138,0.000000
0.160000,-2.916157,-2.777029,-1.436547,-0.003913,0.055975,-0.016232,-0.130324,0.743258,-0.096670,-0.015074,5.782079,-0.835655,-1.214524,0.404196,3.369591,0.074879,0.013154,0.000000,0.574045,0.000411,0.000000
0.170000,-2.916203,-2.776431,-1.436714,-0.005217,0.063697,-0.017240,-0.130526,0.801035,-0.104849,-0.024538,5.767371,-0.799241,-0.684548,-3.261595,3.896286,0.080609,0.013164,0.000000,0.571397,0.001409,-0.000000
