time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.917280,-2.779917,-1.434605,0.018519,-0.004281,-0.010997,-0.091211,0.121198,0.002487,-4.315252,5.575431,0.128395,22.800531,-32.449308,-2.079262,0.012356,0.009300,0.000000,0.568486,0.440045,-0.000000
0.010000,-2.917095,-2.779960,-1.434715,0.017607,-0.003069,-0.010972,-0.134363,0.176952,0.003771,-4.087247,5.250938,0.107603,140.435723,-173.012803,-8.627586,0.018041,0.013701,0.000000,0.535340,0.416805,-0.000000
0.020000,-2.916928,-2.779979,-1.434825,0.015832,-0.000742,-0.010921,-0.172956,0.226216,0.004639,-1.506538,2.115175,-0.044156,243.535331,-269.086063,-18.380343,0.023063,0.017637,0.000000,0.215402,0.153476,-0.000000
0.030000,-2.916778,-2.779975,-1.434934,0.014148,0.001456,-0.010879,-0.164494,0.219255,0.002888,0.783460,-0.130783,-0.260004,108.535451,-59.286650,-18.602689,0.022350,0.016771,0.000000,-0.013889,-0.080289,0.000000
0.040000,-2.916645,-2.779950,-1.435042,0.012542,0.003643,-0.010863,-0.157286,0.223601,-0.000561,0.664171,0.929442,-0.416210,-11.333462,99.250432,-14.322242,0.022785,0.016031,0.000000,0.093736,-0.068344,0.000000
0.050000,-2.916527,-2.779902,-1.435151,0.011002,0.005928,-0.010890,-0.151210,0.237844,-0.005436,0.556790,1.854225,-0.546449,-10.176172,86.230357,-11.837535,0.024224,0.015404,0.000000,0.187449,-0.057553,0.000000
0.060000,-2.916425,-2.779831,-1.435260,0.009518,0.008400,-0.010972,-0.146151,0.260685,-0.011490,0.460648,2.654049,-0.652961,-9.084609,74.235913,-9.571738,0.026533,0.014880,0.000000,0.268264,-0.047864,-0.000000
0.070000,-2.916337,-2.779734,-1.435370,0.008079,0.011141,-0.011120,-0.141998,0.290925,-0.018495,0.375098,3.338944,-0.737884,-8.056301,63.221897,-7.514610,0.029588,0.014447,0.000000,0.337185,-0.039224,-0.000000
0.080000,-2.916263,-2.779608,-1.435482,0.006678,0.014219,-0.011342,-0.138649,0.327464,-0.026248,0.299522,3.918487,-0.803253,-7.088753,53.143104,-5.655896,0.033276,0.014095,0.000000,0.395191,-0.031578,0.000000
0.090000,-2.916203,-2.779450,-1.435597,0.005306,0.017691,-0.011645,-0.136007,0.369295,-0.034561,0.233323,4.401806,-0.851002,-6.179515,43.954331,-3.985376,0.037491,0.013815,0.000000,0.443235,-0.024873,0.000000
0.100000,-2.916157,-2.779254,-1.435715,0.003958,0.021605,-0.012033,-0.133982,0.415500,-0.043268,0.175931,4.797574,-0.882961,-5.326143,35.610378,-2.492839,0.042140,0.013597,0.000000,0.482232,-0.019053,0.000000
0.110000,-2.916124,-2.779018,-1.435838,0.002627,0.026001,-0.012510,-0.132488,0.465247,-0.052220,0.126800,5.114013,-0.900859,-4.526121,28.066026,-1.168017,0.047135,0.013433,0.000000,0.513058,-0.014066,0.000000
0.120000,-2.916105,-2.778734,-1.435966,0.001308,0.030910,-0.013078,-0.131446,0.517781,-0.061285,0.085409,5.358894,-0.906321,-3.777041,21.276123,-0.000644,0.052401,0.013315,0.000000,0.536544,-0.009860,-0.000000
0.130000,-2.916098,-2.778399,-1.436099,-0.000002,0.036356,-0.013736,-0.130780,0.572424,-0.070346,0.051259,5.539536,-0.900871,-3.076442,15.195461,1.019490,0.057866,0.013236,0.000000,0.553478,-0.006383,0.000000
0.140000,-2.916105,-2.778007,-1.436240,-0.001308,0.042358,-0.014485,-0.130421,0.628571,-0.079302,0.023880,5.662803,-0.885931,-2.421613,9.778670,1.902570,0.063470,0.013187,0.000000,0.564598,-0.003588,0.000000
0.150000,-2.916124,-2.777552,-1.436389,-0.002611,0.048928,-0.015322,-0.130303,0.685680,-0.088065,0.002827,5.735109,-0.862820,-1.810278,4.980671,2.658883,0.069158,0.013164,0.000000,0.570592,-0.001430,0.000000
0.160000,-2.916157,-2.777029,-1.436547,-0.003914,0.056072,-0.016246,-0.130364,0.743273,-0.096559,-0.012325,5.762417,-0.832754,-1.240243,0.756469,3.298733,0.074882,0.013159,0.000000,0.572100,0.000138,0.000000
0.170000,-2.916203,-2.776431,-1.436714,-0.005218,0.063793,-0.017253,-0.130549,0.800929,-0.104720,-0.021978,5.750239,-0.796845,-0.708393,-2.942110,3.833475,0.080600,0.013166,0.000000,0.569709,0.001154,-0.000000
0.180000,-2.916261,-2.775753,-1.436892,-0.006525,0.072090,-0.018340,-0.130804,0.858278,-0.112495,-0.026493,5.703575,-0.756084,-0.207224,-6.208034,4.294254,0.086276,0.013182,0.000000,0.563951,0.001659,0.000000
0.190000,-2.916333,-2.774989,-1.437081,-0.007834,0.080959,-0.019503,-0.131079,0.915000,-0.119842,-0.026122,5.626078,-0.710960,0.263774,-9.069829,4.684131,0.091879,0.013200,0.000000,0.555221,0.001678,0.000000
0.200000,-2.916418,-2.774134,-1.437282,-0.009146,0.090390,-0.020737,-0.131326,0.970800,-0.126715,-0.021218,5.522178,-0.662401,0.670545,-11.220957,4.858845,0.097381,0.013216,0.000000,0.543981,0.001248,0.000000
0.210000,-2.916516,-2.773181,-1.437496,-0.010461,0.100375,-0.022037,-0.131503,1.025444,-0.133090,-0.012711,5.401659,-0.613783,1.019506,-12.744383,4.845170,0.102759,0.013225,0.000000,0.531195,0.000459,-0.000000
0.220000,-2.916627,-2.772126,-1.437723,-0.011776,0.110899,-0.023399,-0.131581,1.078833,-0.138990,-0.000828,5.267290,-0.565498,1.418005,-14.695422,5.096247,0.108005,0.013225,0.000000,0.517142,-0.000665,-0.000000
0.230000,-2.916752,-2.770963,-1.437964,-0.013092,0.121951,-0.024817,-0.131520,1.130790,-0.144400,0.015649,5.107750,-0.511858,1.870266,-17.164735,5.628795,0.113102,0.013211,0.000000,0.500772,-0.002237,0.000000
0.240000,-2.916889,-2.769687,-1.438219,-0.014407,0.133515,-0.026287,-0.131268,1.180988,-0.149228,0.036578,4.923996,-0.452922,2.233135,-18.787922,5.838582,0.118021,0.013180,0.000000,0.482207,-0.004242,0.000000
0.250000,-2.917040,-2.768293,-1.438489,-0.015717,0.145571,-0.027802,-0.130788,1.229270,-0.153458,0.060312,4.731992,-0.395087,2.495213,-19.262315,5.682618,0.122747,0.013126,0.000000,0.462966,-0.006523,0.000000
0.260000,-2.917203,-2.766776,-1.438775,-0.017022,0.158100,-0.029356,-0.130061,1.275628,-0.157129,0.086482,4.538749,-0.339270,2.755576,-19.584244,5.578228,0.127281,0.013048,0.000000,0.443725,-0.009046,-0.000000
0.270000,-2.917380,-2.765131,-1.439076,-0.018319,0.171084,-0.030944,-0.129059,1.320045,-0.160243,0.115423,4.340307,-0.283522,3.019879,-20.447528,5.534533,0.131622,0.012944,0.000000,0.424112,-0.011840,0.000000
0.280000,-2.917570,-2.763354,-1.439394,-0.019604,0.184501,-0.032561,-0.127753,1.362434,-0.162800,0.146879,4.129799,-0.228579,3.254056,-21.581021,5.408624,0.135763,0.012809,0.000000,0.403439,-0.014881,0.000000
0.290000,-2.917772,-2.761441,-1.439728,-0.020874,0.198332,-0.034200,-0.126121,1.402641,-0.164815,0.180504,3.908687,-0.175350,3.461562,-22.174196,5.234357,0.139691,0.012643,0.000000,0.381836,-0.018137,0.000000
0.300000,-2.917987,-2.759387,-1.440078,-0.022126,0.212554,-0.035857,-0.124143,1.440608,-0.166307,0.216111,3.686315,-0.123892,3.652690,-22.085545,5.048254,0.143401,0.012443,0.000000,0.360214,-0.021590,-0.000000
0.310000,-2.918215,-2.757190,-1.440445,-0.023357,0.227144,-0.037526,-0.121799,1.476367,-0.167293,0.253558,3.466976,-0.074385,3.824608,-21.897581,4.826255,0.146896,0.012207,0.000000,0.338982,-0.025226,0.000000
0.320000,-2.918454,-2.754845,-1.440828,-0.024562,0.242081,-0.039203,-0.119072,1.509947,-0.167794,0.292603,3.248363,-0.027367,3.964595,-22.048331,4.539352,0.150181,0.011933,0.000000,0.317895,-0.029024,0.000000
0.330000,-2.918706,-2.752348,-1.441229,-0.025738,0.257343,-0.040882,-0.115947,1.541334,-0.167840,0.332850,3.026009,0.016402,4.073882,-22.383517,4.199330,0.153254,0.011620,0.000000,0.296492,-0.032945,0.000000
0.340000,-2.918969,-2.749698,-1.441646,-0.026881,0.272908,-0.042560,-0.112415,1.570467,-0.167466,0.374080,2.800693,0.056620,4.171730,-22.386643,3.851058,0.156111,0.011266,0.000000,0.274835,-0.036969,0.000000
0.350000,-2.919244,-2.746890,-1.442080,-0.027986,0.288753,-0.044232,-0.108465,1.597348,-0.166708,0.416284,2.578276,0.093424,4.263248,-21.966193,3.500812,0.158751,0.010871,0.000000,0.253489,-0.041096,0.000000
0.360000,-2.919529,-2.743923,-1.442531,-0.029050,0.304855,-0.045894,-0.104089,1.622033,-0.165598,0.459345,2.361369,0.126636,4.336563,-21.493546,3.124088,0.161181,0.010434,0.000000,0.232692,-0.045314,-0.000000
0.370000,-2.919825,-2.740793,-1.442998,-0.030068,0.321193,-0.047544,-0.099278,1.644575,-0.164175,0.503016,2.148405,0.155905,4.384028,-21.243298,2.721269,0.163405,0.009953,0.000000,0.212275,-0.049602,-0.000000
0.380000,-2.920130,-2.737499,-1.443482,-0.031036,0.337747,-0.049177,-0.094029,1.665001,-0.162480,0.547026,1.936503,0.181061,4.410901,-21.116272,2.306927,0.165426,0.009429,0.000000,0.191943,-0.053931,0.000000
0.390000,-2.920445,-2.734038,-1.443981,-0.031949,0.354493,-0.050793,-0.088338,1.683305,-0.160554,0.591234,1.726080,0.202044,4.428738,-20.789227,1.885863,0.167244,0.008860,0.000000,0.171726,-0.058289,0.000000
0.400000,-2.920769,-2.730409,-1.444497,-0.032803,0.371413,-0.052389,-0.082204,1.699523,-0.158439,0.635601,1.520719,0.218779,4.438034,-20.206713,1.449773,0.168861,0.008246,0.000000,0.151962,-0.062672,0.000000
0.410000,-2.921101,-2.726610,-1.445029,-0.033593,0.388484,-0.053962,-0.075626,1.713720,-0.156178,0.679994,1.321946,0.231039,4.432878,-19.600925,1.002453,0.170283,0.007588,0.000000,0.132788,-0.067066,0.000000
0.420000,-2.921441,-2.722639,-1.445577,-0.034315,0.405687,-0.055512,-0.068604,1.725961,-0.153818,0.724258,1.128700,0.238828,4.416359,-19.139353,0.578041,0.171517,0.006885,0.000000,0.114092,-0.071456,-0.000000
0.430000,-2.921788,-2.718496,-1.446139,-0.034965,0.423003,-0.057038,-0.061141,1.736294,-0.151402,0.768322,0.939158,0.242600,4.392550,-18.759692,0.183361,0.172565,0.006138,0.000000,0.095698,-0.075834,0.000000
0.440000,-2.922140,-2.714179,-1.446717,-0.035538,0.440413,-0.058540,-0.053238,1.744745,-0.148966,0.812109,0.753506,0.242495,4.358858,-18.265688,-0.221276,0.173431,0.005346,0.000000,0.077620,-0.080192,0.000000
0.450000,-2.922498,-2.709688,-1.447310,-0.036030,0.457898,-0.060018,-0.044899,1.751364,-0.146552,0.855499,0.573845,0.238175,4.311728,-17.624537,-0.654888,0.174118,0.004509,0.000000,0.060052,-0.084516,0.000000
