time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-1.431563,0.000000,0.000000,-1.761423,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-1.299407,0.000000,0.000000,-1.624538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856024,0.000000,0.000000,-1.160251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000160,-0.024438,0.000000,-0.000175,-0.024791,-0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000203,-0.000001,-0.027572,-0.000184,0.000001,-0.029262,0.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000002,0.000373,0.000330,-0.050975,0.000000,-0.000000,-0.053911
0.010000,-1.431562,0.000000,0.000000,-1.761423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299406,0.000000,0.000000,-1.624538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856024,0.000000,0.000000,-1.160251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000160,-0.024437,0.000000,-0.000174,-0.024791,-0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000203,-0.000000,-0.027570,-0.000183,0.000001,-0.029262,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000369,0.000327,-0.050972,0.000000,-0.000001,-0.053910
0.020000,-1.431562,0.000000,0.000000,-1.761423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299406,0.000000,0.000000,-1.624538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856024,0.000000,0.000000,-1.160251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000159,-0.024436,0.000000,-0.000173,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000203,-0.000000,-0.027568,-0.000182,0.000000,-0.029262,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000366,0.000325,-0.050969,0.000001,-0.000001,-0.053910
0.030000,-1.431562,0.000000,0.000000,-1.761423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299405,0.000000,0.000000,-1.624538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856023,0.000000,0.000000,-1.160251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000159,-0.024434,-0.000000,-0.000172,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000202,-0.000000,-0.027567,-0.000181,0.000000,-0.029262,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000364,0.000323,-0.050966,0.000001,-0.000001,-0.053910
0.040000,-1.431561,0.000000,0.000000,-1.761423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299405,0.000000,0.000000,-1.624538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856023,0.000000,0.000000,-1.160251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000158,-0.024433,-0.000000,-0.000171,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000201,-0.000000,-0.027565,-0.000180,0.000000,-0.029262,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000362,0.000321,-0.050963,0.000001,-0.000001,-0.053910
0.050000,-1.431561,0.000000,0.000000,-1.761423,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-1.299405,0.000000,0.000000,-1.624537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856023,0.000000,0.000000,-1.160251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000157,-0.024432,-0.000000,-0.000170,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000201,-0.000000,-0.027563,-0.000179,0.000000,-0.029262,0.000005,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000001,0.000360,0.000319,-0.050960,0.000001,-0.000001,-0.053910
0.060000,-1.431560,0.000000,0.000000,-1.761423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299404,0.000000,0.000000,-1.624537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856023,0.000000,0.000000,-1.160251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000157,-0.024431,-0.000000,-0.000169,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000200,-0.000000,-0.027562,-0.000178,0.000000,-0.029262,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000358,0.000317,-0.050957,0.000001,-0.000001,-0.053910
0.070000,-1.431560,0.000000,0.000000,-1.761423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299404,0.000000,0.000000,-1.624537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856022,0.000000,0.000000,-1.160250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000156,-0.024430,-0.000000,-0.000168,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000199,-0.000000,-0.027560,-0.000177,0.000000,-0.029262,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000356,0.000316,-0.050954,0.000001,-0.000001,-0.053910
0.080000,-1.431559,0.000000,0.000000,-1.761422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299403,0.000000,0.000000,-1.624537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856022,0.000000,0.000000,-1.160250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000155,-0.024428,0.000000,-0.000168,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000198,-0.000000,-0.027558,-0.000176,0.000000,-0.029262,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000355,0.000314,-0.050951,0.000001,-0.000001,-0.053910
0.090000,-1.431558,0.000000,0.000000,-1.761422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.299403,0.000000,0.000000,-1.624537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.856022,0.000000,0.000000,-1.160250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000154,-0.024427,0.000000,-0.000167,-0.024791,-0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000197,-0.000000,-0.027557,-0.000175,0.000000,-0.029262,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000353,0.000312,-0.050948,0.000001,-0.000001,-0.053910
