time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,-2.474971,-2.488758,0.492842,-0.005739,0.019546,0.011205,0.275660,-0.191952,-0.013414,-3.967020,1.149180,-0.005617,67.923364,-9.545193,1.948081,0.999997,0.001521,0.001126,-0.001344,-0.000946,-0.002399,0.000748
0.010000,-2.475015,-2.488571,0.492953,-0.003169,0.017683,0.011071,0.239304,-0.180928,-0.013374,-3.312186,1.056333,0.013583,63.090555,-9.027181,1.891929,0.999997,0.001515,0.001116,-0.001340,-0.001281,-0.002038,0.000881
0.020000,-2.475035,-2.488404,0.493063,-0.000932,0.015925,0.010938,0.209260,-0.170808,-0.013144,-2.704283,0.968578,0.032225,58.535558,-8.526547,1.836653,0.999997,0.001508,0.001105,-0.001335,-0.001493,-0.001804,0.000964
0.030000,-2.475035,-2.488253,0.493172,0.001035,0.014264,0.010808,0.185071,-0.161540,-0.012731,-2.140582,0.885745,0.050319,54.248300,-8.042942,1.782231,0.999997,0.001502,0.001095,-0.001331,-0.001619,-0.001660,0.001013
0.040000,-2.475015,-2.488118,0.493279,0.002788,0.012691,0.010684,0.166309,-0.153077,-0.012140,-1.618458,0.807664,0.067872,50.218691,-7.576087,1.728632,0.999997,0.001495,0.001086,-0.001327,-0.001686,-0.001578,0.001037
0.050000,-2.474979,-2.487999,0.493386,0.004378,0.011199,0.010566,0.152572,-0.145372,-0.011376,-1.135381,0.734177,0.084895,46.436848,-7.124755,1.675901,0.999997,0.001488,0.001076,-0.001322,-0.001715,-0.001534,0.001046
0.060000,-2.474928,-2.487894,0.493491,0.005855,0.009781,0.010457,0.143480,-0.138379,-0.010444,-0.688928,0.665119,0.101393,42.892486,-6.689561,1.623950,0.999997,0.001480,0.001068,-0.001317,-0.001721,-0.001515,0.001046
0.070000,-2.474862,-2.487803,0.493595,0.007262,0.008430,0.010358,0.138679,-0.132055,-0.009349,-0.276773,0.600335,0.117376,39.575621,-6.269730,1.572783,0.999997,0.001471,0.001060,-0.001312,-0.001715,-0.001508,0.001040
0.080000,-2.474783,-2.487725,0.493698,0.008642,0.007138,0.010270,0.137837,-0.126358,-0.008098,0.103309,0.539674,0.132851,36.476190,-5.864845,1.522374,0.999998,0.001463,0.001053,-0.001307,-0.001703,-0.001508,0.001033
0.090000,-2.474690,-2.487660,0.493800,0.010031,0.005901,0.010196,0.140645,-0.121248,-0.006694,0.453442,0.482990,0.147826,33.584134,-5.474466,1.472681,0.999998,0.001454,0.001046,-0.001301,-0.001690,-0.001509,0.001025
0.100000,-2.474582,-2.487607,0.493902,0.011466,0.004711,0.010137,0.146813,-0.116686,-0.005143,0.775650,0.430135,0.162309,30.889407,-5.098468,1.423827,0.999998,0.001445,0.001038,-0.001296,-0.001678,-0.001509,0.001017
