time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.139728,0.252106,0.957559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.582385
0.010000,-0.139724,0.252105,0.957559,-0.000001,0.000002,-0.000001,0.000011,0.001483,-0.000291,1.582398
0.020000,-0.139721,0.252105,0.957560,0.000008,0.000069,-0.000014,0.001761,0.012179,-0.002501,1.582090
0.030000,-0.139717,0.252104,0.957561,0.000043,0.000283,-0.000058,0.004843,0.030551,-0.006302,1.581541
0.040000,-0.139713,0.252104,0.957561,0.000113,0.000714,-0.000147,0.008905,0.055225,-0.011395,1.580814
0.050000,-0.139710,0.252103,0.957562,0.000227,0.001416,-0.000292,0.013645,0.084977,-0.017518,1.579964
0.060000,-0.139659,0.252097,0.957571,0.000391,0.002436,-0.000502,0.018808,0.118719,-0.024433,1.579032
0.070000,-0.139608,0.252091,0.957580,0.000607,0.003809,-0.000784,0.024177,0.155486,-0.031930,1.578052
0.080000,-0.139557,0.252085,0.957589,0.000877,0.005560,-0.001143,0.029570,0.194425,-0.039824,1.577050
0.090000,-0.139506,0.252079,0.957598,0.001200,0.007708,-0.001583,0.034834,0.234781,-0.047950,1.576047
0.100000,-0.139455,0.252073,0.957607,0.001574,0.010263,-0.002104,0.039843,0.275894,-0.056164,1.575057
0.110000,-0.139299,0.252055,0.957635,0.001996,0.013231,-0.002707,0.044494,0.317182,-0.064340,1.574090
0.120000,-0.139177,0.252041,0.957656,0.002463,0.016610,-0.003391,0.048701,0.358139,-0.072368,1.573155
0.130000,-0.139038,0.252025,0.957680,0.002969,0.020395,-0.004154,0.052397,0.398322,-0.080153,1.572255
0.140000,-0.138831,0.252002,0.957717,0.003510,0.024576,-0.004994,0.055528,0.437350,-0.087614,1.571393
0.150000,-0.138503,0.251968,0.957773,0.004079,0.029140,-0.005906,0.058055,0.474894,-0.094680,1.570570
0.160000,-0.138237,0.251941,0.957818,0.004670,0.034071,-0.006887,0.059945,0.510673,-0.101292,1.569787
0.170000,-0.137877,0.251904,0.957880,0.005276,0.039350,-0.007931,0.061179,0.544450,-0.107403,1.569042
