time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.550921,-2.010134,-1.417025,0.002001,0.009931,0.002706,0.031920,0.114583,-0.053257,1.452135,5.261160,-2.309504,-15.788411,-31.712928,35.677281,0.011617,-0.003236,0.000000,0.530610,-0.146458,0.000000
0.010000,-2.550901,-2.010035,-1.416998,0.002320,0.011077,0.002173,0.046441,0.167194,-0.076352,1.294251,4.944031,-1.952731,-61.225149,-164.927694,111.549292,0.016910,-0.004697,0.000000,0.496588,-0.129964,-0.000000
0.020000,-2.550874,-2.009912,-1.416982,0.002930,0.013275,0.001179,0.057805,0.213463,-0.092312,0.227633,1.962606,-0.078518,-100.935399,-255.703002,170.082777,0.021553,-0.005837,0.000000,0.197928,-0.022935,0.000000
0.030000,-2.550842,-2.009769,-1.416974,0.003476,0.015346,0.000327,0.050994,0.206446,-0.077923,-0.724457,-0.170029,1.448925,-51.351426,-56.850363,77.187120,0.020875,-0.005157,0.000000,-0.014122,0.072493,0.000000
0.040000,-2.550805,-2.009605,-1.416975,0.003949,0.017404,-0.000380,0.043316,0.210063,-0.063333,-0.799396,0.825599,1.465225,-6.380609,93.052700,1.255513,0.021272,-0.004387,0.000000,0.086744,0.080294,-0.000000
0.050000,-2.550763,-2.009421,-1.416982,0.004342,0.019548,-0.000940,0.035006,0.222958,-0.048618,-0.852069,1.691025,1.474035,-4.277633,80.539760,0.499958,0.022612,-0.003551,0.000000,0.174825,0.085875,-0.000000
0.060000,-2.550718,-2.009214,-1.416994,0.004650,0.021863,-0.001352,0.026274,0.243883,-0.033853,-0.884949,2.436394,1.475224,-2.414998,69.019837,-0.266004,0.024770,-0.002669,0.000000,0.251068,0.089471,0.000000
0.070000,-2.550670,-2.008984,-1.417009,0.004868,0.024425,-0.001617,0.017307,0.271686,-0.019114,-0.900369,3.071421,1.468715,-0.778644,58.449764,-1.036788,0.027634,-0.001761,0.000000,0.316375,0.091304,0.000000
0.080000,-2.550621,-2.008726,-1.417026,0.004996,0.027297,-0.001734,0.008267,0.305311,-0.004478,-0.900522,3.605389,1.454488,0.645482,48.786361,-1.806822,0.031098,-0.000842,0.000000,0.371607,0.091585,0.000000
0.090000,-2.550570,-2.008438,-1.417044,0.005033,0.030531,-0.001706,-0.000703,0.343794,0.009976,-0.887459,4.047149,1.432578,1.871439,39.986465,-2.570518,0.035067,0.000072,0.000000,0.417587,0.090512,0.000000
0.100000,-2.550520,-2.008115,-1.417060,0.004982,0.034173,-0.001535,-0.009482,0.386254,0.024173,-0.863093,4.405119,1.403078,2.913284,32.006914,-3.322281,0.039450,0.000969,0.000000,0.455100,0.088268,0.000000
0.110000,-2.550471,-2.007754,-1.417074,0.004843,0.038257,-0.001223,-0.017965,0.431896,0.038038,-0.829193,4.687287,1.366133,3.785079,24.804528,-4.056539,0.044169,0.001838,0.000000,0.484891,0.085028,-0.000000
0.120000,-2.550423,-2.007350,-1.417085,0.004622,0.042811,-0.000774,-0.026066,0.480000,0.051496,-0.787391,4.901209,1.321947,4.500859,18.336157,-4.767701,0.049148,0.002671,0.000000,0.507673,0.080951,0.000000
0.130000,-2.550378,-2.006898,-1.417090,0.004322,0.047857,-0.000193,-0.033713,0.529920,0.064476,-0.739176,5.054010,1.270779,5.074686,12.558637,-5.450180,0.054322,0.003459,0.000000,0.524121,0.076185,0.000000
