time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.114185,-2.707721,-1.450699,-0.024716,-0.004099,0.025931,0.354908,0.022101,-0.113711,-3.028942,-1.610144,0.172198,11.870012,148.893892,-14.960449,0.002226,-0.035748,0.000000,-0.162085,0.304212,0.000000
0.010000,-2.114415,-2.707761,-1.450446,-0.021316,-0.003934,0.024800,0.325213,0.013137,-0.112707,-2.910204,-0.212824,0.031520,11.876334,130.800765,-13.188912,0.001323,-0.032763,0.000000,-0.021420,0.292868,0.000000
0.020000,-2.114613,-2.707800,-1.450203,-0.018208,-0.003792,0.023673,0.296704,0.017265,-0.113023,-2.791439,1.010391,-0.091856,11.875371,114.063607,-11.500123,0.001739,-0.029892,0.000000,0.101776,0.281334,-0.000000
0.030000,-2.114780,-2.707837,-1.449972,-0.015378,-0.003551,0.022536,0.269384,0.032809,-0.114489,-2.672723,2.072786,-0.198756,11.866497,98.627597,-9.893443,0.003305,-0.027137,0.000000,0.208734,0.269649,0.000000
0.040000,-2.114921,-2.707870,-1.449753,-0.012816,-0.003103,0.021380,0.243250,0.058227,-0.116946,-2.554138,2.987098,-0.289996,11.849020,84.437982,-8.368195,0.005864,-0.024499,0.000000,0.300673,0.257850,0.000000
0.050000,-2.115038,-2.707898,-1.449545,-0.010509,-0.002358,0.020194,0.218300,0.092098,-0.120239,-2.435769,3.765510,-0.366391,11.822797,71.439220,-6.924016,0.009272,-0.021980,0.000000,0.378780,0.245970,0.000000
0.060000,-2.115132,-2.707916,-1.449349,-0.008446,-0.001237,0.018973,0.194533,0.133123,-0.124227,-2.317713,4.419669,-0.428745,11.786701,59.577261,-5.559988,0.013397,-0.019580,0.000000,0.444211,0.234040,-0.000000
0.070000,-2.115207,-2.707921,-1.449166,-0.006615,0.000324,0.017708,0.171945,0.180114,-0.128770,-2.200069,4.960661,-0.477856,11.740319,48.796938,-4.275584,0.018118,-0.017299,0.000000,0.498082,0.222091,0.000000
0.080000,-2.115265,-2.707908,-1.448995,-0.005003,0.002381,0.016396,0.150530,0.231994,-0.133742,-2.082943,5.399030,-0.514520,11.683043,39.043364,-3.070134,0.023324,-0.015137,0.000000,0.541468,0.210151,0.000000
0.090000,-2.115308,-2.707872,-1.448838,-0.003600,0.004977,0.015032,0.130284,0.287786,-0.139022,-1.966447,5.744768,-0.539520,11.614242,30.261632,-1.942892,0.028916,-0.013094,0.000000,0.575396,0.198246,0.000000
0.100000,-2.115338,-2.707806,-1.448694,-0.002394,0.008147,0.013615,0.111199,0.346612,-0.144496,-1.850698,6.007323,-0.553643,11.533429,22.397244,-0.893975,0.034803,-0.011170,0.000000,0.600848,0.186401,0.000000
0.110000,-2.115356,-2.707707,-1.448566,-0.001372,0.011917,0.012142,0.093267,0.407685,-0.150061,-1.735821,6.195588,-0.557659,11.439883,15.394880,0.078123,0.040907,-0.009364,0.000000,0.618755,0.174641,0.000000
0.120000,-2.115366,-2.707566,-1.448452,-0.000524,0.016306,0.010613,0.076479,0.470304,-0.155618,-1.621945,6.317912,-0.552336,11.333056,9.199858,0.973710,0.047156,-0.007674,0.000000,0.629993,0.162988,0.000000
0.130000,-2.115368,-2.707378,-1.448354,0.000161,0.021326,0.009030,0.060824,0.533850,-0.161079,-1.509206,6.382094,-0.538437,11.212380,3.757373,1.793424,0.053488,-0.006100,0.000000,0.635386,0.151465,0.000000
0.140000,-2.115363,-2.707137,-1.448271,0.000696,0.026984,0.007393,0.046290,0.597776,-0.166361,-1.397745,6.395385,-0.516718,11.077338,-0.987282,2.537897,0.059847,-0.004640,0.000000,0.635700,0.140092,-0.000000
0.150000,-2.115354,-2.706837,-1.448206,0.001091,0.033281,0.005704,0.032864,0.661610,-0.171390,-1.287708,6.364492,-0.487928,10.927495,-5.088658,3.207742,0.066187,-0.003293,0.000000,0.631645,0.128888,0.000000
0.160000,-2.115342,-2.706470,-1.448158,0.001357,0.040215,0.003966,0.020531,0.724939,-0.176099,-1.179264,6.295544,-0.452814,10.760724,-8.604251,3.803324,0.072468,-0.002056,0.000000,0.623868,0.117873,-0.000000
0.170000,-2.115327,-2.706030,-1.448127,0.001505,0.047777,0.002183,0.009273,0.787413,-0.180428,-1.072555,6.194174,-0.412108,10.578399,-11.585563,4.325674,0.078654,-0.000928,0.000000,0.612959,0.107064,0.000000
0.180000,-2.115312,-2.705512,-1.448114,0.001546,0.055959,0.000359,-0.000927,0.848732,-0.184325,-0.967752,6.065427,-0.366543,10.379172,-14.088648,4.775255,0.084718,0.000093,0.000000,0.599449,0.096480,0.000000
0.190000,-2.115297,-2.704909,-1.448120,0.001490,0.064747,-0.001502,-0.010089,0.908645,-0.187745,-0.865030,5.913812,-0.316844,10.162412,-16.168240,5.152695,0.090636,0.001009,0.000000,0.583804,0.086135,0.000000
0.200000,-2.115282,-2.704215,-1.448144,0.001347,0.074126,-0.003395,-0.018235,0.966945,-0.190650,-0.764564,5.743281,-0.263729,9.927607,-17.880108,5.458543,0.096388,0.001823,0.000000,0.566431,0.076048,-0.000000
0.210000,-2.115270,-2.703424,-1.448188,0.001128,0.084080,-0.005313,-0.025407,1.023327,-0.193022,-0.670755,5.527031,-0.210696,9.590740,-19.875412,5.638441,0.101947,0.002540,0.000000,0.544662,0.066653,0.000000
