time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-1.433246,0.000000,0.000000,-1.763776,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-1.295151,0.000000,0.000000,-1.620801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857670,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,-0.028885,0.000026,0.000112,-0.029282,0.000001,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000093,-0.000022,-0.023344,-0.000033,-0.000001,-0.024775,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000051,-0.000203,0.000069,-0.051020,0.000000,0.000000,-0.053912
0.010000,-1.433246,0.000000,0.000000,-1.763776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295151,0.000000,0.000000,-1.620801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857670,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,-0.028884,0.000026,0.000112,-0.029282,0.000001,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000093,-0.000022,-0.023342,-0.000033,-0.000001,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000050,-0.000201,0.000068,-0.051017,0.000000,0.000000,-0.053912
0.020000,-1.433246,0.000000,0.000000,-1.763776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295150,0.000000,0.000000,-1.620801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857669,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,-0.028882,0.000026,0.000111,-0.029282,0.000001,-0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000093,-0.000022,-0.023341,-0.000032,-0.000000,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000050,-0.000200,0.000068,-0.051014,0.000000,0.000000,-0.053912
0.030000,-1.433245,0.000000,0.000000,-1.763775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295150,0.000000,0.000000,-1.620800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857669,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000040,-0.028881,0.000026,0.000110,-0.029282,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000093,-0.000022,-0.023340,-0.000032,-0.000000,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,-0.000198,0.000067,-0.051011,0.000000,0.000000,-0.053912
0.040000,-1.433245,0.000000,0.000000,-1.763775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295149,0.000000,0.000000,-1.620800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857669,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,-0.028880,0.000026,0.000110,-0.029282,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000093,-0.000022,-0.023338,-0.000032,-0.000000,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,-0.000197,0.000067,-0.051008,0.000000,0.000000,-0.053912
0.050000,-1.433244,0.000000,0.000000,-1.763775,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-1.295149,0.000000,0.000000,-1.620800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857669,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,-0.028878,0.000026,0.000109,-0.029282,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000092,-0.000022,-0.023337,-0.000032,-0.000000,-0.024775,0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000049,-0.000196,0.000066,-0.051005,0.000000,0.000000,-0.053911
0.060000,-1.433244,0.000000,0.000000,-1.763775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295148,0.000000,0.000000,-1.620800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857668,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,-0.028877,0.000026,0.000109,-0.029282,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000092,-0.000022,-0.023335,-0.000032,-0.000000,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,-0.000195,0.000066,-0.051002,0.000000,0.000000,-0.053911
0.070000,-1.433243,0.000000,0.000000,-1.763775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295148,0.000000,0.000000,-1.620800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857668,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,-0.028875,0.000026,0.000108,-0.029282,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000091,-0.000022,-0.023334,-0.000031,-0.000000,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,-0.000194,0.000065,-0.050999,0.000000,0.000000,-0.053911
0.080000,-1.433243,0.000000,0.000000,-1.763775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295147,0.000000,0.000000,-1.620800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857668,0.000000,0.000000,-1.161870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000039,-0.028874,0.000026,0.000108,-0.029282,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000091,-0.000022,-0.023332,-0.000031,-0.000000,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000049,-0.000193,0.000065,-0.050996,0.000000,0.000000,-0.053911
0.090000,-1.433242,0.000000,0.000000,-1.763775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.295147,0.000000,0.000000,-1.620800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.857668,0.000000,0.000000,-1.161869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000038,-0.028873,0.000026,0.000107,-0.029282,0.000000,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000090,-0.000022,-0.023331,-0.000031,-0.000000,-0.024775,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000048,-0.000192,0.000065,-0.050993,0.000000,0.000000,-0.053911
