time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,-2.517462,-2.480673,0.476305,0.008559,0.001228,-0.003143,0.266750,0.082183,0.085010,-3.979435,-0.799027,-0.323657,67.768950,3.024617,2.798275,0.999990,0.001409,0.004008,-0.001000,0.000037,-0.000427,0.002096
0.010000,-2.517364,-2.480656,0.476278,0.011039,0.002010,-0.002309,0.230263,0.074341,0.081912,-3.325936,-0.769873,-0.296035,62.977278,2.809397,2.726359,0.999991,0.001405,0.003998,-0.000993,-0.000665,-0.001882,0.001405
0.020000,-2.517243,-2.480633,0.476259,0.013185,0.002716,-0.001504,0.200076,0.066779,0.079087,-2.718977,-0.742776,-0.269128,58.459208,2.613048,2.655039,0.999991,0.001402,0.003988,-0.000986,-0.001114,-0.002809,0.000959
0.030000,-2.517101,-2.480602,0.476248,0.015060,0.003347,-0.000726,0.175737,0.059479,0.076528,-2.155872,-0.717551,-0.242932,54.204882,2.434848,2.584337,0.999991,0.001399,0.003979,-0.000979,-0.001383,-0.003365,0.000685
0.040000,-2.516942,-2.480566,0.476244,0.016718,0.003906,0.000027,0.156821,0.052422,0.074226,-1.634033,-0.694021,-0.217439,50.204479,2.274061,2.514280,0.999991,0.001394,0.003968,-0.000973,-0.001531,-0.003669,0.000530
0.050000,-2.516767,-2.480524,0.476248,0.018213,0.004396,0.000759,0.142927,0.045594,0.072176,-1.150969,-0.672014,-0.192644,46.448095,2.130020,2.444856,0.999991,0.001389,0.003955,-0.000968,-0.001600,-0.003809,0.000450
0.060000,-2.516578,-2.480478,0.476260,0.019592,0.004819,0.001472,0.133680,0.038978,0.070371,-0.704290,-0.651367,-0.168540,42.925850,2.001968,2.376113,0.999991,0.001383,0.003938,-0.000964,-0.001621,-0.003850,0.000417
0.070000,-2.516376,-2.480428,0.476278,0.020901,0.005176,0.002167,0.128728,0.032562,0.068803,-0.291704,-0.631924,-0.145120,39.627905,1.889192,2.308063,0.999991,0.001375,0.003920,-0.000962,-0.001616,-0.003837,0.000409
0.080000,-2.516160,-2.480375,0.476303,0.022180,0.005471,0.002848,0.127740,0.026336,0.067466,0.088983,-0.613535,-0.122376,36.544395,1.790942,2.240734,0.999991,0.001366,0.003900,-0.000960,-0.001600,-0.003800,0.000413
0.090000,-2.515932,-2.480319,0.476335,0.023468,0.005704,0.003517,0.130408,0.020288,0.066354,0.439866,-0.596060,-0.100302,33.665429,1.706420,2.174165,0.999991,0.001358,0.003880,-0.000959,-0.001582,-0.003758,0.000419
0.100000,-2.515691,-2.480261,0.476373,0.024799,0.005877,0.004176,0.136444,0.014412,0.065458,0.762940,-0.579358,-0.078892,30.981134,1.635427,2.108223,0.999991,0.001350,0.003861,-0.000957,-0.001565,-0.003720,0.000424
0.110000,-2.515436,-2.480202,0.476418,0.026207,0.005992,0.004827,0.145580,0.008699,0.064774,1.060104,-0.563308,-0.058136,28.481699,1.576625,2.043114,0.999991,0.001342,0.003842,-0.000955,-0.001552,-0.003689,0.000425
0.120000,-2.515166,-2.480141,0.476470,0.027720,0.006051,0.005472,0.157566,0.003144,0.064293,1.333157,-0.547787,-0.038027,26.157227,1.529531,1.978787,0.999991,0.001334,0.003824,-0.000953,-0.001543,-0.003668,0.000423
