time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.120389,-0.050199,0.991457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.664799
0.010000,-0.120389,-0.050197,0.991457,-0.000002,0.000002,0.000000,-0.000814,0.000290,-0.000299,0.664813
0.020000,-0.120389,-0.050194,0.991457,-0.000040,0.000006,-0.000014,-0.006897,0.000612,-0.002550,0.664863
0.030000,-0.120389,-0.050192,0.991457,-0.000162,0.000013,-0.000060,-0.017368,0.001085,-0.006428,0.664949
0.040000,-0.120389,-0.050190,0.991457,-0.000407,0.000025,-0.000151,-0.031451,0.001797,-0.011654,0.665066
0.050000,-0.120389,-0.050188,0.991457,-0.000808,0.000047,-0.000300,-0.048463,0.002814,-0.017987,0.665212
0.060000,-0.120388,-0.050158,0.991459,-0.001390,0.000081,-0.000516,-0.067811,0.004177,-0.025220,0.665386
0.070000,-0.120386,-0.050128,0.991461,-0.002175,0.000130,-0.000809,-0.088974,0.005915,-0.033175,0.665584
0.080000,-0.120385,-0.050098,0.991462,-0.003178,0.000199,-0.001183,-0.111503,0.008039,-0.041702,0.665805
0.090000,-0.120384,-0.050069,0.991464,-0.004412,0.000292,-0.001645,-0.135006,0.010554,-0.050672,0.666046
0.100000,-0.120382,-0.050039,0.991466,-0.005883,0.000412,-0.002199,-0.159149,0.013453,-0.059974,0.666307
0.110000,-0.120376,-0.049926,0.991472,-0.007598,0.000562,-0.002846,-0.183644,0.016723,-0.069516,0.666584
0.120000,-0.120369,-0.049813,0.991479,-0.009559,0.000748,-0.003590,-0.208243,0.020349,-0.079219,0.666876
0.130000,-0.120362,-0.049700,0.991485,-0.011765,0.000971,-0.004432,-0.232738,0.024309,-0.089016,0.667182
0.140000,-0.120355,-0.049587,0.991492,-0.014215,0.001235,-0.005371,-0.256952,0.028583,-0.098850,0.667501
0.150000,-0.120348,-0.049474,0.991498,-0.016904,0.001543,-0.006409,-0.280736,0.033146,-0.108674,0.667831
0.160000,-0.120331,-0.049253,0.991511,-0.019829,0.001898,-0.007545,-0.303964,0.037977,-0.118448,0.668170
0.170000,-0.120318,-0.049068,0.991522,-0.022983,0.002303,-0.008778,-0.326533,0.043050,-0.128135,0.668519
0.180000,-0.120302,-0.048866,0.991534,-0.026358,0.002760,-0.010108,-0.348357,0.048343,-0.137708,0.668876
0.190000,-0.120280,-0.048589,0.991550,-0.029948,0.003271,-0.011532,-0.369366,0.053832,-0.147142,0.669240
0.200000,-0.120244,-0.048184,0.991574,-0.033743,0.003837,-0.013050,-0.389503,0.059496,-0.156415,0.669610
0.210000,-0.120215,-0.047891,0.991592,-0.037736,0.004461,-0.014660,-0.408723,0.065315,-0.165509,0.669986
0.220000,-0.120176,-0.047489,0.991616,-0.041915,0.005144,-0.016360,-0.426989,0.071263,-0.174411,0.670367
0.230000,-0.120128,-0.047004,0.991645,-0.046273,0.005887,-0.018148,-0.444277,0.077319,-0.183108,0.670753
0.240000,-0.120072,-0.046461,0.991677,-0.050798,0.006691,-0.020021,-0.460565,0.083460,-0.191593,0.671143
0.250000,-0.120008,-0.045886,0.991712,-0.055481,0.007556,-0.021979,-0.475840,0.089665,-0.199857,0.671537
0.260000,-0.119938,-0.045281,0.991748,-0.060311,0.008484,-0.024018,-0.490092,0.095914,-0.207893,0.671934
0.270000,-0.119861,-0.044629,0.991787,-0.065280,0.009475,-0.026136,-0.503318,0.102183,-0.215697,0.672333
0.280000,-0.119775,-0.043926,0.991829,-0.070375,0.010528,-0.028331,-0.515520,0.108454,-0.223266,0.672735
0.290000,-0.119678,-0.043169,0.991874,-0.075587,0.011644,-0.030601,-0.526699,0.114704,-0.230598,0.673140
0.300000,-0.119569,-0.042353,0.991922,-0.080905,0.012822,-0.032942,-0.536862,0.120913,-0.237691,0.673546
0.310000,-0.119449,-0.041480,0.991973,-0.086321,0.014062,-0.035354,-0.546015,0.127062,-0.244543,0.673954
0.320000,-0.119319,-0.040554,0.992027,-0.091822,0.015363,-0.037832,-0.554171,0.133130,-0.251155,0.674363
0.330000,-0.119177,-0.039570,0.992084,-0.097401,0.016724,-0.040376,-0.561341,0.139097,-0.257528,0.674773
0.340000,-0.119021,-0.038527,0.992144,-0.103046,0.018144,-0.042982,-0.567537,0.144944,-0.263662,0.675184
0.350000,-0.118849,-0.037423,0.992207,-0.108748,0.019623,-0.045649,-0.572775,0.150652,-0.269557,0.675595
0.360000,-0.118663,-0.036259,0.992272,-0.114498,0.021157,-0.048373,-0.577067,0.156201,-0.275217,0.676007
0.370000,-0.118463,-0.035034,0.992340,-0.120287,0.022746,-0.051152,-0.580430,0.161573,-0.280641,0.676419
0.380000,-0.118249,-0.033750,0.992410,-0.126104,0.024388,-0.053985,-0.582880,0.166748,-0.285832,0.676830
0.390000,-0.118017,-0.032405,0.992483,-0.131941,0.026080,-0.056868,-0.584434,0.171709,-0.290793,0.677241
0.400000,-0.117767,-0.030998,0.992557,-0.137790,0.027821,-0.059800,-0.585108,0.176437,-0.295524,0.677651
0.410000,-0.117500,-0.029529,0.992634,-0.143641,0.029608,-0.062778,-0.584918,0.180914,-0.300029,0.678061
0.420000,-0.117216,-0.027998,0.992712,-0.149485,0.031439,-0.065800,-0.583881,0.185121,-0.304310,0.678468
0.430000,-0.116913,-0.026406,0.992791,-0.155316,0.033310,-0.068863,-0.582014,0.189043,-0.308368,0.678875
0.440000,-0.116592,-0.024753,0.992871,-0.161123,0.035218,-0.071966,-0.579333,0.192660,-0.312207,0.679280
0.450000,-0.116249,-0.023040,0.992953,-0.166899,0.037162,-0.075107,-0.575856,0.195957,-0.315829,0.679683
0.460000,-0.115887,-0.021266,0.993035,-0.172637,0.039136,-0.078282,-0.571597,0.198915,-0.319235,0.680083
0.470000,-0.115504,-0.019429,0.993117,-0.178329,0.041139,-0.081491,-0.566573,0.201519,-0.322429,0.680481
0.480000,-0.115102,-0.017533,0.993199,-0.183966,0.043166,-0.084730,-0.560799,0.203752,-0.325412,0.680877
0.490000,-0.114678,-0.015579,0.993281,-0.189542,0.045213,-0.087998,-0.554292,0.205598,-0.328186,0.681269
0.500000,-0.114231,-0.013568,0.993362,-0.195050,0.047276,-0.091293,-0.547064,0.207041,-0.330754,0.681658
0.510000,-0.113762,-0.011499,0.993441,-0.200481,0.049352,-0.094612,-0.539132,0.208065,-0.333119,0.682043
0.520000,-0.113271,-0.009370,0.993520,-0.205830,0.051436,-0.097955,-0.530509,0.208655,-0.335280,0.682425
0.530000,-0.112759,-0.007184,0.993596,-0.211089,0.053524,-0.101317,-0.521210,0.208796,-0.337242,0.682803
0.540000,-0.112223,-0.004944,0.993671,-0.216252,0.055611,-0.104699,-0.511247,0.208474,-0.339005,0.683177
0.550000,-0.111664,-0.002654,0.993742,-0.221312,0.057692,-0.108097,-0.500634,0.207674,-0.340571,0.683546
0.560000,-0.111082,-0.000309,0.993811,-0.226263,0.059762,-0.111510,-0.489382,0.206382,-0.341942,0.683910
0.570000,-0.110476,0.002091,0.993877,-0.231097,0.061818,-0.114935,-0.477506,0.204584,-0.343120,0.684269
0.580000,-0.109848,0.004542,0.993938,-0.235811,0.063852,-0.118371,-0.465015,0.202268,-0.344106,0.684623
0.590000,-0.109196,0.007041,0.993995,-0.240396,0.065861,-0.121817,-0.451922,0.199419,-0.344901,0.684971
0.600000,-0.108522,0.009585,0.994048,-0.244847,0.067839,-0.125269,-0.438237,0.196026,-0.345507,0.685314
0.610000,-0.107824,0.012175,0.994095,-0.249159,0.069780,-0.128726,-0.423972,0.192076,-0.345925,0.685651
0.620000,-0.107103,0.014815,0.994138,-0.253325,0.071679,-0.132187,-0.409136,0.187559,-0.346156,0.685982
0.630000,-0.106359,0.017499,0.994174,-0.257339,0.073529,-0.135649,-0.393739,0.182461,-0.346201,0.686306
0.640000,-0.105593,0.020224,0.994204,-0.261197,0.075326,-0.139110,-0.377791,0.176773,-0.346062,0.686624
0.650000,-0.104806,0.022984,0.994227,-0.264893,0.077063,-0.142569,-0.361301,0.170484,-0.345739,0.686934
0.660000,-0.103997,0.025782,0.994243,-0.268422,0.078734,-0.146024,-0.344278,0.163585,-0.345234,0.687238
0.670000,-0.103165,0.028623,0.994252,-0.271777,0.080332,-0.149473,-0.326731,0.156065,-0.344547,0.687535
0.680000,-0.102312,0.031500,0.994253,-0.274955,0.081853,-0.152914,-0.308668,0.147917,-0.343678,0.687824
0.690000,-0.101440,0.034408,0.994246,-0.277949,0.083289,-0.156346,-0.290096,0.139131,-0.342630,0.688105
0.700000,-0.100550,0.037341,0.994231,-0.280755,0.084633,-0.159766,-0.271024,0.129699,-0.341401,0.688378
0.710000,-0.099641,0.040304,0.994207,-0.283368,0.085880,-0.163174,-0.251460,0.119616,-0.339994,0.688643
0.720000,-0.098711,0.043299,0.994174,-0.285782,0.087024,-0.166566,-0.231410,0.108873,-0.338408,0.688901
0.730000,-0.097763,0.046321,0.994131,-0.287994,0.088056,-0.169941,-0.210882,0.097466,-0.336645,0.689149
0.740000,-0.096801,0.049363,0.994079,-0.289998,0.088971,-0.173298,-0.189883,0.085387,-0.334704,0.689389
0.750000,-0.095826,0.052418,0.994017,-0.291790,0.089761,-0.176635,-0.168421,0.072634,-0.332587,0.689620
0.760000,-0.094836,0.055492,0.993945,-0.293365,0.090421,-0.179949,-0.146501,0.059201,-0.330294,0.689843
0.770000,-0.093829,0.058589,0.993863,-0.294719,0.090943,-0.183240,-0.124130,0.045086,-0.327826,0.690056
0.780000,-0.092810,0.061701,0.993770,-0.295846,0.091321,-0.186505,-0.101316,0.030285,-0.325182,0.690259
0.790000,-0.091781,0.064821,0.993667,-0.296744,0.091547,-0.189743,-0.078065,0.014796,-0.322364,0.690454
0.800000,-0.090747,0.067943,0.993554,-0.297406,0.091614,-0.192952,-0.054383,-0.001381,-0.319373,0.690638
0.810000,-0.089705,0.071070,0.993429,-0.297830,0.091517,-0.196130,-0.030278,-0.018247,-0.316209,0.690813
0.820000,-0.088651,0.074209,0.993295,-0.298010,0.091247,-0.199275,-0.005757,-0.035802,-0.312872,0.690978
0.830000,-0.087591,0.077351,0.993149,-0.297944,0.090798,-0.202387,0.019175,-0.054045,-0.309364,0.691133
0.840000,-0.086530,0.080488,0.992993,-0.297626,0.090164,-0.205462,0.044509,-0.072974,-0.305685,0.691278
0.850000,-0.085473,0.083613,0.992826,-0.297052,0.089337,-0.208500,0.070238,-0.092586,-0.301836,0.691413
0.860000,-0.084416,0.086731,0.992649,-0.296220,0.088310,-0.211498,0.096356,-0.112878,-0.297818,0.691537
0.870000,-0.083355,0.089848,0.992461,-0.295124,0.087077,-0.214456,0.122854,-0.133844,-0.293633,0.691650
0.880000,-0.082296,0.092955,0.992263,-0.293761,0.085631,-0.217370,0.149725,-0.155480,-0.289280,0.691753
0.890000,-0.081246,0.096043,0.992056,-0.292128,0.083965,-0.220241,0.176961,-0.177779,-0.284763,0.691844
0.900000,-0.080211,0.099104,0.991839,-0.290221,0.082073,-0.223065,0.204552,-0.200733,-0.280081,0.691925
0.910000,-0.079186,0.102145,0.991613,-0.288036,0.079948,-0.225842,0.232491,-0.224335,-0.275236,0.691994
0.920000,-0.078166,0.105171,0.991377,-0.285570,0.077585,-0.228569,0.260768,-0.248576,-0.270230,0.692053
0.930000,-0.077160,0.108173,0.991133,-0.282820,0.074975,-0.231246,0.289374,-0.273445,-0.265065,0.692099
0.940000,-0.076174,0.111142,0.990881,-0.279781,0.072114,-0.233870,0.318298,-0.298930,-0.259743,0.692134
0.950000,-0.075215,0.114069,0.990621,-0.276453,0.068994,-0.236440,0.347530,-0.325020,-0.254265,0.692157
0.960000,-0.074279,0.116962,0.990355,-0.272830,0.065611,-0.238955,0.377060,-0.351701,-0.248634,0.692169
0.970000,-0.073359,0.119825,0.990081,-0.268910,0.061959,-0.241413,0.406875,-0.378959,-0.242853,0.692168
0.980000,-0.072465,0.122649,0.989801,-0.264692,0.058030,-0.243812,0.436963,-0.406778,-0.236923,0.692154
0.990000,-0.071605,0.125426,0.989516,-0.260170,0.053821,-0.246150,0.467313,-0.435142,-0.230848,0.692128
1.000000,-0.070788,0.128146,0.989226,-0.255345,0.049326,-0.248428,0.497911,-0.464033,-0.224631,0.692090
1.010000,-0.070006,0.130816,0.988932,-0.250211,0.044539,-0.250643,0.528742,-0.493433,-0.218275,0.692038
1.020000,-0.069254,0.133442,0.988634,-0.244769,0.039456,-0.252793,0.559793,-0.523320,-0.211784,0.691974
1.030000,-0.068542,0.136014,0.988333,-0.239015,0.034071,-0.254878,0.591047,-0.553675,-0.205161,0.691896
1.040000,-0.067879,0.138524,0.988030,-0.232947,0.028381,-0.256896,0.622490,-0.584474,-0.198410,0.691804
1.050000,-0.067275,0.140962,0.987727,-0.226565,0.022380,-0.258846,0.654104,-0.615695,-0.191535,0.691699
1.060000,-0.066722,0.143334,0.987423,-0.219865,0.016066,-0.260726,0.685872,-0.647312,-0.184541,0.691580
1.070000,-0.066214,0.145648,0.987118,-0.212847,0.009433,-0.262536,0.717776,-0.679301,-0.177433,0.691448
1.080000,-0.065761,0.147892,0.986815,-0.205509,0.002479,-0.264275,0.749795,-0.711634,-0.170215,0.691301
1.090000,-0.065375,0.150060,0.986513,-0.197851,-0.004801,-0.265940,0.781912,-0.744283,-0.162893,0.691140
1.100000,-0.065063,0.152140,0.986215,-0.189871,-0.012408,-0.267532,0.814104,-0.777218,-0.155473,0.690964
1.110000,-0.064820,0.154139,0.985921,-0.181568,-0.020346,-0.269049,0.846349,-0.810409,-0.147959,0.690775
1.120000,-0.064639,0.156064,0.985630,-0.172944,-0.028617,-0.270491,0.878627,-0.843824,-0.140360,0.690571
1.130000,-0.064531,0.157906,0.985343,-0.163996,-0.037223,-0.271856,0.910911,-0.877430,-0.132680,0.690354
1.140000,-0.064505,0.159655,0.985063,-0.154726,-0.046166,-0.273144,0.943179,-0.911194,-0.124926,0.690123
1.150000,-0.064573,0.161303,0.984790,-0.145133,-0.055447,-0.274355,0.975405,-0.945079,-0.117107,0.689879
1.160000,-0.064728,0.162855,0.984525,-0.135218,-0.065068,-0.275486,1.007563,-0.979049,-0.109229,0.689622
1.170000,-0.064962,0.164318,0.984266,-0.124982,-0.075028,-0.276539,1.039624,-1.013067,-0.101299,0.689354
1.180000,-0.065286,0.165682,0.984016,-0.114426,-0.085329,-0.277512,1.071561,-1.047093,-0.093327,0.689074
1.190000,-0.065712,0.166940,0.983775,-0.103551,-0.095970,-0.278405,1.103344,-1.081088,-0.085320,0.688784
1.200000,-0.066250,0.168082,0.983544,-0.092360,-0.106950,-0.279219,1.134944,-1.115010,-0.077287,0.688486
1.210000,-0.066893,0.169115,0.983324,-0.080853,-0.118270,-0.279951,1.166328,-1.148817,-0.069237,0.688181
1.220000,-0.067634,0.170043,0.983113,-0.069034,-0.129926,-0.280603,1.197464,-1.182467,-0.061180,0.687870
1.230000,-0.068484,0.170858,0.982913,-0.056905,-0.141918,-0.281175,1.228319,-1.215914,-0.053124,0.687555
1.240000,-0.069453,0.171554,0.982724,-0.044469,-0.154244,-0.281666,1.258859,-1.249112,-0.045082,0.687240
1.250000,-0.070554,0.172121,0.982546,-0.031729,-0.166899,-0.282077,1.289048,-1.282016,-0.037061,0.686927
1.260000,-0.071778,0.172564,0.982380,-0.018689,-0.179883,-0.282407,1.318850,-1.314579,-0.029074,0.686617
1.270000,-0.073118,0.172889,0.982224,-0.005353,-0.193190,-0.282658,1.348228,-1.346750,-0.021131,0.686316
1.280000,-0.074586,0.173089,0.982078,0.008274,-0.206816,-0.282830,1.377143,-1.378483,-0.013244,0.686026
1.290000,-0.076192,0.173155,0.981943,0.022188,-0.220758,-0.282923,1.405556,-1.409725,-0.005424,0.685751
1.300000,-0.077946,0.173082,0.981818,0.036383,-0.235009,-0.282939,1.433427,-1.440426,0.002317,0.685496
1.310000,-0.079842,0.172872,0.981703,0.050854,-0.249564,-0.282877,1.460715,-1.470535,0.009966,0.685263
1.320000,-0.081873,0.172531,0.981596,0.065595,-0.264417,-0.282740,1.487379,-1.499998,0.017512,0.685059
1.330000,-0.084049,0.172052,0.981496,0.080600,-0.279562,-0.282527,1.513374,-1.528763,0.024941,0.684887
1.340000,-0.086380,0.171429,0.981402,0.095860,-0.294990,-0.282241,1.538659,-1.556775,0.032240,0.684751
1.350000,-0.088875,0.170657,0.981314,0.111370,-0.310694,-0.281883,1.563188,-1.583981,0.039397,0.684655
1.360000,-0.091530,0.169737,0.981230,0.127121,-0.326667,-0.281454,1.586917,-1.610326,0.046397,0.684604
1.370000,-0.094336,0.168674,0.981147,0.143106,-0.342898,-0.280956,1.609800,-1.635754,0.053227,0.684601
1.380000,-0.097303,0.167462,0.981065,0.159314,-0.359379,-0.280390,1.631791,-1.660210,0.059873,0.684648
1.390000,-0.100439,0.166098,0.980981,0.175738,-0.376099,-0.279759,1.652842,-1.683638,0.066321,0.684748
1.400000,-0.103755,0.164576,0.980892,0.192368,-0.393048,-0.279064,1.672908,-1.705982,0.072556,0.684899
1.410000,-0.107244,0.162898,0.980797,0.209193,-0.410214,-0.278309,1.691941,-1.727186,0.078565,0.685096
1.420000,-0.110900,0.161066,0.980693,0.226203,-0.427587,-0.277494,1.709892,-1.747195,0.084333,0.685342
1.430000,-0.114730,0.159078,0.980577,0.243387,-0.445154,-0.276623,1.726715,-1.765951,0.089846,0.685634
1.440000,-0.118743,0.156930,0.980445,0.260734,-0.462902,-0.275698,1.742361,-1.783401,0.095088,0.685964
1.450000,-0.122944,0.154621,0.980294,0.278230,-0.480818,-0.274722,1.756783,-1.799489,0.100046,0.686320
1.460000,-0.127330,0.152149,0.980121,0.295865,-0.498887,-0.273698,1.769934,-1.814161,0.104706,0.686692
1.470000,-0.131895,0.149515,0.979923,0.313625,-0.517096,-0.272629,1.781767,-1.827361,0.109053,0.687049
1.480000,-0.136644,0.146720,0.979695,0.331496,-0.535429,-0.271518,1.792235,-1.839039,0.113073,0.687362
1.490000,-0.141583,0.143762,0.979432,0.349465,-0.553872,-0.270369,1.801295,-1.849140,0.116752,0.687598
1.500000,-0.146717,0.140643,0.979129,0.367517,-0.572407,-0.269184,1.808901,-1.857614,0.120078,0.687720
1.510000,-0.152042,0.137357,0.978783,0.385638,-0.591018,-0.267968,1.815013,-1.864413,0.123037,0.687703
1.520000,-0.157554,0.133907,0.978389,0.403812,-0.609689,-0.266725,1.819591,-1.869487,0.125618,0.687489
1.530000,-0.163255,0.130292,0.977943,0.422025,-0.628402,-0.265457,1.822598,-1.872790,0.127808,0.687037
1.540000,-0.169148,0.126517,0.977437,0.440259,-0.647139,-0.264170,1.823998,-1.874278,0.129597,0.686310
1.550000,-0.175236,0.122583,0.976865,0.458500,-0.665882,-0.262866,1.823762,-1.873909,0.130975,0.685277
1.560000,-0.181517,0.118487,0.976224,0.476729,-0.684611,-0.261551,1.821862,-1.871643,0.131935,0.683896
1.570000,-0.187986,0.114225,0.975507,0.494931,-0.703309,-0.260229,1.818274,-1.867442,0.132468,0.682188
1.580000,-0.194643,0.109802,0.974709,0.513089,-0.721954,-0.258903,1.812981,-1.861271,0.132568,0.680162
1.590000,-0.201489,0.105226,0.973822,0.531186,-0.740528,-0.257579,1.805968,-1.853100,0.132231,0.677838
1.600000,-0.208521,0.100500,0.972840,0.549203,-0.759009,-0.256260,1.797226,-1.842898,0.131453,0.675250
1.610000,-0.215741,0.095619,0.971758,0.567125,-0.777379,-0.254951,1.786751,-1.830642,0.130234,0.672434
1.620000,-0.223144,0.090579,0.970568,0.584933,-0.795616,-0.253657,1.774543,-1.816309,0.128573,0.669442
1.630000,-0.230727,0.085388,0.969265,0.602610,-0.813698,-0.252381,1.760611,-1.799882,0.126472,0.666328
1.640000,-0.238486,0.080055,0.967841,0.620140,-0.831606,-0.251129,1.744965,-1.781346,0.123935,0.663150
1.650000,-0.246418,0.074589,0.966289,0.637504,-0.849319,-0.249904,1.727622,-1.760691,0.120969,0.659972
1.660000,-0.254522,0.068982,0.964604,0.654687,-0.866813,-0.248711,1.708605,-1.737912,0.117579,0.656878
1.670000,-0.262797,0.063227,0.962777,0.671671,-0.884070,-0.247553,1.687939,-1.713007,0.113776,0.653904
1.680000,-0.271236,0.057338,0.960803,0.688441,-0.901067,-0.246436,1.665660,-1.685979,0.109571,0.651107
1.690000,-0.279832,0.051326,0.958676,0.704980,-0.917783,-0.245363,1.641801,-1.656836,0.104978,0.648547
