time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.738418,-0.252452,-1.499150,-0.020858,-0.006684,0.009009,1.012267,-0.229312,-0.071178,-15.908335,3.077228,1.967229,280.743657,2.754308,-47.631136,-0.023082,-0.102088,0.000000,0.301325,1.572640,-0.000000
0.010000,-2.738579,-0.252530,-1.499063,-0.011485,-0.008823,0.008388,0.866683,-0.198445,-0.053770,-13.261067,3.091723,1.525706,249.140941,0.196193,-40.790307,-0.020039,-0.087640,0.000000,0.306691,1.320370,0.000000
0.020000,-2.738652,-0.252627,-1.498982,-0.003441,-0.010653,0.007920,0.746035,-0.167557,-0.040447,-10.917082,3.082154,1.149143,220.068657,-2.061425,-34.633334,-0.016960,-0.075592,0.000000,0.308530,1.093020,-0.000000
0.030000,-2.738651,-0.252742,-1.498905,0.003509,-0.012175,0.007568,0.647413,-0.136873,-0.030593,-8.851624,3.051440,0.830878,193.417134,-4.035491,-29.124793,-0.013878,-0.065695,0.000000,0.307374,0.890008,0.000000
0.040000,-2.738585,-0.252870,-1.498830,0.009571,-0.013392,0.007299,0.568153,-0.106590,-0.023656,-7.041035,3.002333,0.564604,169.076704,-5.742955,-24.229298,-0.010821,-0.057712,0.000000,0.303703,0.710284,-0.000000
0.050000,-2.738462,-0.253009,-1.498758,0.014928,-0.014309,0.007086,0.505818,-0.076879,-0.019148,-5.462752,2.937414,0.344371,146.937689,-7.200727,-19.911021,-0.007811,-0.051416,0.000000,0.297938,0.552488,-0.000000
0.060000,-2.738288,-0.253155,-1.498688,0.019737,-0.014932,0.006909,0.458195,-0.047886,-0.016634,-4.095309,2.859094,0.164578,126.890430,-8.425791,-16.134973,-0.004868,-0.046594,0.000000,0.290455,0.415068,-0.000000
0.070000,-2.738069,-0.253306,-1.498620,0.024134,-0.015269,0.006748,0.423277,-0.019734,-0.015739,-2.918337,2.769617,0.019982,108.825242,-9.435077,-12.865536,-0.002007,-0.043052,0.000000,0.281582,0.296371,-0.000000
0.080000,-2.737807,-0.253460,-1.498553,0.028239,-0.015330,0.006590,0.399258,0.007476,-0.016134,-1.912563,2.671055,-0.094304,92.632422,-10.245525,-10.067241,0.000760,-0.040610,0.000000,0.271606,0.194709,-0.000000
0.090000,-2.737505,-0.253612,-1.498488,0.032150,-0.015123,0.006422,0.384516,0.033663,-0.017539,-1.059813,2.565313,-0.182815,78.202231,-10.874072,-7.704591,0.003423,-0.039106,0.000000,0.260781,0.108402,0.000000
