time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.491398,-0.004307,0.870924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.885886
0.010000,0.491398,-0.004305,0.870924,0.000001,-0.000002,0.000000,-0.000448,-0.000278,0.000689,0.885905
0.020000,0.491398,-0.004303,0.870925,-0.000030,-0.000008,0.000035,-0.005729,-0.001148,0.006223,0.885954
0.030000,0.491398,-0.004300,0.870925,-0.000136,-0.000026,0.000146,-0.014903,-0.002590,0.015770,0.886034
0.040000,0.491397,-0.004298,0.870925,-0.000349,-0.000061,0.000370,-0.027156,-0.004576,0.028606,0.886147
0.050000,0.491397,-0.004295,0.870925,-0.000696,-0.000118,0.000735,-0.041788,-0.007073,0.044107,0.886293
0.060000,0.491393,-0.004261,0.870927,-0.001199,-0.000203,0.001266,-0.058199,-0.010042,0.061731,0.886471
0.070000,0.491390,-0.004227,0.870929,-0.001871,-0.000320,0.001981,-0.075875,-0.013439,0.081013,0.886683
0.080000,0.491386,-0.004192,0.870932,-0.002723,-0.000473,0.002894,-0.094379,-0.017223,0.101556,0.886926
0.090000,0.491383,-0.004158,0.870934,-0.003763,-0.000665,0.004018,-0.113342,-0.021346,0.123017,0.887201
0.100000,0.491379,-0.004123,0.870936,-0.004993,-0.000901,0.005359,-0.132452,-0.025766,0.145106,0.887506
0.110000,0.491367,-0.004018,0.870943,-0.006414,-0.001182,0.006923,-0.151446,-0.030438,0.167578,0.887841
0.120000,0.491358,-0.003936,0.870949,-0.008023,-0.001511,0.008713,-0.170106,-0.035321,0.190221,0.888203
0.130000,0.491348,-0.003843,0.870955,-0.009816,-0.001889,0.010729,-0.188250,-0.040373,0.212861,0.888592
0.140000,0.491331,-0.003704,0.870965,-0.011788,-0.002319,0.012971,-0.205727,-0.045558,0.235348,0.889005
0.150000,0.491305,-0.003484,0.870981,-0.013930,-0.002801,0.015437,-0.222414,-0.050839,0.257557,0.889442
