time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.040501,0.758486,-1.381194,-0.018217,-0.005114,0.002309,0.927472,-0.279094,0.212652,-13.347823,4.672189,-6.772329,226.953491,-70.745982,151.126921,-0.028937,-0.096339,0.000000,0.500526,1.444870,0.000000
0.010000,-3.040639,0.758422,-1.381161,-0.009572,-0.007683,0.004121,0.804948,-0.235781,0.152069,-11.195718,4.002918,-5.384593,203.746199,-63.208850,126.860338,-0.024324,-0.083154,0.000000,0.423923,1.197021,0.000000
0.020000,-3.040696,0.758334,-1.381113,-0.002050,-0.009851,0.005392,0.702812,-0.198794,0.104194,-9.267429,3.406038,-4.226550,182.179761,-56.263698,105.165522,-0.020426,-0.072285,0.000000,0.357307,0.981017,-0.000000
0.030000,-3.040683,0.758226,-1.381054,0.004545,-0.011678,0.006240,0.618907,-0.167439,0.066856,-7.546861,2.875756,-3.273163,162.191689,-49.885064,85.906514,-0.017149,-0.063437,0.000000,0.299373,0.792607,0.000000
0.040000,-3.040608,0.758101,-1.380989,0.010383,-0.013216,0.006758,0.551234,-0.141076,0.038128,-6.018542,2.406534,-2.500753,143.719533,-44.047483,68.947384,-0.014413,-0.056351,0.000000,0.249007,0.628276,0.000000
0.050000,-3.040477,0.757962,-1.380920,0.015617,-0.014514,0.007025,0.497945,-0.119122,0.016313,-4.667625,1.993088,-1.887006,126.700824,-38.725505,54.151834,-0.012147,-0.050800,0.000000,0.205255,0.485102,-0.000000
0.060000,-3.040297,0.757811,-1.380849,0.020384,-0.015612,0.007103,0.457338,-0.101045,-0.000071,-3.479889,1.630390,-1.410958,111.073001,-33.893663,41.384280,-0.010289,-0.046585,0.000000,0.167304,0.360628,0.000000
0.070000,-3.040071,0.757651,-1.380779,0.024801,-0.016546,0.007038,0.427849,-0.086361,-0.012300,-2.441737,1.313666,-1.053014,96.773611,-29.526494,30.508598,-0.008784,-0.043531,0.000000,0.134451,0.252772,0.000000
0.080000,-3.039802,0.757481,-1.380709,0.028973,-0.017349,0.006867,0.408048,-0.074634,-0.021464,-1.540197,1.038396,-0.794933,83.740121,-25.598536,21.388785,-0.007585,-0.041480,0.000000,0.106086,0.159736,-0.000000
0.090000,-3.039492,0.757304,-1.380642,0.032990,-0.018047,0.006616,0.396631,-0.065469,-0.028475,-0.762923,0.800316,-0.619839,71.909907,-22.084338,13.888796,-0.006649,-0.040292,0.000000,0.081673,0.079953,-0.000000
0.100000,-3.039142,0.757120,-1.380577,0.036930,-0.018665,0.006302,0.392414,-0.058517,-0.034085,-0.098189,0.595414,-0.512207,61.221233,-18.958465,7.873052,-0.005940,-0.039842,0.000000,0.060741,0.012029,0.000000
0.110000,-3.038753,0.756931,-1.380516,0.040859,-0.019224,0.005937,0.394329,-0.053463,-0.038897,0.465098,0.419937,-0.457883,51.610745,-16.195406,3.205106,-0.005424,-0.040016,0.000000,0.042865,-0.045289,-0.000000
0.120000,-3.038325,0.756736,-1.380458,0.044833,-0.019740,0.005525,0.401413,-0.050032,-0.043378,0.937412,0.270382,-0.444065,43.016254,-13.769723,-0.250853,-0.005073,-0.040716,0.000000,0.027665,-0.093144,-0.000000
0.130000,-3.037857,0.756536,-1.380405,0.048901,-0.020229,0.005069,0.412807,-0.047980,-0.047875,1.328601,0.143502,-0.459314,35.375249,-11.655965,-2.630813,-0.004863,-0.041851,0.000000,0.014798,-0.132590,0.000000
0.140000,-3.037347,0.756331,-1.380357,0.053101,-0.020704,0.004567,0.427745,-0.047096,-0.052627,1.647887,0.036307,-0.493548,28.625218,-9.828695,-4.070766,-0.004771,-0.043343,0.000000,0.003951,-0.164602,-0.000000
0.150000,-3.036794,0.756122,-1.380314,0.057466,-0.021174,0.004015,0.445553,-0.047197,-0.057780,1.903867,-0.053942,-0.538049,22.703673,-8.262503,-4.706698,-0.004778,-0.045122,0.000000,-0.005159,-0.190086,0.000000
0.160000,-3.036197,0.755908,-1.380277,0.062020,-0.021650,0.003410,0.465638,-0.048127,-0.063398,2.104524,-0.129724,-0.585451,17.548790,-6.931542,-4.674288,-0.004869,-0.047126,0.000000,-0.012787,-0.209885,0.000000
0.170000,-3.035553,0.755689,-1.380246,0.066784,-0.022139,0.002746,0.487484,-0.049751,-0.069479,2.257193,-0.193271,-0.629759,13.097084,-5.810836,-4.109940,-0.005030,-0.049303,0.000000,-0.019162,-0.224777,-0.000000
0.180000,-3.034860,0.755465,-1.380222,0.071774,-0.022647,0.002019,0.510645,-0.051958,-0.075967,2.368603,-0.246556,-0.666330,9.286431,-4.874761,-3.149452,-0.005249,-0.051608,0.000000,-0.024489,-0.235479,-0.000000
0.190000,-3.034117,0.755236,-1.380206,0.077000,-0.023180,0.001225,0.534739,-0.054653,-0.082768,2.444850,-0.291297,-0.691881,6.054261,-4.097894,-1.928778,-0.005516,-0.054001,0.000000,-0.028944,-0.242642,0.000000
0.200000,-3.033319,0.755001,-1.380198,0.082471,-0.023742,0.000363,0.559443,-0.057760,-0.089761,2.491414,-0.328958,-0.704492,3.338685,-3.454549,-0.584019,-0.005825,-0.056451,0.000000,-0.032679,-0.246850,0.000000
0.210000,-3.032466,0.754761,-1.380199,0.088190,-0.024336,-0.000572,0.584409,-0.061151,-0.097435,2.495847,-0.346521,-0.845776,0.734680,-2.638299,-2.061449,-0.006161,-0.058919,0.000000,-0.034298,-0.246020,-0.000000
0.220000,-3.031555,0.754515,-1.380210,0.094159,-0.024966,-0.001585,0.609533,-0.064873,-0.104645,2.536119,-0.405620,-0.510175,4.360745,-6.709026,44.322619,-0.006531,-0.061401,0.000000,-0.040395,-0.251675,-0.000000
0.230000,-3.030582,0.754262,-1.380231,0.100382,-0.025636,-0.002653,0.634924,-0.069125,-0.108844,2.520790,-0.428754,-0.481297,-7.465368,2.147355,-39.332596,-0.006955,-0.063925,0.000000,-0.042687,-0.250005,-0.000000
0.240000,-3.029546,0.754002,-1.380263,0.106856,-0.026348,-0.003772,0.659737,-0.073300,-0.115607,2.448997,-0.413214,-0.794216,-3.793561,-1.560504,1.831236,-0.007369,-0.066371,0.000000,-0.040830,-0.240348,-0.000000
0.250000,-3.028444,0.753734,-1.380307,0.113575,-0.027102,-0.004966,0.684099,-0.077570,-0.122793,2.419886,-0.438837,-0.657884,-5.029257,-1.069818,0.417559,-0.007791,-0.068764,0.000000,-0.043430,-0.237928,0.000000
0.260000,-3.027274,0.753459,-1.380362,0.120536,-0.027900,-0.006227,0.707928,-0.081979,-0.129352,2.341459,-0.441724,-0.653632,-6.319716,-0.661085,0.564160,-0.008227,-0.071105,0.000000,-0.043651,-0.229718,0.000000
0.270000,-3.026033,0.753176,-1.380431,0.127732,-0.028742,-0.007553,0.731238,-0.086485,-0.135850,2.333720,-0.462741,-0.645416,0.629343,-2.437126,0.947299,-0.008672,-0.073390,0.000000,-0.045689,-0.228627,0.000000
0.280000,-3.024719,0.752885,-1.380514,0.135160,-0.029630,-0.008943,0.754375,-0.091171,-0.142262,2.266993,-0.467239,-0.637450,-14.078784,1.566878,0.639752,-0.009134,-0.075655,0.000000,-0.046071,-0.221649,-0.000000
0.290000,-3.023329,0.752584,-1.380610,0.142815,-0.030565,-0.010398,0.776334,-0.095762,-0.148602,2.137063,-0.453996,-0.630041,-7.671091,-0.045216,0.970806,-0.009587,-0.077799,0.000000,-0.044684,-0.208387,0.000000
0.300000,-3.021862,0.752273,-1.380722,0.150684,-0.031545,-0.011915,0.797426,-0.100330,-0.154849,2.078209,-0.458692,-0.619185,-8.280742,0.221509,1.068035,-0.010036,-0.079854,0.000000,-0.045094,-0.202276,-0.000000
0.310000,-3.020315,0.751953,-1.380849,0.158761,-0.032571,-0.013494,0.817737,-0.104889,-0.160986,1.981890,-0.452286,-0.608172,-8.756237,0.462417,1.158790,-0.010484,-0.081828,0.000000,-0.044399,-0.192458,0.000000
0.320000,-3.018686,0.751621,-1.380992,0.167036,-0.033643,-0.015134,0.837230,-0.109417,-0.167007,1.923784,-0.454971,-0.595815,-4.998760,-0.425050,1.286227,-0.010928,-0.083720,0.000000,-0.044613,-0.186486,-0.000000
0.330000,-3.016973,0.751280,-1.381152,0.175504,-0.034760,-0.016834,0.856101,-0.113954,-0.172901,1.837079,-0.448716,-0.583001,-12.396733,1.692029,1.273959,-0.011373,-0.085547,0.000000,-0.043941,-0.177696,-0.000000
0.340000,-3.015175,0.750926,-1.381329,0.184154,-0.035922,-0.018592,0.873852,-0.118354,-0.178667,1.719545,-0.432840,-0.569870,-8.930408,0.899126,1.375517,-0.011803,-0.087262,0.000000,-0.042318,-0.165877,0.000000
0.350000,-3.013289,0.750561,-1.381524,0.192978,-0.037127,-0.020407,0.890657,-0.122651,-0.184295,1.640248,-0.425816,-0.555732,-9.081953,1.085359,1.425465,-0.012223,-0.088882,0.000000,-0.041580,-0.157897,0.000000
0.360000,-3.011315,0.750183,-1.381737,0.201965,-0.038374,-0.022277,0.906579,-0.126845,-0.189781,1.543393,-0.412564,-0.541325,-9.168025,1.261586,1.466508,-0.012632,-0.090413,0.000000,-0.040229,-0.148205,-0.000000
0.370000,-3.009250,0.749793,-1.381970,0.211106,-0.039663,-0.024202,0.921614,-0.130921,-0.195119,1.467274,-0.403384,-0.526319,-7.129072,0.867063,1.521536,-0.013029,-0.091855,0.000000,-0.039287,-0.140602,0.000000
0.380000,-3.007092,0.749390,-1.382221,0.220394,-0.040992,-0.026179,0.935874,-0.134893,-0.200307,1.378260,-0.389072,-0.511165,-10.701647,2.004090,1.507622,-0.013416,-0.093220,0.000000,-0.037841,-0.131747,0.000000
0.390000,-3.004841,0.748973,-1.382493,0.229820,-0.042360,-0.028208,0.949123,-0.138681,-0.205342,1.275195,-0.369250,-0.495956,-8.816347,1.663547,1.544863,-0.013784,-0.094485,0.000000,-0.035856,-0.121528,0.000000
0.400000,-3.002495,0.748543,-1.382786,0.239374,-0.043765,-0.030286,0.961465,-0.142296,-0.210224,1.192775,-0.353290,-0.480387,-8.751873,1.823614,1.555683,-0.014135,-0.095660,0.000000,-0.034258,-0.113381,0.000000
0.410000,-3.000053,0.748098,-1.383099,0.249047,-0.045206,-0.032412,0.972945,-0.145732,-0.214950,1.102934,-0.333506,-0.464800,-8.657588,1.980632,1.560874,-0.014468,-0.096749,0.000000,-0.032288,-0.104524,0.000000
0.420000,-2.997514,0.747639,-1.383434,0.258830,-0.046679,-0.034584,0.983573,-0.148974,-0.219520,1.024796,-0.315083,-0.449186,-7.505877,1.851874,1.560809,-0.014782,-0.097755,0.000000,-0.030456,-0.096844,-0.000000
0.430000,-2.994877,0.747164,-1.383791,0.268716,-0.048184,-0.036802,0.993420,-0.152021,-0.223934,0.941558,-0.293363,-0.433605,-9.155955,2.496707,1.554741,-0.015076,-0.098684,0.000000,-0.028304,-0.088680,0.000000
0.440000,-2.992140,0.746675,-1.384170,0.278695,-0.049719,-0.039062,1.002381,-0.154828,-0.228193,0.852621,-0.268142,-0.418103,-8.085648,2.398194,1.545134,-0.015346,-0.099527,0.000000,-0.025812,-0.079972,0.000000
0.450000,-2.989302,0.746170,-1.384572,0.288760,-0.051280,-0.041365,1.010520,-0.157391,-0.232296,0.775267,-0.244132,-0.402716,-7.926102,2.552876,1.531377,-0.015593,-0.100289,0.000000,-0.023444,-0.072423,0.000000
0.460000,-2.986364,0.745649,-1.384998,0.298903,-0.052866,-0.043708,1.017873,-0.159700,-0.236247,0.695461,-0.217462,-0.387434,-7.753959,2.706662,1.515288,-0.015814,-0.100974,0.000000,-0.020817,-0.064647,0.000000
0.470000,-2.983324,0.745112,-1.385447,0.309115,-0.054473,-0.046089,1.024458,-0.161741,-0.240047,0.622787,-0.190685,-0.372503,-7.051017,2.721190,1.479382,-0.016009,-0.101585,0.000000,-0.018184,-0.057585,0.000000
0.480000,-2.980182,0.744560,-1.385920,0.319390,-0.056100,-0.048508,1.030322,-0.163506,-0.243697,0.548761,-0.161519,-0.357668,-7.761691,3.114257,1.487480,-0.016177,-0.102125,0.000000,-0.015319,-0.050401,-0.000000
0.490000,-2.976936,0.743990,-1.386417,0.329719,-0.057742,-0.050963,1.035425,-0.164963,-0.247200,0.473063,-0.129864,-0.342938,-7.103263,3.143689,1.449391,-0.016315,-0.102592,0.000000,-0.012213,-0.043064,0.000000
0.500000,-2.973587,0.743405,-1.386939,0.340096,-0.059398,-0.053452,1.039812,-0.166104,-0.250558,0.404382,-0.098023,-0.328608,-6.905454,3.296937,1.425312,-0.016421,-0.102990,0.000000,-0.009091,-0.036425,0.000000
0.510000,-2.970134,0.742802,-1.387486,0.350513,-0.061063,-0.055973,1.043511,-0.166916,-0.253773,0.335730,-0.064099,-0.314400,-6.700658,3.449263,1.401554,-0.016496,-0.103321,0.000000,-0.005767,-0.029796,-0.000000
0.520000,-2.966577,0.742183,-1.388059,0.360964,-0.062735,-0.058527,1.046543,-0.167384,-0.256848,0.271515,-0.029394,-0.300712,-6.261953,3.528956,1.350231,-0.016537,-0.103587,0.000000,-0.002369,-0.023607,-0.000000
0.530000,-2.962915,0.741548,-1.388657,0.371442,-0.064410,-0.061110,1.048943,-0.167497,-0.259787,0.207977,0.007260,-0.287097,-6.449153,3.802768,1.373310,-0.016543,-0.103793,0.000000,0.001219,-0.017491,0.000000
0.540000,-2.959148,0.740895,-1.389281,0.381941,-0.066084,-0.063722,1.050704,-0.167231,-0.262590,0.144966,0.045902,-0.273531,-6.031788,3.887699,1.325697,-0.016512,-0.103937,0.000000,0.004999,-0.011433,-0.000000
0.550000,-2.955276,0.740226,-1.389931,0.392454,-0.067753,-0.066361,1.051859,-0.166577,-0.265259,0.086318,0.085329,-0.260454,-5.818705,4.034835,1.303804,-0.016442,-0.104023,0.000000,0.008856,-0.005804,-0.000000
0.560000,-2.951299,0.739540,-1.390608,0.402976,-0.069414,-0.069027,1.052433,-0.165519,-0.267799,0.029010,0.126440,-0.247425,-5.601902,4.178376,1.284363,-0.016334,-0.104054,0.000000,0.012877,-0.000311,0.000000
0.570000,-2.947216,0.738838,-1.391312,0.413501,-0.071062,-0.071717,1.052449,-0.164044,-0.270210,-0.025344,0.168809,-0.234926,-5.308532,4.303352,1.233170,-0.016184,-0.104031,0.000000,0.017021,0.004894,-0.000000
0.580000,-2.943029,0.738119,-1.392043,0.424023,-0.072693,-0.074430,1.051932,-0.162138,-0.272497,-0.077992,0.212672,-0.222387,-5.222284,4.469080,1.275715,-0.015993,-0.103956,0.000000,0.021310,0.009927,0.000000
0.590000,-2.938736,0.737384,-1.392801,0.434538,-0.074303,-0.077166,1.050895,-0.159785,-0.274657,-0.128990,0.258011,-0.209756,-4.937635,4.589630,1.233151,-0.015758,-0.103833,0.000000,0.025744,0.014796,0.000000
0.600000,-2.934338,0.736633,-1.393586,0.445039,-0.075888,-0.079923,1.049363,-0.156974,-0.276694,-0.177087,0.304524,-0.197563,-4.721710,4.720765,1.223630,-0.015478,-0.103661,0.000000,0.030293,0.019382,0.000000
0.610000,-2.929835,0.735866,-1.394399,0.455523,-0.077441,-0.082700,1.047358,-0.153690,-0.278608,-0.223440,0.352346,-0.185271,-4.507444,4.846999,1.217763,-0.015151,-0.103445,0.000000,0.034971,0.023795,-0.000000
0.620000,-2.925228,0.735084,-1.395240,0.465985,-0.078960,-0.085495,1.044905,-0.149922,-0.280401,-0.266826,0.401489,-0.173372,-4.212629,4.976770,1.180762,-0.014778,-0.103187,0.000000,0.039780,0.027920,-0.000000
0.630000,-2.920515,0.734287,-1.396109,0.476420,-0.080438,-0.088307,1.042027,-0.145657,-0.282075,-0.308594,0.451778,-0.161260,-4.142543,5.079981,1.242915,-0.014355,-0.102887,0.000000,0.044702,0.031884,0.000000
0.640000,-2.915699,0.733476,-1.397006,0.486824,-0.081871,-0.091136,1.038737,-0.140883,-0.283625,-0.348815,0.503156,-0.148869,-3.858690,5.198942,1.217688,-0.013883,-0.102549,0.000000,0.049731,0.035694,-0.000000
0.650000,-2.910779,0.732650,-1.397932,0.497194,-0.083254,-0.093980,1.035061,-0.135590,-0.285053,-0.386138,0.555704,-0.136737,-3.649201,5.305417,1.227853,-0.013360,-0.102174,0.000000,0.054878,0.039223,0.000000
0.660000,-2.905755,0.731811,-1.398886,0.507524,-0.084581,-0.096837,1.031020,-0.129766,-0.286359,-0.421666,0.609272,-0.124306,-3.439970,5.406313,1.243273,-0.012786,-0.101765,0.000000,0.060125,0.042574,0.000000
0.670000,-2.900629,0.730959,-1.399869,0.517813,-0.085848,-0.099706,1.026636,-0.123401,-0.287540,-0.454789,0.663803,-0.112002,-3.200909,5.499597,1.233733,-0.012158,-0.101324,0.000000,0.065471,0.045692,0.000000
0.680000,-2.895399,0.730094,-1.400880,0.528056,-0.087047,-0.102587,1.021931,-0.116487,-0.288597,-0.486026,0.719257,-0.099291,-3.047164,5.590124,1.309803,-0.011476,-0.100852,0.000000,0.070909,0.048622,-0.000000
0.690000,-2.890068,0.729218,-1.401920,0.538250,-0.088175,-0.105478,1.016922,-0.109013,-0.289524,-0.515411,0.775568,-0.086101,-2.813762,5.670130,1.313437,-0.010739,-0.100352,0.000000,0.076433,0.051368,0.000000
0.700000,-2.884635,0.728331,-1.402990,0.548393,-0.089226,-0.108377,1.011631,-0.100973,-0.290319,-0.542440,0.832639,-0.072870,-2.608781,5.743826,1.348957,-0.009947,-0.099825,0.000000,0.082036,0.053885,0.000000
0.710000,-2.879100,0.727434,-1.404088,0.558482,-0.090193,-0.111284,1.006080,-0.092358,-0.290980,-0.567438,0.890360,-0.059098,-2.402665,5.808852,1.390550,-0.009098,-0.099275,0.000000,0.087707,0.056199,-0.000000
0.720000,-2.873465,0.726527,-1.405215,0.568514,-0.091071,-0.114196,1.000288,-0.083163,-0.291501,-0.590604,0.948880,-0.045187,-2.219501,5.884240,1.408006,-0.008192,-0.098702,0.000000,0.093460,0.058336,-0.000000
