time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.772192,0.304791,-1.496644,-0.014507,-0.007679,0.004465,0.413270,-0.100924,0.064090,17.891426,-4.471085,2.184413,-254.589245,50.593161,-90.893389,-0.010346,-0.042379,0.000000,-0.459815,-1.841882,-0.000000
0.010000,-2.772337,0.304714,-1.496599,-0.010374,-0.008688,0.005105,0.592184,-0.145635,0.085934,15.345533,-3.965153,1.275480,-807.802981,181.115311,-180.849358,-0.014948,-0.060824,0.000000,-0.407444,-1.580049,0.000000
0.020000,-2.772399,0.304617,-1.496541,-0.002663,-0.010592,0.006183,0.720181,-0.180227,0.089600,1.735366,-0.848779,-1.432574,-1193.391698,273.948069,-207.064366,-0.018488,-0.073954,0.000000,-0.084098,-0.166666,-0.000000
0.030000,-2.772390,0.304502,-1.496475,0.004029,-0.012293,0.006897,0.626891,-0.162610,0.057283,-8.522300,1.513808,-2.865808,-436.833308,94.721661,-38.653274,-0.016637,-0.064190,0.000000,0.158794,0.888930,-0.000000
0.040000,-2.772319,0.304371,-1.496403,0.009874,-0.013844,0.007329,0.549735,-0.149951,0.032284,-7.001300,1.045655,-2.205639,143.259084,-44.143515,59.313494,-0.015311,-0.056164,0.000000,0.109577,0.726348,0.000000
0.050000,-2.772193,0.304225,-1.496329,0.015024,-0.015292,0.007543,0.486865,-0.141697,0.013170,-5.657119,0.630938,-1.679538,126.320927,-38.965483,46.791725,-0.014445,-0.049655,0.000000,0.066366,0.584459,0.000000
0.060000,-2.772018,0.304065,-1.496253,0.019612,-0.016678,0.007592,0.436592,-0.137332,-0.001307,-4.474881,0.266345,-1.269805,110.835822,-34.113849,35.982387,-0.013983,-0.044470,0.000000,0.028637,0.460896,-0.000000
0.070000,-2.771800,0.303892,-1.496177,0.023756,-0.018038,0.007517,0.397368,-0.136370,-0.012226,-3.440402,-0.051339,-0.959890,96.734618,-29.578813,26.770484,-0.013872,-0.040434,0.000000,-0.004065,0.353608,0.000000
0.080000,-2.771543,0.303705,-1.496102,0.027559,-0.019405,0.007348,0.367784,-0.138359,-0.020505,-2.540189,-0.325231,-0.734395,83.948129,-25.350584,19.040997,-0.014064,-0.037395,0.000000,-0.032141,0.260803,0.000000
0.090000,-2.771249,0.303504,-1.496030,0.031111,-0.020806,0.007107,0.346564,-0.142875,-0.026914,-1.761440,-0.558351,-0.579070,72.407207,-21.419363,12.678933,-0.014514,-0.035216,0.000000,-0.055952,0.180895,-0.000000
0.100000,-2.770921,0.303288,-1.495960,0.034490,-0.022263,0.006809,0.332555,-0.149526,-0.032086,-1.092045,-0.753619,-0.480816,62.042713,-17.775352,7.569305,-0.015183,-0.033776,0.000000,-0.075826,0.112466,-0.000000
0.110000,-2.770559,0.303058,-1.495894,0.037763,-0.023796,0.006465,0.324723,-0.157947,-0.036530,-0.520586,-0.913858,-0.427684,52.785473,-14.408756,3.597097,-0.016031,-0.032966,0.000000,-0.092068,0.054236,-0.000000
0.120000,-2.770165,0.302813,-1.495831,0.040985,-0.025422,0.006079,0.322144,-0.167803,-0.040640,-0.036335,-1.041794,-0.408874,44.566315,-11.309779,0.647322,-0.017024,-0.032691,0.000000,-0.104968,0.005040,-0.000000
0.130000,-2.769740,0.302550,-1.495772,0.044205,-0.027152,0.005652,0.323996,-0.178783,-0.044708,0.370741,-1.140053,-0.414738,37.316097,-8.468622,-1.395017,-0.018130,-0.032865,0.000000,-0.114801,-0.036192,0.000000
0.140000,-2.769281,0.302269,-1.495718,0.047465,-0.028997,0.005185,0.329558,-0.190604,-0.048935,0.709987,-1.211166,-0.436775,30.965682,-5.875495,-2.644976,-0.019320,-0.033415,0.000000,-0.121834,-0.070442,0.000000
0.150000,-2.768790,0.301970,-1.495668,0.050797,-0.030964,0.004674,0.338196,-0.203006,-0.053443,0.990054,-1.257563,-0.467637,25.445885,-3.520597,-3.217509,-0.020567,-0.034274,0.000000,-0.126324,-0.098614,0.000000
0.160000,-2.768265,0.301650,-1.495624,0.054229,-0.033057,0.004116,0.349360,-0.215755,-0.058288,1.218904,-1.281578,-0.501125,20.687527,-1.394126,-3.227550,-0.021846,-0.035387,0.000000,-0.128522,-0.121538,0.000000
0.170000,-2.767706,0.301309,-1.495586,0.057784,-0.035279,0.003508,0.362574,-0.228638,-0.063466,1.403805,-1.285446,-0.532188,16.617304,0.512548,-2.807913,-0.023137,-0.036706,0.000000,-0.128669,-0.139974,-0.000000
0.180000,-2.767110,0.300945,-1.495554,0.061480,-0.037630,0.002846,0.377436,-0.241464,-0.068931,1.551250,-1.271327,-0.557283,13.092963,2.188956,-2.383357,-0.024420,-0.038188,0.000000,-0.126999,-0.154599,-0.000000
0.190000,-2.766476,0.300556,-1.495529,0.065333,-0.040109,0.002129,0.393599,-0.254065,-0.074612,1.665664,-1.241667,-0.579855,10.070601,3.651905,-1.961714,-0.025677,-0.039798,0.000000,-0.123759,-0.165857,0.000000
0.200000,-2.765803,0.300142,-1.495512,0.069352,-0.042712,0.001354,0.410749,-0.266298,-0.080528,1.752662,-1.198289,-0.596517,8.020442,5.060716,0.627551,-0.026895,-0.041506,0.000000,-0.119147,-0.174338,0.000000
0.210000,-2.765089,0.299702,-1.495502,0.073548,-0.045435,0.000519,0.428653,-0.278030,-0.086542,1.826073,-1.140452,-0.567304,6.815529,6.409159,5.024548,-0.028060,-0.043286,0.000000,-0.113211,-0.181621,-0.000000
0.220000,-2.764332,0.299234,-1.495501,0.077925,-0.048272,-0.000377,0.447270,-0.289107,-0.091875,1.888973,-1.070106,-0.496027,4.836966,7.279600,4.560867,-0.029159,-0.045140,0.000000,-0.106162,-0.188043,-0.000000
0.230000,-2.763531,0.298737,-1.495510,0.082493,-0.051217,-0.001319,0.466432,-0.299432,-0.096462,1.922812,-0.994860,-0.476087,1.932021,7.696697,-0.996469,-0.030183,-0.047049,0.000000,-0.098501,-0.191323,-0.000000
0.240000,-2.762682,0.298209,-1.495528,0.087254,-0.054261,-0.002306,0.485727,-0.309004,-0.101396,1.927613,-0.916172,-0.515956,0.197839,8.257629,-2.664471,-0.031129,-0.048968,0.000000,-0.090325,-0.191381,-0.000000
0.250000,-2.761785,0.297651,-1.495556,0.092207,-0.057397,-0.003347,0.504984,-0.317756,-0.106781,1.926769,-0.829708,-0.529376,0.200921,8.867755,0.392044,-0.031990,-0.050878,0.000000,-0.081456,-0.190982,0.000000
0.260000,-2.760838,0.297061,-1.495595,0.097354,-0.060616,-0.004441,0.524262,-0.325598,-0.111984,1.931632,-0.738817,-0.508115,0.402680,9.159594,2.018141,-0.032758,-0.052789,0.000000,-0.072272,-0.191339,0.000000
0.270000,-2.759838,0.296439,-1.495645,0.102693,-0.063909,-0.005586,0.543617,-0.332532,-0.116944,1.934823,-0.646516,-0.489014,-0.553823,9.591804,1.647746,-0.033435,-0.054707,0.000000,-0.062961,-0.191527,-0.000000
0.280000,-2.758784,0.295783,-1.495706,0.108226,-0.067267,-0.006780,0.562958,-0.338528,-0.121764,1.920555,-0.546981,-0.475160,-2.259569,10.341170,1.401916,-0.034018,-0.056622,0.000000,-0.052930,-0.189943,0.000000
0.290000,-2.757674,0.295094,-1.495780,0.113952,-0.070679,-0.008022,0.582028,-0.343472,-0.126447,1.889631,-0.439693,-0.460975,-3.064145,10.770145,1.471249,-0.034494,-0.058508,0.000000,-0.042146,-0.186702,0.000000
0.300000,-2.756505,0.294370,-1.495867,0.119866,-0.074136,-0.009309,0.600751,-0.347322,-0.130984,1.859272,-0.331578,-0.445735,-2.695788,10.719181,1.576902,-0.034861,-0.060358,0.000000,-0.031305,-0.183539,-0.000000
0.310000,-2.755277,0.293611,-1.495966,0.125967,-0.077626,-0.010641,0.619213,-0.350103,-0.135362,1.835716,-0.225309,-0.429437,-2.318857,10.651842,1.664231,-0.035120,-0.062181,0.000000,-0.020672,-0.181078,-0.000000
