time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.180830,-0.186717,0.965628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.663629
0.010000,-0.180830,-0.186716,0.965628,-0.000003,0.000000,-0.000002,-0.000928,0.000167,-0.000583,0.663628
0.020000,-0.180830,-0.186715,0.965628,-0.000028,0.000005,-0.000016,-0.004513,0.000876,-0.002498,0.663603
0.030000,-0.180830,-0.186713,0.965629,-0.000102,0.000020,-0.000056,-0.010540,0.002071,-0.005699,0.663559
0.040000,-0.180830,-0.186712,0.965629,-0.000247,0.000048,-0.000134,-0.018801,0.003701,-0.010143,0.663501
0.050000,-0.180829,-0.186711,0.965629,-0.000485,0.000095,-0.000263,-0.029098,0.005715,-0.015785,0.663433
0.060000,-0.180828,-0.186692,0.965633,-0.000835,0.000164,-0.000454,-0.041239,0.008068,-0.022583,0.663358
0.070000,-0.180826,-0.186673,0.965637,-0.001316,0.000258,-0.000719,-0.055041,0.010715,-0.030496,0.663279
0.080000,-0.180825,-0.186654,0.965641,-0.001942,0.000379,-0.001068,-0.070329,0.013614,-0.039485,0.663198
0.090000,-0.180823,-0.186635,0.965645,-0.002727,0.000531,-0.001512,-0.086934,0.016725,-0.049509,0.663117
0.100000,-0.180822,-0.186616,0.965649,-0.003685,0.000715,-0.002061,-0.104695,0.020011,-0.060532,0.663039
0.110000,-0.180816,-0.186540,0.965665,-0.004825,0.000932,-0.002726,-0.123459,0.023437,-0.072515,0.662965
0.120000,-0.180811,-0.186464,0.965680,-0.006157,0.001184,-0.003515,-0.143078,0.026970,-0.085422,0.662895
0.130000,-0.180805,-0.186388,0.965696,-0.007689,0.001472,-0.004437,-0.163412,0.030579,-0.099219,0.662831
0.140000,-0.180800,-0.186312,0.965712,-0.009428,0.001796,-0.005502,-0.184328,0.034236,-0.113871,0.662774
0.150000,-0.180794,-0.186236,0.965727,-0.011378,0.002156,-0.006717,-0.205699,0.037914,-0.129344,0.662723
0.160000,-0.180784,-0.186077,0.965760,-0.013543,0.002554,-0.008091,-0.227404,0.041587,-0.145606,0.662680
0.170000,-0.180775,-0.185947,0.965787,-0.015927,0.002988,-0.009632,-0.249328,0.045234,-0.162625,0.662645
0.180000,-0.180766,-0.185803,0.965816,-0.018531,0.003459,-0.011346,-0.271364,0.048833,-0.180370,0.662618
0.190000,-0.180754,-0.185601,0.965857,-0.021355,0.003965,-0.013242,-0.293408,0.052365,-0.198811,0.662599
0.200000,-0.180736,-0.185298,0.965919,-0.024399,0.004506,-0.015325,-0.315364,0.055811,-0.217919,0.662588
0.210000,-0.180724,-0.185072,0.965964,-0.027662,0.005081,-0.017602,-0.337139,0.059158,-0.237665,0.662585
0.220000,-0.180707,-0.184764,0.966027,-0.031141,0.005689,-0.020080,-0.358648,0.062389,-0.258022,0.662590
0.230000,-0.180687,-0.184389,0.966102,-0.034834,0.006328,-0.022765,-0.379809,0.065492,-0.278961,0.662602
0.240000,-0.180665,-0.183962,0.966187,-0.038736,0.006998,-0.025661,-0.400548,0.068457,-0.300457,0.662622
0.250000,-0.180644,-0.183500,0.966279,-0.042844,0.007697,-0.028776,-0.420793,0.071272,-0.322484,0.662650
0.260000,-0.180622,-0.183005,0.966377,-0.047151,0.008423,-0.032113,-0.440478,0.073930,-0.345018,0.662685
0.270000,-0.180598,-0.182469,0.966483,-0.051651,0.009175,-0.035678,-0.459541,0.076424,-0.368032,0.662726
0.280000,-0.180574,-0.181883,0.966598,-0.056340,0.009951,-0.039475,-0.477926,0.078748,-0.391505,0.662774
0.290000,-0.180549,-0.181243,0.966723,-0.061208,0.010750,-0.043509,-0.495580,0.080897,-0.415411,0.662827
0.300000,-0.180524,-0.180541,0.966859,-0.066249,0.011569,-0.047785,-0.512454,0.082868,-0.439730,0.662886
0.310000,-0.180499,-0.179781,0.967005,-0.071454,0.012406,-0.052305,-0.528504,0.084659,-0.464439,0.662949
0.320000,-0.180473,-0.178966,0.967161,-0.076816,0.013261,-0.057075,-0.543690,0.086268,-0.489516,0.663016
0.330000,-0.180446,-0.178093,0.967327,-0.082326,0.014131,-0.062097,-0.557975,0.087695,-0.514940,0.663085
0.340000,-0.180420,-0.177155,0.967504,-0.087973,0.015015,-0.067375,-0.571326,0.088942,-0.540691,0.663156
0.350000,-0.180395,-0.176146,0.967693,-0.093749,0.015910,-0.072912,-0.583713,0.090010,-0.566749,0.663227
0.360000,-0.180370,-0.175070,0.967893,-0.099644,0.016814,-0.078711,-0.595110,0.090901,-0.593094,0.663298
0.370000,-0.180345,-0.173930,0.968103,-0.105648,0.017727,-0.084774,-0.605495,0.091619,-0.619707,0.663365
0.380000,-0.180321,-0.172722,0.968324,-0.111751,0.018646,-0.091106,-0.614848,0.092169,-0.646570,0.663429
0.390000,-0.180298,-0.171442,0.968556,-0.117942,0.019570,-0.097707,-0.623152,0.092556,-0.673665,0.663485
0.400000,-0.180277,-0.170085,0.968799,-0.124210,0.020497,-0.104580,-0.630392,0.092785,-0.700973,0.663533
0.410000,-0.180258,-0.168653,0.969053,-0.130546,0.021425,-0.111727,-0.636559,0.092862,-0.728478,0.663571
0.420000,-0.180239,-0.167149,0.969317,-0.136938,0.022354,-0.119150,-0.641644,0.092795,-0.756162,0.663595
0.430000,-0.180222,-0.165571,0.969591,-0.143376,0.023281,-0.126851,-0.645639,0.092592,-0.784008,0.663603
0.440000,-0.180207,-0.163914,0.969875,-0.149848,0.024205,-0.134831,-0.648543,0.092259,-0.812001,0.663592
0.450000,-0.180195,-0.162178,0.970169,-0.156343,0.025125,-0.143091,-0.650354,0.091807,-0.840124,0.663560
0.460000,-0.180185,-0.160362,0.970473,-0.162851,0.026041,-0.151633,-0.651073,0.091243,-0.868362,0.663504
0.470000,-0.180176,-0.158469,0.970785,-0.169361,0.026950,-0.160459,-0.650702,0.090578,-0.896698,0.663421
0.480000,-0.180170,-0.156496,0.971106,-0.175862,0.027852,-0.169568,-0.649247,0.089820,-0.925119,0.663308
0.490000,-0.180166,-0.154444,0.971436,-0.182342,0.028746,-0.178961,-0.646714,0.088981,-0.953609,0.663164
0.500000,-0.180164,-0.152310,0.971773,-0.188792,0.029631,-0.188640,-0.643112,0.088069,-0.982154,0.662986
0.510000,-0.180164,-0.150094,0.972118,-0.195201,0.030507,-0.198605,-0.638451,0.087096,-1.010738,0.662773
0.520000,-0.180167,-0.147798,0.972469,-0.201558,0.031373,-0.208855,-0.632743,0.086073,-1.039349,0.662524
0.530000,-0.180172,-0.145421,0.972826,-0.207853,0.032229,-0.219392,-0.626001,0.085009,-1.067972,0.662237
0.540000,-0.180178,-0.142963,0.973189,-0.214075,0.033073,-0.230214,-0.618239,0.083916,-1.096593,0.661914
0.550000,-0.180186,-0.140426,0.973557,-0.220214,0.033907,-0.241323,-0.609473,0.082805,-1.125199,0.661555
