time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.005077,0.315305,-1.491552,-0.006510,0.001024,0.004222,0.566995,-0.083080,0.053281,-19.044619,2.466011,-2.187556,491.389156,-64.743628,49.302626,-0.008501,-0.058048,0.000000,0.253245,1.958294,-0.000000
0.010000,-3.005117,0.315311,-1.491507,-0.001713,0.000307,0.004653,0.399855,-0.061503,0.033732,-14.506495,1.864255,-1.735760,417.528594,-55.752913,41.204965,-0.006286,-0.040878,0.000000,0.191258,1.488590,0.000000
0.020000,-3.005116,0.315311,-1.491459,0.001627,-0.000224,0.004910,0.274530,-0.045509,0.018310,-10.668847,1.348119,-1.360562,351.228087,-47.612558,33.975578,-0.004646,-0.028030,0.000000,0.138126,1.092607,-0.000000
0.030000,-3.005088,0.315307,-1.491409,0.003895,-0.000620,0.005031,0.184389,-0.034283,0.006293,-7.458048,0.909311,-1.053507,292.093146,-40.280094,27.568640,-0.003496,-0.018806,0.000000,0.093060,0.762484,0.000000
0.040000,-3.005041,0.315299,-1.491359,0.005412,-0.000923,0.005045,0.123513,-0.027092,-0.002960,-4.804414,0.539965,-0.806601,239.729338,-33.713050,21.938347,-0.002761,-0.012586,0.000000,0.055231,0.490554,-0.000000
0.050000,-3.004981,0.315289,-1.491309,0.006445,-0.001173,0.004979,0.086663,-0.023277,-0.010014,-2.642211,0.232640,-0.612305,193.741637,-27.869017,17.038769,-0.002370,-0.008825,0.000000,0.023831,0.269592,0.000000
0.060000,-3.004913,0.315276,-1.491260,0.007210,-0.001398,0.004851,0.069237,-0.022256,-0.015358,-0.909643,-0.019683,-0.463542,153.736110,-22.705463,12.824187,-0.002265,-0.007047,0.000000,-0.001898,0.092909,0.000000
0.070000,-3.004837,0.315261,-1.491212,0.007881,-0.001625,0.004676,0.067231,-0.023510,-0.019414,0.451136,-0.223597,-0.353691,119.318028,-18.179950,9.248741,-0.002392,-0.006840,0.000000,-0.022660,-0.045648,-0.000000
0.080000,-3.004755,0.315243,-1.491166,0.008594,-0.001874,0.004466,0.077200,-0.026587,-0.022541,1.494028,-0.385268,-0.276590,90.092889,-14.250007,6.266634,-0.002704,-0.007851,0.000000,-0.039102,-0.151716,0.000000
0.090000,-3.004665,0.315223,-1.491123,0.009455,-0.002162,0.004227,0.096219,-0.031093,-0.025036,2.268989,-0.510440,-0.226533,65.666242,-10.873149,3.832109,-0.003161,-0.009783,0.000000,-0.051817,-0.230456,-0.000000
0.100000,-3.004565,0.315200,-1.491082,0.010541,-0.002500,0.003966,0.121841,-0.036692,-0.027144,2.822029,-0.604434,-0.198280,45.643185,-8.007021,1.898837,-0.003730,-0.012385,0.000000,-0.061350,-0.286579,-0.000000
0.110000,-3.004453,0.315173,-1.491043,0.011907,-0.002898,0.003685,0.152060,-0.043095,-0.029058,3.195216,-0.672142,-0.187039,29.629641,-5.609034,0.421599,-0.004379,-0.015454,0.000000,-0.068199,-0.324374,-0.000000
0.120000,-3.004326,0.315142,-1.491008,0.013592,-0.003364,0.003385,0.185273,-0.050062,-0.030927,3.426671,-0.718034,-0.188482,17.230932,-3.636769,-0.645667,-0.005086,-0.018825,0.000000,-0.072818,-0.347718,0.000000
0.130000,-3.004180,0.315106,-1.490976,0.015618,-0.003901,0.003066,0.220236,-0.057396,-0.032857,3.550569,-0.746154,-0.198738,8.052530,-2.047765,-1.348829,-0.005830,-0.022371,0.000000,-0.075620,-0.360087,0.000000
0.140000,-3.004012,0.315064,-1.490947,0.017999,-0.004512,0.002728,0.256027,-0.064938,-0.034920,3.597141,-0.760125,-0.214397,1.699866,-0.799567,-1.733813,-0.006594,-0.026000,0.000000,-0.076974,-0.364560,-0.000000
0.150000,-3.003819,0.315015,-1.490921,0.020739,-0.005200,0.002367,0.292009,-0.072562,-0.037154,3.592670,-0.763140,-0.232507,-2.221701,0.150272,-1.846636,-0.007365,-0.029645,0.000000,-0.077207,-0.363814,-0.000000
0.160000,-3.003596,0.314959,-1.490900,0.023839,-0.005964,0.001984,0.327785,-0.080173,-0.039570,3.559501,-0.757971,-0.250557,-4.106075,0.844348,-1.731446,-0.008135,-0.033267,0.000000,-0.076603,-0.360129,-0.000000
0.170000,-3.003341,0.314896,-1.490882,0.027294,-0.006803,0.001575,0.363165,-0.087702,-0.042158,3.516024,-0.746964,-0.266527,-4.348485,1.324960,-1.436231,-0.008896,-0.036845,0.000000,-0.075403,-0.355384,0.000000
0.180000,-3.003049,0.314823,-1.490868,0.031101,-0.007717,0.001140,0.398120,-0.095100,-0.044888,3.476690,-0.732042,-0.278831,-3.343276,1.634631,-1.006001,-0.009642,-0.040376,0.000000,-0.073805,-0.351056,0.000000
0.190000,-3.002718,0.314741,-1.490859,0.035255,-0.008704,0.000677,0.432748,-0.102335,-0.047718,3.452001,-0.714700,-0.286349,-1.485142,1.815820,-0.486580,-0.010371,-0.043871,0.000000,-0.071964,-0.348218,-0.000000
0.200000,-3.002343,0.314649,-1.490855,0.039755,-0.009763,0.000186,0.467231,-0.109389,-0.050597,3.448525,-0.696012,-0.288419,0.832445,1.911017,0.076131,-0.011081,-0.047348,0.000000,-0.069991,-0.347540,-0.000000
0.210000,-3.001921,0.314545,-1.490855,0.044595,-0.010891,-0.000335,0.500053,-0.116079,-0.053674,3.069577,-0.636762,-0.331932,-4.679252,2.750640,-0.294599,-0.011753,-0.050653,0.000000,-0.063885,-0.308679,0.000000
