time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-3.470400,0.000000,0.000000,-3.712438,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-3.467278,0.000000,0.000000,-3.709286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885807,0.000000,0.000000,-1.108817,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,-0.013076,0.000048,-0.000116,-0.012836,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000146,-0.000066,-0.018254,-0.000040,-0.000004,-0.018777,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000115,0.000251,0.000063,-0.030173,0.000000,0.000000,-0.031578
0.010000,-3.470394,0.000000,0.000000,-3.712438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467271,0.000000,0.000000,-3.709285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885805,0.000000,0.000000,-1.108816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,-0.013075,0.000048,-0.000115,-0.012836,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000146,-0.000067,-0.018251,-0.000040,-0.000003,-0.018777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000113,0.000248,0.000062,-0.030169,0.000000,-0.000000,-0.031577
0.020000,-3.470387,0.000000,0.000000,-3.712438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467265,0.000000,0.000000,-3.709285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885803,0.000000,0.000000,-1.108816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,-0.013073,0.000049,-0.000114,-0.012836,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000146,-0.000067,-0.018249,-0.000039,-0.000003,-0.018777,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000112,0.000246,0.000062,-0.030165,0.000001,-0.000000,-0.031577
0.030000,-3.470380,0.000000,0.000000,-3.712437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467257,0.000000,0.000000,-3.709285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885801,0.000000,0.000000,-1.108815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,-0.013072,0.000049,-0.000114,-0.012836,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000145,-0.000067,-0.018246,-0.000039,-0.000002,-0.018777,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000111,0.000244,0.000061,-0.030160,0.000001,-0.000000,-0.031577
0.040000,-3.470372,0.000000,0.000000,-3.712437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467250,0.000000,0.000000,-3.709284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885798,0.000000,0.000000,-1.108815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,-0.013070,0.000049,-0.000113,-0.012836,0.000001,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000145,-0.000067,-0.018244,-0.000039,-0.000002,-0.018777,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000110,0.000242,0.000061,-0.030156,0.000001,-0.000000,-0.031577
0.050000,-3.470365,0.000000,0.000000,-3.712437,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-3.467243,0.000000,0.000000,-3.709284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885796,0.000000,0.000000,-1.108814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,-0.013069,0.000049,-0.000112,-0.012836,0.000001,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000144,-0.000067,-0.018241,-0.000039,-0.000002,-0.018777,0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000109,0.000241,0.000060,-0.030151,0.000001,-0.000000,-0.031577
0.060000,-3.470358,0.000000,0.000000,-3.712436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467236,0.000000,0.000000,-3.709284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885794,0.000000,0.000000,-1.108813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,-0.013067,0.000048,-0.000112,-0.012836,0.000001,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000144,-0.000067,-0.018239,-0.000038,-0.000002,-0.018777,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000109,0.000240,0.000060,-0.030147,0.000001,-0.000000,-0.031577
0.070000,-3.470350,0.000000,0.000000,-3.712436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467228,0.000000,0.000000,-3.709283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885791,0.000000,0.000000,-1.108813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,-0.013066,0.000048,-0.000111,-0.012836,0.000001,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000143,-0.000066,-0.018236,-0.000038,-0.000002,-0.018777,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000108,0.000238,0.000060,-0.030143,0.000001,-0.000000,-0.031577
0.080000,-3.470342,0.000000,0.000000,-3.712436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467220,0.000000,0.000000,-3.709283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885789,0.000000,0.000000,-1.108812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,-0.013064,0.000048,-0.000111,-0.012836,0.000001,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000142,-0.000066,-0.018234,-0.000038,-0.000002,-0.018777,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000108,0.000237,0.000059,-0.030138,0.000001,-0.000000,-0.031577
0.090000,-3.470334,0.000000,0.000000,-3.712435,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.467212,0.000000,0.000000,-3.709283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.885786,0.000000,0.000000,-1.108812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,-0.013063,0.000048,-0.000110,-0.012836,0.000001,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000141,-0.000066,-0.018231,-0.000038,-0.000002,-0.018777,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000107,0.000236,0.000059,-0.030133,0.000001,-0.000000,-0.031577
