time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.029216,-3.004820,0.502439,0.001023,-0.008294,-0.004959,-0.083878,0.618546,0.020159,2.472085,-20.582697,-0.100484,-54.545151,498.145115,2.155509,0.999951,0.002147,-0.008717,-0.004174,0.001712,-0.002472,0.011933
0.010000,0.029222,-3.004876,0.502391,0.000299,-0.003058,-0.004762,-0.061744,0.436304,0.019260,1.968332,-15.994739,-0.079321,-46.347617,420.828171,2.077328,0.999951,0.002146,-0.008704,-0.004132,0.000022,0.002285,0.008549
0.020000,0.029222,-3.004887,0.502344,-0.000228,0.000573,-0.004573,-0.044252,0.296211,0.018570,1.542361,-12.139206,-0.058932,-38.981674,351.589496,2.000625,0.999952,0.002146,-0.008693,-0.004089,-0.001058,0.005322,0.006369
0.030000,0.029218,-3.004868,0.502299,-0.000599,0.002984,-0.004390,-0.030665,0.191341,0.018079,1.186069,-8.937436,-0.039304,-32.404586,290.004648,1.925386,0.999952,0.002145,-0.008681,-0.004047,-0.001708,0.007147,0.005037
0.040000,0.029211,-3.004830,0.502256,-0.000852,0.004496,-0.004211,-0.020324,0.115531,0.017781,0.891782,-6.315015,-0.020420,-26.573615,235.649223,1.851600,0.999952,0.002143,-0.008664,-0.004009,-0.002067,0.008151,0.004282
0.050000,0.029201,-3.004780,0.502215,-0.001015,0.005373,-0.004033,-0.012647,0.063344,0.017668,0.652252,-4.201775,-0.002267,-21.446021,188.098186,1.779201,0.999952,0.002139,-0.008640,-0.003976,-0.002237,0.008621,0.003899
0.060000,0.029191,-3.004724,0.502175,-0.001112,0.005826,-0.003857,-0.007119,0.030019,0.017733,0.460659,-2.531785,0.015169,-16.979071,146.927752,1.708225,0.999953,0.002131,-0.008606,-0.003950,-0.002294,0.008770,0.003743
0.070000,0.029179,-3.004665,0.502138,-0.001163,0.006023,-0.003678,-0.003295,0.011436,0.017969,0.310611,-1.243367,0.031902,-13.130025,111.713191,1.638629,0.999953,0.002120,-0.008565,-0.003930,-0.002288,0.008744,0.003710
0.080000,0.029167,-3.004604,0.502102,-0.001182,0.006092,-0.003497,-0.000788,0.004072,0.018369,0.196142,-0.279083,0.047946,-9.856147,82.030042,1.570387,0.999954,0.002108,-0.008519,-0.003913,-0.002254,0.008639,0.003732
0.090000,0.029156,-3.004543,0.502068,-0.001182,0.006131,-0.003310,0.000728,0.004952,0.018926,0.111713,0.414257,0.063314,-7.114699,57.453860,1.503452,0.999954,0.002095,-0.008472,-0.003897,-0.002214,0.008517,0.003768
0.100000,0.029144,-3.004481,0.502036,-0.001170,0.006210,-0.003118,0.001529,0.011617,0.019633,0.052215,0.885600,0.078021,-4.862942,37.559938,1.437965,0.999955,0.002084,-0.008427,-0.003879,-0.002179,0.008408,0.003795
