time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.170788,0.021402,0.985075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.181669
0.010000,0.170787,0.021404,0.985076,0.000001,-0.000001,0.000000,-0.000685,-0.000393,0.000427,1.181709
0.020000,0.170786,0.021406,0.985076,-0.000041,-0.000019,0.000020,-0.007584,-0.003356,0.003509,1.181785
0.030000,0.170785,0.021409,0.985076,-0.000179,-0.000079,0.000082,-0.019536,-0.008456,0.008811,1.181905
0.040000,0.170784,0.021411,0.985076,-0.000458,-0.000198,0.000207,-0.035538,-0.015310,0.015957,1.182074
0.050000,0.170783,0.021414,0.985076,-0.000912,-0.000393,0.000410,-0.054723,-0.023583,0.024620,1.182292
0.060000,0.170768,0.021448,0.985078,-0.001570,-0.000676,0.000707,-0.076347,-0.032978,0.034515,1.182557
0.070000,0.170754,0.021483,0.985079,-0.002452,-0.001058,0.001107,-0.099770,-0.043237,0.045398,1.182867
0.080000,0.170740,0.021517,0.985081,-0.003575,-0.001545,0.001619,-0.124448,-0.054134,0.057058,1.183218
0.090000,0.170726,0.021551,0.985083,-0.004948,-0.002144,0.002251,-0.149916,-0.065474,0.069313,1.183603
0.100000,0.170712,0.021586,0.985085,-0.006578,-0.002857,0.003008,-0.175782,-0.077085,0.082008,1.184019
0.110000,0.170668,0.021691,0.985090,-0.008467,-0.003687,0.003894,-0.201712,-0.088819,0.095011,1.184459
0.120000,0.170635,0.021773,0.985094,-0.010614,-0.004634,0.004910,-0.227429,-0.100548,0.108209,1.184920
0.130000,0.170596,0.021867,0.985098,-0.013016,-0.005699,0.006059,-0.252698,-0.112163,0.121506,1.185395
0.140000,0.170538,0.022007,0.985105,-0.015668,-0.006878,0.007341,-0.277322,-0.123568,0.134820,1.185882
0.150000,0.170446,0.022227,0.985116,-0.018562,-0.008170,0.008756,-0.301141,-0.134682,0.148082,1.186376
0.160000,0.170371,0.022406,0.985125,-0.021689,-0.009571,0.010303,-0.324017,-0.145434,0.161234,1.186876
0.170000,0.170270,0.022648,0.985137,-0.025040,-0.011078,0.011981,-0.345842,-0.155764,0.174226,1.187378
0.180000,0.170146,0.022945,0.985152,-0.028604,-0.012685,0.013787,-0.366523,-0.165622,0.187017,1.187882
0.190000,0.170002,0.023288,0.985169,-0.032368,-0.014389,0.015721,-0.385988,-0.174962,0.199572,1.188386
0.200000,0.169841,0.023668,0.985187,-0.036320,-0.016183,0.017778,-0.404178,-0.183748,0.211861,1.188891
0.210000,0.169666,0.024083,0.985207,-0.040448,-0.018062,0.019957,-0.421043,-0.191945,0.223859,1.189395
0.220000,0.169474,0.024537,0.985229,-0.044737,-0.020020,0.022255,-0.436555,-0.199529,0.235548,1.189899
0.230000,0.169262,0.025036,0.985253,-0.049175,-0.022051,0.024667,-0.450690,-0.206474,0.246911,1.190403
0.240000,0.169029,0.025585,0.985279,-0.053747,-0.024148,0.027192,-0.463433,-0.212762,0.257936,1.190906
0.250000,0.168773,0.026187,0.985307,-0.058439,-0.026304,0.029825,-0.474775,-0.218376,0.268613,1.191408
0.260000,0.168493,0.026842,0.985337,-0.063238,-0.028513,0.032563,-0.484714,-0.223300,0.278933,1.191911
0.270000,0.168192,0.027546,0.985369,-0.068129,-0.030768,0.035402,-0.493254,-0.227524,0.288891,1.192415
0.280000,0.167868,0.028302,0.985403,-0.073099,-0.033061,0.038340,-0.500404,-0.231038,0.298484,1.192918
0.290000,0.167520,0.029113,0.985439,-0.078133,-0.035386,0.041371,-0.506175,-0.233833,0.307709,1.193423
0.300000,0.167147,0.029980,0.985476,-0.083218,-0.037735,0.044493,-0.510584,-0.235904,0.316564,1.193928
0.310000,0.166748,0.030904,0.985515,-0.088340,-0.040102,0.047701,-0.513647,-0.237244,0.325050,1.194434
0.320000,0.166326,0.031882,0.985555,-0.093486,-0.042478,0.050993,-0.515386,-0.237849,0.333168,1.194941
0.330000,0.165878,0.032916,0.985597,-0.098644,-0.044856,0.054363,-0.515825,-0.237718,0.340919,1.195449
0.340000,0.165406,0.034006,0.985639,-0.103799,-0.047230,0.057810,-0.514986,-0.236846,0.348307,1.195958
0.350000,0.164909,0.035152,0.985682,-0.108939,-0.049591,0.061328,-0.512897,-0.235233,0.355333,1.196467
0.360000,0.164386,0.036355,0.985726,-0.114053,-0.051932,0.064915,-0.509584,-0.232878,0.362001,1.196978
0.370000,0.163837,0.037615,0.985770,-0.119127,-0.054246,0.068567,-0.505075,-0.229780,0.368315,1.197490
0.380000,0.163264,0.038930,0.985814,-0.124150,-0.056525,0.072280,-0.499400,-0.225939,0.374280,1.198002
0.390000,0.162666,0.040299,0.985858,-0.129111,-0.058762,0.076052,-0.492589,-0.221357,0.379900,1.198515
