time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.684614,-0.229951,-1.470814,0.012646,-0.016628,-0.006672,0.162462,1.551649,0.116544,-9.421739,-43.697032,-2.025960,306.333003,972.841086,43.564786,0.158703,-0.016758,0.000000,-4.424748,0.962943,0.000000
0.010000,-2.684481,-0.230046,-1.470875,0.013849,-0.003141,-0.005601,0.082721,1.160858,0.098344,-6.608345,-34.701318,-1.625538,257.221091,828.763210,36.643782,0.118964,-0.008518,0.000000,-3.541744,0.677012,0.000000
0.020000,-2.684339,-0.230025,-1.470927,0.014386,0.006865,-0.004693,0.028745,0.853063,0.083815,-4.260255,-27.073759,-1.290666,213.227751,699.088049,30.448316,0.087484,-0.002955,0.000000,-2.773770,0.436731,-0.000000
0.030000,-2.684195,-0.229918,-1.470970,0.014495,0.014154,-0.003915,-0.003869,0.615291,0.072336,-2.327619,-20.673993,-1.014280,174.085729,583.082083,24.940422,0.063103,0.000397,0.000000,-2.121214,0.238516,0.000000
0.040000,-2.684050,-0.229749,-1.471005,0.014367,0.019366,-0.003238,-0.019035,0.435935,0.063357,-0.763260,-15.368998,-0.789692,139.527788,480.011783,20.082132,0.044697,0.001953,0.000000,-1.577323,0.078074,0.000000
0.050000,-2.683908,-0.229536,-1.471035,0.014161,0.023033,-0.002641,-0.020213,0.304681,0.056391,0.477329,-11.033083,-0.610598,109.286944,389.143698,15.835499,0.031228,0.002072,0.000000,-1.132025,-0.049044,-0.000000
0.060000,-2.683767,-0.229292,-1.471058,0.013999,0.025589,-0.002105,-0.010428,0.212438,0.051013,1.435979,-7.547895,-0.471070,83.095586,309.744229,12.162535,0.021765,0.001069,0.000000,-0.774110,-0.147161,-0.000000
0.070000,-2.683627,-0.229027,-1.471077,0.013980,0.027385,-0.001616,0.007698,0.151258,0.046856,2.151849,-4.802415,-0.365562,60.686612,241.079887,9.025284,0.015492,-0.000788,0.000000,-0.492357,-0.220349,0.000000
0.080000,-2.683487,-0.228746,-1.471091,0.014174,0.028695,-0.001165,0.031922,0.114270,0.043606,2.661428,-2.692959,-0.288905,41.792733,182.417155,6.385788,0.011700,-0.003269,0.000000,-0.276055,-0.272391,-0.000000
0.090000,-2.683343,-0.228454,-1.471100,0.014632,0.029731,-0.000742,0.060352,0.095601,0.040998,2.998530,-1.123178,-0.236313,26.146602,133.022519,4.206093,0.009786,-0.006178,0.000000,-0.115216,-0.306767,-0.000000
0.100000,-2.683193,-0.228152,-1.471106,0.015389,0.030652,-0.000343,0.091422,0.090305,0.038814,3.194303,-0.004060,-0.203378,13.481723,92.162447,2.448149,0.009241,-0.009356,0.000000,-0.000636,-0.326673,-0.000000
0.110000,-2.683034,-0.227841,-1.471107,0.016465,0.031568,0.000035,0.123862,0.094291,0.036878,3.277211,0.746074,-0.186071,3.529956,59.103435,1.074093,0.009647,-0.012673,0.000000,0.076102,-0.335018,-0.000000
0.120000,-2.682863,-0.227520,-1.471105,0.017868,0.032557,0.000395,0.156676,0.104246,0.035053,3.273056,1.201567,-0.180743,-3.975617,33.111961,0.045925,0.010663,-0.016027,0.000000,0.122639,-0.334440,-0.000000
0.130000,-2.682676,-0.227189,-1.471100,0.019597,0.033664,0.000736,0.189110,0.117564,0.033234,3.204962,1.429427,-0.184126,-9.302245,13.454502,-0.674315,0.012022,-0.019340,0.000000,0.145856,-0.327304,0.000000
0.140000,-2.682470,-0.226846,-1.471091,0.021647,0.034913,0.001059,0.220630,0.132275,0.031351,3.093383,1.489326,-0.193330,-12.717183,-0.602470,-1.124581,0.013523,-0.022559,0.000000,0.151874,-0.315705,0.000000
