time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.283346,-0.232938,-1.481060,0.013295,-0.008276,-0.005706,0.042928,0.572960,0.049171,0.772872,21.000197,2.056642,-110.480274,-680.725044,-37.444280,0.058632,-0.004398,0.000000,2.156373,-0.079968,-0.000000
0.010000,-3.283213,-0.233020,-1.481117,0.013724,-0.002547,-0.005214,0.050657,0.782962,0.069737,-0.331931,14.192946,1.682199,-160.602095,-1468.935315,-105.098810,0.080211,-0.005201,0.000000,1.461575,0.033072,-0.000000
0.020000,-3.283072,-0.232988,-1.481165,0.014308,0.007383,-0.004311,0.036290,0.856819,0.082815,-2.439170,-8.378510,-0.045335,-111.185828,-1775.498632,-149.552990,0.087858,-0.003731,0.000000,-0.855038,0.249805,0.000000
0.030000,-3.282927,-0.232873,-1.481204,0.014450,0.014590,-0.003558,0.001873,0.615392,0.068830,-2.555648,-21.317026,-1.308861,74.159756,-388.919929,-55.133910,0.063091,-0.000192,0.000000,-2.188096,0.261859,-0.000000
0.040000,-3.282783,-0.232697,-1.481236,0.014345,0.019691,-0.002934,-0.014823,0.430479,0.056637,-0.955975,-16.156908,-1.148013,143.814018,469.792091,14.381108,0.044108,0.001520,0.000000,-1.658516,0.097741,-0.000000
0.050000,-3.282640,-0.232479,-1.481262,0.014153,0.023199,-0.002425,-0.017246,0.292254,0.045870,0.320633,-11.921184,-1.021239,113.583758,382.989876,11.214248,0.029922,0.001766,0.000000,-1.222947,-0.033008,-0.000000
0.060000,-3.282500,-0.232233,-1.481284,0.014000,0.025536,-0.002017,-0.008411,0.192055,0.036213,1.315700,-8.497111,-0.923728,87.373121,307.111917,8.512387,0.019647,0.000861,0.000000,-0.870896,-0.134670,-0.000000
0.070000,-3.282360,-0.231968,-1.481303,0.013985,0.027040,-0.001701,0.009068,0.122312,0.027396,2.068095,-5.778946,-0.850991,64.916556,241.457758,6.243284,0.012502,-0.000927,0.000000,-0.591734,-0.211308,-0.000000
0.080000,-3.282220,-0.231692,-1.481318,0.014182,0.027982,-0.001469,0.032951,0.076476,0.019193,2.614031,-3.667955,-0.798862,45.948571,185.326947,4.374700,0.007811,-0.003366,0.000000,-0.375252,-0.266703,-0.000000
0.090000,-3.282077,-0.231408,-1.481332,0.014644,0.028570,-0.001317,0.061349,0.048953,0.011418,2.987066,-2.072407,-0.763497,30.203597,138.019030,2.874404,0.004996,-0.006261,0.000000,-0.211890,-0.304343,0.000000
0.100000,-3.281927,-0.231120,-1.481345,0.015409,0.028961,-0.001241,0.092692,0.035028,0.003923,3.218103,-0.907575,-0.741374,17.416042,98.833550,1.710171,0.003572,-0.009452,0.000000,-0.092828,-0.327428,0.000000
