time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-2.750909,0.000000,0.000000,-3.002372,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-2.720078,0.000000,0.000000,-2.972739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933733,0.000000,0.000000,-1.156175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013025,0.000038,-0.000071,-0.012836,0.000002,0.000006,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000103,-0.000051,-0.017817,0.000032,-0.000002,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000092,0.000156,-0.000054,-0.029320,0.000002,0.000000,-0.031570
0.010000,-2.750903,0.000000,0.000000,-3.002371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720073,0.000000,0.000000,-2.972738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933731,0.000000,0.000000,-1.156174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013024,0.000038,-0.000071,-0.012836,0.000001,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000100,-0.000051,-0.017815,0.000032,-0.000002,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000091,0.000157,-0.000053,-0.029315,0.000002,0.000000,-0.031570
0.020000,-2.750897,0.000000,0.000000,-3.002371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720067,0.000000,0.000000,-2.972738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933728,0.000000,0.000000,-1.156174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013022,0.000038,-0.000071,-0.012836,0.000001,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000099,-0.000051,-0.017812,0.000032,-0.000002,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000091,0.000158,-0.000053,-0.029310,0.000001,0.000000,-0.031570
0.030000,-2.750891,0.000000,0.000000,-3.002371,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720061,0.000000,0.000000,-2.972738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933726,0.000000,0.000000,-1.156173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013021,0.000038,-0.000071,-0.012836,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000098,-0.000051,-0.017809,0.000032,-0.000001,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000090,0.000159,-0.000053,-0.029306,0.000001,0.000000,-0.031570
0.040000,-2.750885,0.000000,0.000000,-3.002370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720055,0.000000,0.000000,-2.972737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933724,0.000000,0.000000,-1.156173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013020,0.000038,-0.000070,-0.012836,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000097,-0.000051,-0.017807,0.000031,-0.000001,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000089,0.000158,-0.000052,-0.029301,0.000001,0.000000,-0.031570
0.050000,-2.750879,0.000000,0.000000,-3.002370,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-2.720049,0.000000,0.000000,-2.972737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933722,0.000000,0.000000,-1.156172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013018,0.000038,-0.000070,-0.012836,0.000001,0.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000096,-0.000051,-0.017804,0.000031,-0.000001,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000089,0.000158,-0.000052,-0.029296,0.000001,0.000000,-0.031570
0.060000,-2.750873,0.000000,0.000000,-3.002369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720042,0.000000,0.000000,-2.972737,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933719,0.000000,0.000000,-1.156171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013016,0.000037,-0.000070,-0.012836,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000096,-0.000051,-0.017801,0.000031,-0.000001,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000089,0.000157,-0.000052,-0.029292,0.000001,0.000000,-0.031570
0.070000,-2.750866,0.000000,0.000000,-3.002369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720036,0.000000,0.000000,-2.972736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933717,0.000000,0.000000,-1.156171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.013015,0.000037,-0.000069,-0.012836,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000095,-0.000051,-0.017799,0.000031,-0.000001,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000088,0.000157,-0.000052,-0.029287,0.000001,0.000000,-0.031570
0.080000,-2.750860,0.000000,0.000000,-3.002369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720029,0.000000,0.000000,-2.972736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933714,0.000000,0.000000,-1.156170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000022,-0.013013,0.000037,-0.000069,-0.012836,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000095,-0.000050,-0.017796,0.000031,-0.000001,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000088,0.000156,-0.000051,-0.029282,0.000001,0.000000,-0.031569
0.090000,-2.750853,0.000000,0.000000,-3.002368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.720023,0.000000,0.000000,-2.972735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933712,0.000000,0.000000,-1.156170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000022,-0.013012,0.000037,-0.000069,-0.012836,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000094,-0.000050,-0.017793,0.000031,-0.000001,-0.018772,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000087,0.000155,-0.000051,-0.029277,0.000001,0.000000,-0.031569
