time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,-0.001748,-3.008950,0.509785,-0.015915,0.013003,0.004694,1.538123,0.157724,-0.059075,-43.251963,-9.237550,0.253882,929.047243,262.469641,0.605572,0.999975,-0.001886,-0.005956,-0.003205,0.002022,0.023089,0.005885
0.010000,-0.001837,-3.008813,0.509829,-0.002548,0.014160,0.004116,1.149703,0.077744,-0.056506,-34.661446,-6.829120,0.259931,791.421768,219.993828,0.603665,0.999976,-0.001876,-0.005882,-0.003182,0.001989,0.015578,0.004652
0.020000,-0.001811,-3.008669,0.509867,0.007343,0.014631,0.003564,0.840540,0.019802,-0.053876,-27.377395,-4.822528,0.265947,667.636097,182.061592,0.599055,0.999976,-0.001866,-0.005803,-0.003159,0.001964,0.010746,0.003854
0.030000,-0.001699,-3.008522,0.509900,0.014486,0.014617,0.003038,0.598251,-0.019898,-0.051187,-21.264949,-3.173548,0.271903,556.982775,148.431258,0.591896,0.999977,-0.001856,-0.005727,-0.003136,0.001945,0.007803,0.003363
0.040000,-0.001528,-3.008378,0.509928,0.019493,0.014283,0.002540,0.411763,-0.044721,-0.048438,-16.196323,-1.840369,0.277776,458.754348,118.861200,0.582356,0.999977,-0.001846,-0.005658,-0.003114,0.001929,0.006143,0.003081
0.050000,-0.001315,-3.008237,0.509951,0.022874,0.013762,0.002070,0.271248,-0.057626,-0.045632,-12.050804,-0.783595,0.283541,372.243359,93.109745,0.570424,0.999978,-0.001837,-0.005601,-0.003095,0.001916,0.005313,0.002935
0.060000,-0.001075,-3.008103,0.509969,0.025043,0.013162,0.001628,0.168049,-0.061191,-0.042768,-8.714756,0.033750,0.289177,296.742354,70.935182,0.556438,0.999978,-0.001827,-0.005561,-0.003078,0.001905,0.004985,0.002870
0.070000,-0.000817,-3.007974,0.509984,0.026334,0.012562,0.001215,0.094611,-0.057634,-0.039849,-6.081616,0.646226,0.294663,231.543877,52.095865,0.540472,0.999978,-0.001818,-0.005532,-0.003063,0.001895,0.004931,0.002850
0.080000,-0.000550,-3.007851,0.509994,0.027012,0.012026,0.000831,0.044406,-0.048842,-0.036875,-4.051895,1.085979,0.299981,175.940473,36.350128,0.522674,0.999979,-0.001808,-0.005512,-0.003049,0.001885,0.004999,0.002851
0.090000,-0.000278,-3.007733,0.510000,0.027281,0.011598,0.000477,0.011870,-0.036391,-0.033850,-2.533181,1.382735,0.305111,129.224687,23.456332,0.503199,0.999979,-0.001799,-0.005493,-0.003036,0.001875,0.005096,0.002856
0.100000,-0.000005,-3.007619,0.510003,0.027293,0.011306,0.000154,-0.007675,-0.021573,-0.030774,-1.440134,1.563806,0.310039,90.689063,13.172753,0.482159,0.999979,-0.001789,-0.005470,-0.003022,0.001865,0.005173,0.002858
0.110000,0.000267,-3.007507,0.510003,0.027158,0.011171,-0.000138,-0.018090,-0.005417,-0.027650,-0.694490,1.654086,0.314750,59.626146,5.257768,0.459732,0.999979,-0.001780,-0.005444,-0.003008,0.001855,0.005208,0.002854
0.120000,0.000538,-3.007395,0.510001,0.026951,0.011200,-0.000399,-0.022485,0.011282,-0.024479,-0.225060,1.676051,0.319230,35.328482,-0.530308,0.436055,0.999979,-0.001771,-0.005419,-0.002994,0.001845,0.005201,0.002844
0.130000,0.000806,-3.007282,0.509996,0.026720,0.011396,-0.000628,-0.023297,0.027943,-0.021266,0.032272,1.649764,0.323467,17.088614,-4.433177,0.411274,0.999979,-0.001762,-0.005393,-0.002980,0.001835,0.005161,0.002828
0.140000,0.001072,-3.007166,0.509988,0.026491,0.011757,-0.000824,-0.022356,0.044175,-0.018011,0.134547,1.592866,0.327452,4.199088,-6.692662,0.385532,0.999980,-0.001753,-0.005368,-0.002966,0.001825,0.005104,0.002809
0.150000,0.001336,-3.007046,0.509979,0.026274,0.012277,-0.000988,-0.020956,0.059750,-0.014718,0.131730,1.520582,0.331175,-4.047553,-7.550838,0.358967,0.999980,-0.001743,-0.005342,-0.002952,0.001815,0.005042,0.002790
0.160000,0.001598,-3.006920,0.509969,0.026071,0.012950,-0.001118,-0.019928,0.074579,-0.011388,0.066714,1.445741,0.334629,-8.358762,-7.246765,0.331741,0.999980,-0.001734,-0.005317,-0.002938,0.001805,0.004988,0.002772
0.170000,0.001857,-3.006787,0.509957,0.025873,0.013767,-0.001215,-0.019709,0.088691,-0.008026,-0.024685,1.378716,0.337808,-9.441995,-6.025268,0.303991,0.999980,-0.001725,-0.005292,-0.002924,0.001795,0.004948,0.002756
0.180000,0.002115,-3.006645,0.509944,0.025673,0.014722,-0.001279,-0.020413,0.102206,-0.004633,-0.113725,1.327492,0.340708,-8.004708,-4.126872,0.275872,0.999980,-0.001716,-0.005267,-0.002910,0.001785,0.004925,0.002743
0.190000,0.002371,-3.006492,0.509931,0.025462,0.015809,-0.001308,-0.021902,0.115312,-0.001213,-0.178736,1.297630,0.343325,-4.754356,-1.793241,0.247544,0.999981,-0.001708,-0.005243,-0.002896,0.001776,0.004916,0.002732
0.200000,0.002624,-3.006328,0.509918,0.025234,0.017027,-0.001303,-0.023858,0.128241,0.002232,-0.205126,1.292274,0.345657,-0.398394,0.734073,0.219046,0.999981,-0.001699,-0.005218,-0.002883,0.001766,0.004914,0.002723
0.210000,0.002875,-3.006151,0.509906,0.024977,0.018371,-0.001263,-0.028768,0.140157,0.005700,-0.852583,1.064037,0.347852,-8.833295,-1.691382,0.193538,0.999981,-0.001690,-0.005194,-0.002869,0.001757,0.004889,0.002710
0.220000,0.003124,-3.005960,0.509893,0.024662,0.019832,-0.001189,-0.031419,0.153072,0.009187,0.724876,1.669402,0.349287,207.723730,79.376446,0.118996,0.999981,-0.001681,-0.005169,-0.002856,0.001747,0.004864,0.002697
0.230000,0.003369,-3.005754,0.509882,0.024404,0.021454,-0.001079,-0.019961,0.171444,0.012686,0.853384,1.740525,0.350767,-185.661665,-66.529040,0.177884,0.999981,-0.001672,-0.005145,-0.002842,0.001738,0.004839,0.002683
0.240000,0.003612,-3.005530,0.509872,0.024214,0.023244,-0.000935,-0.020641,0.185554,0.016202,-0.628854,1.215813,0.352329,6.957787,5.351938,0.108836,0.999982,-0.001664,-0.005121,-0.002829,0.001728,0.004814,0.002670
0.250000,0.003853,-3.005289,0.509863,0.023987,0.025165,-0.000755,-0.023472,0.199138,0.019730,-0.007445,1.475329,0.353162,-0.057038,2.884049,0.083483,0.999982,-0.001655,-0.005097,-0.002816,0.001719,0.004789,0.002657
0.260000,0.004092,-3.005027,0.509857,0.023752,0.027230,-0.000540,-0.023827,0.213974,0.023265,-0.070979,1.490253,0.353813,-0.866370,2.816166,0.055639,0.999982,-0.001647,-0.005073,-0.002802,0.001709,0.004765,0.002644
0.270000,0.004328,-3.004743,0.509853,0.023511,0.029445,-0.000290,-0.023961,0.229161,0.026806,0.083666,1.556520,0.354357,20.371437,7.781394,0.044579,0.999982,-0.001638,-0.005049,-0.002789,0.001700,0.004740,0.002632
0.280000,0.004562,-3.004437,0.509851,0.023278,0.031816,-0.000004,-0.022711,0.244976,0.030351,0.096557,1.590139,0.354524,-18.149620,-1.149349,-0.011478,0.999982,-0.001630,-0.005025,-0.002776,0.001691,0.004716,0.002619
0.290000,0.004794,-3.004107,0.509853,0.023052,0.034345,0.000317,-0.022646,0.260820,0.033895,-0.048149,1.586896,0.354303,0.744289,3.164639,-0.023881,0.999982,-0.001621,-0.005002,-0.002763,0.001682,0.004692,0.002606
0.300000,0.005023,-3.003750,0.509858,0.022825,0.037033,0.000674,-0.022785,0.276917,0.037437,0.013462,1.630622,0.353973,0.076964,2.912355,-0.050721,0.999983,-0.001613,-0.004979,-0.002750,0.001673,0.004668,0.002593
0.310000,0.005250,-3.003365,0.509866,0.022597,0.039884,0.001066,-0.022681,0.293392,0.040974,0.006474,1.664924,0.353369,-0.018721,2.916839,-0.076121,0.999983,-0.001604,-0.004955,-0.002737,0.001663,0.004643,0.002581
0.320000,0.005475,-3.002952,0.509879,0.022371,0.042902,0.001493,-0.022540,0.310132,0.044503,0.026478,1.679436,0.352395,2.606652,0.979404,-0.112530,0.999983,-0.001596,-0.004932,-0.002724,0.001654,0.004619,0.002568
0.330000,0.005698,-3.002507,0.509896,0.022147,0.046087,0.001956,-0.022220,0.327026,0.048021,0.028942,1.705392,0.351244,-2.158450,4.240716,-0.117394,0.999983,-0.001588,-0.004909,-0.002711,0.001645,0.004596,0.002556
0.340000,0.005918,-3.002029,0.509918,0.021926,0.049444,0.002454,-0.022038,0.344290,0.051527,0.011871,1.744042,0.349928,0.169676,2.480979,-0.151744,0.999983,-0.001580,-0.004886,-0.002699,0.001636,0.004572,0.002543
0.350000,0.006136,-3.001517,0.509945,0.021706,0.052974,0.002986,-0.021873,0.361826,0.055018,0.020213,1.763538,0.348262,0.076494,2.420046,-0.175445,0.999983,-0.001571,-0.004863,-0.002686,0.001628,0.004548,0.002531
0.360000,0.006352,-3.000969,0.509978,0.021489,0.056681,0.003554,-0.021677,0.379597,0.058492,0.018696,1.790943,0.346443,0.025958,2.366144,-0.197996,0.999983,-0.001563,-0.004841,-0.002673,0.001619,0.004525,0.002518
0.370000,0.006566,-3.000383,0.510017,0.021273,0.060567,0.004156,-0.021468,0.397586,0.061946,0.024464,1.804463,0.344214,0.733197,1.010460,-0.238348,0.999984,-0.001555,-0.004818,-0.002661,0.001610,0.004501,0.002506
0.380000,0.006778,-2.999757,0.510061,0.021060,0.064633,0.004793,-0.021208,0.415715,0.065376,0.025078,1.825278,0.341877,-0.622730,3.173101,-0.228762,0.999984,-0.001547,-0.004796,-0.002648,0.001601,0.004478,0.002494
0.390000,0.006987,-2.999090,0.510113,0.020849,0.068882,0.005464,-0.020988,0.434124,0.068783,0.019987,1.854293,0.339449,0.002681,1.949523,-0.266342,0.999984,-0.001539,-0.004773,-0.002636,0.001592,0.004455,0.002481
0.400000,0.007195,-2.998379,0.510171,0.020640,0.073316,0.006168,-0.020778,0.452745,0.072163,0.021758,1.870041,0.336631,-0.044871,1.876221,-0.287418,0.999984,-0.001531,-0.004751,-0.002623,0.001584,0.004432,0.002469
0.410000,0.007400,-2.997623,0.510236,0.020433,0.077938,0.006907,-0.020555,0.471533,0.075515,0.023099,1.887326,0.333610,-0.026296,1.738850,-0.309549,0.999984,-0.001523,-0.004729,-0.002611,0.001575,0.004409,0.002457
0.420000,0.007603,-2.996820,0.510309,0.020229,0.082748,0.007678,-0.020343,0.490500,0.078836,0.018116,1.906268,0.330508,-0.639908,1.895509,-0.317887,0.999984,-0.001516,-0.004707,-0.002599,0.001566,0.004386,0.002445
0.430000,0.007804,-2.995967,0.510390,0.020026,0.087748,0.008483,-0.020177,0.509647,0.082124,0.017236,1.922006,0.327107,0.474814,1.247146,-0.362487,0.999985,-0.001508,-0.004685,-0.002587,0.001558,0.004363,0.002433
0.440000,0.008004,-2.995064,0.510479,0.019825,0.092941,0.009321,-0.019981,0.528927,0.085377,0.020949,1.934320,0.323401,-0.064925,1.370988,-0.371618,0.999985,-0.001500,-0.004663,-0.002574,0.001549,0.004341,0.002421
0.450000,0.008201,-2.994108,0.510576,0.019626,0.098327,0.010191,-0.019783,0.548341,0.088592,0.018773,1.948121,0.319615,-0.038012,1.233892,-0.392416,0.999985,-0.001492,-0.004642,-0.002562,0.001541,0.004318,0.002409
0.460000,0.008396,-2.993097,0.510683,0.019430,0.103908,0.011093,-0.019597,0.567889,0.091768,0.018340,1.961426,0.315576,-0.032596,1.140566,-0.412692,0.999985,-0.001485,-0.004620,-0.002550,0.001533,0.004296,0.002397
0.470000,0.008590,-2.992029,0.510798,0.019234,0.109685,0.012026,-0.019415,0.587543,0.094903,0.018268,1.968299,0.311387,0.002993,0.513106,-0.427606,0.999985,-0.001477,-0.004599,-0.002538,0.001524,0.004273,0.002386
0.480000,0.008781,-2.990903,0.510923,0.019041,0.115659,0.012990,-0.019233,0.607265,0.097995,0.018083,1.977547,0.306971,-0.040348,1.345532,-0.455686,0.999985,-0.001469,-0.004577,-0.002526,0.001516,0.004251,0.002374
0.490000,0.008970,-2.989715,0.511058,0.018850,0.121831,0.013986,-0.019054,0.627106,0.101042,0.017768,1.989582,0.302327,-0.007251,0.780593,-0.470344,0.999985,-0.001462,-0.004556,-0.002515,0.001508,0.004229,0.002362
0.500000,0.009158,-2.988465,0.511203,0.018660,0.128202,0.015011,-0.018876,0.647031,0.104041,0.017807,1.995548,0.297543,-0.000398,0.693994,-0.488988,0.999986,-0.001454,-0.004535,-0.002503,0.001499,0.004207,0.002351
