time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.203163,-0.060475,0.977276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.825047
0.010000,-0.203164,-0.060472,0.977276,-0.000004,0.000001,-0.000003,-0.001203,0.000105,-0.000846,0.825044
0.020000,-0.203164,-0.060470,0.977276,-0.000046,-0.000001,-0.000029,-0.007550,-0.000426,-0.004686,0.825108
0.030000,-0.203164,-0.060468,0.977276,-0.000173,-0.000011,-0.000107,-0.018346,-0.001399,-0.011188,0.825222
0.040000,-0.203164,-0.060465,0.977276,-0.000429,-0.000033,-0.000262,-0.032948,-0.002649,-0.020048,0.825375
0.050000,-0.203165,-0.060463,0.977276,-0.000846,-0.000067,-0.000516,-0.050768,-0.004042,-0.030983,0.825556
0.060000,-0.203168,-0.060430,0.977277,-0.001456,-0.000116,-0.000889,-0.071261,-0.005469,-0.043736,0.825758
0.070000,-0.203171,-0.060396,0.977279,-0.002281,-0.000178,-0.001398,-0.093934,-0.006842,-0.058070,0.825977
0.080000,-0.203175,-0.060363,0.977280,-0.003343,-0.000253,-0.002056,-0.118334,-0.008090,-0.073767,0.826207
0.090000,-0.203178,-0.060329,0.977281,-0.004655,-0.000340,-0.002878,-0.144050,-0.009156,-0.090630,0.826447
0.100000,-0.203181,-0.060296,0.977283,-0.006230,-0.000436,-0.003873,-0.170710,-0.009998,-0.108476,0.826696
0.110000,-0.203191,-0.060191,0.977287,-0.008074,-0.000539,-0.005051,-0.197978,-0.010583,-0.127142,0.826952
0.120000,-0.203199,-0.060110,0.977291,-0.010193,-0.000647,-0.006420,-0.225553,-0.010885,-0.146479,0.827215
0.130000,-0.203207,-0.060017,0.977295,-0.012587,-0.000756,-0.007984,-0.253165,-0.010887,-0.166349,0.827486
0.140000,-0.203220,-0.059876,0.977301,-0.015257,-0.000864,-0.009749,-0.280575,-0.010576,-0.186632,0.827764
0.150000,-0.203238,-0.059652,0.977311,-0.018199,-0.000967,-0.011718,-0.307570,-0.009943,-0.207217,0.828050
0.160000,-0.203252,-0.059467,0.977319,-0.021408,-0.001062,-0.013894,-0.333962,-0.008984,-0.228003,0.828344
0.170000,-0.203271,-0.059218,0.977330,-0.024877,-0.001146,-0.016279,-0.359589,-0.007696,-0.248903,0.828647
0.180000,-0.203295,-0.058911,0.977344,-0.028598,-0.001215,-0.018873,-0.384309,-0.006080,-0.269836,0.828958
0.190000,-0.203321,-0.058554,0.977360,-0.032561,-0.001266,-0.021676,-0.407998,-0.004136,-0.290730,0.829279
0.200000,-0.203347,-0.058153,0.977378,-0.036755,-0.001297,-0.024688,-0.430554,-0.001869,-0.311523,0.829607
0.210000,-0.203375,-0.057713,0.977398,-0.041169,-0.001303,-0.027907,-0.451888,0.000718,-0.332158,0.829945
0.220000,-0.203405,-0.057230,0.977421,-0.045790,-0.001281,-0.031331,-0.471927,0.003619,-0.352585,0.830290
0.230000,-0.203437,-0.056696,0.977445,-0.050604,-0.001230,-0.034958,-0.490609,0.006825,-0.372759,0.830644
0.240000,-0.203469,-0.056105,0.977473,-0.055598,-0.001144,-0.038785,-0.507888,0.010328,-0.392643,0.831005
0.250000,-0.203502,-0.055450,0.977503,-0.060758,-0.001022,-0.042810,-0.523724,0.014119,-0.412202,0.831374
0.260000,-0.203535,-0.054735,0.977536,-0.066068,-0.000861,-0.047028,-0.538092,0.018189,-0.431407,0.831749
0.270000,-0.203570,-0.053963,0.977572,-0.071515,-0.000657,-0.051437,-0.550973,0.022526,-0.450232,0.832131
0.280000,-0.203605,-0.053130,0.977610,-0.077083,-0.000409,-0.056032,-0.562356,0.027119,-0.468656,0.832519
0.290000,-0.203638,-0.052232,0.977652,-0.082758,-0.000114,-0.060809,-0.572238,0.031955,-0.486661,0.832913
0.300000,-0.203669,-0.051265,0.977697,-0.088523,0.000230,-0.065764,-0.580622,0.037024,-0.504230,0.833312
0.310000,-0.203699,-0.050229,0.977744,-0.094365,0.000627,-0.070892,-0.587517,0.042311,-0.521352,0.833715
