time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.997826,0.727909,-1.382724,-0.014938,-0.005878,0.003595,0.076109,0.043960,0.077215,3.951010,2.066410,2.684922,18.260670,-11.735294,-103.412594,0.004517,-0.007820,0.000000,0.213535,-0.408077,-0.000000
0.010000,-2.997976,0.727850,-1.382688,-0.014177,-0.005439,0.004367,0.115619,0.064625,0.104064,4.133617,1.949057,1.650796,-67.792243,-67.931744,-209.343233,0.006658,-0.011912,0.000000,0.201886,-0.427841,-0.000000
0.020000,-2.998110,0.727800,-1.382636,-0.012626,-0.004586,0.005676,0.158781,0.082942,0.110231,2.595165,0.707775,-1.501943,-156.019362,-115.779095,-240.163837,0.008550,-0.016368,0.000000,0.071592,-0.264934,-0.000000
0.030000,-2.998228,0.727758,-1.382574,-0.011001,-0.003780,0.006571,0.167522,0.078780,0.074025,1.013230,-0.366525,-3.152481,-65.647524,-49.101343,-40.218941,0.008090,-0.017205,0.000000,-0.040272,-0.098467,-0.000000
0.040000,-2.998330,0.727724,-1.382505,-0.009275,-0.003010,0.007156,0.179046,0.075611,0.047181,1.282215,-0.274252,-2.306321,25.959536,8.555544,76.175250,0.007743,-0.018338,0.000000,-0.029932,-0.126958,-0.000000
0.050000,-2.998414,0.727698,-1.382431,-0.007421,-0.002268,0.007515,0.193167,0.073295,0.027899,1.532420,-0.195414,-1.628976,24.058535,7.264251,60.375947,0.007491,-0.019744,0.000000,-0.021242,-0.153303,0.000000
0.060000,-2.998478,0.727679,-1.382355,-0.005412,-0.001544,0.007714,0.209694,0.071703,0.014602,1.763386,-0.128966,-1.098802,22.117332,6.075016,46.671371,0.007318,-0.021404,0.000000,-0.014011,-0.177534,-0.000000
0.070000,-2.998522,0.727667,-1.382277,-0.003227,-0.000833,0.007807,0.228434,0.070716,0.005923,1.974767,-0.073913,-0.695548,20.147623,4.982978,34.922826,0.007211,-0.023296,0.000000,-0.008082,-0.199656,0.000000
0.080000,-2.998543,0.727662,-1.382198,-0.000843,-0.000130,0.007833,0.249190,0.070225,0.000691,2.166338,-0.029307,-0.400346,18.161087,3.983274,24.991628,0.007157,-0.025398,0.000000,-0.003319,-0.219661,0.000000
0.090000,-2.998539,0.727665,-1.382120,0.001757,0.000571,0.007821,0.271761,0.070130,-0.002084,2.337989,0.005752,-0.195716,16.169407,3.071038,16.739089,0.007144,-0.027689,0.000000,0.000396,-0.237536,0.000000
0.100000,-2.998508,0.727674,-1.382042,0.004592,0.001273,0.007791,0.295949,0.070340,-0.003224,2.489726,0.032114,-0.065564,14.184263,2.241405,10.026522,0.007164,-0.030149,0.000000,0.003168,-0.253273,0.000000
0.110000,-2.998447,0.727690,-1.381964,0.007676,0.001978,0.007756,0.321556,0.070772,-0.003395,2.621674,0.050580,0.004815,12.217355,1.489517,4.715230,0.007208,-0.032755,0.000000,0.005092,-0.266875,0.000000
0.120000,-2.998354,0.727713,-1.381887,0.011023,0.002688,0.007723,0.348383,0.071351,-0.003127,2.734073,0.061904,0.028741,10.280376,0.810510,0.666533,0.007266,-0.035487,0.000000,0.006253,-0.278360,-0.000000
0.130000,-2.998227,0.727744,-1.381810,0.014644,0.003405,0.007694,0.376237,0.072010,-0.002821,2.827282,0.066790,0.018146,8.385008,0.199517,-2.258256,0.007333,-0.038323,0.000000,0.006734,-0.287761,0.000000
0.140000,-2.998061,0.727781,-1.381733,0.018548,0.004128,0.007667,0.404928,0.072687,-0.002764,2.901773,0.065895,-0.016425,6.542931,-0.348311,-4.197870,0.007401,-0.041242,0.000000,0.006607,-0.295134,-0.000000
0.150000,-2.997856,0.727826,-1.381656,0.022742,0.004859,0.007639,0.434272,0.073328,-0.003149,2.958140,0.059824,-0.065812,4.765836,-0.837846,-5.290965,0.007465,-0.044225,0.000000,0.005941,-0.300553,0.000000
0.160000,-2.997607,0.727879,-1.381580,0.027233,0.005595,0.007604,0.464091,0.073883,-0.004081,2.997090,0.049138,-0.122244,3.065418,-1.273966,-5.676175,0.007520,-0.047253,0.000000,0.004799,-0.304109,0.000000
0.170000,-2.997311,0.727938,-1.381504,0.032024,0.006336,0.007557,0.494214,0.074311,-0.005594,3.019449,0.034345,-0.179335,1.456711,-1.662062,-5.513335,0.007561,-0.050307,0.000000,0.003240,-0.305913,0.000000
0.180000,-2.996966,0.728005,-1.381429,0.037117,0.007081,0.007492,0.524480,0.074570,-0.007667,3.026224,0.015896,-0.232511,0.009911,-2.016515,-5.309501,0.007585,-0.053371,0.000000,0.001313,-0.306095,0.000000
0.190000,-2.996569,0.728080,-1.381354,0.042514,0.007828,0.007404,0.554739,0.074628,-0.010244,3.019647,-0.005985,-0.285525,-1.283525,-2.338909,-5.075934,0.007587,-0.056429,0.000000,-0.000960,-0.304868,0.000000
0.200000,-2.996116,0.728162,-1.381281,0.048212,0.008574,0.007287,0.584873,0.074451,-0.013378,3.000554,-0.030882,-0.334029,-2.843676,-2.563803,-2.233415,0.007565,-0.059469,0.000000,-0.003531,-0.302345,0.000000
0.210000,-2.995604,0.728251,-1.381209,0.054211,0.009317,0.007136,0.614750,0.074011,-0.016925,2.962773,-0.057262,-0.330194,-4.612595,-2.703580,2.788119,0.007517,-0.062476,0.000000,-0.006208,-0.298218,0.000000
0.220000,-2.995032,0.728348,-1.381138,0.060507,0.010054,0.006949,0.644129,0.073305,-0.019982,2.908302,-0.084953,-0.278267,-5.341033,-2.964815,2.056751,0.007441,-0.065433,0.000000,-0.008977,-0.292740,-0.000000
0.230000,-2.994394,0.728452,-1.381070,0.067094,0.010783,0.006736,0.672916,0.072312,-0.022490,2.855953,-0.116558,-0.289059,-5.003033,-3.358016,-4.709019,0.007337,-0.068331,0.000000,-0.012186,-0.287096,0.000000
0.240000,-2.993690,0.728564,-1.381004,0.073966,0.011500,0.006499,0.701248,0.070974,-0.025763,2.808241,-0.152114,-0.372447,-5.302852,-3.607474,-6.828019,0.007198,-0.071175,0.000000,-0.015842,-0.281376,-0.000000
