time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.282790,0.236784,-1.498265,-0.016523,-0.004858,0.006227,0.176531,0.045783,0.010215,-0.654793,0.720015,-0.516796,16.943951,-8.629537,11.499655,0.004671,-0.018012,0.000000,0.073218,0.067744,0.000000
0.010000,-3.282947,0.236738,-1.498203,-0.014787,-0.004366,0.006305,0.170836,0.052585,0.005583,-0.483910,0.643624,-0.413482,17.208950,-6.698961,9.205253,0.005362,-0.017423,0.000000,0.065413,0.050075,0.000000
0.020000,-3.283086,0.236697,-1.498140,-0.013100,-0.003809,0.006341,0.166860,0.058714,0.001873,-0.311073,0.585060,-0.331867,17.336277,-5.061064,7.157968,0.005985,-0.017011,0.000000,0.059441,0.032282,0.000000
0.030000,-3.283209,0.236662,-1.498076,-0.011444,-0.003193,0.006344,0.164616,0.064336,-0.001119,-0.137611,0.541488,-0.269542,17.335562,-3.697627,5.344978,0.006556,-0.016777,0.000000,0.055003,0.014483,0.000000
0.040000,-3.283315,0.236634,-1.498013,-0.009802,-0.002523,0.006321,0.164105,0.069585,-0.003574,0.035243,0.510254,-0.224229,17.216354,-2.590435,3.753504,0.007090,-0.016721,0.000000,0.051822,-0.003208,0.000000
0.050000,-3.283405,0.236612,-1.497950,-0.008156,-0.001802,0.006274,0.165315,0.074574,-0.005653,0.206360,0.488886,-0.193778,16.989025,-1.721258,2.370493,0.007596,-0.016840,0.000000,0.049644,-0.020685,0.000000
0.060000,-3.283478,0.236598,-1.497887,-0.006490,-0.001032,0.006208,0.168223,0.079388,-0.007493,0.374696,0.475096,-0.176167,16.662415,-1.071891,1.183339,0.008085,-0.017133,0.000000,0.048232,-0.037846,-0.000000
0.070000,-3.283535,0.236591,-1.497826,-0.004786,-0.000215,0.006125,0.172797,0.084094,-0.009213,0.539311,0.466776,-0.169502,16.246487,-0.624111,0.179127,0.008563,-0.017596,0.000000,0.047370,-0.054601,0.000000
0.080000,-3.283574,0.236594,-1.497765,-0.003029,0.000649,0.006024,0.178994,0.088736,-0.010913,0.699360,0.462002,-0.172017,15.750889,-0.359697,-0.654978,0.009034,-0.018224,0.000000,0.046861,-0.070866,-0.000000
0.090000,-3.283595,0.236605,-1.497705,-0.001201,0.001560,0.005906,0.186766,0.093340,-0.012678,0.854095,0.459032,-0.182077,15.185240,-0.260418,-1.331792,0.009500,-0.019011,0.000000,0.046527,-0.086564,0.000000
0.100000,-3.283598,0.236625,-1.497647,0.000712,0.002516,0.005770,0.196056,0.097917,-0.014575,1.002867,0.456304,-0.198172,14.559566,-0.308113,-1.864183,0.009964,-0.019953,0.000000,0.046210,-0.101629,0.000000
0.110000,-3.283580,0.236655,-1.497590,0.002725,0.003518,0.005614,0.206802,0.102462,-0.016657,1.145119,0.452440,-0.218922,13.883103,-0.484501,-2.264965,0.010424,-0.021042,0.000000,0.045769,-0.116005,-0.000000
0.120000,-3.283543,0.236695,-1.497535,0.004852,0.004565,0.005436,0.218935,0.106958,-0.018965,1.280393,0.446245,-0.243075,13.165676,-0.771387,-2.546981,0.010879,-0.022271,0.000000,0.045084,-0.129644,-0.000000
0.130000,-3.283483,0.236747,-1.497481,0.007108,0.005657,0.005234,0.232385,0.111376,-0.021526,1.408328,0.436705,-0.269508,12.416935,-1.150553,-2.723081,0.011325,-0.023632,0.000000,0.044052,-0.142509,0.000000
0.140000,-3.283400,0.236809,-1.497430,0.009504,0.006792,0.005005,0.247077,0.115678,-0.024359,1.528659,0.422987,-0.297227,11.646530,-1.603782,-2.806135,0.011758,-0.025119,0.000000,0.042591,-0.154573,0.000000
0.150000,-3.283292,0.236883,-1.497381,0.012053,0.007970,0.004746,0.262932,0.119820,-0.027472,1.641219,0.404443,-0.325364,10.864171,-2.112860,-2.809023,0.012175,-0.026721,0.000000,0.040635,-0.165819,-0.000000
0.160000,-3.283158,0.236968,-1.497335,0.014766,0.009188,0.004454,0.279875,0.123749,-0.030865,1.745940,0.380605,-0.353176,10.079794,-2.659526,-2.744044,0.012569,-0.028432,0.000000,0.038140,-0.176240,0.000000
0.170000,-3.282996,0.237066,-1.497292,0.017654,0.010444,0.004128,0.297825,0.127413,-0.034533,1.842841,0.351188,-0.380060,9.302632,-3.225622,-2.624742,0.012936,-0.030244,0.000000,0.035079,-0.185841,-0.000000
0.180000,-3.282805,0.237177,-1.497253,0.020726,0.011735,0.003763,0.316706,0.130754,-0.038462,1.932049,0.316089,-0.405532,8.542553,-3.792908,-2.463711,0.013269,-0.032147,0.000000,0.031444,-0.194635,0.000000
0.190000,-3.282581,0.237301,-1.497217,0.023991,0.013058,0.003358,0.336441,0.133716,-0.042637,2.013782,0.275387,-0.429239,7.809292,-4.343170,-2.273874,0.013563,-0.034134,0.000000,0.027244,-0.202648,0.000000
0.200000,-3.282324,0.237439,-1.497186,0.027457,0.014408,0.002909,0.356958,0.136244,-0.047040,2.088353,0.229343,-0.450952,7.112167,-4.858161,-2.067611,0.013812,-0.036198,0.000000,0.022510,-0.209912,-0.000000
0.210000,-3.282031,0.237589,-1.497159,0.031133,0.015781,0.002416,0.378245,0.138387,-0.051706,2.169695,0.201461,-0.483449,6.728463,-4.863872,-2.112691,0.014022,-0.038336,0.000000,0.019605,-0.217790,0.000000
0.220000,-3.281701,0.237754,-1.497138,0.035024,0.017174,0.001875,0.400142,0.139936,-0.056522,2.200667,0.094022,-0.471871,1.836110,-12.584543,2.178583,0.014170,-0.040533,0.000000,0.008715,-0.220719,-0.000000
0.230000,-3.281330,0.237933,-1.497122,0.039137,0.018576,0.001286,0.422357,0.140458,-0.061249,2.256171,0.034576,-0.487117,9.345427,0.829798,-5.298390,0.014215,-0.042761,0.000000,0.002660,-0.226012,0.000000
0.240000,-3.280917,0.238126,-1.497112,0.043474,0.019983,0.000648,0.445378,0.140840,-0.066382,2.339908,0.029232,-0.532332,5.022917,-5.960257,-1.473656,0.014245,-0.045065,0.000000,0.002038,-0.233989,0.000000
0.250000,-3.280460,0.238333,-1.497109,0.048046,0.021391,-0.000042,0.468959,0.140725,-0.071717,2.377008,-0.049928,-0.535883,4.780457,-5.808482,-1.500944,0.014224,-0.047422,0.000000,-0.005977,-0.237414,0.000000
0.260000,-3.279956,0.238554,-1.497113,0.052855,0.022795,-0.000786,0.492960,0.139928,-0.077151,2.422607,-0.109726,-0.550763,4.409652,-5.906034,-1.392954,0.014134,-0.049817,0.000000,-0.012039,-0.241624,-0.000000
0.270000,-3.279402,0.238789,-1.497125,0.057907,0.024188,-0.001586,0.517404,0.138547,-0.082722,2.465894,-0.165739,-0.562988,4.188417,-5.523778,-1.131550,0.013985,-0.052254,0.000000,-0.017703,-0.245591,0.000000
0.280000,-3.278797,0.239037,-1.497145,0.063205,0.025564,-0.002441,0.542264,0.136601,-0.088411,2.505120,-0.224985,-0.575061,3.658481,-6.328140,-1.285626,0.013779,-0.054728,0.000000,-0.023680,-0.249129,0.000000
0.290000,-3.278137,0.239300,-1.497174,0.068753,0.026918,-0.003354,0.567493,0.134035,-0.094224,2.540420,-0.287510,-0.587093,3.469113,-5.937910,-1.040422,0.013510,-0.057235,0.000000,-0.029972,-0.252251,0.000000
0.300000,-3.277421,0.239576,-1.497212,0.074556,0.028243,-0.004326,0.593068,0.130870,-0.100143,2.574016,-0.345655,-0.596551,3.188776,-5.921251,-0.931115,0.013181,-0.059773,0.000000,-0.035805,-0.255197,0.000000
0.310000,-3.276645,0.239864,-1.497261,0.080615,0.029533,-0.005357,0.618959,0.127113,-0.106154,2.603769,-0.405644,-0.605442,2.913393,-5.888121,-0.820384,0.012793,-0.062338,0.000000,-0.041808,-0.257742,0.000000
0.320000,-3.275808,0.240166,-1.497320,0.086936,0.030783,-0.006449,0.645147,0.122773,-0.112246,2.633748,-0.461652,-0.612724,2.936053,-5.489476,-0.661053,0.012347,-0.064929,0.000000,-0.047393,-0.260303,0.000000
0.330000,-3.274906,0.240480,-1.497390,0.093519,0.031987,-0.007603,0.671619,0.117874,-0.118406,2.659412,-0.519131,-0.619191,2.193688,-6.008927,-0.633173,0.011845,-0.067543,0.000000,-0.053110,-0.262421,0.000000
0.340000,-3.273936,0.240806,-1.497472,0.100369,0.033139,-0.008818,0.698319,0.112384,-0.124627,2.680655,-0.578151,-0.624880,2.206100,-5.611431,-0.479345,0.011284,-0.070176,0.000000,-0.058964,-0.264086,0.000000
0.350000,-3.272897,0.241143,-1.497566,0.107486,0.034233,-0.010095,0.725236,0.106329,-0.130898,2.702284,-0.632843,-0.628991,1.971576,-5.504786,-0.368420,0.010667,-0.072826,0.000000,-0.064366,-0.265789,0.000000
0.360000,-3.271786,0.241490,-1.497674,0.114874,0.035263,-0.011436,0.752351,0.099724,-0.137204,2.720183,-0.687863,-0.632145,1.737640,-5.384716,-0.256696,0.009996,-0.075491,0.000000,-0.069785,-0.267114,0.000000
0.370000,-3.270599,0.241848,-1.497795,0.122534,0.036225,-0.012840,0.779642,0.092585,-0.143536,2.738234,-0.739460,-0.634072,1.748180,-5.041556,-0.134247,0.009273,-0.078169,0.000000,-0.074844,-0.268453,0.000000
0.380000,-3.269334,0.242214,-1.497931,0.130468,0.037113,-0.014307,0.807102,0.084935,-0.149882,2.752531,-0.790939,-0.634947,1.107556,-5.255589,-0.040978,0.008500,-0.080859,0.000000,-0.079875,-0.269417,0.000000
0.390000,-3.267989,0.242590,-1.498082,0.138676,0.037922,-0.015837,0.834679,0.076765,-0.156232,2.762915,-0.842332,-0.634779,1.095439,-4.911295,0.080354,0.007676,-0.083556,0.000000,-0.084881,-0.269992,0.000000
0.400000,-3.266560,0.242973,-1.498248,0.147162,0.038647,-0.017431,0.862363,0.068102,-0.162573,2.773366,-0.890063,-0.633387,0.869004,-4.742871,0.192334,0.006803,-0.086259,0.000000,-0.089506,-0.270578,-0.000000
0.410000,-3.265044,0.243362,-1.498430,0.155924,0.039283,-0.019089,0.890134,0.058966,-0.168896,2.780401,-0.936984,-0.630836,0.637849,-4.566014,0.306057,0.005886,-0.088966,0.000000,-0.094036,-0.270829,0.000000
0.420000,-3.263440,0.243758,-1.498630,0.164964,0.039825,-0.020809,0.917971,0.049375,-0.175187,2.787037,-0.980674,-0.627372,0.591494,-4.242141,0.398094,0.004924,-0.091676,0.000000,-0.098230,-0.271047,0.000000
0.430000,-3.261744,0.244158,-1.498847,0.174284,0.040269,-0.022592,0.945862,0.039355,-0.181439,2.790176,-1.023303,-0.622636,0.032619,-4.284485,0.549534,0.003921,-0.094386,0.000000,-0.102305,-0.270927,0.000000
0.440000,-3.259954,0.244563,-1.499082,0.183882,0.040611,-0.024438,0.973761,0.028911,-0.187636,2.789642,-1.064889,-0.616610,-0.042078,-3.959131,0.644170,0.002878,-0.097093,0.000000,-0.106265,-0.270456,0.000000
0.450000,-3.258066,0.244970,-1.499336,0.193759,0.040846,-0.026345,1.001654,0.018070,-0.193768,2.788492,-1.103075,-0.609655,-0.287845,-3.749046,0.758299,0.001797,-0.099795,0.000000,-0.109875,-0.269935,-0.000000
0.460000,-3.256078,0.245379,-1.499609,0.203915,0.040971,-0.028313,1.029519,0.006854,-0.199824,2.783951,-1.139741,-0.601373,-0.542467,-3.533013,0.874388,0.000681,-0.102490,0.000000,-0.113324,-0.269096,-0.000000
0.470000,-3.253986,0.245789,-1.499902,0.214349,0.040982,-0.030341,1.057331,-0.004713,-0.205794,2.778346,-1.173254,-0.592387,-0.656152,-3.217065,0.945895,-0.000468,-0.105177,0.000000,-0.116452,-0.268164,0.000000
0.480000,-3.251790,0.246199,-1.500216,0.225061,0.040875,-0.032428,1.085074,-0.016605,-0.211667,2.769199,-1.205079,-0.581971,-1.176977,-3.148393,1.138013,-0.001647,-0.107853,0.000000,-0.119405,-0.266904,0.000000
0.490000,-3.249484,0.246606,-1.500551,0.236050,0.040649,-0.034574,1.112702,-0.028810,-0.217428,2.756330,-1.235222,-0.570095,-1.320670,-2.830306,1.213587,-0.002856,-0.110514,0.000000,-0.122185,-0.265302,0.000000
0.500000,-3.247068,0.247011,-1.500908,0.247315,0.040298,-0.036776,1.140197,-0.041298,-0.223067,2.742098,-1.262082,-0.557497,-1.603595,-2.589522,1.328700,-0.004090,-0.113158,0.000000,-0.124636,-0.263585,-0.000000
0.510000,-3.244537,0.247412,-1.501287,0.258854,0.039822,-0.039035,1.167531,-0.054045,-0.228573,2.724267,-1.286932,-0.543463,-1.896950,-2.344123,1.445020,-0.005348,-0.115784,0.000000,-0.126885,-0.261542,0.000000
0.520000,-3.241890,0.247807,-1.501689,0.270665,0.039217,-0.041347,1.194678,-0.067026,-0.233935,2.704749,-1.308619,-0.528901,-2.073221,-2.026908,1.499144,-0.006626,-0.118389,0.000000,-0.128818,-0.259353,0.000000
0.530000,-3.239123,0.248196,-1.502114,0.282746,0.038481,-0.043713,1.221613,-0.080211,-0.239145,2.681408,-1.328178,-0.512817,-2.598341,-1.885075,1.718321,-0.007923,-0.120970,0.000000,-0.130542,-0.256822,0.000000
0.540000,-3.236234,0.248576,-1.502563,0.295096,0.037612,-0.046130,1.248292,-0.093582,-0.244186,2.654070,-1.345605,-0.495183,-2.804942,-1.564713,1.776228,-0.009237,-0.123524,0.000000,-0.132058,-0.253936,0.000000
0.550000,-3.233220,0.248948,-1.503037,0.307711,0.036608,-0.048596,1.274689,-0.107111,-0.249048,2.624720,-1.359752,-0.477027,-3.131734,-1.298490,1.886651,-0.010563,-0.126049,0.000000,-0.133253,-0.250879,0.000000
0.560000,-3.230079,0.249308,-1.503535,0.320589,0.035469,-0.051110,1.300773,-0.120770,-0.253721,2.591429,-1.371492,-0.457435,-3.469309,-1.027428,1.996624,-0.011901,-0.128541,0.000000,-0.134216,-0.247475,0.000000
0.570000,-3.226807,0.249657,-1.504059,0.333726,0.034193,-0.053670,1.326511,-0.134530,-0.258196,2.555845,-1.380090,-0.437421,-3.705692,-0.711903,2.039301,-0.013247,-0.130998,0.000000,-0.134875,-0.243874,0.000000
0.580000,-3.223403,0.249992,-1.504609,0.347118,0.032778,-0.056273,1.351875,-0.148363,-0.262465,2.516093,-1.386144,-0.415956,-4.247939,-0.498759,2.254196,-0.014598,-0.133418,0.000000,-0.135292,-0.239909,0.000000
0.590000,-3.219864,0.250312,-1.505185,0.360762,0.031225,-0.058918,1.376818,-0.162245,-0.266510,2.472011,-1.389633,-0.393027,-4.512447,-0.177596,2.297060,-0.015952,-0.135795,0.000000,-0.135468,-0.235566,-0.000000
0.600000,-3.216187,0.250616,-1.505787,0.374653,0.029533,-0.061603,1.401308,-0.176145,-0.270324,2.425330,-1.389855,-0.369741,-4.882252,0.113411,2.393314,-0.017306,-0.138129,0.000000,-0.135334,-0.231002,0.000000
0.610000,-3.212370,0.250902,-1.506417,0.388786,0.027702,-0.064324,1.425310,-0.190033,-0.273900,2.374351,-1.387284,-0.345214,-5.261126,0.409834,2.484890,-0.018658,-0.140415,0.000000,-0.134938,-0.226064,-0.000000
