time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-1.488189,0.000000,0.000000,-1.961299,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-1.345599,0.000000,0.000000,-1.811181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875618,0.000000,0.000000,-1.307424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000264,-0.070945,0.000077,-0.000319,-0.072552,0.000007,-0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000327,-0.000085,-0.073780,-0.000284,-0.000008,-0.079080,-0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000188,0.000658,0.000525,-0.139288,-0.000001,0.000000,-0.148793
0.010000,-1.488185,0.000000,0.000000,-1.961298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345596,0.000000,0.000000,-1.811180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875616,0.000000,0.000000,-1.307422,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,-0.070936,0.000079,-0.000316,-0.072552,0.000005,-0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000333,-0.000087,-0.073769,-0.000282,-0.000006,-0.079080,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000183,0.000641,0.000518,-0.139267,-0.000000,-0.000000,-0.148793
0.020000,-1.488181,0.000000,0.000000,-1.961296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345593,0.000000,0.000000,-1.811179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875613,0.000000,0.000000,-1.307420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000266,-0.070927,0.000080,-0.000313,-0.072552,0.000004,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000336,-0.000089,-0.073757,-0.000280,-0.000004,-0.079080,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000181,0.000629,0.000512,-0.139246,0.000000,-0.000001,-0.148792
0.030000,-1.488177,0.000000,0.000000,-1.961295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345589,0.000000,0.000000,-1.811177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875611,0.000000,0.000000,-1.307418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000265,-0.070918,0.000081,-0.000311,-0.072552,0.000003,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000337,-0.000089,-0.073746,-0.000279,-0.000003,-0.079079,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000178,0.000621,0.000508,-0.139225,0.000001,-0.000001,-0.148792
0.040000,-1.488173,0.000000,0.000000,-1.961294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345585,0.000000,0.000000,-1.811176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875608,0.000000,0.000000,-1.307416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000264,-0.070908,0.000081,-0.000309,-0.072552,0.000002,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000337,-0.000089,-0.073734,-0.000277,-0.000003,-0.079079,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000177,0.000614,0.000504,-0.139203,0.000001,-0.000001,-0.148792
0.050000,-1.488169,0.000000,0.000000,-1.961292,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-1.345582,0.000000,0.000000,-1.811174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875605,0.000000,0.000000,-1.307414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000263,-0.070899,0.000081,-0.000306,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000336,-0.000089,-0.073722,-0.000276,-0.000002,-0.079079,0.000008,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000175,0.000609,0.000501,-0.139181,0.000001,-0.000001,-0.148792
0.060000,-1.488165,0.000000,0.000000,-1.961291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345578,0.000000,0.000000,-1.811173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875603,0.000000,0.000000,-1.307412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000262,-0.070889,0.000081,-0.000305,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000334,-0.000089,-0.073710,-0.000274,-0.000002,-0.079079,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000174,0.000605,0.000498,-0.139159,0.000001,-0.000001,-0.148791
0.070000,-1.488160,0.000000,0.000000,-1.961289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345574,0.000000,0.000000,-1.811171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875600,0.000000,0.000000,-1.307410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000261,-0.070879,0.000081,-0.000303,-0.072552,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000332,-0.000089,-0.073698,-0.000273,-0.000002,-0.079079,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000174,0.000601,0.000495,-0.139137,0.000001,-0.000001,-0.148791
0.080000,-1.488156,0.000000,0.000000,-1.961288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345570,0.000000,0.000000,-1.811170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875597,0.000000,0.000000,-1.307408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000259,-0.070869,0.000080,-0.000301,-0.072551,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000330,-0.000088,-0.073686,-0.000271,-0.000002,-0.079079,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000173,0.000597,0.000493,-0.139114,0.000001,-0.000001,-0.148791
0.090000,-1.488151,0.000000,0.000000,-1.961286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.345566,0.000000,0.000000,-1.811168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.875594,0.000000,0.000000,-1.307406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000258,-0.070860,0.000080,-0.000299,-0.072551,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000328,-0.000088,-0.073674,-0.000270,-0.000002,-0.079079,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000172,0.000594,0.000490,-0.139091,0.000001,-0.000001,-0.148790
