time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.022172,-3.007746,0.508312,-0.006314,-0.017141,-0.007091,0.093527,0.195253,0.009812,-0.692623,-1.159112,-0.087030,4.612427,13.856109,3.761135,0.999982,0.003828,-0.004435,-0.001352,0.003056,-0.014660,0.005585
0.010000,0.022114,-3.007908,0.508241,-0.005413,-0.015244,-0.006997,0.086827,0.184348,0.009128,-0.647886,-1.022818,-0.050073,4.337351,13.404606,3.630626,0.999982,0.003827,-0.004463,-0.001334,0.000074,-0.006279,0.003810
0.020000,0.022064,-3.008051,0.508172,-0.004577,-0.013449,-0.006907,0.080560,0.174782,0.008806,-0.605830,-0.890980,-0.014411,4.076073,12.965121,3.502098,0.999982,0.003827,-0.004494,-0.001315,-0.001840,-0.000880,0.002647
0.030000,0.022022,-3.008177,0.508103,-0.003801,-0.011744,-0.006819,0.074701,0.166514,0.008835,-0.566319,-0.763477,0.019976,3.828163,12.537384,3.375545,0.999982,0.003827,-0.004524,-0.001297,-0.003000,0.002414,0.001919
0.040000,0.021988,-3.008287,0.508035,-0.003081,-0.010115,-0.006729,0.069226,0.159499,0.009202,-0.529223,-0.640194,0.053107,3.593195,12.121108,3.250983,0.999982,0.003824,-0.004546,-0.001280,-0.003646,0.004272,0.001491
0.050000,0.021960,-3.008380,0.507969,-0.002415,-0.008550,-0.006634,0.064109,0.153696,0.009893,-0.494414,-0.521016,0.085000,3.370736,11.716139,3.128219,0.999982,0.003816,-0.004553,-0.001267,-0.003959,0.005196,0.001260
0.060000,0.021939,-3.008458,0.507903,-0.001798,-0.007037,-0.006531,0.059330,0.149065,0.010898,-0.461768,-0.405834,0.115677,3.160361,11.322068,3.007451,0.999982,0.003802,-0.004543,-0.001257,-0.004069,0.005550,0.001153
0.070000,0.021924,-3.008521,0.507838,-0.001227,-0.005565,-0.006415,0.054867,0.145566,0.012203,-0.431168,-0.294539,0.145156,2.961641,10.938699,2.888584,0.999982,0.003783,-0.004519,-0.001251,-0.004067,0.005591,0.001116
0.080000,0.021914,-3.008569,0.507775,-0.000700,-0.004122,-0.006286,0.050700,0.143162,0.013797,-0.402498,-0.187025,0.173455,2.774146,10.565827,2.771600,0.999982,0.003761,-0.004487,-0.001246,-0.004015,0.005486,0.001114
0.090000,0.021910,-3.008603,0.507712,-0.000212,-0.002698,-0.006138,0.046811,0.141814,0.015668,-0.375649,-0.083188,0.200594,2.597447,10.203335,2.656474,0.999982,0.003739,-0.004453,-0.001242,-0.003950,0.005342,0.001124
0.100000,0.021910,-3.008623,0.507652,0.000238,-0.001282,-0.005971,0.043182,0.141486,0.017805,-0.350515,0.017065,0.226591,2.431120,9.849934,2.543266,0.999983,0.003718,-0.004423,-0.001237,-0.003892,0.005215,0.001135
0.110000,0.021915,-3.008629,0.507593,0.000652,0.000135,-0.005782,0.039796,0.142143,0.020196,-0.326993,0.113840,0.251466,2.274731,9.506599,2.431869,0.999983,0.003699,-0.004397,-0.001231,-0.003849,0.005129,0.001139
0.120000,0.021923,-3.008620,0.507536,0.001034,0.001564,-0.005567,0.036637,0.143751,0.022830,-0.304988,0.207228,0.275235,2.127853,9.172611,2.322302,0.999983,0.003679,-0.004372,-0.001225,-0.003822,0.005088,0.001137
0.130000,0.021935,-3.008597,0.507482,0.001386,0.003013,-0.005324,0.033691,0.146277,0.025697,-0.284406,0.297322,0.297918,1.990058,8.847702,2.214553,0.999983,0.003660,-0.004346,-0.001220,-0.003809,0.005081,0.001128
0.140000,0.021951,-3.008560,0.507430,0.001709,0.004492,-0.005052,0.030944,0.149687,0.028785,-0.265158,0.384211,0.319532,1.860916,8.531551,2.108612,0.999983,0.003641,-0.004320,-0.001214,-0.003802,0.005095,0.001116
0.150000,0.021969,-3.008507,0.507381,0.002005,0.006010,-0.004748,0.028384,0.153951,0.032084,-0.247160,0.467981,0.340096,1.739998,8.223679,2.004467,0.999983,0.003622,-0.004294,-0.001209,-0.003797,0.005112,0.001103
0.160000,0.021991,-3.008440,0.507335,0.002277,0.007574,-0.004410,0.025997,0.159037,0.035584,-0.230332,0.548719,0.359626,1.626882,7.924727,1.902030,0.999984,0.003603,-0.004269,-0.001203,-0.003789,0.005122,0.001091
0.170000,0.022015,-3.008356,0.507293,0.002526,0.009193,-0.004035,0.023773,0.164915,0.039273,-0.214598,0.626503,0.378142,1.521131,7.633427,1.801390,0.999984,0.003584,-0.004243,-0.001198,-0.003776,0.005117,0.001083
0.180000,0.022041,-3.008256,0.507255,0.002753,0.010875,-0.003623,0.021702,0.171557,0.043143,-0.199886,0.701413,0.395660,1.422319,7.349791,1.702496,0.999984,0.003565,-0.004218,-0.001192,-0.003757,0.005095,0.001077
0.190000,0.022070,-3.008138,0.507220,0.002960,0.012627,-0.003172,0.019772,0.178934,0.047183,-0.186130,0.773523,0.412198,1.330018,7.073365,1.605346,0.999984,0.003547,-0.004193,-0.001187,-0.003732,0.005058,0.001075
0.200000,0.022100,-3.008003,0.507191,0.003149,0.014456,-0.002679,0.017976,0.187019,0.051384,-0.173266,0.842914,0.427772,1.243801,6.804924,1.509851,0.999984,0.003528,-0.004168,-0.001181,-0.003704,0.005012,0.001074
0.210000,0.022133,-3.007849,0.507167,0.003320,0.016369,-0.002144,0.016304,0.195783,0.055736,-0.161357,0.909594,0.442398,1.160828,6.541928,1.416033,0.999985,0.003510,-0.004143,-0.001176,-0.003686,0.004993,0.001068
0.220000,0.022167,-3.007675,0.507148,0.003475,0.018374,-0.001564,0.014748,0.205203,0.060229,-0.149830,0.973863,0.456102,1.124214,6.303565,1.324766,0.999985,0.003491,-0.004118,-0.001171,-0.003668,0.004973,0.001062
0.230000,0.022202,-3.007481,0.507136,0.003615,0.020475,-0.000939,0.013304,0.215252,0.064855,-0.139303,1.035492,0.468889,0.981224,6.023086,1.232821,0.999985,0.003473,-0.004093,-0.001165,-0.003650,0.004954,0.001057
