time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.149602,-0.067919,0.986411,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.747833
0.010000,-0.149602,-0.067917,0.986411,-0.000004,0.000001,-0.000002,-0.000855,0.000014,-0.000690,0.747833
0.020000,-0.149602,-0.067916,0.986411,-0.000029,-0.000004,-0.000024,-0.004499,-0.000905,-0.003831,0.747865
0.030000,-0.149603,-0.067915,0.986411,-0.000103,-0.000022,-0.000088,-0.010644,-0.002531,-0.009152,0.747922
0.040000,-0.149603,-0.067913,0.986411,-0.000249,-0.000059,-0.000215,-0.019007,-0.004673,-0.016406,0.747999
0.050000,-0.149604,-0.067912,0.986411,-0.000489,-0.000120,-0.000423,-0.029317,-0.007172,-0.025366,0.748092
0.060000,-0.149609,-0.067892,0.986412,-0.000840,-0.000206,-0.000728,-0.041312,-0.009893,-0.035823,0.748198
0.070000,-0.149614,-0.067872,0.986412,-0.001320,-0.000319,-0.001145,-0.054744,-0.012726,-0.047590,0.748316
0.080000,-0.149619,-0.067853,0.986413,-0.001940,-0.000461,-0.001685,-0.069380,-0.015579,-0.060494,0.748444
0.090000,-0.149624,-0.067833,0.986413,-0.002712,-0.000632,-0.002359,-0.085002,-0.018376,-0.074379,0.748581
0.100000,-0.149629,-0.067813,0.986414,-0.003645,-0.000829,-0.003176,-0.101407,-0.021057,-0.089103,0.748727
0.110000,-0.149648,-0.067736,0.986416,-0.004744,-0.001052,-0.004144,-0.118409,-0.023570,-0.104538,0.748883
0.120000,-0.149666,-0.067659,0.986419,-0.006016,-0.001300,-0.005270,-0.135838,-0.025877,-0.120569,0.749049
0.130000,-0.149685,-0.067582,0.986421,-0.007463,-0.001570,-0.006558,-0.153540,-0.027945,-0.137091,0.749224
0.140000,-0.149703,-0.067505,0.986424,-0.009088,-0.001858,-0.008013,-0.171377,-0.029748,-0.154010,0.749408
0.150000,-0.149722,-0.067428,0.986426,-0.010891,-0.002164,-0.009640,-0.189224,-0.031266,-0.171243,0.749603
0.160000,-0.149756,-0.067271,0.986432,-0.012873,-0.002483,-0.011440,-0.206973,-0.032483,-0.188713,0.749808
0.170000,-0.149785,-0.067142,0.986436,-0.015031,-0.002813,-0.013415,-0.224528,-0.033387,-0.206353,0.750022
0.180000,-0.149816,-0.066999,0.986441,-0.017363,-0.003150,-0.015567,-0.241804,-0.033969,-0.224104,0.750247
0.190000,-0.149858,-0.066803,0.986448,-0.019866,-0.003491,-0.017898,-0.258731,-0.034223,-0.241910,0.750481
0.200000,-0.149918,-0.066511,0.986459,-0.022537,-0.003833,-0.020406,-0.275245,-0.034145,-0.259726,0.750724
0.210000,-0.149960,-0.066297,0.986467,-0.025370,-0.004173,-0.023092,-0.291296,-0.033731,-0.277507,0.750976
0.220000,-0.150017,-0.066004,0.986478,-0.028362,-0.004507,-0.025956,-0.306837,-0.032984,-0.295217,0.751236
0.230000,-0.150086,-0.065649,0.986491,-0.031506,-0.004832,-0.028997,-0.321828,-0.031906,-0.312822,0.751505
0.240000,-0.150161,-0.065249,0.986506,-0.034797,-0.005144,-0.032213,-0.336237,-0.030501,-0.330292,0.751781
0.250000,-0.150238,-0.064820,0.986523,-0.038229,-0.005441,-0.035602,-0.350037,-0.028775,-0.347601,0.752064
0.260000,-0.150318,-0.064366,0.986540,-0.041796,-0.005719,-0.039164,-0.363210,-0.026734,-0.364727,0.752354
0.270000,-0.150402,-0.063875,0.986559,-0.045491,-0.005975,-0.042896,-0.375736,-0.024385,-0.381649,0.752650
0.280000,-0.150491,-0.063343,0.986580,-0.049308,-0.006206,-0.046797,-0.387604,-0.021739,-0.398349,0.752952
0.290000,-0.150584,-0.062765,0.986603,-0.053241,-0.006409,-0.050863,-0.398804,-0.018804,-0.414813,0.753260
0.300000,-0.150680,-0.062138,0.986628,-0.057282,-0.006581,-0.055092,-0.409331,-0.015593,-0.431027,0.753572
0.310000,-0.150781,-0.061464,0.986655,-0.061426,-0.006720,-0.059482,-0.419181,-0.012115,-0.446979,0.753889
0.320000,-0.150886,-0.060744,0.986683,-0.065664,-0.006822,-0.064031,-0.428353,-0.008383,-0.462661,0.754210
0.330000,-0.150995,-0.059977,0.986713,-0.069991,-0.006886,-0.068735,-0.436849,-0.004411,-0.478063,0.754535
0.340000,-0.151105,-0.059159,0.986746,-0.074399,-0.006910,-0.073591,-0.444670,-0.000213,-0.493178,0.754863
0.350000,-0.151217,-0.058286,0.986781,-0.078882,-0.006890,-0.078597,-0.451822,0.004199,-0.508000,0.755194
0.360000,-0.151331,-0.057360,0.986817,-0.083433,-0.006825,-0.083750,-0.458308,0.008809,-0.522526,0.755527
0.370000,-0.151448,-0.056384,0.986856,-0.088046,-0.006713,-0.089047,-0.464137,0.013603,-0.536749,0.755863
0.380000,-0.151565,-0.055355,0.986896,-0.092714,-0.006553,-0.094484,-0.469315,0.018564,-0.550668,0.756200
0.390000,-0.151683,-0.054270,0.986938,-0.097430,-0.006341,-0.100059,-0.473849,0.023676,-0.564279,0.756539
0.400000,-0.151798,-0.053128,0.986983,-0.102189,-0.006079,-0.105769,-0.477748,0.028924,-0.577581,0.756879
0.410000,-0.151912,-0.051929,0.987029,-0.106983,-0.005763,-0.111610,-0.481019,0.034291,-0.590572,0.757219
0.420000,-0.152027,-0.050675,0.987076,-0.111807,-0.005392,-0.117579,-0.483672,0.039760,-0.603251,0.757560
0.430000,-0.152140,-0.049365,0.987125,-0.116654,-0.004967,-0.123674,-0.485715,0.045313,-0.615618,0.757902
0.440000,-0.152249,-0.047997,0.987176,-0.121519,-0.004486,-0.129891,-0.487155,0.050934,-0.627672,0.758242
0.450000,-0.152352,-0.046571,0.987228,-0.126395,-0.003948,-0.136226,-0.488002,0.056603,-0.639413,0.758583
0.460000,-0.152451,-0.045086,0.987282,-0.131277,-0.003354,-0.142678,-0.488263,0.062304,-0.650841,0.758922
0.470000,-0.152546,-0.043543,0.987337,-0.136159,-0.002702,-0.149242,-0.487945,0.068019,-0.661957,0.759260
0.480000,-0.152636,-0.041942,0.987392,-0.141034,-0.001993,-0.155916,-0.487055,0.073728,-0.672761,0.759596
0.490000,-0.152718,-0.040282,0.987448,-0.145898,-0.001228,-0.162696,-0.485600,0.079413,-0.683254,0.759931
