time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-2.999705,-0.688143,-1.391250,-0.021482,-0.005238,0.012027,1.031692,-0.275421,-0.244499,-16.506133,4.517678,7.331583,298.524103,-57.212386,-172.658181,-0.027243,-0.102252,0.000000,0.422453,1.549944,-0.000000
0.010000,-2.999871,-0.688209,-1.391141,-0.011942,-0.007776,0.009921,0.880973,-0.232996,-0.179369,-13.694907,3.977834,5.737935,264.198123,-50.844312,-146.532309,-0.023230,-0.087963,0.000000,0.380431,1.309748,0.000000
0.020000,-2.999948,-0.688297,-1.391050,-0.003774,-0.009915,0.008391,0.756697,-0.195661,-0.128915,-11.212838,3.499072,4.391955,232.672056,-44.992348,-123.100995,-0.019627,-0.075988,0.000000,0.340610,1.088014,0.000000
0.030000,-2.999950,-0.688406,-1.390972,0.003270,-0.011704,0.007302,0.655711,-0.162828,-0.090792,-9.032544,3.076341,3.267404,203.822604,-39.634142,-102.222989,-0.016409,-0.066132,0.000000,0.303577,0.886441,0.000000
0.040000,-2.999886,-0.688530,-1.390903,0.009408,-0.013185,0.006541,0.575128,-0.133963,-0.062912,-7.127875,2.704817,2.339455,177.526409,-34.747322,-83.756965,-0.013545,-0.058187,0.000000,0.269684,0.705700,0.000000
0.050000,-2.999764,-0.688668,-1.390840,0.014832,-0.014395,0.006016,0.512318,-0.108577,-0.043426,-5.473916,2.379896,1.584690,153.660208,-30.309778,-67.562321,-0.011004,-0.051947,0.000000,0.239093,0.545664,-0.000000
0.060000,-2.999591,-0.688817,-1.390782,0.019706,-0.015366,0.005650,0.464893,-0.086225,-0.030714,-4.046982,2.097199,0.981108,132.100725,-26.298895,-53.497127,-0.008752,-0.047207,0.000000,0.211821,0.405618,-0.000000
0.070000,-2.999372,-0.688975,-1.390727,0.024174,-0.016128,0.005383,0.430696,-0.066506,-0.023368,-2.824624,1.852570,0.508119,112.724623,-22.692435,-41.420425,-0.006757,-0.043771,0.000000,0.187774,0.284433,-0.000000
0.080000,-2.999109,-0.689139,-1.390674,0.028357,-0.016704,0.005169,0.407789,-0.049059,-0.020180,-1.785623,1.642076,0.146542,95.408559,-19.468047,-31.191009,-0.004986,-0.041460,0.000000,0.166785,0.180715,-0.000000
0.090000,-2.998805,-0.689309,-1.390623,0.032361,-0.017116,0.004969,0.394439,-0.033563,-0.020126,-0.909997,1.462010,-0.121388,80.029174,-16.603359,-22.667691,-0.003412,-0.040104,0.000000,0.148636,0.092918,0.000000
0.100000,-2.998462,-0.689481,-1.390575,0.036273,-0.017381,0.004759,0.389107,-0.019729,-0.022351,-0.178989,1.308883,-0.312026,66.463743,-14.076225,-15.709116,-0.002005,-0.039554,0.000000,0.133077,0.019429,-0.000000
0.110000,-2.998080,-0.689656,-1.390528,0.040166,-0.017515,0.004517,0.390436,-0.007306,-0.026159,0.424914,1.179434,-0.440316,54.588227,-11.864083,-10.174232,-0.000742,-0.039673,0.000000,0.119848,-0.041357,0.000000
0.120000,-2.997658,-0.689831,-1.390484,0.044100,-0.017531,0.004232,0.397236,0.003928,-0.030994,0.917999,1.070625,-0.519786,44.279610,-9.944675,-5.921772,0.000399,-0.040344,0.000000,0.108681,-0.091003,-0.000000
0.130000,-2.997197,-0.690006,-1.390444,0.048125,-0.017440,0.003895,0.408477,0.014166,-0.036432,1.315318,0.979640,-0.562555,35.414624,-8.295660,-2.810532,0.001437,-0.041461,0.000000,0.099316,-0.130988,0.000000
0.140000,-2.996695,-0.690180,-1.390407,0.052281,-0.017250,0.003502,0.423270,0.023572,-0.042159,1.630693,0.903885,-0.579330,27.870066,-6.894688,-0.699306,0.002390,-0.042936,0.000000,0.091503,-0.162689,-0.000000
0.150000,-2.996151,-0.690351,-1.390374,0.056600,-0.016971,0.003052,0.440860,0.032286,-0.047963,1.876711,0.840994,-0.579404,21.522836,-5.719407,0.553137,0.003272,-0.044691,0.000000,0.085005,-0.187371,0.000000
