time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.026371,-0.747069,-1.357495,-0.017098,-0.006344,0.011033,0.169178,-0.054497,-0.097135,7.948152,-2.511973,-3.456624,-41.326364,19.263987,124.152077,-0.005500,-0.017075,0.000000,-0.251514,-0.796063,0.000000
0.010000,-3.026542,-0.747132,-1.357385,-0.015406,-0.006889,0.010062,0.248659,-0.079617,-0.131702,7.534889,-2.319334,-2.215103,-251.577265,89.810611,258.138219,-0.008006,-0.025007,0.000000,-0.231271,-0.751840,-0.000000
0.020000,-3.026679,-0.747207,-1.357294,-0.012125,-0.007936,0.008399,0.319876,-0.100884,-0.141438,2.916607,-0.715761,1.706140,-424.138607,147.224962,303.592861,-0.010132,-0.032133,0.000000,-0.073521,-0.298271,-0.000000
0.030000,-3.026784,-0.747291,-1.357217,-0.009009,-0.008906,0.007233,0.306991,-0.093932,-0.097579,-0.947883,0.625166,3.856754,-161.472281,60.560293,59.421653,-0.009476,-0.030976,0.000000,0.059351,0.083527,0.000000
0.040000,-3.026859,-0.747385,-1.357149,-0.005985,-0.009815,0.006448,0.300918,-0.088381,-0.064302,-0.312838,0.495445,2.894573,59.119962,-11.989397,-87.213826,-0.008946,-0.030465,0.000000,0.047519,0.022727,-0.000000
0.050000,-3.026904,-0.747487,-1.357088,-0.002990,-0.010674,0.005947,0.300735,-0.084023,-0.039687,0.234516,0.385378,2.112477,50.772525,-10.114241,-70.366913,-0.008526,-0.030523,0.000000,0.037284,-0.030328,0.000000
0.060000,-3.026919,-0.747598,-1.357030,0.000030,-0.011495,0.005654,0.305608,-0.080673,-0.022053,0.702612,0.293160,1.487235,43.245529,-8.414863,-55.767905,-0.008201,-0.031073,0.000000,0.028579,-0.076087,0.000000
0.070000,-3.026903,-0.747717,-1.356975,0.003122,-0.012287,0.005506,0.314787,-0.078160,-0.009943,1.099426,0.217081,0.997119,36.493367,-6.881807,-43.266394,-0.007955,-0.032045,0.000000,0.021315,-0.115092,0.000000
0.080000,-3.026857,-0.747844,-1.356920,0.006326,-0.013058,0.005455,0.327597,-0.076332,-0.002111,1.432479,0.155524,0.621907,30.470398,-5.505623,-32.711939,-0.007775,-0.033375,0.000000,0.015386,-0.147938,0.000000
0.090000,-3.026777,-0.747979,-1.356866,0.009674,-0.013814,0.005464,0.343437,-0.075050,0.002495,1.708834,0.106968,0.342880,25.131029,-4.276856,-23.954121,-0.007647,-0.035003,0.000000,0.010679,-0.175242,0.000000
0.100000,-3.026663,-0.748120,-1.356811,0.013194,-0.014559,0.005505,0.361773,-0.074192,0.004747,1.935100,0.069987,0.142825,20.429684,-3.186052,-16.842526,-0.007561,-0.036879,0.000000,0.007077,-0.197616,0.000000
0.110000,-3.026513,-0.748270,-1.356755,0.016909,-0.015298,0.005559,0.382139,-0.073650,0.005352,2.117428,0.043247,0.006030,16.320714,-2.223755,-11.226734,-0.007506,-0.038956,0.000000,0.004466,-0.215652,0.000000
0.120000,-3.026325,-0.748426,-1.356700,0.020837,-0.016032,0.005612,0.404122,-0.073327,0.004868,2.261514,0.025512,-0.081710,12.758522,-1.380516,-6.956323,-0.007472,-0.041192,0.000000,0.002733,-0.229906,0.000000
0.130000,-3.026096,-0.748590,-1.356643,0.024992,-0.016764,0.005656,0.427369,-0.073140,0.003718,2.372599,0.015637,-0.133097,9.697521,-0.646881,-3.880875,-0.007451,-0.043554,0.000000,0.001772,-0.240891,0.000000
0.140000,-3.025825,-0.748762,-1.356586,0.029384,-0.017495,0.005686,0.451574,-0.073014,0.002206,2.455465,0.012574,-0.159327,7.092023,-0.013386,-1.849974,-0.007437,-0.046010,0.000000,0.001487,-0.249076,0.000000
0.150000,-3.025509,-0.748940,-1.356529,0.034023,-0.018225,0.005700,0.476478,-0.072888,0.000531,2.514439,0.015369,-0.170096,4.896473,0.529420,-0.713195,-0.007422,-0.048535,0.000000,0.001785,-0.254877,0.000000
0.160000,-3.025145,-0.749126,-1.356472,0.038914,-0.018953,0.005697,0.501863,-0.072707,-0.001196,2.553394,0.023162,-0.173591,3.065346,0.990973,-0.320110,-0.007401,-0.051108,0.000000,0.002586,-0.258664,0.000000
0.170000,-3.024730,-0.749319,-1.356416,0.044061,-0.019679,0.005676,0.527546,-0.072425,-0.002941,2.575746,0.035188,-0.176498,1.547630,1.381899,-0.496854,-0.007370,-0.053709,0.000000,0.003816,-0.260757,0.000000
0.180000,-3.024263,-0.749520,-1.356359,0.049465,-0.020401,0.005638,0.553378,-0.072003,-0.004726,2.584347,0.050800,-0.183528,0.205233,1.731914,-0.683216,-0.007324,-0.056323,0.000000,0.005412,-0.261421,0.000000
