time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-1.490043,0.000000,0.000000,-1.963840,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-1.341057,0.000000,0.000000,-1.807038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877337,0.000000,0.000000,-1.309187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000289,-0.077491,0.000084,-0.000350,-0.079193,0.000008,-0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000300,-0.000078,-0.067604,-0.000261,-0.000007,-0.072462,-0.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000188,0.000661,0.000523,-0.139421,0.000002,-0.000000,-0.148807
0.010000,-1.490039,0.000000,0.000000,-1.963839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341054,0.000000,0.000000,-1.807036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877334,0.000000,0.000000,-1.309185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000290,-0.077481,0.000087,-0.000346,-0.079193,0.000006,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000305,-0.000080,-0.067593,-0.000259,-0.000005,-0.072462,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000183,0.000646,0.000515,-0.139400,0.000001,0.000000,-0.148807
0.020000,-1.490035,0.000000,0.000000,-1.963837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341050,0.000000,0.000000,-1.807035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877332,0.000000,0.000000,-1.309183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000290,-0.077471,0.000088,-0.000344,-0.079193,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000308,-0.000081,-0.067583,-0.000257,-0.000004,-0.072462,0.000005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000180,0.000636,0.000509,-0.139378,-0.000000,0.000000,-0.148807
0.030000,-1.490031,0.000000,0.000000,-1.963836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341047,0.000000,0.000000,-1.807033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877329,0.000000,0.000000,-1.309181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000290,-0.077461,0.000088,-0.000341,-0.079193,0.000003,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000309,-0.000082,-0.067572,-0.000255,-0.000003,-0.072462,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000178,0.000628,0.000505,-0.139357,-0.000000,0.000000,-0.148806
0.040000,-1.490027,0.000000,0.000000,-1.963834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341043,0.000000,0.000000,-1.807032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877327,0.000000,0.000000,-1.309179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000289,-0.077451,0.000088,-0.000339,-0.079193,0.000003,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000309,-0.000082,-0.067561,-0.000254,-0.000002,-0.072462,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000177,0.000622,0.000501,-0.139335,-0.000001,0.000000,-0.148806
0.050000,-1.490023,0.000000,0.000000,-1.963833,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-1.341039,0.000000,0.000000,-1.807031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877324,0.000000,0.000000,-1.309177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000288,-0.077441,0.000088,-0.000337,-0.079192,0.000002,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000308,-0.000082,-0.067550,-0.000252,-0.000002,-0.072462,0.000008,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000175,0.000618,0.000498,-0.139314,-0.000001,0.000000,-0.148806
0.060000,-1.490019,0.000000,0.000000,-1.963831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341036,0.000000,0.000000,-1.807029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877322,0.000000,0.000000,-1.309175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000286,-0.077430,0.000088,-0.000335,-0.079192,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000307,-0.000081,-0.067539,-0.000251,-0.000002,-0.072461,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000174,0.000614,0.000494,-0.139291,-0.000001,0.000000,-0.148806
0.070000,-1.490014,0.000000,0.000000,-1.963830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341032,0.000000,0.000000,-1.807028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877319,0.000000,0.000000,-1.309173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000285,-0.077419,0.000088,-0.000334,-0.079192,0.000002,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000305,-0.000081,-0.067528,-0.000250,-0.000002,-0.072461,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000173,0.000611,0.000492,-0.139269,-0.000001,0.000000,-0.148805
0.080000,-1.490010,0.000000,0.000000,-1.963828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341028,0.000000,0.000000,-1.807026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877316,0.000000,0.000000,-1.309171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000283,-0.077409,0.000087,-0.000332,-0.079192,0.000002,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000304,-0.000081,-0.067517,-0.000248,-0.000002,-0.072461,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000173,0.000608,0.000489,-0.139247,-0.000001,0.000000,-0.148805
0.090000,-1.490005,0.000000,0.000000,-1.963827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.341024,0.000000,0.000000,-1.807024,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.877313,0.000000,0.000000,-1.309169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000281,-0.077398,0.000087,-0.000330,-0.079192,0.000002,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000302,-0.000080,-0.067506,-0.000247,-0.000002,-0.072461,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000172,0.000605,0.000486,-0.139224,-0.000001,0.000000,-0.148805
