time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.022172,-3.007746,0.508312,-0.005270,-0.019924,-0.007092,-0.274233,0.985812,0.010135,4.501221,-15.042074,-0.089795,-60.861895,201.629703,3.840520,0.999982,0.003828,-0.004435,-0.001352,0.003056,-0.014660,0.005585
0.010000,0.022107,-3.007899,0.508241,-0.007798,-0.010785,-0.006994,-0.232154,0.845135,0.009427,3.925322,-13.126355,-0.052100,-54.404047,181.767135,3.698906,0.999982,0.003826,-0.004466,-0.001334,-0.000125,-0.006902,0.003794
0.020000,0.022018,-3.007966,0.508172,-0.009932,-0.002961,-0.006902,-0.195520,0.722648,0.009089,3.411454,-11.401771,-0.015806,-48.452000,163.392539,3.560306,0.999982,0.003825,-0.004501,-0.001315,-0.002167,-0.001913,0.002627
0.030000,0.021909,-3.007962,0.508103,-0.011724,0.003722,-0.006811,-0.163735,0.616511,0.009106,2.954668,-9.853750,0.019116,-42.984225,146.444276,3.424660,0.999982,0.003824,-0.004534,-0.001297,-0.003404,0.001122,0.001902
0.040000,0.021784,-3.007895,0.508036,-0.013221,0.009419,-0.006719,-0.136252,0.525031,0.009467,2.550227,-8.468337,0.052696,-37.979192,130.860634,3.291921,0.999981,0.003820,-0.004560,-0.001280,-0.004093,0.002827,0.001481
0.050000,0.021646,-3.007776,0.507969,-0.014462,0.014267,-0.006621,-0.112571,0.446647,0.010156,2.193613,-7.232179,0.084963,-33.415373,116.581414,3.161932,0.999981,0.003810,-0.004573,-0.001267,-0.004427,0.003668,0.001258
0.060000,0.021496,-3.007612,0.507903,-0.015483,0.018390,-0.006514,-0.092235,0.379932,0.011162,1.880521,-6.132564,0.115944,-29.271237,103.543377,3.034735,0.999982,0.003794,-0.004569,-0.001257,-0.004544,0.003984,0.001159
0.070000,0.021336,-3.007410,0.507839,-0.016316,0.021900,-0.006396,-0.074829,0.323581,0.012471,1.606861,-5.157377,0.145667,-25.525255,91.685611,2.910231,0.999982,0.003773,-0.004552,-0.001251,-0.004542,0.004012,0.001128
0.080000,0.021170,-3.007176,0.507775,-0.016988,0.024893,-0.006264,-0.059979,0.276408,0.014071,1.368760,-4.295123,0.174157,-22.155899,80.946604,2.788363,0.999982,0.003749,-0.004529,-0.001246,-0.004486,0.003910,0.001132
0.090000,0.020997,-3.006914,0.507714,-0.017523,0.027455,-0.006114,-0.047347,0.237339,0.015950,1.162560,-3.534921,0.201443,-19.141639,71.264878,2.669073,0.999982,0.003724,-0.004503,-0.001242,-0.004416,0.003773,0.001146
0.100000,0.020820,-3.006628,0.507653,-0.017942,0.029663,-0.005944,-0.036633,0.205404,0.018096,0.984816,-2.866512,0.227546,-16.460942,62.578338,2.552188,0.999982,0.003701,-0.004481,-0.001237,-0.004353,0.003655,0.001159
0.110000,0.020639,-3.006322,0.507595,-0.018261,0.031584,-0.005751,-0.027567,0.179735,0.020497,0.832301,-2.280243,0.252494,-14.092283,54.826114,2.437787,0.999983,0.003679,-0.004463,-0.001231,-0.004306,0.003576,0.001165
0.120000,0.020455,-3.005997,0.507538,-0.018498,0.033276,-0.005533,-0.019913,0.159555,0.023142,0.702002,-1.767081,0.276310,-12.014131,47.946404,2.325753,0.999983,0.003657,-0.004445,-0.001225,-0.004277,0.003541,0.001163
0.130000,0.020269,-3.005657,0.507484,-0.018664,0.034791,-0.005288,-0.013462,0.144177,0.026019,0.591121,-1.318611,0.299017,-10.204957,41.877682,2.216032,0.999983,0.003636,-0.004427,-0.001219,-0.004262,0.003537,0.001155
0.140000,0.020082,-3.005302,0.507433,-0.018770,0.036174,-0.005012,-0.008034,0.132993,0.029118,0.497078,-0.927029,0.320638,-8.643232,36.558495,2.108590,0.999983,0.003614,-0.004409,-0.001214,-0.004254,0.003553,0.001142
0.150000,0.019894,-3.004933,0.507384,-0.018827,0.037463,-0.004705,-0.003473,0.125471,0.032429,0.417504,-0.585147,0.341196,-7.307425,31.927541,2.003432,0.999983,0.003593,-0.004391,-0.001208,-0.004248,0.003572,0.001129
0.160000,0.019705,-3.004553,0.507339,-0.018842,0.038694,-0.004363,0.000357,0.121147,0.035939,0.350248,-0.286404,0.360708,-6.176008,27.921783,1.899956,0.999983,0.003572,-0.004373,-0.001203,-0.004239,0.003585,0.001117
0.170000,0.019517,-3.004160,0.507297,-0.018822,0.039895,-0.003985,0.003567,0.119619,0.039639,0.293374,-0.024833,0.379200,-5.227451,24.481424,1.798767,0.999983,0.003551,-0.004355,-0.001197,-0.004224,0.003583,0.001109
0.180000,0.019329,-3.003755,0.507259,-0.018773,0.041094,-0.003570,0.006253,0.120544,0.043520,0.245161,0.204902,0.396690,-4.440225,21.544216,1.699541,0.999984,0.003530,-0.004337,-0.001191,-0.004202,0.003564,0.001104
0.190000,0.019142,-3.003338,0.507226,-0.018699,0.042313,-0.003114,0.008494,0.123627,0.047570,0.204104,0.407523,0.413197,-3.792800,19.048416,1.602198,0.999984,0.003509,-0.004320,-0.001186,-0.004175,0.003532,0.001102
0.200000,0.018955,-3.002908,0.507197,-0.018604,0.043573,-0.002618,0.010355,0.128618,0.051780,0.168911,0.587146,0.428741,-3.263646,16.933549,1.506808,0.999984,0.003488,-0.004302,-0.001180,-0.004145,0.003492,0.001101
0.210000,0.018770,-3.002466,0.507173,-0.018493,0.044891,-0.002078,0.011940,0.135168,0.056141,0.150312,0.715894,0.443298,-2.597892,14.516814,1.412305,0.999984,0.003467,-0.004285,-0.001175,-0.004125,0.003476,0.001096
0.220000,0.018585,-3.002010,0.507155,-0.018366,0.046282,-0.001494,0.013209,0.143319,0.060644,0.097105,0.930411,0.457063,-5.993425,22.948224,1.333704,0.999984,0.003447,-0.004268,-0.001170,-0.004105,0.003460,0.001091
0.230000,0.018402,-3.001540,0.507144,-0.018230,0.047764,-0.000865,0.013996,0.153454,0.065279,0.073525,1.060568,0.469823,1.330591,2.950266,1.218411,0.999984,0.003426,-0.004250,-0.001164,-0.004085,0.003444,0.001085
0.240000,0.018221,-3.001055,0.507138,-0.018086,0.049352,-0.000188,0.014802,0.164188,0.070037,0.081763,1.101050,0.481585,-1.775763,10.714521,1.141698,0.999985,0.003406,-0.004233,-0.001159,-0.004065,0.003429,0.001080
0.250000,0.018041,-3.000553,0.507140,-0.017935,0.051051,0.000536,0.015480,0.175862,0.074908,0.055522,1.228477,0.492600,-1.403799,9.281284,1.054123,0.999985,0.003386,-0.004216,-0.001153,-0.004045,0.003413,0.001075
0.260000,0.017862,-3.000033,0.507149,-0.017777,0.052873,0.001310,0.015993,0.188524,0.079886,0.048137,1.300320,0.502701,-1.097515,8.037736,0.968431,0.999985,0.003366,-0.004199,-0.001148,-0.004025,0.003397,0.001070
0.270000,0.017685,-2.999495,0.507166,-0.017615,0.054825,0.002134,0.016369,0.202067,0.084960,0.024082,1.416618,0.511993,-2.732805,12.405859,0.888224,0.999985,0.003345,-0.004182,-0.001143,-0.004006,0.003382,0.001065
0.280000,0.017510,-2.998936,0.507192,-0.017451,0.056918,0.003010,0.016529,0.216689,0.090123,0.014088,1.489257,0.520429,0.759590,2.052567,0.799210,0.999985,0.003325,-0.004165,-0.001137,-0.003987,0.003366,0.001059
0.290000,0.017336,-2.998356,0.507227,-0.017284,0.059160,0.003937,0.016709,0.231675,0.095366,0.019211,1.515448,0.528023,-0.735817,6.067599,0.721799,0.999985,0.003306,-0.004148,-0.001132,-0.003967,0.003351,0.001054
0.300000,0.017164,-2.997753,0.507271,-0.017117,0.061553,0.004917,0.016840,0.247198,0.100681,0.007750,1.586584,0.534853,-0.566891,5.317551,0.642478,0.999985,0.003286,-0.004132,-0.001127,-0.003948,0.003335,0.001049
0.310000,0.016994,-2.997124,0.507325,-0.016948,0.064105,0.005951,0.016903,0.263285,0.106060,0.005243,1.628875,0.540892,-0.428235,4.663139,0.565154,0.999986,0.003266,-0.004115,-0.001122,-0.003929,0.003320,0.001044
0.320000,0.016825,-2.996470,0.507390,-0.016779,0.066821,0.007039,0.016910,0.279878,0.111496,-0.005387,1.693983,0.546163,-1.224693,6.903745,0.489378,0.999986,0.003246,-0.004098,-0.001117,-0.003910,0.003305,0.001039
