time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.170825,-0.150933,0.973672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.364360
0.010000,0.170825,-0.150931,0.973673,-0.000005,-0.000001,0.000002,-0.001203,-0.000093,0.000629,1.364375
0.020000,0.170825,-0.150929,0.973673,-0.000046,0.000000,0.000019,-0.007487,0.000317,0.003044,1.364131
0.030000,0.170826,-0.150927,0.973673,-0.000172,0.000008,0.000069,-0.018171,0.001070,0.007103,1.363694
0.040000,0.170826,-0.150924,0.973674,-0.000425,0.000025,0.000166,-0.032625,0.002036,0.012670,1.363121
0.050000,0.170826,-0.150922,0.973674,-0.000838,0.000052,0.000327,-0.050270,0.003108,0.019615,1.362461
0.060000,0.170830,-0.150891,0.973678,-0.001441,0.000089,0.000563,-0.070569,0.004200,0.027812,1.361752
0.070000,0.170833,-0.150860,0.973682,-0.002259,0.000137,0.000887,-0.093035,0.005243,0.037142,1.361026
0.080000,0.170837,-0.150828,0.973687,-0.003310,0.000195,0.001310,-0.117219,0.006182,0.047492,1.360310
0.090000,0.170840,-0.150797,0.973691,-0.004611,0.000261,0.001841,-0.142717,0.006974,0.058755,1.359624
0.100000,0.170844,-0.150765,0.973695,-0.006171,0.000334,0.002488,-0.169162,0.007587,0.070829,1.358982
0.110000,0.170854,-0.150667,0.973709,-0.007998,0.000412,0.003260,-0.196222,0.007996,0.083619,1.358394
0.120000,0.170862,-0.150592,0.973719,-0.010099,0.000493,0.004163,-0.223603,0.008184,0.097034,1.357869
0.130000,0.170871,-0.150505,0.973731,-0.012473,0.000575,0.005203,-0.251040,0.008137,0.110992,1.357410
0.140000,0.170885,-0.150373,0.973749,-0.015121,0.000655,0.006385,-0.278299,0.007847,0.125414,1.357018
0.150000,0.170906,-0.150163,0.973777,-0.018039,0.000731,0.007713,-0.305176,0.007308,0.140228,1.356693
0.160000,0.170922,-0.149990,0.973801,-0.021224,0.000801,0.009191,-0.331489,0.006516,0.155366,1.356432
0.170000,0.170945,-0.149757,0.973833,-0.024668,0.000861,0.010821,-0.357083,0.005471,0.170765,1.356232
0.180000,0.170972,-0.149469,0.973872,-0.028364,0.000909,0.012607,-0.381824,0.004173,0.186368,1.356089
0.190000,0.171003,-0.149135,0.973918,-0.032303,0.000944,0.014550,-0.405597,0.002622,0.202122,1.355997
0.200000,0.171037,-0.148759,0.973970,-0.036474,0.000961,0.016650,-0.428305,0.000821,0.217978,1.355951
0.210000,0.171073,-0.148347,0.974026,-0.040866,0.000959,0.018910,-0.449869,-0.001229,0.233892,1.355945
0.220000,0.171112,-0.147894,0.974088,-0.045468,0.000936,0.021328,-0.470220,-0.003521,0.249822,1.355975
0.230000,0.171154,-0.147393,0.974157,-0.050267,0.000888,0.023906,-0.489304,-0.006051,0.265730,1.356036
0.240000,0.171200,-0.146839,0.974233,-0.055250,0.000814,0.026643,-0.507079,-0.008814,0.281583,1.356122
0.250000,0.171248,-0.146224,0.974316,-0.060405,0.000711,0.029538,-0.523512,-0.011802,0.297349,1.356230
0.260000,0.171299,-0.145553,0.974408,-0.065716,0.000577,0.032590,-0.538582,-0.015010,0.312999,1.356356
0.270000,0.171354,-0.144828,0.974506,-0.071172,0.000410,0.035797,-0.552273,-0.018430,0.328509,1.356496
0.280000,0.171412,-0.144046,0.974612,-0.076758,0.000208,0.039159,-0.564580,-0.022054,0.343855,1.356648
0.290000,0.171471,-0.143202,0.974726,-0.082459,-0.000032,0.042674,-0.575501,-0.025875,0.359016,1.356808
0.300000,0.171533,-0.142292,0.974848,-0.088263,-0.000310,0.046339,-0.585042,-0.029883,0.373973,1.356975
0.310000,0.171596,-0.141317,0.974979,-0.094156,-0.000630,0.050153,-0.593215,-0.034071,0.388710,1.357148
0.320000,0.171662,-0.140281,0.975117,-0.100124,-0.000992,0.054113,-0.600034,-0.038428,0.403212,1.357323
0.330000,0.171730,-0.139180,0.975263,-0.106152,-0.001399,0.058216,-0.605520,-0.042946,0.417466,1.357501
0.340000,0.171798,-0.138013,0.975417,-0.112230,-0.001852,0.062461,-0.609693,-0.047614,0.431461,1.357680
0.350000,0.171865,-0.136777,0.975579,-0.118342,-0.002352,0.066845,-0.612581,-0.052423,0.445185,1.357860
0.360000,0.171933,-0.135473,0.975749,-0.124477,-0.002900,0.071364,-0.614211,-0.057361,0.458631,1.358040
0.370000,0.172002,-0.134101,0.975926,-0.130622,-0.003499,0.076017,-0.614613,-0.062418,0.471791,1.358220
0.380000,0.172070,-0.132661,0.976111,-0.136766,-0.004149,0.080799,-0.613820,-0.067583,0.484659,1.358399
0.390000,0.172136,-0.131154,0.976303,-0.142895,-0.004851,0.085709,-0.611864,-0.072845,0.497229,1.358579
0.400000,0.172199,-0.129578,0.976503,-0.148999,-0.005606,0.090743,-0.608781,-0.078191,0.509497,1.358758
0.410000,0.172259,-0.127932,0.976709,-0.155067,-0.006415,0.095898,-0.604605,-0.083611,0.521459,1.358937
0.420000,0.172318,-0.126217,0.976922,-0.161088,-0.007279,0.101171,-0.599372,-0.089090,0.533113,1.359116
0.430000,0.172374,-0.124434,0.977140,-0.167051,-0.008197,0.106559,-0.593118,-0.094618,0.544457,1.359296
0.440000,0.172425,-0.122585,0.977365,-0.172947,-0.009171,0.112059,-0.585880,-0.100181,0.555489,1.359475
0.450000,0.172468,-0.120669,0.977596,-0.178766,-0.010201,0.117668,-0.577695,-0.105766,0.566208,1.359655
0.460000,0.172506,-0.118686,0.977832,-0.184498,-0.011286,0.123382,-0.568597,-0.111360,0.576614,1.359836
0.470000,0.172540,-0.116635,0.978073,-0.190135,-0.012428,0.129199,-0.558623,-0.116950,0.586708,1.360017
0.480000,0.172567,-0.114518,0.978318,-0.195667,-0.013625,0.135115,-0.547807,-0.122520,0.596489,1.360199
0.490000,0.172585,-0.112339,0.978568,-0.201088,-0.014878,0.141128,-0.536186,-0.128058,0.605960,1.360382
0.500000,0.172591,-0.110098,0.978821,-0.206388,-0.016186,0.147234,-0.523791,-0.133549,0.615120,1.360566
0.510000,0.172589,-0.107795,0.979078,-0.211561,-0.017549,0.153429,-0.510657,-0.138978,0.623972,1.360752
0.520000,0.172578,-0.105427,0.979338,-0.216599,-0.018966,0.159712,-0.496816,-0.144331,0.632518,1.360938
0.530000,0.172556,-0.102997,0.979600,-0.221495,-0.020435,0.166079,-0.482298,-0.149592,0.640759,1.361126
0.540000,0.172521,-0.100511,0.979864,-0.226243,-0.021957,0.172526,-0.467134,-0.154745,0.648697,1.361314
0.550000,0.172471,-0.097971,0.980130,-0.230836,-0.023530,0.179052,-0.451353,-0.159776,0.656335,1.361504
0.560000,0.172407,-0.095375,0.980398,-0.235268,-0.025152,0.185652,-0.434983,-0.164669,0.663676,1.361694
0.570000,0.172331,-0.092719,0.980666,-0.239533,-0.026823,0.192324,-0.418051,-0.169407,0.670722,1.361886
0.580000,0.172240,-0.090009,0.980934,-0.243627,-0.028540,0.199065,-0.400582,-0.173975,0.677475,1.362078
0.590000,0.172132,-0.087250,0.981202,-0.247543,-0.030302,0.205873,-0.382601,-0.178355,0.683938,1.362270
0.600000,0.172004,-0.084446,0.981470,-0.251277,-0.032106,0.212743,-0.364130,-0.182532,0.690113,1.362463
0.610000,0.171857,-0.081593,0.981737,-0.254824,-0.033951,0.219674,-0.345193,-0.186488,0.696004,1.362656
0.620000,0.171694,-0.078689,0.982003,-0.258180,-0.035835,0.226662,-0.325809,-0.190206,0.701613,1.362849
0.630000,0.171512,-0.075739,0.982266,-0.261339,-0.037755,0.233705,-0.305998,-0.193670,0.706942,1.363042
0.640000,0.171309,-0.072748,0.982528,-0.264298,-0.039708,0.240800,-0.285779,-0.196862,0.711995,1.363234
0.650000,0.171081,-0.069723,0.982787,-0.267053,-0.041691,0.247944,-0.265168,-0.199764,0.716773,1.363425
0.660000,0.170832,-0.066660,0.983043,-0.269600,-0.043702,0.255135,-0.244181,-0.202359,0.721279,1.363616
0.670000,0.170561,-0.063553,0.983295,-0.271935,-0.045737,0.262369,-0.222833,-0.204630,0.725515,1.363805
0.680000,0.170267,-0.060411,0.983544,-0.274056,-0.047793,0.269644,-0.201139,-0.206558,0.729484,1.363993
0.690000,0.169948,-0.057239,0.983789,-0.275957,-0.049867,0.276958,-0.179109,-0.208125,0.733189,1.364179
