time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.016481,0.792894,-1.370317,-0.016630,-0.005793,0.002043,0.614500,-0.171250,0.222153,-5.792900,1.980983,-6.498197,111.802303,-12.424555,146.343421,-0.017823,-0.064004,0.000000,0.217466,0.644878,-0.000000
0.010000,-3.016618,0.792828,-1.370287,-0.010757,-0.007408,0.003963,0.561987,-0.152051,0.164107,-4.726772,1.860028,-5.148301,101.529130,-11.772014,124.026194,-0.015735,-0.058196,0.000000,0.200378,0.519298,0.000000
0.020000,-3.016698,0.792747,-1.370240,-0.005357,-0.008838,0.005366,0.519632,-0.134029,0.118482,-3.760233,1.745434,-4.010062,91.881104,-11.152092,103.992160,-0.013809,-0.053566,0.000000,0.185217,0.408963,-0.000000
0.030000,-3.016726,0.792652,-1.370181,-0.000333,-0.010093,0.006367,0.486471,-0.117122,0.083274,-2.887136,1.636881,-3.061240,82.837259,-10.563798,86.123382,-0.012026,-0.049972,0.000000,0.171649,0.311763,0.000000
0.040000,-3.016706,0.792545,-1.370113,0.004400,-0.011184,0.007061,0.461598,-0.101272,0.056696,-2.101544,1.534056,-2.280770,74.376735,-10.006147,70.301909,-0.010371,-0.047292,0.000000,0.159407,0.226019,0.000000
0.050000,-3.016639,0.792429,-1.370040,0.008923,-0.012121,0.007525,0.444167,-0.086423,0.037164,-1.397731,1.436658,-1.648768,66.478060,-9.478212,56.410064,-0.008834,-0.045418,0.000000,0.148272,0.150373,0.000000
0.060000,-3.016528,0.792303,-1.369963,0.013306,-0.012915,0.007823,0.433389,-0.072522,0.023288,-0.770179,1.344396,-1.146530,59.120742,-8.978924,44.329624,-0.007403,-0.044255,0.000000,0.138067,0.083718,0.000000
0.070000,-3.016373,0.792171,-1.369884,0.017611,-0.013575,0.008005,0.428527,-0.059519,0.013859,-0.213582,1.256987,-0.756530,52.283614,-8.507335,33.942784,-0.006070,-0.043717,0.000000,0.128649,0.025132,-0.000000
0.080000,-3.016176,0.792032,-1.369803,0.021894,-0.014109,0.008111,0.428898,-0.047367,0.007838,0.277157,1.174160,-0.462422,45.945662,-8.062467,25.131640,-0.004828,-0.043728,0.000000,0.119902,-0.026161,-0.000000
0.090000,-3.015935,0.791889,-1.369722,0.026204,-0.014525,0.008170,0.433867,-0.036021,0.004342,0.706925,1.095652,-0.249038,40.085825,-7.643349,17.778319,-0.003670,-0.044218,0.000000,0.111731,-0.070831,-0.000000
0.100000,-3.015651,0.791742,-1.369640,0.030585,-0.014832,0.008204,0.442849,-0.025440,0.002635,1.080402,1.021212,-0.102392,34.683549,-7.248858,11.764630,-0.002591,-0.045124,0.000000,0.104060,-0.109467,-0.000000
0.110000,-3.015323,0.791593,-1.369558,0.035073,-0.015036,0.008227,0.455303,-0.015584,0.002115,1.402051,0.950596,-0.009673,29.717316,-6.878185,6.972972,-0.001587,-0.046389,0.000000,0.096829,-0.142598,0.000000
0.120000,-3.014949,0.791442,-1.369476,0.039701,-0.015146,0.008249,0.470731,-0.006416,0.002301,1.676132,0.883573,0.040748,25.166325,-6.530277,3.285312,-0.000653,-0.047959,0.000000,0.089989,-0.170706,0.000000
