time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.388548,-0.245503,-1.483633,-0.015763,-0.005333,0.009791,0.298372,-0.087400,-0.069257,13.681042,-3.872400,-2.566488,-110.878130,45.493790,78.646573,-0.008843,-0.030193,0.000000,-0.389099,-1.375670,0.000000
0.010000,-3.388705,-0.245557,-1.483535,-0.012779,-0.006207,0.009098,0.435182,-0.126124,-0.094922,12.572260,-3.417462,-1.780022,-496.122766,161.049968,172.033671,-0.012721,-0.043908,0.000000,-0.341649,-1.258866,0.000000
0.020000,-3.388803,-0.245627,-1.483451,-0.007059,-0.007855,0.007892,0.549817,-0.155749,-0.104858,3.758586,-0.651401,0.874185,-802.755451,246.366423,207.586078,-0.015683,-0.055397,0.000000,-0.066632,-0.382751,-0.000000
0.030000,-3.388846,-0.245714,-1.483377,-0.001783,-0.009322,0.007001,0.510354,-0.139152,-0.077438,-3.482849,1.509866,2.371699,-318.171095,94.051902,41.033416,-0.014054,-0.051571,0.000000,0.148856,0.338932,-0.000000
0.040000,-3.388839,-0.245814,-1.483311,0.003148,-0.010638,0.006344,0.480160,-0.125552,-0.057424,-2.604835,1.229637,1.694854,83.089386,-26.158443,-61.692860,-0.012708,-0.048623,0.000000,0.122108,0.255001,-0.000000
0.050000,-3.388783,-0.245926,-1.483250,0.007821,-0.011833,0.005853,0.458257,-0.114559,-0.043541,-1.821061,0.986698,1.137842,74.014751,-22.593408,-50.426100,-0.011613,-0.046473,0.000000,0.098577,0.179043,-0.000000
0.060000,-3.388682,-0.246050,-1.483194,0.012313,-0.012929,0.005473,0.443739,-0.105818,-0.034667,-1.124540,0.777769,0.686332,65.623752,-19.347997,-40.548369,-0.010737,-0.045044,0.000000,0.078113,0.110854,0.000000
0.070000,-3.388537,-0.246185,-1.483141,0.016695,-0.013949,0.005159,0.435767,-0.099004,-0.029815,-0.508586,0.599738,0.326875,57.886889,-16.405984,-31.971179,-0.010051,-0.044257,0.000000,0.060528,0.050115,0.000000
0.080000,-3.388348,-0.246329,-1.483091,0.021028,-0.014910,0.004877,0.433567,-0.093823,-0.028129,0.033197,0.449650,0.046908,50.774719,-13.751139,-24.606030,-0.009527,-0.044042,0.000000,0.045612,-0.003577,-0.000000
0.090000,-3.388117,-0.246483,-1.483043,0.025367,-0.015826,0.004597,0.436431,-0.090011,-0.028876,0.506909,0.324715,-0.165246,44.257738,-11.367237,-18.364432,-0.009139,-0.044329,0.000000,0.033142,-0.050674,0.000000
0.100000,-3.387841,-0.246646,-1.482999,0.029757,-0.016710,0.004299,0.443705,-0.087329,-0.031434,0.918352,0.222305,-0.320381,38.306433,-9.238048,-13.157897,-0.008864,-0.045055,0.000000,0.022889,-0.091657,-0.000000
0.110000,-3.387521,-0.246817,-1.482957,0.034241,-0.017572,0.003968,0.454798,-0.085565,-0.035284,1.273037,0.139954,-0.428404,32.891339,-7.347345,-8.897936,-0.008681,-0.046162,0.000000,0.014628,-0.127018,-0.000000
0.120000,-3.387156,-0.246997,-1.482919,0.038853,-0.018421,0.003593,0.469166,-0.084530,-0.040002,1.576179,0.075358,-0.498339,27.982964,-5.678900,-5.496045,-0.008572,-0.047595,0.000000,0.008139,-0.157246,0.000000
0.130000,-3.386744,-0.247186,-1.482885,0.043624,-0.019263,0.003168,0.486321,-0.084058,-0.045251,1.832697,0.026376,-0.538325,23.551812,-4.216484,-2.863733,-0.008519,-0.049306,0.000000,0.003215,-0.182814,0.000000
0.140000,-3.386284,-0.247383,-1.482856,0.048579,-0.020102,0.002688,0.505820,-0.084002,-0.050769,2.047215,-0.008972,-0.555614,19.568431,-2.943873,-0.912550,-0.008507,-0.051251,0.000000,-0.000340,-0.204177,-0.000000
0.150000,-3.385773,-0.247588,-1.482832,0.053740,-0.020943,0.002153,0.527265,-0.084237,-0.056363,2.224065,-0.032502,-0.556576,16.003298,-1.844835,0.446025,-0.008525,-0.053390,0.000000,-0.002707,-0.221763,-0.000000
0.160000,-3.385209,-0.247801,-1.482813,0.059125,-0.021787,0.001561,0.550301,-0.084652,-0.061900,2.367281,-0.045868,-0.546694,12.826883,-0.903143,1.300529,-0.008562,-0.055687,0.000000,-0.004052,-0.235971,0.000000
0.170000,-3.384590,-0.248024,-1.482800,0.064746,-0.022636,0.000915,0.574611,-0.085154,-0.067297,2.480603,-0.050564,-0.530565,10.008182,-0.101076,1.751938,-0.008606,-0.058109,0.000000,-0.004524,-0.247171,0.000000
0.180000,-3.383914,-0.248254,-1.482795,0.070617,-0.023490,0.000215,0.599914,-0.085664,-0.072512,2.567445,-0.047890,-0.511655,7.490101,0.603691,2.107796,-0.008652,-0.060630,0.000000,-0.004254,-0.255702,-0.000000
0.190000,-3.383178,-0.248493,-1.482796,0.076745,-0.024349,-0.000536,0.625960,-0.086112,-0.077530,2.630405,-0.038491,-0.488409,5.252657,1.218363,2.380879,-0.008692,-0.063224,0.000000,-0.003311,-0.261846,0.000000
0.200000,-3.382379,-0.248741,-1.482805,0.083136,-0.025212,-0.001335,0.652522,-0.086433,-0.082280,2.672498,-0.023523,-0.464037,3.470148,1.566584,1.043140,-0.008718,-0.065867,0.000000,-0.001811,-0.265899,-0.000000
0.210000,-3.381515,-0.248998,-1.482823,0.089795,-0.026078,-0.002181,0.679410,-0.086583,-0.086811,2.699808,-0.007159,-0.467547,2.091260,1.685214,-1.643740,-0.008728,-0.068542,0.000000,-0.000149,-0.268278,-0.000000
0.220000,-3.380583,-0.249263,-1.482849,0.096724,-0.026944,-0.003072,0.706518,-0.086577,-0.091631,2.714323,0.010182,-0.496912,0.501122,2.143206,-0.955238,-0.008721,-0.071233,0.000000,0.001631,-0.269167,-0.000000
0.230000,-3.379581,-0.249537,-1.482884,0.103926,-0.027809,-0.004014,0.733696,-0.086379,-0.096749,2.709830,0.035705,-0.486651,-1.359186,2.975849,3.296020,-0.008695,-0.073925,0.000000,0.004194,-0.268413,-0.000000
0.240000,-3.378505,-0.249819,-1.482929,0.111398,-0.028672,-0.005007,0.760714,-0.085862,-0.101364,2.687139,0.069699,-0.430992,-2.701449,3.429599,4.758308,-0.008637,-0.076602,0.000000,0.007563,-0.266201,-0.000000
0.250000,-3.377353,-0.250110,-1.482984,0.119140,-0.029527,-0.006041,0.787439,-0.084985,-0.105369,2.655801,0.104297,-0.391485,-3.330821,3.373350,2.734004,-0.008544,-0.079250,0.000000,0.011001,-0.263043,0.000000
0.260000,-3.376122,-0.250409,-1.483050,0.127147,-0.030371,-0.007114,0.813830,-0.083777,-0.109193,2.620523,0.137166,-0.376311,-3.830264,3.339477,1.595752,-0.008417,-0.081863,0.000000,0.014279,-0.259320,0.000000
0.270000,-3.374810,-0.250717,-1.483127,0.135416,-0.031202,-0.008225,0.839850,-0.082242,-0.112895,2.579196,0.171087,-0.359570,-4.670474,3.575315,2.078243,-0.008258,-0.084436,0.000000,0.017657,-0.255021,0.000000
0.280000,-3.373414,-0.251033,-1.483214,0.143944,-0.032016,-0.009372,0.865414,-0.080355,-0.116385,2.527113,0.208672,-0.334747,-5.700927,3.915920,2.694696,-0.008064,-0.086963,0.000000,0.021389,-0.249739,0.000000
0.290000,-3.371931,-0.251358,-1.483314,0.152725,-0.032809,-0.010553,0.890392,-0.078068,-0.119590,2.465177,0.249405,-0.305676,-6.364068,4.082691,2.863104,-0.007831,-0.089431,0.000000,0.025428,-0.243540,-0.000000
0.300000,-3.370359,-0.251690,-1.483425,0.161752,-0.033577,-0.011764,0.914718,-0.075367,-0.122498,2.399832,0.290326,-0.277485,-6.556304,4.049849,2.737867,-0.007556,-0.091834,0.000000,0.029481,-0.237024,-0.000000
0.310000,-3.368696,-0.252029,-1.483549,0.171019,-0.034317,-0.013003,0.938389,-0.072262,-0.125140,2.334051,0.330402,-0.250919,-6.680060,4.009288,2.666665,-0.007241,-0.094172,0.000000,0.033447,-0.230481,0.000000
0.320000,-3.366939,-0.252376,-1.483686,0.180520,-0.035023,-0.014266,0.961399,-0.068759,-0.127517,2.266231,0.370511,-0.224151,-7.041090,4.062342,2.699663,-0.006887,-0.096444,0.000000,0.037414,-0.223766,-0.000000
0.330000,-3.365086,-0.252730,-1.483835,0.190247,-0.035692,-0.015553,0.983713,-0.064852,-0.129623,2.193230,0.411649,-0.196926,-7.533430,4.151891,2.723259,-0.006493,-0.098648,0.000000,0.041480,-0.216569,0.000000
0.340000,-3.363134,-0.253090,-1.483997,0.200194,-0.036320,-0.016859,1.005263,-0.060526,-0.131455,2.115562,0.453549,-0.169686,-7.796530,4.162091,2.703114,-0.006057,-0.100776,0.000000,0.045620,-0.208936,0.000000
0.350000,-3.361082,-0.253456,-1.484172,0.210352,-0.036902,-0.018182,1.026024,-0.055781,-0.133016,2.037299,0.494891,-0.142863,-7.764722,4.079433,2.654282,-0.005580,-0.102827,0.000000,0.049704,-0.201268,-0.000000
0.360000,-3.358927,-0.253828,-1.484360,0.220714,-0.037435,-0.019519,1.046009,-0.050628,-0.134312,1.960268,0.535138,-0.116600,-7.697525,3.984895,2.597683,-0.005063,-0.104801,0.000000,0.053679,-0.193745,0.000000
0.370000,-3.356667,-0.254205,-1.484562,0.231273,-0.037915,-0.020868,1.065230,-0.045078,-0.135348,1.883348,0.574589,-0.090910,-7.791634,3.925737,2.533104,-0.004507,-0.106702,0.000000,0.057576,-0.186252,-0.000000
0.380000,-3.354301,-0.254586,-1.484778,0.242019,-0.038337,-0.022226,1.083676,-0.039136,-0.136131,1.804435,0.613653,-0.065938,-7.978435,3.878629,2.455269,-0.003912,-0.108526,0.000000,0.061436,-0.178577,-0.000000
0.390000,-3.351827,-0.254972,-1.485007,0.252946,-0.038698,-0.023591,1.101319,-0.032805,-0.136667,1.723780,0.652161,-0.041804,-8.025427,3.789267,2.368443,-0.003278,-0.110273,0.000000,0.065243,-0.170743,0.000000
0.400000,-3.349242,-0.255360,-1.485249,0.264045,-0.038993,-0.024960,1.118152,-0.026093,-0.136967,1.643927,0.689438,-0.018569,-7.890243,3.650488,2.271601,-0.002607,-0.111941,0.000000,0.068930,-0.162999,-0.000000
0.410000,-3.346546,-0.255751,-1.485506,0.275309,-0.039219,-0.026330,1.134197,-0.019016,-0.137039,1.565975,0.725171,0.003628,-7.739940,3.500792,2.163502,-0.001899,-0.113533,0.000000,0.072467,-0.155451,-0.000000
0.420000,-3.343736,-0.256145,-1.485776,0.286729,-0.039373,-0.027700,1.149472,-0.011589,-0.136894,1.489128,0.759454,0.024701,-7.700580,3.364316,2.054221,-0.001157,-0.115051,0.000000,0.075863,-0.148018,-0.000000
0.430000,-3.340811,-0.256539,-1.486060,0.298299,-0.039451,-0.029068,1.163980,-0.003827,-0.136545,1.411963,0.792457,0.044712,-7.727881,3.230320,1.945725,-0.000382,-0.116494,0.000000,0.079136,-0.140556,-0.000000
0.440000,-3.337770,-0.256934,-1.486357,0.310009,-0.039450,-0.030431,1.177711,0.004260,-0.136000,1.334570,0.824060,0.063615,-7.672470,3.071169,1.826159,0.000425,-0.117862,0.000000,0.082275,-0.133073,-0.000000
0.450000,-3.334611,-0.257328,-1.486668,0.321853,-0.039366,-0.031788,1.190671,0.012654,-0.135272,1.258514,0.853881,0.081235,-7.505542,2.883245,1.695718,0.001263,-0.119155,0.000000,0.085240,-0.125720,-0.000000
0.460000,-3.331333,-0.257721,-1.486993,0.333822,-0.039197,-0.033137,1.202881,0.021337,-0.134375,1.184459,0.881725,0.097529,-7.334197,2.686442,1.563898,0.002130,-0.120376,0.000000,0.088014,-0.118560,0.000000
0.470000,-3.327935,-0.258112,-1.487331,0.345910,-0.038939,-0.034476,1.214360,0.030289,-0.133322,1.111830,0.907610,0.112513,-7.243429,2.493150,1.430404,0.003024,-0.121526,0.000000,0.090597,-0.111535,0.000000
0.480000,-3.324415,-0.258500,-1.487683,0.358110,-0.038591,-0.035803,1.225118,0.039490,-0.132125,1.039591,0.931588,0.126137,-7.204643,2.298045,1.293904,0.003942,-0.122607,0.000000,0.092996,-0.104539,-0.000000
0.490000,-3.320773,-0.258884,-1.488047,0.370413,-0.038149,-0.037118,1.235152,0.048921,-0.130799,0.967737,0.953570,0.138391,-7.115871,2.087293,1.157385,0.004884,-0.123617,0.000000,0.095199,-0.097572,0.000000
0.500000,-3.317007,-0.259263,-1.488425,0.382813,-0.037613,-0.038419,1.244472,0.058561,-0.129357,0.897273,0.973334,0.149285,-6.958619,1.858987,1.015717,0.005846,-0.124558,0.000000,0.097187,-0.090731,0.000000
0.510000,-3.313116,-0.259636,-1.488816,0.395302,-0.036978,-0.039705,1.253097,0.068387,-0.127813,0.828565,0.990750,0.158706,-6.805303,1.623380,0.868698,0.006827,-0.125432,0.000000,0.098944,-0.084050,0.000000
0.520000,-3.309101,-0.260002,-1.489219,0.407875,-0.036245,-0.040975,1.261044,0.078376,-0.126183,0.761167,1.005802,0.166659,-6.708274,1.387616,0.736106,0.007825,-0.126239,0.000000,0.100469,-0.077484,-0.000000
0.530000,-3.304959,-0.260361,-1.489635,0.420523,-0.035411,-0.042229,1.268321,0.088503,-0.124480,0.694399,1.018502,0.173428,-6.647497,1.149180,0.620712,0.008837,-0.126982,0.000000,0.101763,-0.070967,-0.000000
0.540000,-3.300690,-0.260710,-1.490064,0.433241,-0.034475,-0.043465,1.274932,0.098746,-0.122714,0.628217,1.028785,0.179073,-6.560344,0.900245,0.496684,0.009860,-0.127659,0.000000,0.102819,-0.064496,0.000000
0.550000,-3.296294,-0.261050,-1.490504,0.446022,-0.033436,-0.044683,1.280885,0.109079,-0.120899,0.563192,1.036507,0.183362,-6.435287,0.639848,0.354949,0.010893,-0.128272,0.000000,0.103622,-0.058122,-0.000000
0.560000,-3.291770,-0.261379,-1.490957,0.458859,-0.032293,-0.045883,1.286196,0.119476,-0.119047,0.499512,1.041582,0.186172,-6.316472,0.373996,0.214642,0.011933,-0.128821,0.000000,0.104162,-0.051863,-0.000000
0.570000,-3.287117,-0.261696,-1.491422,0.471746,-0.031046,-0.047064,1.290875,0.129911,-0.117175,0.436863,1.043987,0.187654,-6.236809,0.106685,0.098252,0.012976,-0.129309,0.000000,0.104437,-0.045688,0.000000
0.580000,-3.282335,-0.262000,-1.491899,0.484676,-0.029695,-0.048226,1.294933,0.140356,-0.115294,0.374775,1.043716,0.188137,-6.184149,-0.163473,0.000521,0.014021,-0.129735,0.000000,0.104446,-0.039555,-0.000000
0.590000,-3.277423,-0.262290,-1.492387,0.497644,-0.028239,-0.049370,1.298371,0.150785,-0.113412,0.313180,1.040718,0.187665,-6.118465,-0.440553,-0.106731,0.015065,-0.130100,0.000000,0.104184,-0.033457,0.000000
