time,k0_0,k0_1,k0_2,k0_3,k0_4,k0_5,k0_6,k0_7,k0_8,k0_9,k0_10,k0_11,k0_12,k1_0,k1_1,k1_2,k1_3,k1_4,k1_5,k1_6,k1_7,k1_8,k1_9,k1_10,k1_11,k1_12,k2_0,k2_1,k2_2,k2_3,k2_4,k2_5,k2_6,k2_7,k2_8,k2_9,k2_10,k2_11,k2_12,k3_0,k3_1,k3_2,k3_3,k3_4,k3_5,k3_6,k3_7,k3_8,k3_9,k3_10,k3_11,k3_12,k4_0,k4_1,k4_2,k4_3,k4_4,k4_5,k4_6,k4_7,k4_8,k4_9,k4_10,k4_11,k4_12,k5_0,k5_1,k5_2,k5_3,k5_4,k5_5,k5_6,k5_7,k5_8,k5_9,k5_10,k5_11,k5_12
0.000000,-4.375359,0.000000,0.000000,-5.332423,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-4.180045,0.000000,0.000000,-5.136160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019590,0.000000,0.000000,-1.791837,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001308,-0.379966,0.000399,-0.001766,-0.387755,0.000043,-0.000088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001067,-0.000282,-0.266614,-0.001028,-0.000031,-0.277662,-0.000003,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000643,0.002383,0.001919,-0.518432,0.000019,-0.000002,-0.542694
0.010000,-4.375348,0.000000,0.000000,-5.332421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.180035,0.000000,0.000000,-5.136158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019573,0.000000,0.000000,-1.791816,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001315,-0.379917,0.000405,-0.001749,-0.387754,0.000036,-0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001088,-0.000286,-0.266578,-0.001020,-0.000026,-0.277661,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000629,0.002338,0.001893,-0.518360,0.000009,0.000003,-0.542692
0.020000,-4.375338,0.000000,0.000000,-5.332419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.180025,0.000000,0.000000,-5.136156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019555,0.000000,0.000000,-1.791795,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001317,-0.379868,0.000409,-0.001734,-0.387753,0.000031,-0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001100,-0.000289,-0.266540,-0.001013,-0.000022,-0.277661,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000617,0.002304,0.001871,-0.518288,0.000002,0.000006,-0.542691
0.030000,-4.375327,0.000000,0.000000,-5.332416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.180014,0.000000,0.000000,-5.136153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019537,0.000000,0.000000,-1.791774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001317,-0.379819,0.000411,-0.001722,-0.387753,0.000026,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001106,-0.000291,-0.266503,-0.001006,-0.000019,-0.277660,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000607,0.002278,0.001853,-0.518214,-0.000003,0.000008,-0.542689
0.040000,-4.375316,0.000000,0.000000,-5.332414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.180004,0.000000,0.000000,-5.136151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019518,0.000000,0.000000,-1.791752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001314,-0.379769,0.000413,-0.001710,-0.387752,0.000023,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001108,-0.000292,-0.266465,-0.001000,-0.000016,-0.277660,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000599,0.002257,0.001838,-0.518140,-0.000006,0.000009,-0.542688
0.050000,-4.375305,0.000000,0.000000,-5.332412,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-4.179993,0.000000,0.000000,-5.136148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019499,0.000000,0.000000,-1.791730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001309,-0.379718,0.000413,-0.001700,-0.387751,0.000021,0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001106,-0.000292,-0.266427,-0.000994,-0.000015,-0.277659,0.000033,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000592,0.002239,0.001825,-0.518065,-0.000007,0.000010,-0.542686
0.060000,-4.375294,0.000000,0.000000,-5.332409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.179982,0.000000,0.000000,-5.136146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019480,0.000000,0.000000,-1.791708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001304,-0.379667,0.000413,-0.001690,-0.387750,0.000019,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001103,-0.000292,-0.266388,-0.000988,-0.000013,-0.277658,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000585,0.002225,0.001812,-0.517990,-0.000008,0.000011,-0.542685
0.070000,-4.375283,0.000000,0.000000,-5.332407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.179971,0.000000,0.000000,-5.136143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019460,0.000000,0.000000,-1.791685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001298,-0.379616,0.000412,-0.001681,-0.387749,0.000017,0.000051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001098,-0.000292,-0.266349,-0.000983,-0.000012,-0.277658,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000580,0.002211,0.001801,-0.517913,-0.000009,0.000011,-0.542683
0.080000,-4.375271,0.000000,0.000000,-5.332404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.179959,0.000000,0.000000,-5.136141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019441,0.000000,0.000000,-1.791662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001291,-0.379564,0.000411,-0.001672,-0.387749,0.000016,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001093,-0.000291,-0.266309,-0.000977,-0.000011,-0.277657,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000575,0.002199,0.001790,-0.517836,-0.000009,0.000011,-0.542681
0.090000,-4.375259,0.000000,0.000000,-5.332402,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.179948,0.000000,0.000000,-5.136138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019420,0.000000,0.000000,-1.791638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001284,-0.379511,0.000410,-0.001663,-0.387748,0.000015,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001087,-0.000290,-0.266270,-0.000972,-0.000011,-0.277657,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000570,0.002187,0.001780,-0.517758,-0.000009,0.000011,-0.542680
0.100000,-4.375246,0.000000,0.000000,-5.332399,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-4.179936,0.000000,0.000000,-5.136135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019400,0.000000,0.000000,-1.791614,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001277,-0.379458,0.000409,-0.001655,-0.387747,0.000014,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001082,-0.000289,-0.266229,-0.000966,-0.000010,-0.277656,0.000036,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000566,0.002176,0.001770,-0.517679,-0.000009,0.000011,-0.542678
0.110000,-4.375234,0.000000,0.000000,-5.332396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.179923,0.000000,0.000000,-5.136132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.019379,0.000000,0.000000,-1.791590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001270,-0.379404,0.000407,-0.001646,-0.387746,0.000014,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001076,-0.000288,-0.266189,-0.000961,-0.000010,-0.277656,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000562,0.002164,0.001760,-0.517600,-0.000009,0.000011,-0.542676
