time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.022172,-3.007746,0.508312,-0.005759,-0.018188,-0.007083,-0.172549,0.643629,0.003922,2.023233,-6.286451,-0.044164,-20.033103,62.004592,1.876755,0.999982,0.003828,-0.004435,-0.001352,0.003056,-0.014660,0.005585
0.010000,0.022106,-3.007897,0.508241,-0.007387,-0.012056,-0.007045,-0.153290,0.583794,0.003574,1.831356,-5.687556,-0.025720,-18.360759,57.815272,1.812184,0.999982,0.003828,-0.004467,-0.001331,0.000640,-0.007592,0.004626
0.020000,0.022025,-3.007989,0.508171,-0.008831,-0.006493,-0.007010,-0.135868,0.529742,0.003406,1.655653,-5.129345,-0.007917,-16.797796,53.866193,1.748596,0.999982,0.003830,-0.004503,-0.001309,-0.001042,-0.002808,0.003875
0.030000,0.021930,-3.008028,0.508101,-0.010110,-0.001444,-0.006976,-0.120127,0.481079,0.003413,1.495049,-4.609459,0.009255,-15.340120,50.149002,1.685982,0.999982,0.003831,-0.004537,-0.001288,-0.002180,0.000319,0.003289
0.040000,0.021823,-3.008020,0.508031,-0.011239,0.003145,-0.006942,-0.105920,0.437433,0.003589,1.348513,-4.125620,0.025806,-13.983633,46.655439,1.624326,0.999981,0.003830,-0.004563,-0.001268,-0.002927,0.002275,0.002834
0.050000,0.021706,-3.007967,0.507962,-0.012233,0.007321,-0.006904,-0.093113,0.398454,0.003927,1.215053,-3.675637,0.041745,-12.724240,43.376623,1.563655,0.999981,0.003823,-0.004576,-0.001251,-0.003398,0.003431,0.002481
0.060000,0.021579,-3.007874,0.507893,-0.013105,0.011129,-0.006863,-0.081579,0.363814,0.004422,1.093718,-3.257399,0.057083,-11.557845,40.304721,1.503921,0.999982,0.003810,-0.004571,-0.001238,-0.003681,0.004063,0.002209
0.070000,0.021444,-3.007745,0.507825,-0.013868,0.014610,-0.006815,-0.071201,0.333207,0.005067,0.983600,-2.868881,0.071827,-10.480352,37.431168,1.445132,0.999982,0.003793,-0.004554,-0.001227,-0.003841,0.004370,0.001998
0.080000,0.021302,-3.007583,0.507757,-0.014533,0.017805,-0.006761,-0.061872,0.306344,0.005856,0.883829,-2.508143,0.085988,-9.487665,34.747589,1.387287,0.999982,0.003772,-0.004529,-0.001217,-0.003923,0.004491,0.001835
0.090000,0.021154,-3.007390,0.507690,-0.015109,0.020749,-0.006698,-0.053493,0.282958,0.006785,0.793577,-2.173324,0.099576,-8.575687,32.245593,1.330394,0.999982,0.003751,-0.004501,-0.001209,-0.003959,0.004518,0.001708
0.100000,0.021000,-3.007169,0.507623,-0.015606,0.023475,-0.006625,-0.045972,0.262797,0.007846,0.712060,-1.862654,0.112598,-7.740324,29.916780,1.274329,0.999982,0.003731,-0.004476,-0.001200,-0.003970,0.004506,0.001609
0.110000,0.020842,-3.006921,0.507557,-0.016031,0.026015,-0.006540,-0.039225,0.245630,0.009035,0.638529,-1.574440,0.125065,-6.977478,27.752814,1.219226,0.999982,0.003712,-0.004455,-0.001192,-0.003969,0.004487,0.001530
0.120000,0.020680,-3.006649,0.507492,-0.016392,0.028397,-0.006443,-0.033177,0.231239,0.010346,0.572282,-1.307076,0.136986,-6.283055,25.745301,1.165022,0.999983,0.003692,-0.004432,-0.001184,-0.003962,0.004474,0.001468
0.130000,0.020514,-3.006354,0.507428,-0.016697,0.030648,-0.006333,-0.027757,0.219424,0.011773,0.512654,-1.059040,0.148369,-5.652958,23.885893,1.111701,0.999983,0.003672,-0.004410,-0.001177,-0.003953,0.004470,0.001419
0.140000,0.020346,-3.006037,0.507366,-0.016950,0.032793,-0.006208,-0.022904,0.209998,0.013311,0.459022,-0.828892,0.159223,-5.083092,22.166292,1.059247,0.999983,0.003652,-0.004387,-0.001170,-0.003943,0.004471,0.001379
0.150000,0.020175,-3.005698,0.507304,-0.017156,0.034856,-0.006066,-0.018559,0.202791,0.014956,0.410805,-0.615275,0.169556,-4.569365,20.578278,1.007655,0.999983,0.003632,-0.004364,-0.001163,-0.003930,0.004473,0.001346
0.160000,0.020003,-3.005340,0.507244,-0.017322,0.036856,-0.005908,-0.014671,0.197642,0.016701,0.367461,-0.416931,0.179381,-4.107657,19.112127,0.957072,0.999983,0.003613,-0.004342,-0.001157,-0.003916,0.004469,0.001320
0.170000,0.019829,-3.004961,0.507186,-0.017451,0.038815,-0.005732,-0.011195,0.194405,0.018541,0.328492,-0.232656,0.188702,-3.693903,17.761153,0.907256,0.999984,0.003593,-0.004320,-0.001150,-0.003898,0.004457,0.001298
0.180000,0.019654,-3.004563,0.507130,-0.017547,0.040750,-0.005537,-0.008089,0.192946,0.020473,0.293437,-0.061354,0.197529,-3.323994,16.516310,0.858297,0.999984,0.003574,-0.004298,-0.001144,-0.003878,0.004435,0.001280
0.190000,0.019478,-3.004146,0.507076,-0.017614,0.042679,-0.005322,-0.005315,0.193138,0.022490,0.261880,0.097996,0.205871,-2.993834,15.369184,0.810203,0.999984,0.003554,-0.004276,-0.001137,-0.003855,0.004404,0.001265
0.200000,0.019302,-3.003710,0.507023,-0.017655,0.044618,-0.005087,-0.002841,0.194869,0.024589,0.233442,0.246332,0.213735,-2.699329,14.311794,0.762889,0.999984,0.003535,-0.004254,-0.001131,-0.003831,0.004369,0.001252
0.210000,0.019125,-3.003254,0.506974,-0.017672,0.046581,-0.004830,-0.000629,0.198018,0.026764,0.209431,0.381490,0.221129,-2.403892,13.275672,0.716396,0.999984,0.003516,-0.004232,-0.001125,-0.003811,0.004349,0.001240
0.220000,0.018949,-3.002778,0.506927,-0.017668,0.048583,-0.004551,0.001333,0.202510,0.029010,0.182544,0.517091,0.228069,-2.690900,13.329867,0.671353,0.999984,0.003497,-0.004210,-0.001118,-0.003791,0.004328,0.001230
0.230000,0.018772,-3.002282,0.506883,-0.017646,0.050636,-0.004250,0.003043,0.208304,0.031323,0.161558,0.637257,0.234552,-1.501313,10.697933,0.625406,0.999985,0.003478,-0.004189,-0.001112,-0.003771,0.004306,0.001221
0.240000,0.018596,-3.001765,0.506842,-0.017608,0.052753,-0.003925,0.004587,0.215199,0.033699,0.146627,0.741920,0.240586,-1.778742,10.776785,0.581891,0.999985,0.003459,-0.004167,-0.001106,-0.003752,0.004285,0.001212
0.250000,0.018420,-3.001227,0.506805,-0.017555,0.054943,-0.003576,0.005960,0.223158,0.036134,0.128376,0.848465,0.246191,-1.585580,10.011911,0.538685,0.999985,0.003441,-0.004146,-0.001100,-0.003732,0.004262,0.001204
0.260000,0.018245,-3.000666,0.506771,-0.017489,0.057219,-0.003202,0.007171,0.232124,0.038622,0.114369,0.943176,0.251364,-1.408854,9.295373,0.496240,0.999985,0.003422,-0.004125,-0.001094,-0.003713,0.004241,0.001197
