time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,-0.139261,-0.033015,0.989705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666363
0.010000,-0.139261,-0.033013,0.989705,-0.000002,0.000002,-0.000000,-0.000799,0.000265,-0.000386,0.666375
0.020000,-0.139261,-0.033011,0.989705,-0.000039,0.000005,-0.000017,-0.006723,0.000542,-0.003073,0.666426
0.030000,-0.139261,-0.033009,0.989705,-0.000158,0.000011,-0.000072,-0.016919,0.000942,-0.007693,0.666511
0.040000,-0.139261,-0.033007,0.989705,-0.000397,0.000022,-0.000181,-0.030632,0.001551,-0.013927,0.666628
0.050000,-0.139261,-0.033004,0.989706,-0.000787,0.000040,-0.000358,-0.047201,0.002426,-0.021499,0.666773
0.060000,-0.139260,-0.032975,0.989707,-0.001354,0.000069,-0.000617,-0.066045,0.003610,-0.030170,0.666943
0.070000,-0.139259,-0.032945,0.989708,-0.002118,0.000112,-0.000967,-0.086660,0.005126,-0.039733,0.667137
0.080000,-0.139257,-0.032916,0.989709,-0.003095,0.000172,-0.001416,-0.108606,0.006987,-0.050012,0.667351
0.090000,-0.139256,-0.032886,0.989710,-0.004297,0.000253,-0.001970,-0.131502,0.009194,-0.060855,0.667584
0.100000,-0.139255,-0.032857,0.989711,-0.005730,0.000357,-0.002635,-0.155020,0.011742,-0.072131,0.667833
0.110000,-0.139249,-0.032745,0.989716,-0.007401,0.000489,-0.003415,-0.178879,0.014618,-0.083730,0.668098
0.120000,-0.139243,-0.032633,0.989720,-0.009311,0.000651,-0.004312,-0.202838,0.017806,-0.095557,0.668375
0.130000,-0.139237,-0.032521,0.989725,-0.011459,0.000846,-0.005327,-0.226691,0.021289,-0.107532,0.668665
0.140000,-0.139231,-0.032409,0.989729,-0.013845,0.001078,-0.006463,-0.250265,0.025045,-0.119584,0.668966
0.150000,-0.139225,-0.032297,0.989734,-0.016465,0.001348,-0.007720,-0.273413,0.029054,-0.131657,0.669276
0.160000,-0.139209,-0.032078,0.989743,-0.019313,0.001659,-0.009097,-0.296014,0.033293,-0.143700,0.669595
0.170000,-0.139197,-0.031895,0.989751,-0.022384,0.002014,-0.010594,-0.317964,0.037742,-0.155672,0.669922
0.180000,-0.139184,-0.031694,0.989759,-0.025671,0.002415,-0.012210,-0.339179,0.042380,-0.167535,0.670256
0.190000,-0.139163,-0.031420,0.989771,-0.029166,0.002862,-0.013945,-0.359592,0.047185,-0.179259,0.670596
0.200000,-0.139131,-0.031019,0.989788,-0.032861,0.003359,-0.015795,-0.379144,0.052139,-0.190819,0.670943
0.210000,-0.139105,-0.030728,0.989801,-0.036746,0.003906,-0.017760,-0.397792,0.057223,-0.202191,0.671294
0.220000,-0.139071,-0.030330,0.989818,-0.040814,0.004504,-0.019839,-0.415501,0.062417,-0.213358,0.671651
0.230000,-0.139028,-0.029849,0.989838,-0.045054,0.005154,-0.022027,-0.432244,0.067701,-0.224306,0.672012
0.240000,-0.138978,-0.029311,0.989862,-0.049456,0.005858,-0.024324,-0.448000,0.073055,-0.235022,0.672378
0.250000,-0.138921,-0.028740,0.989886,-0.054011,0.006616,-0.026727,-0.462757,0.078461,-0.245497,0.672747
0.260000,-0.138858,-0.028140,0.989912,-0.058708,0.007428,-0.029233,-0.476504,0.083901,-0.255721,0.673119
0.270000,-0.138790,-0.027493,0.989940,-0.063538,0.008294,-0.031841,-0.489238,0.089357,-0.265688,0.673494
0.280000,-0.138713,-0.026796,0.989970,-0.068490,0.009215,-0.034546,-0.500958,0.094810,-0.275395,0.673873
0.290000,-0.138627,-0.026045,0.990002,-0.073554,0.010190,-0.037348,-0.511668,0.100243,-0.284836,0.674254
0.300000,-0.138530,-0.025236,0.990037,-0.078720,0.011219,-0.040242,-0.521373,0.105639,-0.294009,0.674637
0.310000,-0.138423,-0.024371,0.990073,-0.083978,0.012303,-0.043227,-0.530079,0.110981,-0.302913,0.675022
0.320000,-0.138307,-0.023451,0.990112,-0.089318,0.013439,-0.046299,-0.537797,0.116251,-0.311546,0.675409
0.330000,-0.138180,-0.022475,0.990152,-0.094731,0.014627,-0.049457,-0.544537,0.121433,-0.319908,0.675798
0.340000,-0.138041,-0.021441,0.990194,-0.100206,0.015867,-0.052697,-0.550312,0.126510,-0.328000,0.676188
0.350000,-0.137888,-0.020346,0.990239,-0.105734,0.017157,-0.056016,-0.555135,0.131466,-0.335821,0.676578
0.360000,-0.137721,-0.019190,0.990285,-0.111305,0.018496,-0.059412,-0.559020,0.136284,-0.343373,0.676970
0.370000,-0.137543,-0.017976,0.990333,-0.116911,0.019882,-0.062883,-0.561982,0.140949,-0.350657,0.677362
0.380000,-0.137352,-0.016702,0.990382,-0.122542,0.021314,-0.066425,-0.564036,0.145445,-0.357675,0.677754
0.390000,-0.137145,-0.015368,0.990432,-0.128189,0.022791,-0.070035,-0.565197,0.149756,-0.364428,0.678147
0.400000,-0.136921,-0.013972,0.990483,-0.133843,0.024309,-0.073712,-0.565482,0.153866,-0.370919,0.678539
0.410000,-0.136682,-0.012514,0.990536,-0.139496,0.025867,-0.077453,-0.564906,0.157761,-0.377149,0.678931
0.420000,-0.136427,-0.010995,0.990589,-0.145138,0.027463,-0.081254,-0.563485,0.161424,-0.383120,0.679322
0.430000,-0.136156,-0.009416,0.990643,-0.150763,0.029095,-0.085114,-0.561235,0.164841,-0.388836,0.679711
0.440000,-0.135868,-0.007777,0.990696,-0.156360,0.030759,-0.089030,-0.558172,0.167997,-0.394297,0.680100
0.450000,-0.135560,-0.006078,0.990750,-0.161923,0.032454,-0.092999,-0.554311,0.170878,-0.399507,0.680487
0.460000,-0.135234,-0.004318,0.990804,-0.167444,0.034176,-0.097020,-0.549668,0.173468,-0.404467,0.680872
0.470000,-0.134891,-0.002497,0.990857,-0.172914,0.035922,-0.101088,-0.544258,0.175753,-0.409180,0.681255
0.480000,-0.134528,-0.000616,0.990910,-0.178327,0.037690,-0.105202,-0.538096,0.177720,-0.413648,0.681636
0.490000,-0.134146,0.001322,0.990961,-0.183674,0.039476,-0.109360,-0.531197,0.179354,-0.417873,0.682014
0.500000,-0.133743,0.003315,0.991011,-0.188948,0.041276,-0.113559,-0.523575,0.180642,-0.421857,0.682389
0.510000,-0.133319,0.005367,0.991059,-0.194143,0.043087,-0.117796,-0.515243,0.181569,-0.425603,0.682761
0.520000,-0.132875,0.007477,0.991105,-0.199251,0.044906,-0.122070,-0.506216,0.182123,-0.429112,0.683130
0.530000,-0.132411,0.009644,0.991148,-0.204265,0.046728,-0.126378,-0.496507,0.182290,-0.432387,0.683495
0.540000,-0.131926,0.011863,0.991189,-0.209179,0.048551,-0.130717,-0.486129,0.182058,-0.435428,0.683856
0.550000,-0.131418,0.014133,0.991226,-0.213985,0.050368,-0.135086,-0.475093,0.181413,-0.438239,0.684212
0.560000,-0.130888,0.016456,0.991261,-0.218678,0.052177,-0.139481,-0.463413,0.180344,-0.440821,0.684565
0.570000,-0.130337,0.018833,0.991291,-0.223251,0.053974,-0.143901,-0.451100,0.178837,-0.443175,0.684912
0.580000,-0.129764,0.021261,0.991317,-0.227698,0.055753,-0.148344,-0.438165,0.176882,-0.445302,0.685255
0.590000,-0.129169,0.023735,0.991339,-0.232013,0.057510,-0.152807,-0.424620,0.174466,-0.447206,0.685592
0.600000,-0.128552,0.026253,0.991355,-0.236188,0.059240,-0.157287,-0.410475,0.171578,-0.448886,0.685924
0.610000,-0.127912,0.028816,0.991367,-0.240220,0.060940,-0.161784,-0.395740,0.168207,-0.450344,0.686250
