time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.252595,-0.240150,-1.495305,-0.020687,-0.003818,0.010649,1.007580,-0.319873,-0.207221,-15.776352,5.859677,6.168447,272.428803,-91.022817,-146.003106,-0.031761,-0.100248,0.000000,0.557110,1.497075,-0.000000
0.010000,-3.252754,-0.240203,-1.495208,-0.011355,-0.006738,0.008862,0.862931,-0.265628,-0.152458,-13.203023,5.008902,4.820868,242.636543,-79.314418,-123.902299,-0.026557,-0.086403,0.000000,0.484775,1.273356,-0.000000
0.020000,-3.252826,-0.240283,-1.495126,-0.003347,-0.009157,0.007558,0.742566,-0.219323,-0.110105,-10.915800,4.269831,3.682810,215.190736,-68.673537,-104.078851,-0.022044,-0.074715,0.000000,0.419072,1.066346,0.000000
0.030000,-3.252825,-0.240385,-1.495055,0.003568,-0.011147,0.006625,0.643738,-0.179893,-0.078178,-8.891722,3.632043,2.732097,189.990757,-59.049160,-86.413435,-0.018152,-0.065010,0.000000,0.360364,0.877376,0.000000
0.040000,-3.252758,-0.240505,-1.494993,0.009591,-0.012774,0.005966,0.563927,-0.146377,-0.054909,-7.108834,3.085629,1.947746,166.936064,-50.390271,-70.786678,-0.014813,-0.057103,0.000000,0.308687,0.706944,-0.000000
0.050000,-3.252635,-0.240639,-1.494935,0.014902,-0.014092,0.005503,0.500827,-0.117908,-0.038734,-5.546190,2.621189,1.309965,145.925451,-42.645905,-57.079403,-0.011956,-0.050808,0.000000,0.263836,0.554899,-0.000000
0.060000,-3.252462,-0.240786,-1.494882,0.019656,-0.015147,0.005172,0.452336,-0.093710,-0.028283,-4.183847,2.229833,0.800158,126.858906,-35.764999,-45.172151,-0.009515,-0.045945,0.000000,0.225431,0.420614,0.000000
0.070000,-3.252243,-0.240942,-1.494832,0.023991,-0.015978,0.004922,0.416546,-0.073095,-0.022363,-3.002868,1.903181,0.400920,109.635529,-29.696563,-34.945638,-0.007427,-0.042339,0.000000,0.192981,0.303127,0.000000
0.080000,-3.251983,-0.241105,-1.494783,0.028024,-0.016618,0.004713,0.391734,-0.055457,-0.019950,-1.985328,1.633363,0.096040,94.154573,-24.389590,-26.280533,-0.005637,-0.039830,0.000000,0.165925,0.201255,-0.000000
0.090000,-3.251684,-0.241273,-1.494737,0.031857,-0.017095,0.004515,0.376351,-0.040263,-0.020178,-1.114305,1.413021,-0.129498,80.315148,-19.793076,-19.057487,-0.004093,-0.038267,0.000000,0.143672,0.113692,-0.000000
0.100000,-3.251346,-0.241446,-1.494693,0.035578,-0.017430,0.004303,0.369013,-0.027054,-0.022322,-0.373874,1.235304,-0.289521,68.018110,-15.855971,-13.157376,-0.002750,-0.037513,0.000000,0.125625,0.039075,0.000000
0.110000,-3.250972,-0.241622,-1.494651,0.039260,-0.017642,0.004064,0.368488,-0.015436,-0.025792,0.250863,1.093873,-0.396658,57.160999,-12.527315,-8.460628,-0.001568,-0.037447,0.000000,0.111200,-0.023961,0.000000
0.120000,-3.250561,-0.241799,-1.494612,0.042966,-0.017743,0.003785,0.373691,-0.005075,-0.030117,0.773813,0.982900,-0.462347,47.643814,-9.756078,-4.848011,-0.000515,-0.037958,0.000000,0.099841,-0.076744,0.000000
0.130000,-3.250113,-0.241976,-1.494576,0.046750,-0.017746,0.003460,0.383668,0.004306,-0.034935,1.207871,0.897064,-0.496834,39.365902,-7.491250,-2.200213,0.000437,-0.038951,0.000000,0.091026,-0.120540,-0.000000
0.140000,-3.249626,-0.242153,-1.494543,0.050653,-0.017660,0.003085,0.397592,0.012934,-0.039980,1.564926,0.831557,-0.509170,32.226635,-5.681817,-0.397964,0.001312,-0.040343,0.000000,0.084277,-0.156534,0.000000
0.150000,-3.249099,-0.242329,-1.494514,0.054712,-0.017490,0.002660,0.414747,0.020990,-0.045071,1.855864,0.782079,-0.507214,26.125450,-4.276766,0.677910,0.002128,-0.042060,0.000000,0.079161,-0.185820,0.000000
0.160000,-3.248531,-0.242503,-1.494490,0.058957,-0.017241,0.002184,0.434522,0.028616,-0.050099,2.090558,0.744843,-0.497628,20.961399,-3.225150,1.147536,0.002899,-0.044040,0.000000,0.075294,-0.209390,-0.000000
0.170000,-3.247919,-0.242674,-1.494471,0.063410,-0.016918,0.001658,0.456400,0.035917,-0.055016,2.277881,0.716568,-0.485887,16.634109,-2.475871,1.129302,0.003637,-0.046232,0.000000,0.072341,-0.228136,-0.000000
0.180000,-3.247262,-0.242841,-1.494457,0.068090,-0.016524,0.001084,0.479948,0.042968,-0.059824,2.425694,0.694487,-0.476269,13.042799,-1.977949,0.742833,0.004348,-0.048590,0.000000,0.070019,-0.242846,0.000000
0.190000,-3.246557,-0.243004,-1.494449,0.073013,-0.016060,0.000462,0.504805,0.049820,-0.064559,2.540854,0.676341,-0.471860,10.086687,-1.680358,0.107391,0.005039,-0.051077,0.000000,0.068096,-0.254203,-0.000000
0.200000,-3.245801,-0.243162,-1.494448,0.078190,-0.015528,-0.000207,0.530676,0.056502,-0.069285,2.629216,0.660382,-0.474549,7.665787,-1.532175,-0.657292,0.005711,-0.053664,0.000000,0.066392,-0.262791,0.000000
0.210000,-3.244992,-0.243314,-1.494454,0.083628,-0.014930,-0.000922,0.557058,0.063215,-0.073531,2.636552,0.687537,-0.360394,4.511102,-0.648745,1.031521,0.006386,-0.056303,0.000000,0.069123,-0.263863,0.000000
0.220000,-3.244127,-0.243460,-1.494466,0.089333,-0.014264,-0.001679,0.584173,0.069663,-0.078261,2.818611,0.577243,-0.660491,21.635141,-14.051631,-39.260339,0.007033,-0.059009,0.000000,0.057686,-0.280115,0.000000
0.230000,-3.243204,-0.243599,-1.494487,0.095318,-0.013540,-0.002498,0.612864,0.075128,-0.085672,2.853572,0.561048,-0.688054,-14.914486,11.033150,34.433036,0.007577,-0.061853,0.000000,0.055925,-0.282966,-0.000000
0.240000,-3.242220,-0.243731,-1.494517,0.101586,-0.012759,-0.003383,0.640635,0.081288,-0.090840,2.730151,0.648604,-0.412536,0.698250,-0.971734,-1.322601,0.008193,-0.064615,0.000000,0.064883,-0.271906,-0.000000
