time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,roll,pitch,yaw,p,q,r
0.000000,-3.252595,-0.240150,-1.495305,-0.015901,-0.005323,0.009710,0.432477,-0.133144,-0.076746,18.608992,-5.497377,-2.774327,-274.539756,107.378843,93.241285,-0.013453,-0.043715,0.000000,-0.550530,-1.866201,-0.000000
0.010000,-3.252754,-0.240203,-1.495208,-0.011576,-0.006654,0.008942,0.618567,-0.188118,-0.104489,15.863594,-4.423589,-1.841914,-851.664848,290.499379,197.270628,-0.018935,-0.062309,0.000000,-0.439763,-1.582008,-0.000000
0.020000,-3.252826,-0.240283,-1.495126,-0.003529,-0.009085,0.007620,0.749749,-0.221616,-0.113584,1.575695,0.312610,1.171085,-1243.798932,405.067629,232.863607,-0.022265,-0.075409,0.000000,0.029050,-0.166706,0.000000
0.030000,-3.252825,-0.240385,-1.495055,0.003419,-0.011087,0.006671,0.650081,-0.181866,-0.081067,-9.012385,3.677764,2.815358,-439.735902,140.701976,42.501280,-0.018345,-0.065630,0.000000,0.364610,0.888469,0.000000
0.040000,-3.252758,-0.240505,-1.494993,0.009472,-0.012723,0.005999,0.569501,-0.148061,-0.057277,-7.219023,3.126650,2.021111,168.298835,-50.999949,-72.066317,-0.014979,-0.057652,0.000000,0.312585,0.717320,0.000000
0.050000,-3.252635,-0.240639,-1.494935,0.014809,-0.014048,0.005525,0.505700,-0.119333,-0.040645,-5.646408,2.657765,1.374031,147.221340,-43.221558,-58.279446,-0.012098,-0.051292,0.000000,0.267374,0.564512,0.000000
0.060000,-3.252462,-0.240786,-1.494882,0.019586,-0.015109,0.005186,0.456573,-0.094906,-0.029796,-4.274597,2.262219,0.855522,128.087697,-36.306646,-46.292646,-0.009634,-0.046367,0.000000,0.228607,0.429440,0.000000
0.070000,-3.252243,-0.240942,-1.494832,0.023941,-0.015946,0.004929,0.420208,-0.074089,-0.023535,-3.084654,1.931632,0.448178,110.797260,-30.204202,-35.986598,-0.007527,-0.042706,0.000000,0.195800,0.311163,0.000000
0.080000,-3.251983,-0.241105,-1.494783,0.027991,-0.016591,0.004715,0.394880,-0.056273,-0.020833,-2.058651,1.658135,0.135790,95.249326,-24.863218,-27.241962,-0.005719,-0.040146,0.000000,0.168398,0.208513,-0.000000
0.090000,-3.251684,-0.241273,-1.494737,0.031838,-0.017072,0.004512,0.379035,-0.040926,-0.020819,-1.179667,1.434368,-0.096661,81.343273,-20.232685,-19.939425,-0.004160,-0.038537,0.000000,0.145816,0.120196,-0.000000
0.100000,-3.251346,-0.241446,-1.494693,0.035571,-0.017410,0.004299,0.371287,-0.027586,-0.022766,-0.431786,1.253481,-0.262999,68.978500,-16.261591,-13.959680,-0.002803,-0.037742,0.000000,0.127458,0.044859,-0.000000
