time,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,sx,sy,sz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.022172,-3.007746,0.508312,-0.005271,-0.019924,-0.007092,-0.274047,0.986205,0.010471,4.497517,-15.044817,-0.089582,-60.790023,201.641940,3.825931,0.999982,0.003828,-0.004435,-0.001352,0.003056,-0.014660,0.005585
0.010000,0.022107,-3.007899,0.508241,-0.007797,-0.010782,-0.006991,-0.232002,0.845501,0.009764,3.922287,-13.128970,-0.052025,-54.342020,181.780460,3.686075,0.999982,0.003827,-0.004466,-0.001334,0.000002,-0.006871,0.003834
0.020000,0.022018,-3.007966,0.508172,-0.009929,-0.002954,-0.006895,-0.195395,0.722988,0.009426,3.408994,-11.404248,-0.015851,-48.398941,163.406736,3.549095,0.999982,0.003827,-0.004501,-0.001315,-0.001959,-0.001857,0.002689
0.030000,0.021909,-3.007961,0.508103,-0.011721,0.003732,-0.006801,-0.163632,0.616828,0.009443,2.952696,-9.856081,0.018967,-42.939297,146.459218,3.414944,0.999982,0.003826,-0.004533,-0.001296,-0.003148,0.001197,0.001974
0.040000,0.021784,-3.007895,0.508036,-0.013216,0.009432,-0.006705,-0.136167,0.525325,0.009801,2.548668,-8.470515,0.052457,-37.941597,130.876313,3.283598,0.999981,0.003822,-0.004559,-0.001279,-0.003812,0.002916,0.001555
0.050000,0.021646,-3.007776,0.507969,-0.014457,0.014283,-0.006604,-0.112500,0.446920,0.010487,2.192396,-7.234208,0.084646,-33.384345,116.596831,3.154811,0.999981,0.003814,-0.004571,-0.001266,-0.004134,0.003769,0.001331
0.060000,0.021496,-3.007612,0.507904,-0.015477,0.018409,-0.006494,-0.092174,0.380186,0.011489,1.879585,-6.134439,0.115562,-29.246057,103.558828,3.028740,0.999982,0.003799,-0.004567,-0.001256,-0.004248,0.004093,0.001227
0.070000,0.021337,-3.007409,0.507840,-0.016310,0.021921,-0.006373,-0.074777,0.323817,0.012794,1.606150,-5.159098,0.145229,-25.505239,91.700926,2.905250,0.999982,0.003779,-0.004550,-0.001249,-0.004247,0.004127,0.001193
0.080000,0.021170,-3.007175,0.507776,-0.016981,0.024916,-0.006237,-0.059933,0.276627,0.014390,1.368227,-4.296691,0.173675,-22.140402,80.961636,2.784283,0.999982,0.003757,-0.004526,-0.001244,-0.004194,0.004029,0.001193
0.090000,0.020998,-3.006913,0.507715,-0.017516,0.027480,-0.006084,-0.047306,0.237543,0.016264,1.162161,-3.536341,0.200923,-19.130053,71.279588,2.665788,0.999982,0.003733,-0.004499,-0.001239,-0.004127,0.003895,0.001204
0.100000,0.020820,-3.006626,0.507655,-0.017934,0.029690,-0.005911,-0.036595,0.205594,0.018405,0.984516,-2.867788,0.226999,-16.452702,62.592439,2.549673,0.999982,0.003711,-0.004477,-0.001234,-0.004067,0.003778,0.001215
0.110000,0.020639,-3.006320,0.507597,-0.018253,0.031613,-0.005715,-0.027532,0.179913,0.020800,0.832068,-2.281381,0.251925,-14.086858,54.839581,2.435916,0.999982,0.003691,-0.004458,-0.001228,-0.004022,0.003701,0.001220
0.120000,0.020455,-3.005995,0.507541,-0.018489,0.033307,-0.005494,-0.019880,0.159723,0.023439,0.701812,-1.768088,0.275724,-12.011031,47.959153,2.324444,0.999983,0.003671,-0.004439,-0.001222,-0.003993,0.003666,0.001217
