time,dir_x,dir_y,dir_z,omega_x,omega_y,omega_z,omega_dot_x,omega_dot_y,omega_dot_z,mu
0.000000,0.119859,0.100121,0.987730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.817991
0.010000,0.119857,0.100122,0.987730,-0.000001,-0.000003,0.000000,-0.000381,-0.000884,0.000076,0.817950
0.020000,0.119856,0.100123,0.987730,-0.000017,-0.000030,0.000003,-0.002936,-0.004836,0.000591,0.818108
0.030000,0.119855,0.100124,0.987730,-0.000068,-0.000110,0.000014,-0.007316,-0.011515,0.001473,0.818405
0.040000,0.119853,0.100125,0.987730,-0.000171,-0.000269,0.000034,-0.013212,-0.020595,0.002658,0.818793
0.050000,0.119852,0.100126,0.987730,-0.000339,-0.000529,0.000068,-0.020345,-0.031767,0.004084,0.819235
0.060000,0.119833,0.100138,0.987731,-0.000583,-0.000911,0.000117,-0.028468,-0.044739,0.005697,0.819707
0.070000,0.119814,0.100150,0.987732,-0.000913,-0.001430,0.000183,-0.037363,-0.059235,0.007450,0.820190
0.080000,0.119795,0.100162,0.987733,-0.001334,-0.002101,0.000267,-0.046836,-0.074998,0.009297,0.820674
0.090000,0.119776,0.100175,0.987734,-0.001852,-0.002935,0.000369,-0.056716,-0.091786,0.011199,0.821152
0.100000,0.119756,0.100187,0.987735,-0.002471,-0.003941,0.000491,-0.066854,-0.109374,0.013120,0.821621
0.110000,0.119682,0.100233,0.987740,-0.003191,-0.005126,0.000632,-0.077119,-0.127553,0.015029,0.822081
0.120000,0.119608,0.100279,0.987744,-0.004014,-0.006494,0.000792,-0.087396,-0.146128,0.016895,0.822534
0.130000,0.119533,0.100326,0.987748,-0.004939,-0.008050,0.000970,-0.097588,-0.164921,0.018695,0.822982
0.140000,0.119459,0.100372,0.987753,-0.005966,-0.009794,0.001165,-0.107610,-0.183766,0.020405,0.823430
0.150000,0.119384,0.100418,0.987757,-0.007092,-0.011726,0.001378,-0.117390,-0.202512,0.022006,0.823881
